Time (s),Power (W),Voltage (V),Amps (A),Adapted
0,266.4,233.9,1.109,false
1,274.2,234.1,1.152,false
2,258.5,233.8,1.199,false
3,270.4,233.8,1.25,false
4,280.3,234.0,1.275,false
5,287.8,233.7,1.311,false
6,294.8,233.8,1.311,false
7,295.2,234.0,1.326,false
8,302.8,233.9,1.378,false
9,312.0,233.8,1.357,false
10,311.5,234.0,1.357,false
11,311.1,233.9,1.363,false
12,310.6,233.7,1.329,false
13,297.7,233.9,1.253,false
14,291.0,234.0,1.297,false
15,291.3,233.9,1.314,false
16,298.8,234.0,1.338,false
17,299.1,233.9,1.326,false
18,299.5,233.8,1.343,false
19,299.8,233.8,1.36,false
20,307.7,233.8,1.342,false
21,307.6,234.0,1.365,false
22,307.6,234.0,1.362,false
23,307.6,234.0,1.354,false
24,307.5,233.9,1.367,false
25,307.5,233.9,1.324,false
26,307.3,233.8,1.358,false
27,307.1,234.1,1.306,false
28,298.9,234.1,1.291,false
29,293.8,234.0,1.303,false
30,294.1,234.1,1.318,false
31,294.6,234.1,1.325,false
32,294.6,234.1,1.325,false
33,295.2,234.1,1.347,false
34,302.6,234.0,1.338,false
35,302.4,234.2,1.329,false
36,302.3,234.0,1.315,false
37,302.3,234.0,1.333,false
38,301.9,234.0,1.346,false
39,301.9,234.2,1.313,false
40,296.4,234.1,1.331,false
41,303.7,234.0,1.313,false
42,303.8,234.1,1.316,false
43,303.7,234.1,1.299,false
44,303.2,233.9,1.354,false
45,303.3,233.9,1.359,false
46,303.9,234.0,1.376,false
47,311.1,233.8,1.365,false
48,311.0,234.0,1.354,false
49,310.9,233.8,1.37,false
50,310.9,233.8,1.347,false
51,310.8,233.9,1.291,false
52,296.4,234.0,1.319,false
53,296.2,233.9,1.311,false
54,302.3,233.7,1.386,false
55,317.0,233.7,1.389,false
56,316.8,233.7,1.391,false
57,316.7,233.8,1.385,false
58,316.7,233.9,1.384,false
59,316.6,233.8,1.395,false
60,316.8,233.8,1.393,false
61,316.8,233.6,1.385,false
62,316.7,233.8,1.389,false
63,316.6,233.7,1.385,false
64,316.6,233.8,1.38,false
65,316.7,233.6,1.387,false
66,316.7,233.8,1.377,false
67,316.4,233.6,1.391,false
68,316.4,233.7,1.391,false
