Time (s),Power (W),Voltage (V),Amps (A),Adapted
0,271.8,237.7,1.147,false
1,284.4,237.5,1.161,false
2,265.2,237.5,1.209,false
3,273.4,237.3,1.216,false
4,279.5,237.3,1.247,false
5,285.2,237.4,1.268,false
6,291.1,237.4,1.291,false
7,291.5,237.4,1.316,false
8,301.2,237.3,1.312,false
9,293.2,237.2,1.312,false
10,303.3,237.1,1.296,false
11,303.1,237.2,1.305,false
12,302.8,237.1,1.314,false
13,302.8,237.3,1.317,false
14,302.8,237.4,1.334,false
15,303.0,237.3,1.321,false
16,303.3,237.4,1.345,false
17,303.6,237.3,1.346,false
18,303.6,237.3,1.289,false
19,303.3,237.3,1.315,false
20,303.1,237.2,1.356,false
21,303.4,237.3,1.331,false
22,303.2,237.1,1.359,false
23,303.4,237.2,1.321,false
24,303.3,237.3,1.314,false
25,303.2,237.4,1.325,false
26,303.1,237.1,1.358,false
27,303.5,237.1,1.343,false
28,303.9,237.2,1.34,false
29,304.3,237.3,1.346,false
30,304.7,237.1,1.356,false
31,304.6,237.0,1.364,false
32,305.0,237.1,1.316,false
33,304.8,237.2,1.37,false
34,310.1,237.0,1.337,false
35,309.6,237.0,1.346,false
36,309.0,237.2,1.373,false
37,309.1,237.1,1.381,false
38,309.7,237.3,1.376,false
39,315.7,237.3,1.371,false
40,315.7,237.1,1.363,false
41,315.6,237.2,1.374,false
42,315.8,236.9,1.357,false
43,315.9,237.1,1.373,false
44,316.0,237.1,1.366,false
45,315.9,237.0,1.376,false
46,316.1,237.1,1.365,false
47,316.1,237.2,1.383,false
48,316.6,237.1,1.353,false
49,316.6,237.1,1.371,false
50,316.6,237.2,1.377,false
51,316.7,237.0,1.373,false
52,316.7,237.1,1.396,false
53,317.0,237.3,1.383,false
54,316.4,237.2,1.381,false
55,316.7,237.1,1.378,false
56,316.9,237.2,1.382,false
57,316.9,237.3,1.374,false
58,317.1,237.1,1.376,false
59,317.3,237.0,1.377,false
60,317.3,237.0,1.377,false
61,317.3,237.2,1.375,false
62,317.3,237.3,1.374,false
63,317.4,237.4,1.374,false
64,317.3,237.3,1.359,false
65,317.2,237.1,1.366,false
66,317.2,237.1,1.371,false
67,317.3,237.2,1.383,false
68,317.5,237.2,1.384,false
69,317.6,237.1,1.374,false
70,317.7,237.2,1.381,false
71,317.8,237.3,1.381,false
72,317.8,237.4,1.373,false
73,317.7,237.2,1.401,false
74,317.9,237.0,1.381,false
75,317.9,237.0,1.384,false
76,318.0,237.0,1.377,false
77,318.1,237.0,1.385,false
78,318.1,236.8,1.384,false
79,318.0,236.9,1.385,false
80,318.2,237.1,1.383,false
81,318.2,237.1,1.381,false
82,318.2,236.9,1.38,false
83,318.3,237.0,1.385,false
84,318.5,236.8,1.382,false
85,318.1,236.8,1.384,false
86,318.2,236.6,1.382,false
87,318.1,236.8,1.378,false
88,318.1,236.8,1.385,false
89,318.3,236.7,1.38,false
90,318.3,236.7,1.379,false
91,318.3,236.9,1.381,false
92,318.3,236.8,1.388,false
93,318.2,236.7,1.385,false
94,318.0,236.3,1.386,false
95,317.8,236.4,1.387,false
96,318.0,236.4,1.384,false
97,318.1,236.5,1.384,false
98,318.0,236.5,1.387,false
99,318.1,236.5,1.385,false
100,318.2,236.6,1.388,false
101,318.3,236.5,1.389,false
102,318.4,236.7,1.363,false
103,318.3,236.8,1.356,false
104,318.2,236.9,1.348,false
105,318.1,236.8,1.383,false
106,318.2,236.7,1.382,false
107,318.3,236.9,1.387,false
108,318.3,236.7,1.384,false
109,318.3,236.8,1.388,false
110,318.4,236.9,1.38,false
111,318.4,236.9,1.383,false
112,318.4,236.8,1.383,false
113,318.6,236.6,1.383,false
114,318.6,236.7,1.395,false
115,318.9,236.6,1.393,false
116,318.5,236.8,1.389,false
117,318.6,236.8,1.388,false
118,318.7,236.8,1.387,false
119,319.0,236.6,1.39,false
120,319.0,236.6,1.39,false
121,319.0,236.7,1.386,false
122,319.0,236.7,1.385,false
123,318.9,236.7,1.387,false
124,318.9,236.5,1.386,false
125,319.1,236.4,1.386,false
126,319.2,236.3,1.386,false
127,319.2,236.5,1.389,false
128,319.1,236.7,1.384,false
129,319.0,236.7,1.38,false
130,319.0,236.7,1.385,false
131,319.2,236.8,1.38,false
132,319.3,236.5,1.391,false
133,319.2,236.6,1.381,false
134,319.1,236.5,1.374,false
135,318.9,236.6,1.383,false
136,318.9,236.6,1.396,false
137,319.2,236.5,1.387,false
138,319.2,236.8,1.389,false
139,319.2,236.5,1.386,false
140,319.2,236.5,1.359,false
141,319.0,236.8,1.385,false
142,319.1,236.9,1.393,false
143,319.3,236.9,1.389,false
144,319.4,237.1,1.391,false
145,319.4,237.2,1.392,false
146,319.6,237.2,1.386,false
147,319.4,237.1,1.387,false
148,319.7,237.0,1.388,false
149,319.6,237.1,1.386,false
150,319.8,237.2,1.396,false
151,313.3,237.3,1.402,false
152,320.7,237.3,1.39,false
153,320.5,237.4,1.388,false
154,320.4,237.3,1.393,false
155,320.4,237.3,1.39,false
156,320.4,237.3,1.39,false
157,320.3,237.1,1.386,false
158,320.2,237.1,1.387,false
159,320.0,237.0,1.391,false
160,319.9,236.8,1.381,false
161,319.9,236.9,1.389,false
162,320.0,237.0,1.39,false
163,319.9,237.1,1.389,false
164,319.9,237.1,1.392,false
165,319.9,237.1,1.385,false
166,320.0,236.9,1.384,false
167,320.0,237.1,1.382,false
168,320.2,237.1,1.372,false
169,320.1,237.0,1.385,false
170,320.1,236.9,1.382,false
171,320.1,237.0,1.367,false
172,320.3,236.9,1.393,false
173,320.5,237.0,1.393,false
174,320.6,236.8,1.389,false
175,320.5,237.0,1.389,false
176,320.5,237.0,1.4,false
177,320.7,236.8,1.387,false
178,320.4,236.9,1.396,false
179,320.6,236.8,1.387,false
180,320.5,236.9,1.391,false
181,320.5,236.8,1.387,false
182,320.4,237.0,1.385,false
183,320.2,236.7,1.387,false
184,320.0,236.9,1.389,false
185,319.7,236.8,1.407,false
186,319.9,236.8,1.389,false
187,319.9,236.9,1.404,false
188,320.1,236.8,1.392,false
189,320.0,237.0,1.386,false
190,320.1,236.9,1.39,false
191,320.1,237.0,1.386,false
192,320.0,236.8,1.407,false
193,319.7,237.1,1.392,false
194,319.8,236.9,1.391,false
195,319.8,237.1,1.389,false
196,319.9,236.8,1.412,false
197,320.2,236.9,1.388,false
198,320.1,237.1,1.393,false
199,320.3,236.9,1.385,false
200,320.4,237.1,1.393,false
201,320.4,236.9,1.387,false
202,320.4,236.9,1.371,false
203,320.3,237.2,1.387,false
204,320.3,237.1,1.383,false
205,320.2,237.0,1.379,false
206,320.1,236.9,1.388,false
207,320.3,237.0,1.386,false
208,320.2,237.2,1.385,false
209,320.3,237.2,1.384,false
210,320.3,237.3,1.388,false
211,320.3,237.2,1.386,false
212,320.1,237.2,1.391,false
213,320.2,236.9,1.39,false
214,320.3,237.0,1.387,false
215,320.3,237.0,1.386,false
216,320.3,237.1,1.387,false
217,320.4,237.6,1.14,false
218,285.5,237.2,1.413,false
219,318.8,237.2,1.389,false
220,319.0,237.2,1.382,false
221,319.2,237.1,1.383,false
222,319.2,237.0,1.394,false
223,319.3,237.1,1.388,false
224,319.3,237.0,1.392,false
225,319.3,237.1,1.391,false
226,319.7,236.9,1.39,false
227,319.7,236.9,1.386,false
228,319.7,237.0,1.39,false
229,319.8,237.1,1.391,false
230,320.0,237.1,1.385,false
231,320.0,237.1,1.393,false
232,320.0,237.1,1.408,false
233,320.1,237.1,1.389,false
234,320.1,237.0,1.394,false
235,320.2,237.0,1.393,false
236,320.2,237.0,1.392,false
237,320.2,236.8,1.381,false
238,320.2,236.7,1.386,false
239,320.4,236.9,1.387,false
240,320.4,237.0,1.376,false
241,320.5,237.0,1.399,false
242,320.5,237.0,1.393,false
243,320.6,237.1,1.392,false
244,320.6,237.1,1.382,false
245,320.6,237.3,1.388,false
246,320.5,237.3,1.392,false
247,320.6,237.3,1.395,false
248,320.8,237.2,1.393,false
249,321.0,237.2,1.398,false
250,320.6,237.1,1.39,false
251,320.9,237.2,1.38,false
252,320.7,237.3,1.383,false
253,320.6,237.3,1.39,false
