Time (s),Power (W),Voltage (V),Amps (A)
0,252.2,238.5,1.086
1,252.2,238.4,1.086
2,252.0,238.3,1.089
3,251.9,238.3,1.094
4,252.2,238.5,1.088
5,252.2,238.5,1.091
6,252.1,238.1,1.096
7,252.2,238.4,1.092
8,252.5,238.6,1.083
9,252.3,238.6,1.09
10,252.3,238.5,1.1
11,252.4,238.4,1.095
12,252.2,238.7,1.089
13,252.0,238.6,1.099
14,252.0,238.4,1.086
15,251.8,238.5,1.098
16,251.8,238.4,1.092
17,251.9,238.6,1.101
18,252.3,238.5,1.08
19,252.0,238.5,1.084
20,252.1,238.4,1.085
21,252.1,238.3,1.086
22,252.1,238.0,1.092
23,251.9,238.1,1.09
24,252.0,238.1,1.101
25,251.9,238.0,1.092
26,251.9,238.0,1.088
27,251.8,237.8,1.084
28,252.1,237.6,1.083
29,251.9,237.6,1.085
30,252.0,237.6,1.086
31,252.1,237.5,1.083
32,251.9,237.5,1.084
33,251.7,237.4,1.087
34,251.7,237.4,1.098
35,251.8,237.3,1.086
36,251.7,237.4,1.092
37,251.7,237.6,1.087
38,251.9,237.6,1.083
39,251.8,237.6,1.088
40,251.6,237.5,1.092
41,252.0,237.3,1.096
42,251.9,237.3,1.086
43,251.7,237.5,1.094
44,251.7,237.5,1.089
45,251.6,237.5,1.088
46,251.5,237.5,1.095
47,251.6,237.5,1.095
48,251.9,237.5,1.091
49,251.7,238.0,1.087
50,251.6,237.9,1.086
51,251.8,237.9,1.088
52,251.6,238.0,1.09
53,251.5,238.0,1.096
54,251.6,238.1,1.099
55,251.5,238.1,1.097
56,251.5,238.1,1.1
57,251.6,238.3,1.086
58,251.9,238.3,1.098
59,251.8,238.4,1.089
60,251.9,238.5,1.095
61,251.9,238.5,1.089
62,251.7,238.5,1.084
63,251.6,238.5,1.084
64,251.6,238.4,1.089
65,251.7,238.3,1.079
66,251.5,238.4,1.094
67,251.8,238.5,1.087
68,252.1,238.6,1.082
69,251.9,238.5,1.1
70,252.0,238.4,1.12
71,252.3,238.5,1.107
72,252.2,238.5,1.079
73,252.0,238.5,1.085
74,251.9,238.6,1.082
75,251.8,238.6,1.084
76,251.7,238.6,1.091
77,251.6,238.8,1.087
78,259.8,239.0,1.082
79,250.9,238.9,1.084
80,250.9,239.0,1.082
81,251.0,238.8,1.087
82,251.0,238.9,1.082
83,250.9,238.9,1.082
84,251.0,238.8,1.088
85,250.9,238.8,1.098
86,251.1,238.7,1.091
87,251.2,239.0,1.092
88,251.8,238.9,1.084
89,251.7,238.9,1.08
90,251.7,238.9,1.088
91,251.9,239.0,1.086
92,251.8,238.9,1.093
93,251.6,239.1,1.089
94,251.8,239.0,1.094
95,251.8,239.0,1.095
96,251.8,238.9,1.101
97,251.9,239.0,1.089
98,252.1,239.1,1.083
99,252.0,239.1,1.092
100,252.0,239.1,1.095
101,252.2,239.0,1.106
102,252.2,238.9,1.081
103,252.2,238.9,1.084
104,252.2,238.8,1.082
105,252.0,239.0,1.083
106,251.9,238.9,1.091
107,251.9,238.9,1.088
108,252.2,239.2,1.081
109,251.9,239.0,1.083
110,252.0,238.9,1.083
111,252.0,239.1,1.094
112,251.9,239.1,1.079
113,251.8,239.0,1.094
114,251.9,239.0,1.09
115,251.7,238.9,1.087
116,251.6,239.0,1.093
117,251.7,239.1,1.094
118,252.1,239.2,1.082
119,251.9,239.2,1.086
120,252.0,238.9,1.085
121,252.2,239.1,1.08
122,252.0,239.3,1.086
123,251.9,239.1,1.082
124,251.9,239.1,1.094
125,251.9,239.2,1.08
126,251.7,239.1,1.082
127,251.6,239.2,1.086
128,251.9,239.0,1.081
129,251.7,239.1,1.087
130,251.7,239.1,1.083
131,251.9,238.9,1.09
132,251.6,239.1,1.085
133,251.6,238.9,1.091
134,251.7,238.9,1.087
135,251.5,239.0,1.098
136,251.5,239.0,1.092
137,251.5,239.0,1.089
138,251.7,238.8,1.087
139,251.7,238.8,1.085
140,251.6,239.0,1.09
141,251.7,239.1,1.08
142,251.6,239.1,1.094
143,251.5,238.9,1.088
144,251.5,239.0,1.109
145,252.1,239.1,1.079
146,252.0,239.0,1.096
147,252.1,239.0,1.082
148,252.3,238.8,1.083
149,252.2,238.8,1.086
150,252.2,239.0,1.083
151,252.3,238.9,1.087
152,252.1,238.7,1.084
153,252.0,238.7,1.088
154,251.9,238.8,1.09
155,251.9,238.7,1.091
156,251.9,238.7,1.096
157,252.0,238.9,1.084
158,252.1,238.9,1.082
159,252.2,238.8,1.083
160,252.1,238.8,1.086
161,252.2,238.9,1.09
162,252.1,238.8,1.079
163,251.9,238.9,1.08
164,251.9,238.8,1.081
165,251.8,238.8,1.078
166,251.7,239.0,1.089
167,251.7,238.7,1.093
168,252.1,238.8,1.086
169,252.1,238.9,1.082
170,252.0,238.8,1.091
171,252.0,238.9,1.097
172,252.1,238.7,1.087
173,251.9,238.9,1.095
174,252.2,238.8,1.094
175,252.1,238.9,1.082
176,252.0,238.7,1.095
177,252.0,238.9,1.108
178,252.3,238.8,1.091
179,252.3,238.6,1.092
180,252.3,238.7,1.087
181,252.4,238.8,1.091
182,252.1,238.8,1.095
183,252.1,238.5,1.104
184,252.2,238.7,1.083
185,252.4,238.8,1.093
186,252.2,238.7,1.105
187,252.4,238.4,1.1
188,252.6,238.5,1.099
189,252.6,238.7,1.087
190,252.6,238.7,1.091
191,252.8,238.5,1.1
192,252.7,238.5,1.096
193,252.6,238.4,1.101
194,252.9,238.5,1.094
195,253.0,238.5,1.095
196,253.0,238.5,1.104
197,253.2,238.5,1.098
198,253.5,238.4,1.1
199,253.5,238.4,1.1
200,253.5,238.3,1.101
201,253.7,238.2,1.097
202,253.6,238.4,1.095
203,253.4,238.3,1.105
204,253.5,238.5,1.102
205,253.5,238.3,1.096
206,253.5,238.4,1.104
207,253.6,238.4,1.096
208,253.7,238.3,1.113
209,253.8,238.4,1.105
210,253.9,238.4,1.103
211,254.1,238.3,1.091
212,253.9,238.4,1.097
213,253.6,238.3,1.098
214,253.6,238.5,1.096
215,253.6,238.3,1.097
216,253.4,238.4,1.104
217,253.5,238.0,1.106
218,253.9,238.3,1.101
219,254.0,238.1,1.101
220,253.8,238.2,1.096
221,254.0,238.3,1.092
222,253.8,238.3,1.092
223,253.6,238.3,1.095
224,253.6,238.2,1.096
225,253.5,238.0,1.091
226,253.4,238.1,1.109
227,253.5,238.1,1.099
228,253.7,238.0,1.109
229,253.6,238.1,1.091
230,253.4,238.3,1.096
231,253.5,238.3,1.095
232,253.3,238.2,1.1
233,253.1,237.9,1.118
234,253.6,237.7,1.092
235,253.4,237.8,1.1
236,253.2,237.9,1.095
237,253.2,237.9,1.088
238,253.2,238.0,1.099
239,253.0,238.2,1.11
240,252.9,238.2,1.089
241,253.0,238.2,1.089
242,252.7,237.9,1.088
243,252.5,238.0,1.093
244,252.4,238.0,1.09
245,252.3,237.7,1.098
246,252.3,237.7,1.11
247,252.2,237.9,1.104
248,252.4,237.8,1.117
249,252.5,237.8,1.09
250,252.3,237.8,1.098
251,252.8,237.9,1.088
252,252.5,237.7,1.094
253,252.3,237.5,1.096
254,252.4,237.6,1.087
255,252.2,237.5,1.09
256,252.3,237.5,1.1
257,252.2,237.5,1.094
258,252.4,237.4,1.126
259,252.4,237.7,1.088
260,252.3,237.6,1.091
261,252.4,237.5,1.09
262,252.2,237.4,1.091
263,251.9,237.2,1.089
264,251.9,237.2,1.093
265,251.9,236.9,1.09
266,251.7,237.3,1.105
267,251.8,237.2,1.112
268,252.2,237.2,1.104
269,252.1,237.1,1.108
270,252.1,237.1,1.083
271,252.3,237.1,1.093
272,252.1,237.2,1.086
273,251.9,237.2,1.091
274,251.9,237.1,1.087
275,251.8,237.1,1.085
276,251.7,237.1,1.108
277,251.8,237.1,1.093
278,251.9,237.1,1.088
279,251.9,236.8,1.095
280,251.8,236.7,1.102
281,252.2,236.5,1.094
282,252.2,236.5,1.086
283,252.1,236.7,1.097
284,252.2,236.6,1.091
285,252.1,236.5,1.092
286,252.1,236.5,1.109
287,252.3,236.6,1.093
288,252.4,236.4,1.098
289,252.4,236.6,1.089
290,252.3,236.5,1.104
291,252.7,236.8,1.096
292,252.6,236.6,1.105
293,252.6,236.6,1.117
294,252.7,236.6,1.1
295,258.7,236.5,1.09
296,251.7,236.7,1.113
297,251.8,236.7,1.099
298,252.0,236.6,1.091
299,252.1,236.6,1.109
300,252.1,236.7,1.094
301,252.4,236.3,1.096
302,252.2,236.6,1.091
303,252.1,236.5,1.101
304,252.2,236.6,1.091
305,252.3,236.8,1.098
306,252.2,236.8,1.1
307,252.3,236.9,1.103
308,252.5,236.9,1.096
309,252.6,237.5,1.103
310,252.5,237.6,1.088
311,252.7,237.4,1.101
312,252.9,237.8,1.095
313,252.8,237.7,1.093
314,252.9,237.8,1.095
315,252.8,237.6,1.085
316,252.7,237.6,1.13
317,252.8,237.7,1.09
318,252.8,237.7,1.09
319,252.7,237.8,1.089
320,252.5,237.8,1.093
321,252.6,237.9,1.086
322,252.3,237.8,1.094
323,252.3,237.8,1.087
324,252.2,237.8,1.097
325,252.2,237.7,1.086
326,252.1,237.8,1.096
327,252.1,237.7,1.092
328,252.3,237.7,1.097
329,252.3,237.7,1.116
330,252.2,237.7,1.098
331,252.5,237.9,1.085
332,252.2,238.1,1.085
333,252.0,238.0,1.093
334,252.1,238.2,1.086
335,252.0,238.3,1.084
336,252.0,238.1,1.102
337,252.1,238.1,1.09
338,252.3,237.9,1.084
339,252.2,237.9,1.088
340,252.0,238.1,1.086
341,252.2,238.2,1.093
342,252.1,237.9,1.095
343,252.3,237.9,1.098
344,252.4,238.1,1.096
345,252.3,237.8,1.091
346,252.2,237.9,1.107
347,252.2,238.0,1.094
348,252.6,238.0,1.095
349,252.5,238.0,1.084
350,252.3,238.0,1.097
351,252.4,238.1,1.085
352,252.3,237.9,1.167
353,252.8,238.2,1.107
354,252.8,237.9,1.094
355,252.8,238.1,1.085
356,252.7,238.0,1.094
357,252.6,238.0,1.101
358,252.8,238.1,1.086
359,252.6,237.9,1.113
360,252.6,238.1,1.095
361,252.7,238.5,1.092
362,252.4,238.5,1.088
363,252.2,238.3,1.09
364,252.2,238.6,1.087
365,252.1,238.5,1.09
366,252.0,238.4,1.107
367,252.1,238.4,1.094
368,252.4,238.3,1.1
369,252.4,238.4,1.09
370,252.4,238.6,1.088
371,252.6,238.4,1.086
372,252.4,238.5,1.083
373,252.3,238.3,1.091
374,252.4,238.7,1.085
375,252.2,238.5,1.084
376,252.1,238.8,1.094
377,252.1,238.5,1.087
378,252.4,238.8,1.082
379,252.3,238.6,1.082
380,252.2,238.5,1.089
381,252.5,238.7,1.087
382,252.3,238.7,1.088
383,252.2,238.6,1.09
384,252.4,238.8,1.085
385,252.2,238.9,1.086
386,252.2,238.6,1.108
387,252.4,238.8,1.09
388,252.7,238.8,1.101
389,252.7,238.7,1.111
390,252.7,238.7,1.098
391,253.0,238.7,1.085
392,252.9,238.7,1.091
393,252.8,238.8,1.094
394,252.9,238.7,1.083
395,252.7,239.0,1.09
396,252.5,238.8,1.103
397,252.6,238.6,1.096
398,252.8,238.7,1.097
399,252.8,239.0,1.093
400,252.7,238.9,1.094
401,253.0,238.9,1.092
402,252.8,238.7,1.096
403,252.7,238.7,1.102
404,252.8,238.9,1.087
405,252.8,238.9,1.081
406,252.7,238.8,1.094
407,252.7,238.7,1.089
408,252.9,238.8,1.093
