Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
0,0.038,1044.0,17.54,638.0,1.47,0.0,0.0,0.0,0.038
1,0.036,1060.0,16.74,625.0,1.81,0.0,709.0,0.32,0.036
2,0.032,1057.0,14.45,622.0,1.17,0.0,0.0,0.0,0.032
3,0.035,1059.0,16.19,616.0,1.74,0.0,0.0,0.0,0.035
4,0.034,1060.0,17.71,613.0,1.27,0.0,0.0,0.0,0.034
5,0.03,1054.0,17.83,617.0,0.73,0.0,0.0,0.0,0.03
6,0.032,1059.0,16.16,617.0,1.49,0.0,0.0,0.0,0.032
7,0.033,1050.0,14.2,615.0,1.89,0.0,0.0,0.0,0.033
8,0.035,1067.0,16.48,613.0,1.99,0.001,713.0,0.51,0.036
9,0.051,1047.0,34.2,610.0,1.06,0.0,0.0,0.0,0.051
10,0.029,1047.0,13.37,608.0,1.04,0.0,0.0,0.0,0.029
11,0.03,1056.0,12.96,608.0,1.24,0.0,0.0,0.0,0.03
12,0.031,1058.0,12.58,613.0,1.76,0.0,0.0,0.0,0.031
13,0.03,1048.0,13.35,613.0,1.22,0.0,0.0,0.0,0.03
14,0.033,1050.0,14.55,616.0,1.01,0.0,0.0,0.0,0.033
15,0.035,1054.0,18.29,613.0,0.7,0.0,0.0,0.0,0.035
16,0.029,1037.0,13.54,616.0,0.9,0.0,0.0,0.0,0.029
17,0.019,997.0,9.68,611.0,1.09,0.0,0.0,0.0,0.019
18,0.029,1035.0,9.36,617.0,1.11,0.0,0.0,0.0,0.029
19,0.032,1059.0,13.06,615.0,1.32,0.0,0.0,0.0,0.032
20,0.032,1055.0,16.48,612.0,1.29,0.0,0.0,0.0,0.032
21,0.029,1055.0,14.84,612.0,0.87,0.0,0.0,0.0,0.029
22,0.028,1062.0,15.06,613.0,1.03,0.0,0.0,0.0,0.028
23,0.033,1060.0,18.17,615.0,1.18,0.0,0.0,0.0,0.033
24,0.041,1077.0,17.81,719.0,1.21,0.0,714.0,0.61,0.041
25,0.038,1058.0,17.75,616.0,1.83,0.0,0.0,0.0,0.038
26,0.031,1064.0,15.65,618.0,1.32,0.0,0.0,0.0,0.031
27,0.032,1058.0,14.05,616.0,1.92,0.0,0.0,0.0,0.032
28,0.034,1055.0,19.72,617.0,0.72,0.0,0.0,0.0,0.034
29,0.031,1058.0,16.16,615.0,1.34,0.0,0.0,0.0,0.031
30,0.032,1055.0,15.53,613.0,1.48,0.0,0.0,0.0,0.032
31,0.031,1063.0,14.1,616.0,1.18,0.0,0.0,0.0,0.031
