Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
79,0.032,1050.0,11.6,618.0,1.65,0.0,0.0,0.0,0.032
80,0.03,1062.0,13.13,618.0,1.65,0.0,0.0,0.0,0.03
81,0.018,994.0,9.64,608.0,1.15,0.0,0.0,0.0,0.018
82,0.027,1045.0,11.48,614.0,2.06,0.0,0.0,0.0,0.027
83,0.03,1049.0,15.24,614.0,1.16,0.0,0.0,0.0,0.03
84,0.032,1055.0,15.46,619.0,1.05,0.0,0.0,0.0,0.032
85,0.03,1051.0,15.28,618.0,1.06,0.0,0.0,0.0,0.03
86,0.03,1051.0,14.17,618.0,1.06,0.0,0.0,0.0,0.03
87,0.033,1060.0,13.05,622.0,1.74,0.0,0.0,0.0,0.033
88,0.03,1051.0,14.22,619.0,1.03,0.0,0.0,0.0,0.03
89,0.03,1060.0,15.22,615.0,0.99,0.0,0.0,0.0,0.03
90,0.03,1054.0,13.34,613.0,1.94,0.0,0.0,0.0,0.03
91,0.029,1049.0,14.63,614.0,1.02,0.0,0.0,0.0,0.029
92,0.03,1052.0,14.5,608.0,1.09,0.0,0.0,0.0,0.03
93,0.029,1041.0,13.36,610.0,1.17,0.0,0.0,0.0,0.029
94,0.029,1057.0,13.61,612.0,1.04,0.0,0.0,0.0,0.029
95,0.029,1051.0,12.6,611.0,1.37,0.0,0.0,0.0,0.029
96,0.028,1049.0,13.18,615.0,1.09,0.0,0.0,0.0,0.028
97,0.028,1042.0,12.3,615.0,0.98,0.0,0.0,0.0,0.028
98,0.016,996.0,6.75,610.0,1.13,0.0,0.0,0.0,0.016
99,0.048,1037.0,47.43,615.0,1.44,0.0,0.0,0.0,0.048
100,0.031,1055.0,12.85,611.0,1.65,0.0,0.0,0.0,0.031
101,0.031,1052.0,16.3,610.0,1.57,0.0,0.0,0.0,0.031
102,0.03,1053.0,14.01,612.0,1.24,0.0,0.0,0.0,0.03
103,0.031,1050.0,14.5,621.0,1.86,0.0,0.0,0.0,0.031
104,0.03,1053.0,15.44,611.0,0.82,0.0,0.0,0.0,0.03
105,0.03,1049.0,14.73,617.0,1.05,0.0,0.0,0.0,0.03
106,0.043,1065.0,15.97,785.0,2.06,0.0,712.0,0.42,0.043
107,0.031,1060.0,13.04,619.0,1.79,0.0,0.0,0.0,0.031
108,0.031,1056.0,14.95,616.0,1.23,0.0,0.0,0.0,0.031
109,0.031,1053.0,14.0,618.0,1.64,0.0,0.0,0.0,0.031
110,0.034,1070.0,16.03,620.0,1.4,0.0,0.0,0.0,0.034
111,0.032,1063.0,14.81,614.0,1.55,0.0,0.0,0.0,0.032
112,0.033,1053.0,15.2,616.0,1.86,0.0,0.0,0.0,0.033
113,0.03,1054.0,15.05,618.0,1.07,0.0,0.0,0.0,0.03
114,0.063,1155.0,24.74,620.0,1.18,0.0,0.0,0.0,0.063
115,0.016,996.0,7.8,610.0,1.12,0.0,0.0,0.0,0.016
116,0.029,1052.0,16.93,614.0,0.76,0.0,0.0,0.0,0.029
117,0.032,1064.0,17.04,615.0,1.43,0.0,0.0,0.0,0.032
118,0.033,1059.0,16.63,610.0,1.25,0.0,0.0,0.0,0.033
119,0.062,1113.0,22.76,705.0,1.82,0.0,713.0,0.51,0.062
120,0.031,1049.0,15.69,619.0,1.17,0.0,0.0,0.0,0.031
121,0.03,1055.0,14.52,612.0,1.5,0.0,0.0,0.0,0.03
122,0.03,1049.0,14.58,613.0,1.24,0.0,0.0,0.0,0.03
123,0.028,1053.0,15.47,614.0,0.85,0.0,0.0,0.0,0.028
124,0.031,1063.0,14.12,613.0,2.12,0.0,0.0,0.0,0.031
125,0.031,1061.0,14.46,610.0,1.61,0.0,0.0,0.0,0.031
126,0.03,1058.0,13.9,616.0,1.76,0.0,0.0,0.0,0.03
127,0.031,1055.0,15.01,618.0,1.05,0.0,0.0,0.0,0.031
128,0.046,1056.0,30.21,619.0,1.72,0.0,0.0,0.0,0.046
129,0.036,1058.0,24.73,614.0,1.09,0.0,0.0,0.0,0.036
130,0.03,1056.0,14.17,617.0,1.43,0.0,0.0,0.0,0.03
131,0.03,1045.0,12.9,615.0,1.87,0.0,0.0,0.0,0.03
132,0.018,1003.0,6.85,612.0,1.91,0.0,0.0,0.0,0.018
133,0.028,1048.0,13.2,610.0,1.51,0.0,0.0,0.0,0.028
134,0.031,1051.0,14.31,612.0,1.52,0.0,0.0,0.0,0.031
135,0.03,1056.0,15.8,610.0,1.39,0.0,0.0,0.0,0.03
136,0.03,1052.0,13.92,615.0,1.17,0.0,0.0,0.0,0.03
137,0.03,1053.0,14.44,618.0,1.01,0.0,0.0,0.0,0.03
138,0.03,1050.0,14.26,616.0,1.25,0.0,0.0,0.0,0.03
139,0.031,1040.0,11.04,614.0,1.18,0.0,0.0,0.0,0.031
140,0.032,1051.0,14.18,618.0,1.19,0.0,0.0,0.0,0.032
141,0.031,1053.0,14.06,622.0,1.62,0.0,0.0,0.0,0.031
142,0.031,1054.0,14.91,618.0,1.04,0.0,0.0,0.0,0.031
143,0.029,1056.0,15.47,615.0,1.08,0.0,0.0,0.0,0.029
144,0.042,1062.0,23.1,612.0,1.76,0.0,0.0,0.0,0.042
145,0.126,1073.0,94.83,661.0,2.05,0.0,710.0,0.64,0.126
146,0.037,1071.0,17.67,613.0,1.38,0.0,0.0,0.0,0.037
147,0.031,1061.0,14.93,612.0,2.03,0.0,0.0,0.0,0.031
148,0.03,1046.0,12.65,612.0,1.99,0.0,0.0,0.0,0.03
149,0.018,990.0,6.14,614.0,1.99,0.0,0.0,0.0,0.018
150,0.03,1051.0,13.73,617.0,1.47,0.0,0.0,0.0,0.03
151,0.028,1052.0,13.86,612.0,1.53,0.0,0.0,0.0,0.028
152,0.03,1060.0,14.17,614.0,1.83,0.0,0.0,0.0,0.03
153,0.03,1052.0,15.64,609.0,1.44,0.0,0.0,0.0,0.03
154,0.03,1053.0,14.3,612.0,1.35,0.0,0.0,0.0,0.03
155,0.038,1066.0,16.75,775.0,1.51,0.001,713.0,0.51,0.039
156,0.031,1053.0,14.23,619.0,1.92,0.0,0.0,0.0,0.031
157,0.031,1058.0,14.71,615.0,1.17,0.0,0.0,0.0,0.031
158,0.049,1054.0,54.21,619.0,1.05,0.0,0.0,0.0,0.049
159,0.055,1116.0,18.02,616.0,1.2,0.0,0.0,0.0,0.055
160,0.068,1138.0,25.86,611.0,0.96,0.0,0.0,0.0,0.068
161,0.032,1062.0,14.38,611.0,1.68,0.001,712.0,0.41,0.033
162,0.032,1054.0,16.5,612.0,1.21,0.0,0.0,0.0,0.032
163,0.032,1055.0,13.7,621.0,1.76,0.0,0.0,0.0,0.032
164,0.035,1061.0,16.21,623.0,1.89,0.0,704.0,0.22,0.035
165,0.033,1056.0,17.03,621.0,1.19,0.0,704.0,0.22,0.033
166,0.024,1017.0,11.7,612.0,1.06,0.0,0.0,0.0,0.024
167,0.02,1014.0,10.65,608.0,0.87,0.0,0.0,0.0,0.02
168,0.032,1057.0,15.2,617.0,1.03,0.0,0.0,0.0,0.032
169,0.052,1116.0,24.57,616.0,1.27,0.0,713.0,0.51,0.052
170,0.049,1083.0,23.81,612.0,1.6,0.0,0.0,0.0,0.049
171,0.036,1055.0,16.5,628.0,2.12,0.0,707.0,0.54,0.036
172,0.032,1053.0,15.6,615.0,1.15,0.0,0.0,0.0,0.032
173,0.033,1056.0,15.97,620.0,1.73,0.0,0.0,0.0,0.033
174,0.041,1069.0,18.92,620.0,1.59,0.001,708.0,0.32,0.042
175,0.034,1061.0,16.06,620.0,2.01,0.0,709.0,0.32,0.034
176,0.031,1055.0,14.88,611.0,1.59,0.0,0.0,0.0,0.031
177,0.035,1050.0,15.32,615.0,2.29,0.0,0.0,0.0,0.035
178,0.05,1125.0,26.35,613.0,1.46,0.0,0.0,0.0,0.05
179,0.032,1060.0,18.31,614.0,1.15,0.0,0.0,0.0,0.032
180,0.03,1037.0,12.13,608.0,0.93,0.0,0.0,0.0,0.03
181,0.035,1051.0,14.89,615.0,1.17,0.0,0.0,0.0,0.035
182,0.032,1053.0,17.24,614.0,1.22,0.0,0.0,0.0,0.032
