Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
0,0.057,1107.0,27.75,626.0,1.16,0.0,0.0,0.0,0.057
1,0.026,1018.0,9.18,613.0,0.95,0.0,0.0,0.0,0.026
2,0.02,1005.0,7.36,612.0,1.9,0.0,0.0,0.0,0.02
3,0.026,1042.0,11.78,608.0,1.02,0.0,0.0,0.0,0.026
4,0.028,1042.0,13.42,611.0,1.02,0.0,0.0,0.0,0.028
5,0.032,1054.0,12.95,617.0,1.47,0.0,0.0,0.0,0.032
6,0.029,1049.0,13.55,610.0,0.96,0.0,0.0,0.0,0.029
7,0.031,1054.0,13.33,613.0,1.24,0.0,0.0,0.0,0.031
8,0.029,1051.0,12.94,616.0,1.28,0.0,0.0,0.0,0.029
9,0.031,1057.0,15.81,613.0,1.34,0.0,0.0,0.0,0.031
10,0.033,1060.0,15.83,617.0,1.15,0.0,0.0,0.0,0.033
11,0.041,1070.0,19.73,619.0,1.91,0.001,712.0,0.42,0.042
12,0.038,1065.0,17.97,725.0,1.55,0.0,709.0,0.32,0.038
13,0.031,1058.0,15.65,616.0,0.77,0.0,0.0,0.0,0.031
14,0.033,1052.0,14.71,619.0,1.1,0.0,0.0,0.0,0.033
15,0.029,1052.0,16.15,617.0,0.75,0.0,0.0,0.0,0.029
16,0.031,1067.0,13.96,618.0,1.41,0.0,0.0,0.0,0.031
17,0.03,1064.0,13.48,612.0,1.36,0.0,0.0,0.0,0.03
18,0.032,1062.0,14.84,614.0,1.17,0.0,0.0,0.0,0.032
19,0.028,1044.0,12.45,616.0,0.91,0.0,0.0,0.0,0.028
20,0.02,1003.0,7.89,612.0,2.06,0.0,0.0,0.0,0.02
21,0.03,1049.0,11.52,616.0,1.98,0.0,0.0,0.0,0.03
22,0.032,1044.0,11.28,617.0,1.05,0.0,0.0,0.0,0.032
23,0.03,1046.0,12.14,618.0,1.29,0.0,0.0,0.0,0.03
24,0.032,1055.0,14.48,616.0,1.98,0.0,0.0,0.0,0.032
25,0.032,1061.0,13.83,615.0,1.05,0.0,0.0,0.0,0.032
26,0.031,1060.0,15.12,618.0,1.26,0.0,0.0,0.0,0.031
27,0.043,1058.0,37.37,616.0,1.77,0.0,0.0,0.0,0.043
28,0.04,1056.0,30.07,612.0,1.22,0.0,0.0,0.0,0.04
29,0.041,1076.0,18.06,630.0,2.38,0.0,0.0,0.0,0.041
30,0.033,1052.0,15.95,619.0,1.17,0.0,0.0,0.0,0.033
31,0.031,1058.0,15.25,621.0,1.08,0.0,0.0,0.0,0.031
32,0.035,1060.0,15.63,619.0,1.7,0.0,0.0,0.0,0.035
33,0.03,1059.0,14.53,616.0,1.28,0.0,0.0,0.0,0.03
34,0.043,1073.0,16.32,757.0,1.71,0.001,712.0,0.63,0.044
35,0.03,1054.0,14.24,622.0,1.3,0.0,0.0,0.0,0.03
36,0.033,1058.0,15.57,623.0,1.6,0.0,0.0,0.0,0.033
37,0.023,1019.0,11.41,616.0,0.85,0.0,0.0,0.0,0.023
38,0.032,1061.0,16.11,610.0,1.5,0.0,0.0,0.0,0.032
39,0.03,1056.0,15.15,618.0,1.45,0.0,0.0,0.0,0.03
40,0.032,1065.0,14.29,618.0,1.11,0.0,0.0,0.0,0.032
41,0.031,1060.0,14.73,620.0,1.03,0.0,0.0,0.0,0.031
42,0.031,1066.0,13.95,617.0,1.86,0.0,0.0,0.0,0.031
43,0.031,1041.0,14.13,609.0,0.92,0.0,0.0,0.0,0.031
44,0.094,1117.0,24.27,739.0,2.5,0.0,713.0,0.52,0.094
45,0.03,1056.0,14.44,612.0,1.9,0.0,0.0,0.0,0.03
46,0.031,1062.0,15.2,612.0,1.32,0.0,0.0,0.0,0.031
47,0.031,1052.0,15.54,617.0,1.12,0.0,0.0,0.0,0.031
48,0.035,1058.0,18.24,621.0,1.09,0.0,0.0,0.0,0.035
49,0.036,1061.0,15.67,624.0,1.76,0.0,0.0,0.0,0.036
50,0.032,1060.0,15.7,621.0,1.37,0.0,0.0,0.0,0.032
51,0.032,1061.0,15.36,618.0,1.23,0.0,0.0,0.0,0.032
52,0.029,1050.0,14.61,615.0,1.23,0.0,0.0,0.0,0.029
53,0.033,1056.0,14.18,620.0,1.78,0.0,0.0,0.0,0.033
54,0.031,1052.0,13.46,620.0,1.77,0.0,0.0,0.0,0.031
55,0.026,1036.0,10.9,612.0,0.86,0.0,0.0,0.0,0.026
56,0.021,1005.0,7.51,615.0,1.84,0.0,0.0,0.0,0.021
57,0.049,1055.0,42.38,618.0,1.26,0.0,0.0,0.0,0.049
58,0.032,1061.0,14.46,613.0,1.38,0.0,0.0,0.0,0.032
59,0.034,1056.0,14.64,619.0,2.44,0.0,0.0,0.0,0.034
60,0.03,1057.0,14.76,616.0,1.21,0.0,0.0,0.0,0.03
61,0.031,1058.0,14.41,621.0,1.08,0.0,0.0,0.0,0.031
62,0.061,1132.0,19.21,672.0,2.56,0.001,711.0,0.63,0.062
63,0.035,1081.0,14.83,613.0,1.36,0.0,0.0,0.0,0.035
64,0.033,1042.0,11.84,621.0,1.06,0.0,0.0,0.0,0.033
65,0.033,1040.0,11.3,621.0,1.06,0.0,0.0,0.0,0.033
66,0.033,1052.0,13.72,619.0,1.57,0.0,0.0,0.0,0.033
67,0.034,1059.0,14.25,615.0,1.35,0.0,0.0,0.0,0.034
68,0.031,1050.0,14.81,614.0,1.3,0.0,0.0,0.0,0.031
69,0.034,1056.0,14.7,617.0,1.69,0.0,0.0,0.0,0.034
70,0.037,1064.0,14.91,619.0,1.73,0.0,0.0,0.0,0.037
71,0.03,1051.0,14.2,615.0,1.31,0.0,0.0,0.0,0.03
72,0.032,1055.0,14.19,620.0,1.03,0.0,0.0,0.0,0.032
73,0.032,1046.0,13.33,612.0,0.76,0.0,0.0,0.0,0.032
74,0.017,998.0,7.35,607.0,1.12,0.0,0.0,0.0,0.017
75,0.027,1045.0,11.91,612.0,1.51,0.0,0.0,0.0,0.027
76,0.031,1056.0,14.27,616.0,1.02,0.0,0.0,0.0,0.031
77,0.036,1058.0,14.95,619.0,1.7,0.0,0.0,0.0,0.036
78,0.034,1062.0,15.09,615.0,1.37,0.0,0.0,0.0,0.034
79,0.03,1057.0,13.92,614.0,1.49,0.0,0.0,0.0,0.03
80,0.035,1050.0,13.59,617.0,1.81,0.0,0.0,0.0,0.035
81,0.033,1058.0,13.02,620.0,1.77,0.0,0.0,0.0,0.033
82,0.034,1060.0,14.27,618.0,2.05,0.0,0.0,0.0,0.034
83,0.031,1050.0,13.78,614.0,1.17,0.0,0.0,0.0,0.031
84,0.032,1052.0,12.95,619.0,1.63,0.0,0.0,0.0,0.032
85,0.033,1059.0,15.29,613.0,0.83,0.0,0.0,0.0,0.033
86,0.074,1110.0,45.8,612.0,1.23,0.0,0.0,0.0,0.074
87,0.072,1143.0,24.34,617.0,1.04,0.0,0.0,0.0,0.072
88,0.034,1054.0,14.06,616.0,1.06,0.0,0.0,0.0,0.034
89,0.035,1055.0,13.8,620.0,1.68,0.0,0.0,0.0,0.035
90,0.036,1055.0,14.54,624.0,1.74,0.0,0.0,0.0,0.036
91,0.034,1063.0,15.2,614.0,1.1,0.0,0.0,0.0,0.034
92,0.02,998.0,9.42,612.0,1.3,0.0,0.0,0.0,0.02
93,0.036,1053.0,12.86,768.0,2.03,0.001,713.0,0.51,0.037
94,0.029,1057.0,14.44,611.0,1.41,0.0,0.0,0.0,0.029
95,0.045,1095.0,20.72,611.0,1.59,0.0,0.0,0.0,0.045
96,0.051,1112.0,21.38,615.0,2.25,0.001,713.0,0.51,0.052
97,0.041,1070.0,23.03,610.0,1.27,0.0,0.0,0.0,0.041
