Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s
0,1.896,1217.0,26.51,1761.0,48.72,0.0,0.0,0.0,1.896,514.09,481.43
1,4.51,1554.0,24.37,3075.0,99.43,0.001,712.0,0.31,4.511,1177.65,1073.94
2,4.717,1686.0,21.47,3062.0,100.0,0.0,0.0,0.0,4.717,1288.61,1156.64
3,4.691,1686.0,24.89,3065.0,99.81,0.0,0.0,0.0,4.691,1291.69,1158.39
4,4.666,1670.0,22.83,3066.0,99.86,0.0,0.0,0.0,4.666,1268.71,1143.92
5,4.694,1706.0,22.39,3065.0,99.88,0.0,0.0,0.0,4.694,1285.45,1158.36
6,4.66,1696.0,23.7,3069.0,99.9,0.0,0.0,0.0,4.66,1275.63,1159.29
7,4.689,1692.0,21.75,3068.0,99.86,0.0,0.0,0.0,4.689,1281.99,1155.25
8,4.602,1734.0,27.91,3074.0,99.35,0.0,709.0,0.22,4.602,1247.3,1147.67
9,4.705,1733.0,31.33,3070.0,99.7,0.0,709.0,0.22,4.705,1276.01,1155.91
10,4.748,1735.0,25.04,3063.0,100.0,0.0,0.0,0.0,4.748,1357.57,1154.32
11,4.766,1783.0,24.66,3059.0,100.0,0.0,0.0,0.0,4.766,1412.88,1144.87
12,4.767,1746.0,24.17,3059.0,100.0,0.0,0.0,0.0,4.767,1394.04,1148.22
13,4.675,1721.0,27.68,3071.0,99.77,0.002,713.0,0.63,4.677,1282.96,1157.4
14,4.687,1694.0,25.02,3069.0,99.86,0.0,0.0,0.0,4.687,1274.73,1155.56
15,4.711,1690.0,22.51,3066.0,100.0,0.001,711.0,0.53,4.712,1275.55,1146.78
16,4.72,1671.0,18.88,3066.0,100.0,0.0,0.0,0.0,4.72,1286.62,1157.57
17,4.697,1705.0,22.21,3068.0,99.86,0.0,0.0,0.0,4.697,1280.84,1156.23
18,4.663,1724.0,25.22,3071.0,99.87,0.0,0.0,0.0,4.663,1258.74,1145.09
19,4.681,1730.0,25.6,3070.0,99.72,0.0,0.0,0.0,4.681,1284.19,1158.09
20,4.612,1705.0,27.42,3074.0,99.23,0.0,0.0,0.0,4.612,1251.86,1146.97
21,4.705,1689.0,24.13,3069.0,99.85,0.0,715.0,0.51,4.705,1295.04,1158.13
22,4.742,1716.0,35.61,3069.0,99.68,0.0,0.0,0.0,4.742,1270.55,1158.21
23,4.703,1676.0,23.24,3069.0,99.88,0.0,0.0,0.0,4.703,1257.87,1151.74
24,4.696,1710.0,24.29,3070.0,99.76,0.0,0.0,0.0,4.696,1276.61,1148.32
25,4.701,1680.0,24.65,3070.0,99.84,0.0,0.0,0.0,4.701,1278.69,1159.01
26,4.708,1713.0,24.24,3069.0,99.75,0.0,0.0,0.0,4.708,1265.17,1151.24
27,4.716,1709.0,24.8,3068.0,99.87,0.0,0.0,0.0,4.716,1288.08,1151.17
28,4.829,1726.0,32.86,3067.0,100.0,0.0,712.0,0.31,4.829,1284.68,1155.89
29,4.725,1716.0,27.26,3069.0,99.85,0.0,0.0,0.0,4.725,1272.39,1156.73
30,4.684,1704.0,23.97,3070.0,99.84,0.0,0.0,0.0,4.684,1254.11,1148.65
31,4.723,1695.0,24.09,3068.0,99.89,0.0,0.0,0.0,4.723,1275.06,1157.62
32,4.698,1711.0,24.32,3071.0,99.75,0.0,0.0,0.0,4.698,1253.23,1152.55
33,4.698,1722.0,24.14,3070.0,99.81,0.0,0.0,0.0,4.698,1283.61,1154.04
34,4.729,1688.0,23.01,3068.0,99.9,0.0,0.0,0.0,4.729,1278.11,1153.82
35,4.734,1686.0,22.46,3067.0,100.0,0.0,0.0,0.0,4.734,1269.55,1153.81
36,4.719,1697.0,23.09,3069.0,100.0,0.0,0.0,0.0,4.719,1295.72,1148.87
37,4.736,1695.0,23.29,3068.0,99.86,0.0,0.0,0.0,4.736,1289.57,1160.01
38,4.713,1728.0,30.36,3071.0,99.47,0.0,0.0,0.0,4.713,1279.42,1151.15
39,4.749,1689.0,25.47,3067.0,99.86,0.0,0.0,0.0,4.749,1285.53,1145.56
40,4.74,1704.0,22.79,3067.0,99.9,0.0,0.0,0.0,4.74,1284.31,1160.2
41,4.747,1685.0,22.42,3068.0,99.86,0.0,0.0,0.0,4.747,1282.04,1155.25
42,4.722,1701.0,22.8,3069.0,99.88,0.0,0.0,0.0,4.722,1264.81,1151.99
43,4.747,1702.0,22.18,3068.0,99.84,0.0,0.0,0.0,4.747,1275.94,1150.93
44,4.772,1697.0,23.28,3066.0,100.0,0.0,0.0,0.0,4.772,1288.37,1157.39
45,4.767,1684.0,21.65,3066.0,100.0,0.0,0.0,0.0,4.767,1281.51,1153.84
46,4.732,1716.0,24.83,3068.0,99.87,0.0,0.0,0.0,4.732,1288.79,1150.67
47,4.786,1723.0,22.18,3066.0,100.0,0.0,0.0,0.0,4.786,1297.78,1155.32
48,4.719,1687.0,23.16,3070.0,99.74,0.0,0.0,0.0,4.719,1266.07,1151.4
49,4.73,1714.0,25.41,3070.0,99.66,0.0,0.0,0.0,4.73,1284.28,1159.5
50,4.751,1673.0,22.79,3067.0,99.86,0.0,0.0,0.0,4.751,1267.45,1149.92
51,4.728,1718.0,25.97,3069.0,99.69,0.0,0.0,0.0,4.728,1288.58,1149.61
52,4.747,1729.0,35.5,3071.0,99.46,0.0,0.0,0.0,4.747,1271.97,1160.83
53,4.793,1707.0,20.93,3066.0,100.0,0.0,0.0,0.0,4.793,1279.04,1153.37
54,4.744,1711.0,22.96,3068.0,99.85,0.0,0.0,0.0,4.744,1274.17,1153.7
55,4.767,1690.0,23.07,3067.0,100.0,0.0,0.0,0.0,4.767,1291.18,1150.69
56,4.69,1696.0,23.97,3072.0,99.72,0.0,0.0,0.0,4.69,1262.95,1156.49
57,4.765,1693.0,22.39,3067.0,99.86,0.0,0.0,0.0,4.765,1286.2,1147.93
58,4.741,1727.0,25.76,3070.0,99.7,0.0,0.0,0.0,4.741,1286.43,1161.17
59,4.805,1765.0,27.54,3063.0,99.96,0.001,712.0,0.53,4.806,1379.36,1148.35
60,4.837,1765.0,22.27,3059.0,100.0,0.0,0.0,0.0,4.837,1409.29,1150.31
61,4.839,1785.0,25.96,3059.0,100.0,0.0,709.0,0.22,4.839,1389.9,1147.06
62,4.834,1747.0,25.93,3061.0,100.0,0.0,0.0,0.0,4.834,1404.67,1149.1
63,4.792,1773.0,29.13,3065.0,99.81,0.0,0.0,0.0,4.792,1368.7,1150.73
64,4.769,1702.0,23.07,3068.0,99.85,0.0,0.0,0.0,4.769,1284.38,1147.36
65,4.757,1727.0,23.74,3070.0,99.87,0.0,0.0,0.0,4.757,1274.9,1158.21
66,4.776,1693.0,24.27,3068.0,100.0,0.0,0.0,0.0,4.776,1285.27,1158.81
67,4.782,1678.0,24.83,3067.0,99.84,0.0,709.0,0.22,4.782,1278.74,1155.96
68,4.788,1721.0,21.27,3066.0,99.99,0.0,0.0,0.0,4.788,1276.68,1143.07
69,4.785,1701.0,28.85,3069.0,99.76,0.0,0.0,0.0,4.785,1286.08,1159.52
70,4.774,1696.0,28.84,3071.0,99.56,0.0,0.0,0.0,4.774,1265.2,1158.41
71,4.799,1702.0,22.48,3066.0,100.0,0.0,0.0,0.0,4.799,1293.39,1155.99
72,4.777,1704.0,23.18,3067.0,99.87,0.0,0.0,0.0,4.777,1270.57,1145.56
73,4.808,1693.0,21.35,3065.0,100.0,0.0,0.0,0.0,4.808,1286.15,1156.1
74,4.776,1718.0,24.32,3068.0,99.88,0.0,0.0,0.0,4.776,1288.6,1156.94
75,4.782,1711.0,25.36,3069.0,99.92,0.0,710.0,0.43,4.782,1272.24,1155.58
76,4.733,1692.0,20.42,3069.0,99.81,0.0,0.0,0.0,4.733,1282.41,1148.85
77,4.813,1693.0,24.17,3066.0,100.0,0.0,709.0,0.43,4.813,1289.89,1156.86
78,4.775,1686.0,21.91,3068.0,99.8,0.0,0.0,0.0,4.775,1277.67,1158.21
79,4.773,1702.0,24.01,3069.0,100.0,0.0,0.0,0.0,4.773,1282.09,1148.91
80,4.762,1721.0,25.25,3069.0,99.41,0.0,714.0,0.41,4.762,1271.44,1155.84
81,4.884,1741.0,36.65,3061.0,99.95,0.0,0.0,0.0,4.884,1370.73,1146.81
82,4.745,1774.0,31.79,3069.0,99.9,0.0,0.0,0.0,4.745,1354.8,1149.64
83,4.771,1767.0,29.29,3067.0,99.87,0.003,712.0,0.63,4.774,1380.4,1147.02
84,4.858,1751.0,25.07,3061.0,100.0,0.0,0.0,0.0,4.858,1399.21,1147.14
85,4.854,1777.0,23.53,3060.0,100.0,0.0,0.0,0.0,4.854,1410.86,1150.6
86,4.835,1772.0,26.02,3062.0,99.9,0.0,0.0,0.0,4.835,1406.17,1149.31
87,4.851,1742.0,25.88,3062.0,100.0,0.0,0.0,0.0,4.851,1366.26,1145.59
88,4.731,1727.0,25.4,3072.0,99.55,0.0,0.0,0.0,4.731,1268.88,1162.83
89,4.773,1703.0,23.78,3069.0,99.78,0.0,0.0,0.0,4.773,1272.03,1152.75
90,4.789,1735.0,26.34,3069.0,99.86,0.0,713.0,0.31,4.789,1290.67,1155.93
91,4.724,1707.0,26.28,3073.0,99.58,0.0,0.0,0.0,4.724,1265.41,1146.21
92,4.77,1730.0,27.65,3069.0,99.78,0.003,711.0,0.53,4.773,1261.47,1161.8
93,4.789,1689.0,22.57,3067.0,100.0,0.0,0.0,0.0,4.789,1275.52,1150.77
94,4.758,1725.0,25.03,3070.0,99.72,0.0,0.0,0.0,4.758,1287.91,1150.38
95,4.773,1700.0,20.13,3068.0,99.85,0.0,0.0,0.0,4.773,1285.31,1155.75
96,4.771,1686.0,21.87,3068.0,99.86,0.0,0.0,0.0,4.771,1279.7,1151.98
97,4.791,1720.0,24.51,3068.0,99.85,0.0,0.0,0.0,4.791,1289.12,1147.55
98,4.806,1700.0,23.53,3067.0,100.0,0.0,0.0,0.0,4.806,1288.09,1156.11
99,4.765,1697.0,22.47,3069.0,99.69,0.0,0.0,0.0,4.765,1265.58,1155.67
100,4.811,1681.0,22.38,3066.0,100.0,0.0,0.0,0.0,4.811,1290.74,1154.74
101,4.809,1695.0,22.33,3066.0,100.0,0.0,0.0,0.0,4.809,1283.09,1153.57
102,4.815,1694.0,24.11,3066.0,100.0,0.0,0.0,0.0,4.815,1292.83,1144.74
103,4.826,1698.0,22.83,3066.0,100.0,0.0,0.0,0.0,4.826,1293.66,1157.24
104,4.817,1685.0,21.93,3066.0,100.0,0.0,0.0,0.0,4.817,1290.84,1156.81
105,4.817,1696.0,23.05,3066.0,100.0,0.0,0.0,0.0,4.817,1294.31,1151.8
106,4.827,1681.0,22.46,3066.0,100.0,0.0,0.0,0.0,4.827,1284.05,1157.65
107,4.812,1698.0,22.9,3066.0,100.0,0.0,0.0,0.0,4.812,1281.36,1151.23
108,4.814,1703.0,21.95,3066.0,100.0,0.0,0.0,0.0,4.814,1292.09,1149.74
109,4.81,1694.0,22.55,3067.0,100.0,0.0,0.0,0.0,4.81,1282.44,1153.45
110,4.814,1678.0,19.51,3066.0,100.0,0.0,0.0,0.0,4.814,1285.99,1151.9
111,4.856,1709.0,35.93,3067.0,99.87,0.0,0.0,0.0,4.856,1274.82,1156.03
112,4.771,1694.0,25.46,3070.0,99.64,0.0,0.0,0.0,4.771,1287.84,1153.42
113,4.82,1682.0,22.86,3066.0,100.0,0.0,0.0,0.0,4.82,1295.06,1157.28
114,4.804,1679.0,24.2,3067.0,100.0,0.0,0.0,0.0,4.804,1294.01,1155.81
115,4.747,1670.0,19.04,3069.0,99.88,0.0,0.0,0.0,4.747,1266.35,1146.67
116,4.83,1697.0,22.64,3066.0,100.0,0.0,0.0,0.0,4.83,1286.39,1157.39
117,5.056,1705.0,26.24,3065.0,99.86,0.0,0.0,0.0,5.056,1281.17,1154.16
118,4.792,1684.0,22.76,3068.0,99.85,0.0,0.0,0.0,4.792,1267.07,1153.01
119,4.807,1703.0,24.11,3067.0,99.84,0.0,0.0,0.0,4.807,1286.99,1147.21
120,4.815,1686.0,22.19,3066.0,100.0,0.0,0.0,0.0,4.815,1288.76,1158.13
121,4.831,1697.0,24.0,3066.0,99.93,0.001,711.0,0.53,4.832,1285.92,1157.82
122,4.848,1722.0,25.1,3066.0,100.0,0.0,0.0,0.0,4.848,1293.33,1150.31
123,4.828,1709.0,23.3,3066.0,100.0,0.0,708.0,0.22,4.828,1266.3,1153.63
124,4.85,1705.0,24.44,3066.0,99.99,0.0,0.0,0.0,4.85,1287.05,1156.55
125,4.803,1698.0,21.68,3067.0,99.8,0.0,0.0,0.0,4.803,1276.03,1157.07
126,4.828,1679.0,23.44,3067.0,99.84,0.0,0.0,0.0,4.828,1275.21,1151.81
127,4.804,1687.0,25.15,3067.0,99.87,0.0,709.0,0.22,4.804,1274.01,1145.81
128,4.849,1687.0,29.37,3067.0,99.87,0.0,0.0,0.0,4.849,1280.48,1155.4
129,4.819,1673.0,20.83,3067.0,99.86,0.0,0.0,0.0,4.819,1276.68,1158.09
130,4.825,1683.0,21.4,3066.0,100.0,0.0,0.0,0.0,4.825,1288.5,1155.93
131,4.846,1702.0,21.95,3066.0,100.0,0.0,0.0,0.0,4.846,1286.37,1155.48
132,4.824,1700.0,22.56,3066.0,100.0,0.0,0.0,0.0,4.824,1286.11,1156.05
133,4.808,1690.0,23.13,3068.0,99.74,0.0,0.0,0.0,4.808,1264.68,1154.14
134,4.82,1676.0,20.76,3066.0,100.0,0.0,0.0,0.0,4.82,1280.53,1154.19
135,4.799,1676.0,19.49,3067.0,99.87,0.0,0.0,0.0,4.799,1277.16,1145.59
136,4.84,1678.0,21.26,3066.0,100.0,0.0,0.0,0.0,4.84,1278.79,1153.95
137,4.838,1685.0,20.09,3066.0,100.0,0.0,0.0,0.0,4.838,1290.13,1156.24
138,4.815,1703.0,24.06,3067.0,99.89,0.0,0.0,0.0,4.815,1289.07,1157.24
139,4.83,1712.0,25.33,3067.0,100.0,0.0,715.0,0.51,4.83,1298.07,1154.39
140,4.86,1717.0,36.11,3067.0,99.88,0.0,0.0,0.0,4.86,1276.96,1156.47
141,4.82,1703.0,23.02,3067.0,99.83,0.0,0.0,0.0,4.82,1274.34,1151.28
142,4.839,1704.0,23.19,3066.0,100.0,0.0,0.0,0.0,4.839,1292.24,1153.35
143,4.846,1683.0,21.51,3066.0,100.0,0.0,0.0,0.0,4.846,1282.47,1154.11
144,4.834,1661.0,21.86,3066.0,100.0,0.0,0.0,0.0,4.834,1279.23,1153.84
145,4.82,1708.0,23.86,3067.0,99.86,0.0,0.0,0.0,4.82,1283.04,1144.47
146,4.841,1688.0,23.41,3066.0,100.0,0.0,0.0,0.0,4.841,1292.78,1155.92
147,4.811,1717.0,23.85,3067.0,99.84,0.0,0.0,0.0,4.811,1286.09,1158.88
148,4.84,1693.0,21.4,3066.0,100.0,0.0,0.0,0.0,4.84,1278.84,1155.52
149,4.804,1697.0,24.81,3068.0,99.76,0.0,0.0,0.0,4.804,1269.14,1151.25
150,4.789,1717.0,24.85,3068.0,99.68,0.0,0.0,0.0,4.789,1285.24,1148.22
151,4.866,1737.0,23.5,3063.0,100.0,0.0,0.0,0.0,4.866,1328.56,1163.07
152,4.84,1696.0,24.07,3066.0,100.0,0.0,714.0,0.41,4.84,1284.54,1150.88
153,4.832,1705.0,25.69,3067.0,99.83,0.0,0.0,0.0,4.832,1279.44,1154.11
154,4.816,1671.0,19.59,3066.0,100.0,0.0,0.0,0.0,4.816,1261.73,1153.82
155,4.84,1683.0,20.36,3066.0,100.0,0.0,0.0,0.0,4.84,1282.68,1155.11
156,4.815,1714.0,23.96,3067.0,99.87,0.0,0.0,0.0,4.815,1288.61,1147.65
157,4.842,1702.0,21.83,3066.0,100.0,0.0,0.0,0.0,4.842,1290.05,1155.5
158,4.837,1686.0,22.31,3067.0,100.0,0.0,0.0,0.0,4.837,1285.05,1155.95
159,4.825,1690.0,23.4,3068.0,99.88,0.0,0.0,0.0,4.825,1271.93,1158.19
160,4.802,1664.0,23.46,3067.0,99.8,0.0,0.0,0.0,4.802,1269.93,1143.42
161,4.845,1724.0,22.81,3066.0,100.0,0.0,0.0,0.0,4.845,1298.12,1160.93
162,4.818,1715.0,23.4,3067.0,100.0,0.0,0.0,0.0,4.818,1300.85,1152.49
163,4.839,1728.0,22.47,3067.0,99.89,0.0,0.0,0.0,4.839,1281.48,1158.88
164,4.851,1671.0,21.6,3066.0,100.0,0.0,0.0,0.0,4.851,1282.12,1152.48
165,4.842,1676.0,24.3,3067.0,100.0,0.0,0.0,0.0,4.842,1269.09,1152.84
166,4.878,1743.0,25.95,3061.0,99.81,0.0,0.0,0.0,4.878,1385.95,1153.53
167,4.887,1746.0,26.25,3061.0,100.0,0.0,0.0,0.0,4.887,1391.42,1148.32
168,4.873,1763.0,26.76,3061.0,99.92,0.0,0.0,0.0,4.873,1393.52,1146.53
169,4.888,1759.0,26.61,3060.0,100.0,0.0,0.0,0.0,4.888,1422.33,1151.68
170,4.903,1746.0,37.97,3063.0,99.87,0.0,0.0,0.0,4.903,1348.06,1144.32
171,4.828,1696.0,24.22,3067.0,99.87,0.0,0.0,0.0,4.828,1291.07,1154.85
172,4.842,1694.0,23.1,3067.0,100.0,0.0,0.0,0.0,4.842,1289.55,1156.94
173,4.854,1678.0,20.28,3066.0,100.0,0.0,0.0,0.0,4.854,1289.39,1153.23
174,4.807,1688.0,19.75,3067.0,99.81,0.0,0.0,0.0,4.807,1280.65,1157.55
175,4.858,1684.0,22.58,3066.0,100.0,0.0,0.0,0.0,4.858,1290.99,1152.26
176,4.857,1674.0,22.49,3066.0,100.0,0.0,0.0,0.0,4.857,1289.37,1154.96
177,4.814,1691.0,22.22,3067.0,99.86,0.0,0.0,0.0,4.814,1272.09,1153.32
178,4.861,1696.0,22.6,3066.0,100.0,0.0,0.0,0.0,4.861,1282.54,1155.07
179,4.81,1694.0,23.73,3068.0,99.82,0.0,0.0,0.0,4.81,1284.82,1153.02
180,4.861,1683.0,22.29,3066.0,100.0,0.0,0.0,0.0,4.861,1298.12,1154.23
181,4.806,1704.0,25.97,3068.0,99.72,0.0,0.0,0.0,4.806,1280.27,1154.52
182,4.884,1686.0,23.65,3066.0,100.0,0.0,0.0,0.0,4.884,1280.46,1154.94
183,4.834,1704.0,25.28,3068.0,100.0,0.0,712.0,0.31,4.834,1275.39,1145.92
184,4.843,1712.0,27.26,3067.0,99.92,0.0,0.0,0.0,4.843,1286.26,1154.39
185,4.836,1737.0,26.68,3066.0,99.89,0.0,709.0,0.22,4.836,1306.91,1157.13
186,4.92,1735.0,24.78,3058.0,100.0,0.0,0.0,0.0,4.92,1396.38,1145.73
187,4.936,1772.0,24.67,3058.0,100.0,0.0,0.0,0.0,4.936,1417.61,1150.94
188,4.885,1693.0,21.97,3063.0,100.0,0.0,0.0,0.0,4.885,1340.94,1159.17
189,4.846,1703.0,22.48,3067.0,100.0,0.0,0.0,0.0,4.846,1282.5,1153.82
190,4.838,1687.0,22.08,3067.0,99.89,0.0,0.0,0.0,4.838,1268.17,1153.5
191,4.835,1695.0,25.18,3067.0,99.87,0.0,0.0,0.0,4.835,1288.84,1147.09
192,4.837,1690.0,23.82,3067.0,99.86,0.0,0.0,0.0,4.837,1283.3,1156.91
193,4.83,1667.0,17.93,3066.0,100.0,0.0,0.0,0.0,4.83,1292.13,1159.36
194,4.829,1688.0,21.64,3067.0,99.87,0.0,0.0,0.0,4.829,1264.97,1149.95
195,4.842,1709.0,24.5,3067.0,99.79,0.0,701.0,0.13,4.842,1286.51,1155.91
196,4.838,1716.0,30.72,3068.0,99.68,0.0,720.0,0.18,4.838,1281.71,1151.33
197,4.849,1708.0,24.0,3067.0,99.89,0.0,0.0,0.0,4.849,1292.43,1155.45
198,4.822,1706.0,25.37,3068.0,99.9,0.0,0.0,0.0,4.822,1273.61,1154.58
199,4.888,1691.0,28.05,3066.0,100.0,0.001,711.0,0.53,4.889,1293.87,1155.44
200,4.843,1692.0,31.83,3068.0,99.88,0.0,0.0,0.0,4.843,1274.57,1145.31
201,4.856,1701.0,22.23,3066.0,100.0,0.0,0.0,0.0,4.856,1287.23,1156.02
202,4.843,1676.0,24.55,3067.0,99.86,0.0,0.0,0.0,4.843,1286.38,1157.49
203,4.832,1673.0,23.73,3067.0,99.86,0.0,0.0,0.0,4.832,1280.17,1159.93
204,4.839,1677.0,24.04,3067.0,99.88,0.0,0.0,0.0,4.839,1281.32,1151.87
205,4.864,1677.0,23.46,3067.0,99.99,0.0,0.0,0.0,4.864,1293.43,1155.02
206,4.827,1689.0,22.76,3067.0,99.91,0.0,0.0,0.0,4.827,1278.84,1147.43
207,4.869,1686.0,21.82,3066.0,100.0,0.0,0.0,0.0,4.869,1288.95,1156.3
208,4.856,1698.0,22.37,3066.0,100.0,0.0,0.0,0.0,4.856,1286.32,1155.38
209,4.853,1710.0,22.96,3066.0,100.0,0.0,0.0,0.0,4.853,1296.55,1154.59
210,4.781,1721.0,25.53,3070.0,99.75,0.0,0.0,0.0,4.781,1259.24,1142.6
211,4.84,1694.0,21.87,3067.0,99.85,0.0,0.0,0.0,4.84,1278.32,1156.5
212,4.844,1687.0,23.9,3067.0,100.0,0.0,0.0,0.0,4.844,1286.95,1156.99
213,4.839,1682.0,17.76,3066.0,100.0,0.0,0.0,0.0,4.839,1293.67,1156.7
214,4.823,1715.0,23.33,3067.0,99.89,0.0,714.0,0.41,4.823,1287.95,1152.95
215,4.835,1701.0,22.86,3067.0,99.88,0.0,0.0,0.0,4.835,1267.83,1152.22
216,4.856,1699.0,21.56,3065.0,100.0,0.0,0.0,0.0,4.856,1270.15,1146.12
217,4.859,1680.0,24.64,3067.0,99.85,0.0,0.0,0.0,4.859,1283.59,1155.26
218,4.851,1676.0,23.21,3067.0,100.0,0.0,0.0,0.0,4.851,1283.99,1155.15
219,4.835,1671.0,23.62,3068.0,100.0,0.0,0.0,0.0,4.835,1274.11,1154.47
220,4.867,1681.0,21.96,3066.0,100.0,0.0,0.0,0.0,4.867,1278.81,1154.95
221,4.87,1698.0,21.27,3066.0,100.0,0.0,0.0,0.0,4.87,1283.41,1153.38
222,4.849,1675.0,23.88,3067.0,100.0,0.0,0.0,0.0,4.849,1283.99,1154.16
223,4.863,1693.0,23.15,3066.0,100.0,0.0,0.0,0.0,4.863,1294.28,1153.06
224,4.875,1660.0,22.45,3066.0,100.0,0.0,0.0,0.0,4.875,1286.19,1152.27
225,4.865,1677.0,21.52,3066.0,100.0,0.0,0.0,0.0,4.865,1286.81,1153.08
226,4.848,1705.0,23.54,3067.0,100.0,0.0,0.0,0.0,4.848,1286.28,1151.91
227,4.863,1682.0,22.81,3066.0,100.0,0.0,0.0,0.0,4.863,1292.02,1154.51
228,4.869,1720.0,21.83,3066.0,100.0,0.0,0.0,0.0,4.869,1289.29,1154.47
229,4.859,1705.0,38.11,3068.0,99.93,0.0,0.0,0.0,4.859,1271.46,1156.45
230,4.863,1715.0,24.15,3066.0,100.0,0.0,712.0,0.32,4.863,1298.88,1149.3
231,4.867,1680.0,21.53,3066.0,100.0,0.0,0.0,0.0,4.867,1290.72,1156.4
