Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s
0,1.846,1268.0,25.27,1774.0,46.59,0.0,710.0,0.32,1.846,512.99,480.82
1,4.378,1597.0,25.58,3079.0,96.31,0.0,0.0,0.0,4.378,1170.17,1089.53
2,4.67,1723.0,28.09,3068.0,99.52,0.0,0.0,0.0,4.67,1327.11,1158.0
3,4.708,1694.0,28.59,3065.0,99.87,0.0,0.0,0.0,4.708,1339.42,1153.25
4,4.704,1716.0,26.53,3065.0,99.72,0.0,0.0,0.0,4.704,1350.12,1157.09
5,4.636,1753.0,30.35,3069.0,99.42,0.0,0.0,0.0,4.636,1341.34,1147.81
6,4.804,1779.0,27.96,3058.0,100.0,0.0,0.0,0.0,4.804,1481.83,1153.96
7,4.69,1773.0,32.78,3069.0,99.85,0.0,0.0,0.0,4.69,1417.14,1157.38
8,4.678,1747.0,28.91,3069.0,99.72,0.0,0.0,0.0,4.678,1369.11,1152.97
9,4.695,1772.0,31.9,3066.0,99.77,0.002,714.0,0.41,4.697,1422.77,1148.56
10,4.78,1753.0,28.36,3060.0,99.99,0.0,0.0,0.0,4.78,1452.82,1155.25
11,4.777,1771.0,35.58,3063.0,99.9,0.0,0.0,0.0,4.777,1448.43,1158.94
12,4.775,1781.0,38.56,3064.0,99.86,0.0,0.0,0.0,4.775,1441.11,1155.07
13,4.733,1794.0,29.75,3064.0,99.9,0.0,0.0,0.0,4.733,1429.53,1142.85
14,4.797,1774.0,28.25,3059.0,99.97,0.0,0.0,0.0,4.797,1462.76,1159.96
15,4.759,1821.0,30.35,3063.0,99.88,0.0,0.0,0.0,4.759,1441.54,1155.18
16,4.737,1776.0,31.59,3066.0,99.84,0.001,708.0,0.22,4.738,1432.34,1148.76
17,4.777,1757.0,26.82,3063.0,99.94,0.0,0.0,0.0,4.777,1425.22,1156.56
18,4.777,1782.0,24.97,3060.0,99.91,0.0,0.0,0.0,4.777,1445.37,1142.57
19,4.676,1799.0,32.02,3071.0,99.79,0.0,0.0,0.0,4.676,1421.0,1159.99
20,4.77,1808.0,28.75,3062.0,99.87,0.0,0.0,0.0,4.77,1459.65,1144.48
21,4.808,1784.0,27.17,3059.0,99.96,0.0,0.0,0.0,4.808,1475.05,1157.03
22,4.784,1767.0,29.63,3062.0,99.95,0.0,0.0,0.0,4.784,1458.49,1155.11
23,4.699,1797.0,32.18,3069.0,99.89,0.0,0.0,0.0,4.699,1433.93,1153.17
24,4.811,1760.0,27.14,3061.0,99.93,0.0,0.0,0.0,4.811,1452.01,1148.63
25,4.715,1790.0,32.34,3068.0,99.73,0.0,0.0,0.0,4.715,1432.33,1151.64
26,4.742,1785.0,30.94,3066.0,99.77,0.0,0.0,0.0,4.742,1431.77,1150.68
27,4.739,1792.0,33.37,3067.0,99.78,0.0,0.0,0.0,4.739,1445.57,1154.05
28,4.811,1761.0,27.75,3061.0,99.9,0.0,0.0,0.0,4.811,1435.36,1148.22
29,4.798,1786.0,32.6,3064.0,99.96,0.0,0.0,0.0,4.798,1483.56,1156.68
30,4.773,1764.0,28.45,3063.0,99.92,0.0,0.0,0.0,4.773,1425.73,1160.06
31,4.726,1787.0,32.28,3068.0,99.84,0.0,0.0,0.0,4.726,1401.91,1145.65
32,4.76,1791.0,31.9,3066.0,99.85,0.0,0.0,0.0,4.76,1422.58,1155.42
33,4.701,1738.0,31.19,3071.0,99.64,0.0,0.0,0.0,4.701,1371.9,1157.45
34,4.698,1750.0,36.42,3075.0,99.17,0.0,0.0,0.0,4.698,1308.51,1156.13
35,4.76,1711.0,24.6,3067.0,100.0,0.0,0.0,0.0,4.76,1330.07,1156.18
36,4.703,1747.0,30.93,3072.0,99.46,0.0,0.0,0.0,4.703,1339.02,1159.57
37,4.753,1731.0,25.03,3067.0,99.69,0.0,0.0,0.0,4.753,1344.33,1146.12
38,4.68,1701.0,24.4,3072.0,99.41,0.0,0.0,0.0,4.68,1315.42,1162.29
39,4.733,1700.0,25.99,3069.0,99.71,0.0,0.0,0.0,4.733,1331.13,1158.59
40,4.746,1707.0,28.92,3069.0,99.57,0.001,715.0,0.51,4.747,1330.18,1154.53
41,4.793,1742.0,39.34,3068.0,99.75,0.0,0.0,0.0,4.793,1341.31,1163.05
42,4.726,1723.0,28.77,3071.0,99.67,0.0,0.0,0.0,4.726,1324.5,1158.01
43,4.747,1715.0,24.99,3068.0,99.68,0.0,0.0,0.0,4.747,1330.42,1150.41
44,4.799,1695.0,23.31,3066.0,99.95,0.0,0.0,0.0,4.799,1349.96,1162.93
45,4.718,1711.0,27.87,3070.0,99.55,0.0,0.0,0.0,4.718,1315.63,1150.29
46,4.703,1728.0,32.17,3073.0,99.55,0.0,713.0,0.31,4.703,1322.04,1162.35
47,4.668,1750.0,33.94,3076.0,99.13,0.0,0.0,0.0,4.668,1309.86,1158.51
48,4.766,1726.0,28.03,3068.0,99.62,0.0,711.0,0.53,4.766,1342.01,1157.1
49,4.716,1726.0,30.12,3071.0,99.38,0.0,0.0,0.0,4.716,1332.6,1153.09
