Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s
61,4.688,1714.0,16.25,3067.0,99.94,0.0,715.0,0.41,4.688,1247.84,1132.91
62,4.719,1683.0,13.61,3064.0,100.0,0.0,0.0,0.0,4.719,1264.23,1132.44
63,4.714,1654.0,13.94,3065.0,100.0,0.0,0.0,0.0,4.714,1250.65,1132.72
64,4.741,1658.0,12.47,3061.0,100.0,0.0,0.0,0.0,4.741,1258.51,1150.51
65,4.67,1689.0,18.75,3069.0,99.86,0.0,0.0,0.0,4.67,1255.21,1126.82
66,4.731,1632.0,13.28,3063.0,99.93,0.0,0.0,0.0,4.731,1273.88,1141.91
67,4.695,1676.0,14.93,3067.0,99.93,0.0,0.0,0.0,4.695,1247.64,1129.52
68,4.75,1673.0,13.06,3061.0,100.0,0.0,0.0,0.0,4.75,1269.89,1149.95
69,4.699,1679.0,14.84,3065.0,99.98,0.0,0.0,0.0,4.699,1253.49,1128.68
70,4.727,1627.0,13.69,3064.0,99.98,0.0,0.0,0.0,4.727,1266.89,1127.06
71,4.696,1710.0,15.27,3067.0,99.82,0.0,0.0,0.0,4.696,1256.35,1136.98
72,4.746,1619.0,13.04,3063.0,100.0,0.0,0.0,0.0,4.746,1270.45,1127.31
73,4.721,1648.0,14.56,3065.0,99.99,0.0,0.0,0.0,4.721,1261.02,1138.28
74,4.697,1682.0,14.71,3065.0,99.85,0.0,0.0,0.0,4.697,1247.43,1124.2
75,4.74,1643.0,13.4,3063.0,99.97,0.0,0.0,0.0,4.74,1272.93,1131.37
76,4.737,1666.0,13.21,3061.0,100.0,0.0,0.0,0.0,4.737,1261.22,1151.44
77,4.736,1660.0,13.14,3062.0,99.94,0.0,0.0,0.0,4.736,1267.43,1132.61
78,4.723,1687.0,13.99,3065.0,100.0,0.0,0.0,0.0,4.723,1254.35,1146.46
79,4.701,1677.0,16.22,3067.0,99.97,0.0,0.0,0.0,4.701,1267.07,1130.05
80,4.697,1689.0,15.89,3066.0,99.93,0.0,0.0,0.0,4.697,1264.71,1133.63
81,4.728,1666.0,12.62,3062.0,99.93,0.0,0.0,0.0,4.728,1246.17,1133.92
82,4.735,1707.0,24.49,3066.0,99.91,0.0,0.0,0.0,4.735,1259.9,1119.26
83,4.714,1667.0,17.66,3067.0,99.96,0.0,0.0,0.0,4.714,1262.68,1132.45
84,4.72,1719.0,16.01,3066.0,99.93,0.0,0.0,0.0,4.72,1263.45,1132.16
85,4.681,1728.0,18.57,3068.0,99.77,0.0,714.0,0.41,4.681,1264.74,1121.73
86,4.644,1686.0,19.6,3072.0,99.87,0.0,0.0,0.0,4.644,1261.75,1106.05
87,4.698,1677.0,15.72,3067.0,99.87,0.0,0.0,0.0,4.698,1262.96,1117.46
88,4.644,1691.0,18.07,3070.0,99.34,0.0,0.0,0.0,4.644,1261.62,1108.55
89,4.743,1671.0,13.8,3061.0,100.0,0.0,0.0,0.0,4.743,1263.24,1148.42
90,4.671,1656.0,16.48,3070.0,99.93,0.0,0.0,0.0,4.671,1253.24,1097.6
91,4.739,1667.0,14.39,3064.0,99.97,0.0,0.0,0.0,4.739,1262.88,1147.09
92,4.676,1664.0,14.93,3066.0,99.81,0.0,0.0,0.0,4.676,1240.17,1123.62
93,4.738,1650.0,14.74,3063.0,99.94,0.0,0.0,0.0,4.738,1273.69,1137.93
94,4.699,1680.0,16.66,3066.0,99.84,0.0,0.0,0.0,4.699,1265.24,1115.84
95,4.748,1617.0,13.32,3061.0,100.0,0.0,0.0,0.0,4.748,1254.97,1142.84
96,4.711,1735.0,15.05,3063.0,99.98,0.0,0.0,0.0,4.711,1268.47,1131.31
97,4.719,1707.0,15.57,3066.0,99.75,0.0,0.0,0.0,4.719,1267.7,1131.97
98,4.712,1691.0,18.51,3067.0,100.0,0.0,0.0,0.0,4.712,1259.73,1144.28
99,4.749,1676.0,13.88,3061.0,100.0,0.0,0.0,0.0,4.749,1258.13,1156.65
100,4.711,1665.0,16.18,3066.0,99.81,0.0,0.0,0.0,4.711,1258.98,1115.92
101,4.707,1721.0,16.36,3064.0,99.76,0.0,0.0,0.0,4.707,1258.94,1133.61
102,4.719,1680.0,14.68,3065.0,99.99,0.0,0.0,0.0,4.719,1267.82,1129.28
103,4.698,1654.0,15.56,3065.0,99.86,0.0,0.0,0.0,4.698,1254.25,1124.15
104,4.731,1691.0,13.75,3063.0,99.98,0.0,0.0,0.0,4.731,1251.54,1126.14
105,4.706,1675.0,15.56,3066.0,99.97,0.0,0.0,0.0,4.706,1262.31,1128.72
106,4.73,1673.0,14.98,3064.0,99.87,0.0,0.0,0.0,4.73,1267.67,1136.95
107,4.662,1720.0,18.32,3068.0,99.88,0.0,0.0,0.0,4.662,1262.38,1117.68
108,4.701,1675.0,16.51,3068.0,99.83,0.0,0.0,0.0,4.701,1255.54,1112.87
109,4.744,1667.0,14.6,3064.0,99.93,0.0,0.0,0.0,4.744,1260.38,1135.84
110,4.714,1690.0,15.35,3067.0,99.88,0.0,0.0,0.0,4.714,1270.53,1120.96
111,4.749,1666.0,14.15,3061.0,100.0,0.0,0.0,0.0,4.749,1261.64,1144.65
112,4.764,1692.0,26.34,3062.0,99.98,0.0,0.0,0.0,4.764,1253.99,1140.96
113,4.696,1650.0,15.51,3066.0,99.6,0.0,0.0,0.0,4.696,1264.1,1114.91
114,4.732,1675.0,15.54,3064.0,99.89,0.0,0.0,0.0,4.732,1274.72,1127.14
115,4.766,1667.0,16.56,3064.0,99.99,0.0,713.0,0.31,4.766,1264.95,1127.64
116,4.731,1700.0,14.0,3062.0,99.81,0.0,0.0,0.0,4.731,1250.53,1144.86
117,5.008,1708.0,19.17,3062.0,99.84,0.0,709.0,0.22,5.008,1261.09,1113.69
118,4.802,1626.0,12.05,3058.0,100.0,0.0,0.0,0.0,4.802,1283.98,1150.82
119,4.743,1680.0,15.11,3064.0,99.99,0.0,0.0,0.0,4.743,1264.36,1134.04
120,4.75,1636.0,14.44,3062.0,99.89,0.0,715.0,0.51,4.75,1257.79,1136.55
121,4.686,1684.0,16.95,3066.0,99.8,0.0,0.0,0.0,4.686,1268.97,1110.99
