Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s
0,1.965,1312.0,29.19,1745.0,48.37,0.0,703.0,0.23,1.965,572.11,485.83
1,4.583,1656.0,23.56,3069.0,99.42,0.0,0.0,0.0,4.583,1316.33,1078.09
2,4.781,1748.0,26.93,3060.0,99.99,0.0,0.0,0.0,4.781,1434.38,1162.94
3,4.747,1814.0,29.53,3062.0,99.89,0.0,0.0,0.0,4.747,1434.98,1147.25
4,4.699,1795.0,32.93,3066.0,99.66,0.0,0.0,0.0,4.699,1433.35,1165.22
5,4.711,1795.0,35.08,3066.0,99.73,0.0,0.0,0.0,4.711,1448.77,1148.25
6,4.728,1788.0,34.93,3067.0,99.7,0.0,0.0,0.0,4.728,1452.29,1158.15
7,4.892,1798.0,31.88,3064.0,99.76,0.0,0.0,0.0,4.892,1403.42,1142.3
8,4.709,1803.0,31.18,3066.0,99.8,0.0,0.0,0.0,4.709,1437.98,1150.89
9,4.724,1785.0,32.37,3066.0,99.86,0.001,712.0,0.31,4.725,1409.3,1145.8
10,4.739,1786.0,35.89,3067.0,99.85,0.0,0.0,0.0,4.739,1448.04,1157.83
11,4.753,1760.0,31.04,3063.0,99.92,0.0,0.0,0.0,4.753,1448.23,1149.56
12,4.78,1782.0,29.69,3062.0,99.96,0.0,710.0,0.22,4.78,1457.88,1150.05
13,4.881,1805.0,39.81,3061.0,100.0,0.0,713.0,0.53,4.881,1454.52,1153.52
14,4.851,1754.0,32.18,3058.0,99.98,0.0,709.0,0.22,4.851,1448.7,1156.58
15,4.76,1782.0,28.51,3064.0,99.85,0.0,0.0,0.0,4.76,1440.64,1147.08
16,4.718,1778.0,30.84,3067.0,99.59,0.0,0.0,0.0,4.718,1421.36,1151.93
17,4.829,1713.0,24.88,3059.0,99.96,0.0,0.0,0.0,4.829,1436.81,1156.39
18,4.951,1806.0,39.81,3059.0,99.93,0.0,711.0,0.53,4.951,1431.36,1147.51
19,4.84,1788.0,34.58,3062.0,99.95,0.0,0.0,0.0,4.84,1450.52,1157.27
20,4.766,1791.0,34.52,3066.0,99.84,0.0,0.0,0.0,4.766,1414.15,1148.28
21,4.835,1765.0,27.14,3059.0,99.98,0.0,0.0,0.0,4.835,1436.44,1157.48
22,4.804,1735.0,28.63,3062.0,99.98,0.0,0.0,0.0,4.804,1416.36,1146.97
23,4.846,1789.0,35.28,3060.0,99.96,0.0,0.0,0.0,4.846,1455.73,1155.19
24,4.825,1752.0,23.57,3058.0,99.94,0.0,0.0,0.0,4.825,1442.68,1155.21
25,4.72,1780.0,34.54,3069.0,99.81,0.0,0.0,0.0,4.72,1414.16,1154.74
26,4.765,1766.0,29.9,3064.0,99.81,0.0,0.0,0.0,4.765,1430.98,1151.96
27,4.717,1765.0,31.54,3069.0,99.68,0.0,0.0,0.0,4.717,1407.64,1149.3
28,4.835,1780.0,26.56,3059.0,99.91,0.0,708.0,0.22,4.835,1430.92,1146.23
29,4.777,1761.0,31.09,3066.0,99.84,0.0,0.0,0.0,4.777,1425.27,1163.21
30,4.812,1773.0,26.62,3060.0,99.98,0.0,0.0,0.0,4.812,1431.02,1139.48
31,4.833,1800.0,27.38,3060.0,99.96,0.0,0.0,0.0,4.833,1456.37,1162.07
32,4.813,1748.0,28.83,3062.0,99.91,0.0,0.0,0.0,4.813,1431.97,1145.7
33,4.805,1781.0,28.57,3063.0,99.85,0.0,0.0,0.0,4.805,1442.67,1162.45
34,4.807,1750.0,26.3,3062.0,99.84,0.0,0.0,0.0,4.807,1416.32,1145.0
35,4.811,1778.0,26.79,3062.0,99.96,0.0,0.0,0.0,4.811,1429.78,1153.63
36,4.851,1769.0,25.67,3059.0,99.96,0.0,0.0,0.0,4.851,1443.66,1144.8
37,4.769,1769.0,24.22,3064.0,99.8,0.0,0.0,0.0,4.769,1445.21,1154.14
38,4.794,1804.0,29.04,3063.0,99.9,0.0,0.0,0.0,4.794,1457.42,1154.24
39,4.8,1771.0,27.17,3063.0,99.81,0.0,0.0,0.0,4.8,1432.48,1142.45
40,4.83,1736.0,26.26,3061.0,100.0,0.0,0.0,0.0,4.83,1453.44,1159.64
41,4.796,1752.0,27.58,3064.0,99.86,0.0,0.0,0.0,4.796,1420.0,1145.88
42,4.849,1767.0,29.5,3061.0,100.0,0.0,0.0,0.0,4.849,1466.14,1155.06
43,4.856,1782.0,26.86,3059.0,99.97,0.0,0.0,0.0,4.856,1452.3,1151.57
44,4.895,1774.0,36.12,3058.0,100.0,0.0,710.0,0.53,4.895,1452.66,1143.53
45,4.785,1780.0,31.97,3066.0,99.82,0.0,0.0,0.0,4.785,1447.53,1160.85
46,4.851,1765.0,27.29,3060.0,99.94,0.0,0.0,0.0,4.851,1441.59,1150.99
47,4.845,1754.0,25.74,3060.0,99.93,0.0,0.0,0.0,4.845,1423.88,1153.37
48,4.872,1776.0,25.56,3058.0,100.0,0.0,0.0,0.0,4.872,1449.43,1154.04
49,4.802,1796.0,31.27,3064.0,99.87,0.0,0.0,0.0,4.802,1455.17,1147.7
50,4.814,1787.0,30.53,3065.0,99.86,0.0,0.0,0.0,4.814,1424.34,1157.39
51,4.825,1763.0,27.49,3063.0,99.91,0.0,0.0,0.0,4.825,1423.82,1148.97
52,4.805,1790.0,29.81,3065.0,99.85,0.0,0.0,0.0,4.805,1424.57,1151.18
53,4.857,1777.0,28.14,3061.0,99.93,0.0,0.0,0.0,4.857,1463.2,1158.66
54,4.829,1790.0,30.87,3063.0,99.88,0.0,0.0,0.0,4.829,1462.43,1153.01
55,4.776,1790.0,32.16,3066.0,99.62,0.0,0.0,0.0,4.776,1422.82,1152.61
56,4.777,1777.0,28.88,3066.0,99.88,0.0,0.0,0.0,4.777,1418.45,1149.36
57,4.838,1773.0,23.4,3060.0,99.96,0.0,0.0,0.0,4.838,1442.65,1144.2
58,4.831,1750.0,25.87,3062.0,99.88,0.0,0.0,0.0,4.831,1433.03,1158.8
59,4.816,1770.0,31.48,3065.0,99.79,0.0,712.0,0.31,4.816,1420.37,1151.8
60,4.87,1775.0,28.23,3060.0,100.0,0.0,0.0,0.0,4.87,1452.56,1155.3
61,4.803,1783.0,30.26,3064.0,99.85,0.0,0.0,0.0,4.803,1420.36,1146.27
62,4.857,1765.0,29.85,3062.0,99.93,0.0,0.0,0.0,4.857,1448.91,1150.95
63,4.862,1745.0,25.5,3059.0,99.97,0.0,0.0,0.0,4.862,1446.14,1152.38
64,4.852,1759.0,26.43,3060.0,99.95,0.0,0.0,0.0,4.852,1443.67,1148.64
65,4.882,1789.0,28.08,3060.0,99.97,0.0,0.0,0.0,4.882,1463.88,1155.82
66,4.812,1760.0,28.38,3065.0,99.81,0.0,0.0,0.0,4.812,1441.97,1141.2
67,4.863,1782.0,27.0,3060.0,99.83,0.0,0.0,0.0,4.863,1433.33,1160.73
68,4.708,1771.0,35.79,3074.0,99.58,0.0,0.0,0.0,4.708,1387.1,1144.83
69,4.852,1772.0,34.94,3064.0,99.93,0.0,0.0,0.0,4.852,1424.28,1154.81
70,4.813,1792.0,31.62,3065.0,99.76,0.0,0.0,0.0,4.813,1424.02,1149.75
71,4.863,1784.0,26.36,3062.0,99.95,0.0,0.0,0.0,4.863,1434.11,1151.41
72,4.788,1802.0,32.7,3067.0,99.76,0.0,0.0,0.0,4.788,1421.75,1143.62
73,4.922,1763.0,40.99,3061.0,99.97,0.0,715.0,0.51,4.922,1460.14,1157.6
74,4.87,1782.0,26.42,3061.0,99.92,0.0,0.0,0.0,4.87,1425.41,1153.26
75,4.891,1774.0,28.02,3059.0,100.0,0.001,713.0,0.63,4.892,1447.59,1152.47
76,4.877,1769.0,28.27,3061.0,99.98,0.0,0.0,0.0,4.877,1454.41,1150.82
77,4.766,1801.0,30.71,3069.0,99.76,0.003,711.0,0.53,4.769,1396.27,1142.53
78,4.789,1798.0,32.5,3068.0,99.7,0.0,0.0,0.0,4.789,1440.42,1162.18
79,4.813,1792.0,36.59,3067.0,99.8,0.0,0.0,0.0,4.813,1443.45,1145.07
80,4.872,1763.0,28.95,3061.0,99.95,0.0,0.0,0.0,4.872,1443.05,1157.48
81,4.8,1792.0,30.11,3067.0,99.8,0.0,0.0,0.0,4.8,1422.59,1145.82
82,4.951,1785.0,52.08,3062.0,99.89,0.0,0.0,0.0,4.951,1435.69,1156.16
83,5.118,1796.0,59.41,3061.0,99.9,0.0,0.0,0.0,5.118,1443.1,1161.91
84,4.91,1763.0,24.85,3057.0,100.0,0.0,0.0,0.0,4.91,1446.85,1151.09
85,4.886,1778.0,29.32,3061.0,99.96,0.0,0.0,0.0,4.886,1464.49,1146.85
86,4.892,1758.0,28.1,3060.0,100.0,0.0,0.0,0.0,4.892,1458.02,1158.91
87,4.904,1754.0,25.28,3059.0,99.99,0.0,0.0,0.0,4.904,1434.08,1151.73
88,4.859,1799.0,29.92,3063.0,99.9,0.0,0.0,0.0,4.859,1454.47,1148.68
89,4.849,1745.0,26.12,3063.0,99.89,0.0,0.0,0.0,4.849,1403.4,1148.59
90,4.879,1786.0,31.1,3063.0,99.95,0.0,0.0,0.0,4.879,1448.98,1161.83
91,4.8,1797.0,29.42,3066.0,99.67,0.001,711.0,0.53,4.801,1425.72,1147.23
92,4.865,1758.0,25.71,3060.0,99.87,0.0,0.0,0.0,4.865,1421.74,1150.38
93,4.817,1787.0,30.92,3065.0,99.84,0.0,0.0,0.0,4.817,1431.9,1144.31
94,4.84,1764.0,29.08,3064.0,99.92,0.0,0.0,0.0,4.84,1418.23,1156.27
95,4.863,1773.0,29.02,3063.0,99.89,0.0,0.0,0.0,4.863,1450.79,1149.1
96,4.913,1737.0,25.27,3058.0,100.0,0.0,0.0,0.0,4.913,1449.24,1144.82
97,4.838,1788.0,25.34,3063.0,99.95,0.0,0.0,0.0,4.838,1467.93,1162.47
98,4.874,1779.0,25.85,3061.0,99.95,0.0,0.0,0.0,4.874,1450.7,1146.33
99,4.872,1758.0,26.8,3061.0,99.92,0.0,0.0,0.0,4.872,1435.29,1152.94
100,4.869,1740.0,28.34,3063.0,99.77,0.0,0.0,0.0,4.869,1444.02,1155.08
101,4.873,1777.0,28.91,3063.0,99.95,0.0,0.0,0.0,4.873,1437.83,1148.36
102,4.879,1757.0,27.83,3061.0,99.95,0.0,0.0,0.0,4.879,1449.36,1143.91
