Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s
0,2.453,1196.0,20.46,2095.0,60.71,0.001,710.0,0.32,2.454,632.31,608.87
1,4.44,1493.0,10.58,3073.0,99.73,0.0,0.0,0.0,4.44,1138.75,1103.04
2,4.612,1527.0,8.45,3057.0,100.0,0.0,0.0,0.0,4.612,1221.08,1145.62
3,4.616,1525.0,8.45,3057.0,100.0,0.0,0.0,0.0,4.616,1220.1,1152.05
4,4.609,1562.0,10.21,3060.0,100.0,0.0,0.0,0.0,4.609,1221.08,1150.55
5,4.615,1569.0,9.36,3061.0,100.0,0.0,0.0,0.0,4.615,1218.39,1156.33
6,4.629,1532.0,9.08,3059.0,100.0,0.0,0.0,0.0,4.629,1233.09,1149.56
7,4.61,1714.0,8.82,3059.0,100.0,0.0,0.0,0.0,4.61,1210.43,1145.32
8,4.638,1674.0,9.37,3060.0,100.0,0.0,0.0,0.0,4.638,1227.25,1140.84
9,4.627,1645.0,10.1,3062.0,100.0,0.003,714.0,0.41,4.63,1221.9,1151.71
10,4.622,1702.0,12.39,3069.0,100.0,0.0,0.0,0.0,4.622,1224.61,1147.33
11,4.644,1639.0,9.8,3060.0,100.0,0.0,0.0,0.0,4.644,1217.29,1141.27
12,4.629,1646.0,9.3,3060.0,100.0,0.0,709.0,0.22,4.629,1217.94,1142.94
13,4.698,1723.0,20.73,3060.0,100.0,0.0,0.0,0.0,4.698,1217.98,1143.44
14,4.645,1696.0,8.74,3060.0,100.0,0.0,0.0,0.0,4.645,1217.74,1144.29
15,4.647,1638.0,8.82,3060.0,100.0,0.0,0.0,0.0,4.647,1217.87,1146.16
16,4.643,1610.0,8.84,3060.0,100.0,0.0,0.0,0.0,4.643,1218.33,1141.92
17,4.64,1670.0,10.72,3063.0,100.0,0.0,0.0,0.0,4.64,1219.18,1144.89
18,4.645,1675.0,8.63,3060.0,100.0,0.0,0.0,0.0,4.645,1218.87,1142.02
19,4.642,1656.0,8.7,3060.0,100.0,0.0,0.0,0.0,4.642,1222.55,1143.34
20,4.638,1658.0,11.87,3066.0,100.0,0.0,0.0,0.0,4.638,1221.56,1144.73
21,4.659,1658.0,9.56,3060.0,100.0,0.0,714.0,0.41,4.659,1222.03,1143.64
22,4.646,1660.0,9.01,3062.0,100.0,0.0,0.0,0.0,4.646,1217.65,1141.84
23,4.656,1659.0,10.82,3063.0,100.0,0.0,0.0,0.0,4.656,1221.47,1150.97
24,4.665,1652.0,8.74,3060.0,100.0,0.0,0.0,0.0,4.665,1218.24,1139.53
25,4.663,1690.0,8.82,3060.0,100.0,0.0,0.0,0.0,4.663,1218.46,1143.63
26,4.719,1667.0,15.08,3059.0,100.0,0.0,0.0,0.0,4.719,1217.6,1148.82
27,4.681,1697.0,10.41,3060.0,100.0,0.0,712.0,0.31,4.681,1222.04,1143.6
28,4.661,1686.0,10.12,3063.0,100.0,0.0,0.0,0.0,4.661,1224.74,1137.97
29,4.668,1683.0,11.52,3065.0,100.0,0.0,0.0,0.0,4.668,1224.0,1146.39
30,4.671,1578.0,8.56,3060.0,100.0,0.0,0.0,0.0,4.671,1203.9,1149.22
31,4.663,1599.0,8.67,3060.0,100.0,0.0,0.0,0.0,4.663,1214.46,1146.2
32,4.665,1661.0,9.84,3065.0,100.0,0.0,0.0,0.0,4.665,1211.72,1142.54
33,4.678,1664.0,9.05,3061.0,100.0,0.0,0.0,0.0,4.678,1224.55,1145.18
34,4.663,1649.0,12.67,3068.0,100.0,0.0,0.0,0.0,4.663,1224.81,1147.34
35,4.685,1678.0,9.45,3062.0,100.0,0.0,0.0,0.0,4.685,1223.33,1141.67
36,4.682,1667.0,8.65,3060.0,100.0,0.0,0.0,0.0,4.682,1218.89,1141.37
37,4.698,1637.0,9.26,3060.0,100.0,0.0,0.0,0.0,4.698,1220.13,1153.68
38,4.668,1681.0,12.1,3070.0,100.0,0.0,0.0,0.0,4.668,1218.45,1149.97
39,4.677,1662.0,11.07,3062.0,100.0,0.0,0.0,0.0,4.677,1223.1,1135.44
40,4.701,1677.0,8.64,3060.0,100.0,0.0,0.0,0.0,4.701,1217.98,1150.69
41,4.666,1694.0,11.34,3065.0,100.0,0.0,0.0,0.0,4.666,1214.37,1147.14
42,4.751,1663.0,20.7,3059.0,100.0,0.0,0.0,0.0,4.751,1228.27,1138.72
43,4.7,1659.0,11.08,3060.0,100.0,0.0,712.0,0.63,4.7,1219.48,1141.2
44,4.689,1704.0,10.57,3066.0,100.0,0.0,0.0,0.0,4.689,1220.25,1148.51
45,4.691,1696.0,8.99,3060.0,100.0,0.0,0.0,0.0,4.691,1218.17,1142.46
46,4.687,1622.0,8.92,3060.0,100.0,0.0,0.0,0.0,4.687,1218.71,1143.65
47,4.689,1665.0,9.38,3062.0,100.0,0.0,0.0,0.0,4.689,1220.95,1152.05
48,4.67,1695.0,11.65,3064.0,100.0,0.0,0.0,0.0,4.67,1209.91,1138.16
49,4.675,1691.0,12.11,3069.0,100.0,0.0,0.0,0.0,4.675,1221.8,1149.0
50,4.691,1727.0,12.0,3066.0,100.0,0.0,0.0,0.0,4.691,1231.24,1152.8
51,4.681,1696.0,19.74,3067.0,100.0,0.002,712.0,0.31,4.683,1220.84,1136.21
52,4.694,1679.0,10.45,3066.0,100.0,0.0,0.0,0.0,4.694,1221.36,1150.05
53,4.698,1659.0,9.27,3062.0,100.0,0.0,0.0,0.0,4.698,1216.85,1141.52
54,4.692,1659.0,9.86,3062.0,100.0,0.0,0.0,0.0,4.692,1222.14,1145.44
55,4.716,1648.0,8.71,3060.0,100.0,0.0,0.0,0.0,4.716,1222.44,1152.34
56,4.707,1673.0,11.72,3067.0,100.0,0.0,0.0,0.0,4.707,1213.15,1144.25
57,4.749,1700.0,14.34,3061.0,100.0,0.0,0.0,0.0,4.749,1226.83,1140.79
58,4.703,1643.0,9.97,3061.0,100.0,0.0,0.0,0.0,4.703,1218.67,1149.05
59,4.685,1721.0,11.84,3066.0,100.0,0.0,0.0,0.0,4.685,1214.95,1139.67
60,4.704,1655.0,9.91,3064.0,100.0,0.0,0.0,0.0,4.704,1228.08,1152.23
61,4.665,1676.0,11.68,3070.0,100.0,0.0,0.0,0.0,4.665,1210.0,1146.21
62,4.697,1624.0,9.41,3061.0,100.0,0.0,0.0,0.0,4.697,1206.93,1143.99
63,4.69,1605.0,8.67,3060.0,100.0,0.0,0.0,0.0,4.69,1225.64,1142.48
64,4.705,1627.0,8.88,3060.0,100.0,0.0,0.0,0.0,4.705,1213.56,1133.04
65,4.706,1686.0,10.36,3065.0,100.0,0.0,0.0,0.0,4.706,1223.04,1153.49
66,4.682,1676.0,12.47,3065.0,100.0,0.0,0.0,0.0,4.682,1219.3,1141.18
67,4.707,1626.0,10.78,3062.0,100.0,0.0,0.0,0.0,4.707,1214.51,1141.48
68,4.695,1694.0,11.46,3072.0,100.0,0.0,0.0,0.0,4.695,1223.4,1152.65
69,4.713,1608.0,8.74,3060.0,100.0,0.0,0.0,0.0,4.713,1221.13,1142.22
70,4.692,1681.0,11.86,3068.0,100.0,0.0,0.0,0.0,4.692,1215.97,1150.01
71,4.714,1649.0,11.32,3065.0,100.0,0.0,0.0,0.0,4.714,1229.52,1146.29
72,4.77,1683.0,21.26,3063.0,100.0,0.0,0.0,0.0,4.77,1226.02,1147.23
73,4.703,1625.0,9.69,3063.0,100.0,0.0,0.0,0.0,4.703,1215.49,1137.29
74,4.699,1717.0,13.24,3066.0,100.0,0.0,713.0,0.31,4.699,1218.83,1146.58
75,4.707,1681.0,12.36,3068.0,100.0,0.0,0.0,0.0,4.707,1228.39,1150.77
76,4.689,1698.0,13.26,3067.0,100.0,0.0,709.0,0.22,4.689,1216.31,1145.84
77,4.722,1664.0,8.61,3060.0,100.0,0.0,0.0,0.0,4.722,1223.28,1141.63
78,4.696,1680.0,12.15,3068.0,100.0,0.0,0.0,0.0,4.696,1229.44,1148.82
79,4.723,1639.0,8.78,3060.0,100.0,0.0,0.0,0.0,4.723,1220.89,1139.96
80,4.718,1719.0,11.75,3064.0,100.0,0.0,712.0,0.32,4.718,1221.37,1150.21
81,4.721,1662.0,10.17,3065.0,100.0,0.0,0.0,0.0,4.721,1215.7,1150.5
82,4.729,1689.0,9.99,3064.0,100.0,0.0,0.0,0.0,4.729,1223.18,1145.44
83,4.714,1671.0,8.43,3060.0,100.0,0.0,0.0,0.0,4.714,1222.72,1134.56
84,4.716,1667.0,11.09,3063.0,100.0,0.0,0.0,0.0,4.716,1222.58,1148.6
85,4.714,1678.0,10.75,3065.0,100.0,0.0,0.0,0.0,4.714,1223.25,1147.82
86,4.723,1653.0,8.66,3060.0,100.0,0.0,0.0,0.0,4.723,1214.37,1140.62
87,4.785,1668.0,16.81,3062.0,100.0,0.0,0.0,0.0,4.785,1220.95,1151.36
88,4.718,1680.0,10.97,3066.0,100.0,0.0,0.0,0.0,4.718,1229.31,1147.09
89,4.725,1645.0,10.0,3061.0,100.0,0.0,0.0,0.0,4.725,1224.06,1143.45
90,4.708,1679.0,12.85,3068.0,100.0,0.0,0.0,0.0,4.708,1226.3,1147.32
91,4.732,1664.0,9.16,3061.0,100.0,0.0,0.0,0.0,4.732,1221.19,1145.74
92,4.71,1684.0,10.47,3066.0,100.0,0.0,0.0,0.0,4.71,1209.87,1151.49
93,4.73,1685.0,11.11,3064.0,100.0,0.0,0.0,0.0,4.73,1219.16,1145.11
94,4.73,1680.0,11.32,3066.0,100.0,0.0,0.0,0.0,4.73,1226.68,1149.58
