Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s
0,1.988,1308.0,33.03,1766.0,48.76,0.003,713.0,0.73,1.991,577.11,486.31
1,4.592,1679.0,42.61,3070.0,99.5,0.002,708.0,0.22,4.594,1337.89,1077.79
2,4.8,1772.0,29.65,3058.0,100.0,0.0,0.0,0.0,4.8,1500.65,1165.38
3,4.743,1760.0,29.38,3063.0,99.93,0.0,0.0,0.0,4.743,1443.32,1149.11
4,4.759,1787.0,30.35,3062.0,99.89,0.0,0.0,0.0,4.759,1457.08,1164.59
5,4.695,1837.0,35.09,3067.0,99.87,0.0,0.0,0.0,4.695,1471.04,1154.14
6,4.74,1800.0,32.86,3063.0,99.88,0.0,0.0,0.0,4.74,1453.02,1153.74
7,4.678,1766.0,36.68,3068.0,99.86,0.0,0.0,0.0,4.678,1426.51,1151.05
8,4.768,1792.0,32.04,3060.0,99.95,0.0,0.0,0.0,4.768,1467.89,1156.47
9,4.761,1779.0,32.55,3062.0,99.97,0.002,714.0,0.83,4.763,1452.81,1149.16
10,4.722,1750.0,29.34,3064.0,99.81,0.0,0.0,0.0,4.722,1414.53,1146.61
11,4.743,1770.0,32.5,3065.0,99.82,0.0,0.0,0.0,4.743,1445.49,1163.57
12,4.76,1774.0,31.53,3062.0,99.92,0.002,714.0,0.41,4.762,1427.81,1149.63
13,4.665,1782.0,37.1,3069.0,99.77,0.002,712.0,0.63,4.667,1417.33,1155.16
14,4.689,1774.0,32.79,3066.0,99.68,0.001,709.0,0.22,4.69,1445.8,1148.21
15,4.821,1805.0,32.68,3058.0,100.0,0.0,0.0,0.0,4.821,1489.56,1159.86
16,4.649,1773.0,36.45,3072.0,99.7,0.0,0.0,0.0,4.649,1404.8,1143.23
17,4.663,1774.0,34.98,3072.0,99.57,0.0,0.0,0.0,4.663,1407.38,1149.78
18,4.684,1802.0,36.02,3071.0,99.77,0.0,0.0,0.0,4.684,1434.25,1160.2
19,4.782,1750.0,30.14,3062.0,99.82,0.0,0.0,0.0,4.782,1468.29,1145.51
20,4.666,1788.0,37.38,3071.0,99.64,0.0,0.0,0.0,4.666,1413.72,1153.96
21,4.736,1772.0,31.05,3064.0,99.85,0.0,0.0,0.0,4.736,1425.61,1151.92
22,4.738,1785.0,29.11,3065.0,99.82,0.0,0.0,0.0,4.738,1435.65,1151.79
23,4.737,1795.0,33.9,3066.0,99.81,0.0,0.0,0.0,4.737,1448.74,1151.45
24,4.946,1797.0,35.0,3063.0,99.87,0.0,0.0,0.0,4.946,1429.51,1153.41
25,4.757,1807.0,32.1,3065.0,99.85,0.0,0.0,0.0,4.757,1473.41,1148.81
26,4.778,1784.0,33.99,3063.0,99.93,0.0,0.0,0.0,4.778,1461.53,1157.34
27,4.788,1757.0,31.46,3063.0,99.91,0.0,0.0,0.0,4.788,1452.0,1156.09
28,4.695,1788.0,34.07,3070.0,99.76,0.0,0.0,0.0,4.695,1406.68,1147.41
29,4.808,1761.0,30.43,3062.0,99.87,0.002,712.0,0.63,4.809,1445.89,1158.64
30,4.732,1782.0,30.46,3066.0,99.9,0.0,0.0,0.0,4.732,1402.81,1149.4
31,4.824,1829.0,41.34,3064.0,99.85,0.0,0.0,0.0,4.824,1463.55,1151.75
32,4.83,1780.0,28.99,3061.0,99.91,0.0,0.0,0.0,4.83,1445.85,1145.83
33,4.755,1780.0,27.75,3065.0,99.83,0.0,0.0,0.0,4.755,1444.31,1158.75
34,4.759,1763.0,32.85,3066.0,99.8,0.0,708.0,0.22,4.759,1440.41,1154.59
35,4.747,1767.0,33.29,3066.0,99.68,0.0,0.0,0.0,4.747,1410.44,1150.57
36,4.687,1785.0,36.55,3071.0,99.69,0.0,0.0,0.0,4.687,1411.93,1149.11
37,4.773,1796.0,32.96,3065.0,99.83,0.0,0.0,0.0,4.773,1465.2,1147.64
38,4.784,1779.0,31.71,3065.0,99.86,0.0,0.0,0.0,4.784,1444.59,1147.44
39,4.751,1784.0,32.11,3067.0,99.87,0.0,0.0,0.0,4.751,1443.14,1155.25
40,4.739,1782.0,37.12,3069.0,99.75,0.0,0.0,0.0,4.739,1432.06,1154.88
41,4.8,1779.0,30.39,3062.0,99.96,0.0,0.0,0.0,4.8,1454.05,1150.92
42,4.774,1771.0,30.63,3065.0,99.76,0.0,0.0,0.0,4.774,1424.67,1149.99
43,4.756,1791.0,31.91,3067.0,99.73,0.0,0.0,0.0,4.756,1429.73,1156.71
44,4.864,1783.0,27.63,3059.0,99.93,0.0,0.0,0.0,4.864,1465.84,1156.35
45,4.828,1769.0,30.51,3062.0,99.88,0.0,715.0,0.51,4.828,1442.17,1154.53
46,4.807,1776.0,32.57,3064.0,99.77,0.001,709.0,0.43,4.808,1428.17,1153.7
47,4.728,1783.0,35.69,3069.0,99.71,0.0,0.0,0.0,4.728,1418.46,1143.84
48,4.763,1787.0,35.06,3067.0,99.73,0.0,0.0,0.0,4.763,1429.39,1154.32
49,4.852,1731.0,28.12,3060.0,99.91,0.0,0.0,0.0,4.852,1447.84,1158.36
50,4.695,1784.0,36.49,3072.0,99.56,0.0,0.0,0.0,4.695,1398.71,1151.81
51,4.811,1758.0,29.97,3063.0,99.87,0.0,0.0,0.0,4.811,1436.27,1152.59
52,4.76,1793.0,31.15,3066.0,99.88,0.0,0.0,0.0,4.76,1455.53,1153.29
53,4.797,1794.0,31.34,3063.0,99.78,0.0,0.0,0.0,4.797,1460.22,1151.15
54,4.822,1792.0,38.68,3064.0,99.84,0.0,0.0,0.0,4.822,1478.72,1153.95
55,4.821,1783.0,29.9,3063.0,99.84,0.0,0.0,0.0,4.821,1437.96,1149.7
56,4.812,1786.0,32.65,3063.0,99.93,0.0,0.0,0.0,4.812,1441.58,1152.39
57,4.755,1804.0,37.56,3068.0,99.79,0.0,0.0,0.0,4.755,1434.0,1141.52
58,4.838,1799.0,38.82,3064.0,99.74,0.0,0.0,0.0,4.838,1439.51,1156.29
59,4.799,1809.0,32.4,3065.0,99.88,0.0,714.0,0.41,4.799,1417.63,1151.55
60,4.911,1787.0,41.16,3060.0,99.95,0.001,709.0,0.65,4.912,1463.71,1154.21
61,4.853,1762.0,26.02,3059.0,99.93,0.0,0.0,0.0,4.853,1438.58,1149.21
62,4.812,1750.0,28.43,3062.0,99.87,0.0,712.0,0.63,4.812,1419.64,1150.33
63,4.837,1775.0,29.62,3062.0,99.93,0.0,708.0,0.22,4.837,1437.53,1142.32
64,4.756,1821.0,34.02,3069.0,99.69,0.0,0.0,0.0,4.756,1437.14,1149.84
