Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s
0,2.386,1301.0,24.11,2125.0,59.22,0.0,0.0,0.0,2.386,638.5,619.85
1,4.498,1585.0,26.24,3074.0,99.56,0.001,714.0,0.41,4.499,1178.11,1080.97
2,4.628,1700.0,12.3,3064.0,100.0,0.0,0.0,0.0,4.628,1241.42,1145.78
3,4.611,1659.0,13.42,3064.0,100.0,0.0,0.0,0.0,4.611,1238.33,1147.96
4,4.617,1651.0,12.71,3064.0,99.95,0.0,0.0,0.0,4.617,1244.8,1125.51
5,4.572,1687.0,15.63,3069.0,99.91,0.0,0.0,0.0,4.572,1233.86,1133.57
6,4.595,1664.0,13.7,3065.0,99.93,0.0,0.0,0.0,4.595,1235.01,1126.06
7,4.584,1716.0,18.9,3069.0,99.94,0.002,713.0,0.31,4.586,1240.35,1138.94
8,4.641,1682.0,12.57,3062.0,100.0,0.0,0.0,0.0,4.641,1228.22,1160.41
9,4.644,1658.0,16.32,3063.0,100.0,0.001,713.0,0.31,4.645,1249.95,1147.98
10,4.616,1657.0,13.1,3064.0,99.99,0.0,0.0,0.0,4.616,1224.21,1138.14
11,4.639,1648.0,12.71,3063.0,100.0,0.0,0.0,0.0,4.639,1240.96,1146.86
12,4.62,1689.0,14.44,3066.0,99.97,0.0,0.0,0.0,4.62,1245.33,1144.6
13,4.626,1665.0,13.78,3065.0,100.0,0.0,0.0,0.0,4.626,1235.2,1131.44
14,4.613,1712.0,15.58,3066.0,100.0,0.0,0.0,0.0,4.613,1234.71,1146.26
15,4.653,1672.0,11.81,3062.0,100.0,0.0,0.0,0.0,4.653,1240.14,1149.86
16,4.634,1706.0,13.67,3065.0,100.0,0.0,0.0,0.0,4.634,1243.65,1138.37
17,4.629,1672.0,14.03,3065.0,99.94,0.0,0.0,0.0,4.629,1234.06,1129.41
18,4.656,1649.0,12.11,3062.0,100.0,0.0,0.0,0.0,4.656,1245.65,1150.26
19,4.652,1603.0,12.41,3061.0,100.0,0.0,0.0,0.0,4.652,1237.63,1142.87
20,4.667,1631.0,11.68,3061.0,100.0,0.0,0.0,0.0,4.667,1233.35,1152.39
21,4.657,1674.0,12.69,3063.0,100.0,0.0,0.0,0.0,4.657,1242.89,1151.47
22,4.634,1706.0,15.4,3067.0,99.99,0.0,714.0,0.41,4.634,1238.3,1118.69
23,4.681,1706.0,12.04,3061.0,100.0,0.0,0.0,0.0,4.681,1238.47,1155.47
24,4.648,1693.0,14.58,3065.0,100.0,0.001,709.0,0.22,4.649,1237.94,1140.64
25,4.645,1656.0,12.92,3064.0,99.9,0.0,0.0,0.0,4.645,1231.39,1132.22
26,4.655,1691.0,14.03,3065.0,99.97,0.0,0.0,0.0,4.655,1247.57,1138.65
27,4.655,1680.0,12.75,3063.0,100.0,0.0,0.0,0.0,4.655,1234.95,1135.05
28,4.609,1691.0,16.57,3069.0,99.88,0.0,0.0,0.0,4.609,1233.19,1132.63
29,4.627,1693.0,15.03,3069.0,99.77,0.0,0.0,0.0,4.627,1231.42,1118.07
30,4.717,1707.0,23.61,3061.0,100.0,0.0,0.0,0.0,4.717,1222.64,1149.65
31,4.684,1684.0,11.91,3062.0,100.0,0.0,0.0,0.0,4.684,1241.26,1154.3
32,4.671,1671.0,14.02,3064.0,100.0,0.0,0.0,0.0,4.671,1242.87,1147.65
33,4.658,1667.0,14.03,3066.0,99.94,0.0,0.0,0.0,4.658,1228.26,1132.76
34,4.663,1672.0,13.4,3064.0,99.96,0.0,0.0,0.0,4.663,1245.12,1136.64
35,4.568,1704.0,19.28,3074.0,99.77,0.0,0.0,0.0,4.568,1227.75,1105.43
36,4.631,1651.0,14.18,3067.0,99.42,0.0,0.0,0.0,4.631,1229.51,1141.29
37,4.663,1673.0,14.01,3066.0,99.99,0.0,0.0,0.0,4.663,1247.15,1128.99
38,4.676,1661.0,13.9,3063.0,99.89,0.0,713.0,0.31,4.676,1235.97,1144.26
39,4.647,1692.0,15.19,3066.0,99.74,0.0,712.0,0.32,4.647,1231.92,1133.01
40,4.696,1637.0,13.67,3063.0,100.0,0.0,0.0,0.0,4.696,1241.06,1148.41
41,4.672,1701.0,14.32,3066.0,100.0,0.0,0.0,0.0,4.672,1239.66,1149.66
42,4.704,1672.0,11.59,3061.0,100.0,0.0,0.0,0.0,4.704,1236.04,1144.01
43,4.706,1617.0,9.83,3059.0,100.0,0.0,0.0,0.0,4.706,1238.73,1154.22
44,4.674,1719.0,15.38,3067.0,100.0,0.0,0.0,0.0,4.674,1236.63,1148.33
45,4.674,1696.0,13.12,3064.0,99.93,0.0,0.0,0.0,4.674,1237.26,1133.95
46,4.714,1660.0,12.07,3062.0,100.0,0.0,0.0,0.0,4.714,1242.5,1151.31
47,4.682,1677.0,12.47,3063.0,99.87,0.0,0.0,0.0,4.682,1228.1,1145.89
48,4.678,1647.0,13.3,3065.0,99.94,0.0,0.0,0.0,4.678,1244.99,1135.88
49,4.698,1685.0,13.35,3065.0,100.0,0.0,0.0,0.0,4.698,1237.03,1147.82
50,4.727,1665.0,10.98,3061.0,100.0,0.0,0.0,0.0,4.727,1237.7,1149.87
51,4.661,1681.0,15.21,3068.0,99.92,0.0,0.0,0.0,4.661,1229.72,1139.18
52,4.755,1642.0,16.02,3059.0,100.0,0.0,713.0,0.41,4.755,1246.99,1139.71
53,4.709,1662.0,12.78,3061.0,100.0,0.0,0.0,0.0,4.709,1239.62,1151.37
54,4.672,1706.0,14.77,3066.0,99.89,0.0,709.0,0.22,4.672,1232.71,1133.18
55,4.69,1651.0,12.78,3065.0,99.93,0.0,0.0,0.0,4.69,1239.78,1132.02
56,4.692,1677.0,13.88,3066.0,100.0,0.0,0.0,0.0,4.692,1229.32,1144.11
57,4.699,1697.0,13.48,3066.0,99.99,0.0,0.0,0.0,4.699,1247.06,1134.81
58,4.73,1663.0,11.02,3063.0,100.0,0.0,0.0,0.0,4.73,1242.65,1145.88
59,4.686,1664.0,13.37,3066.0,99.94,0.0,0.0,0.0,4.686,1234.12,1132.59
60,4.746,1691.0,24.63,3063.0,100.0,0.0,0.0,0.0,4.746,1231.16,1147.56
61,4.661,1713.0,14.6,3068.0,99.88,0.0,0.0,0.0,4.661,1228.08,1134.92
62,4.665,1728.0,14.99,3067.0,99.96,0.0,0.0,0.0,4.665,1238.59,1130.02
63,4.676,1664.0,14.64,3064.0,99.7,0.0,0.0,0.0,4.676,1237.08,1138.3
64,4.709,1674.0,12.21,3064.0,99.89,0.0,0.0,0.0,4.709,1238.62,1147.17
65,4.721,1682.0,11.75,3062.0,100.0,0.0,0.0,0.0,4.721,1235.49,1153.64
66,4.718,1635.0,14.35,3064.0,100.0,0.0,0.0,0.0,4.718,1238.44,1145.52
67,4.669,1687.0,17.04,3069.0,99.89,0.0,0.0,0.0,4.669,1236.41,1137.68
68,4.735,1656.0,11.66,3061.0,100.0,0.0,0.0,0.0,4.735,1245.57,1150.75
69,4.719,1684.0,14.15,3062.0,100.0,0.0,712.0,0.31,4.719,1232.62,1151.07
70,4.689,1654.0,14.09,3068.0,99.94,0.0,0.0,0.0,4.689,1237.98,1125.23
71,4.657,1691.0,15.48,3070.0,99.88,0.0,0.0,0.0,4.657,1236.1,1118.24
72,4.689,1660.0,13.36,3066.0,99.94,0.0,0.0,0.0,4.689,1223.82,1121.52
73,4.679,1696.0,15.15,3068.0,99.94,0.0,0.0,0.0,4.679,1244.26,1137.26
74,4.698,1644.0,13.38,3065.0,99.99,0.0,0.0,0.0,4.698,1231.62,1128.54
75,4.699,1642.0,13.14,3064.0,99.94,0.0,0.0,0.0,4.699,1235.03,1145.78
76,4.7,1668.0,13.42,3065.0,99.99,0.0,0.0,0.0,4.7,1240.45,1126.25
77,4.713,1665.0,13.8,3064.0,100.0,0.0,0.0,0.0,4.713,1228.01,1156.04
78,4.725,1717.0,12.24,3062.0,100.0,0.0,0.0,0.0,4.725,1246.91,1145.78
79,4.673,1643.0,15.38,3069.0,99.81,0.0,0.0,0.0,4.673,1232.88,1124.43
80,4.701,1665.0,13.62,3066.0,100.0,0.0,0.0,0.0,4.701,1237.3,1133.84
81,4.707,1650.0,12.6,3063.0,99.99,0.0,0.0,0.0,4.707,1229.16,1138.85
82,4.661,1667.0,16.16,3067.0,99.36,0.0,0.0,0.0,4.661,1240.18,1136.3
83,4.717,1701.0,14.62,3064.0,100.0,0.0,0.0,0.0,4.717,1241.54,1152.33
84,4.745,1644.0,12.48,3061.0,100.0,0.0,0.0,0.0,4.745,1232.7,1148.37
85,4.744,1649.0,11.68,3061.0,100.0,0.0,0.0,0.0,4.744,1246.21,1149.17
86,4.722,1651.0,12.25,3063.0,100.0,0.0,0.0,0.0,4.722,1238.19,1137.41
87,4.692,1673.0,14.72,3065.0,99.96,0.0,0.0,0.0,4.692,1233.2,1141.89
88,4.701,1660.0,13.44,3066.0,99.88,0.0,0.0,0.0,4.701,1225.29,1121.8
89,4.769,1702.0,19.42,3062.0,100.0,0.0,0.0,0.0,4.769,1241.28,1154.27
90,4.737,1680.0,16.28,3062.0,100.0,0.0,0.0,0.0,4.737,1241.49,1148.39
91,4.657,1702.0,16.39,3070.0,99.87,0.0,0.0,0.0,4.657,1222.69,1111.29
92,4.727,1623.0,12.56,3065.0,99.96,0.0,0.0,0.0,4.727,1227.65,1140.97
93,4.731,1651.0,13.15,3062.0,100.0,0.0,712.0,0.32,4.731,1240.02,1147.65
94,4.733,1647.0,11.4,3061.0,100.0,0.0,0.0,0.0,4.733,1225.41,1141.23
95,4.747,1677.0,11.58,3063.0,100.0,0.0,0.0,0.0,4.747,1243.49,1147.16
96,4.725,1678.0,13.76,3063.0,100.0,0.0,0.0,0.0,4.725,1241.82,1142.17
97,4.668,1724.0,16.52,3069.0,99.98,0.0,0.0,0.0,4.668,1230.65,1129.86
98,4.715,1678.0,13.22,3064.0,99.85,0.0,715.0,0.51,4.715,1225.04,1126.3
99,4.735,1655.0,13.24,3063.0,100.0,0.0,0.0,0.0,4.735,1239.75,1153.13
100,4.714,1687.0,16.52,3064.0,99.91,0.0,712.0,0.32,4.714,1249.29,1139.01
101,4.708,1682.0,13.61,3064.0,99.44,0.0,0.0,0.0,4.708,1230.69,1147.67
102,4.748,1626.0,12.33,3061.0,100.0,0.0,0.0,0.0,4.748,1239.51,1148.5
103,4.736,1647.0,12.3,3062.0,100.0,0.0,0.0,0.0,4.736,1228.18,1143.57
104,4.739,1693.0,12.51,3063.0,99.95,0.0,0.0,0.0,4.739,1246.83,1133.16
105,4.67,1699.0,17.15,3068.0,99.91,0.0,0.0,0.0,4.67,1235.48,1129.31
106,4.674,1663.0,16.29,3069.0,99.91,0.0,0.0,0.0,4.674,1232.15,1117.14
107,4.748,1707.0,11.12,3060.0,100.0,0.0,0.0,0.0,4.748,1232.39,1150.11
108,4.711,1668.0,12.85,3066.0,99.97,0.0,0.0,0.0,4.711,1240.51,1126.39
109,4.73,1663.0,12.97,3064.0,100.0,0.0,0.0,0.0,4.73,1232.62,1138.05
110,4.739,1608.0,12.3,3060.0,100.0,0.0,0.0,0.0,4.739,1242.2,1141.95
111,4.699,1713.0,15.49,3066.0,99.97,0.0,0.0,0.0,4.699,1228.82,1138.07
