Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
0,0.038,1046.0,13.54,631.0,1.19,0.0,704.0,0.22,0.038
1,0.058,1094.0,47.89,608.0,1.07,0.0,0.0,0.0,0.058
2,0.033,1039.0,29.7,612.0,1.08,0.0,0.0,0.0,0.033
3,0.028,1040.0,11.97,619.0,0.95,0.0,0.0,0.0,0.028
4,0.025,1040.0,10.68,615.0,1.3,0.0,0.0,0.0,0.025
5,0.025,1035.0,11.39,612.0,1.21,0.0,0.0,0.0,0.025
6,0.024,1036.0,12.43,609.0,0.69,0.0,0.0,0.0,0.024
7,0.025,1050.0,10.13,614.0,1.34,0.0,0.0,0.0,0.025
8,0.025,1040.0,11.9,610.0,1.33,0.0,0.0,0.0,0.025
9,0.031,1058.0,13.18,613.0,1.52,0.001,711.0,0.41,0.032
10,0.026,1041.0,11.52,614.0,1.06,0.0,0.0,0.0,0.026
11,0.027,1030.0,11.51,616.0,1.08,0.0,0.0,0.0,0.027
12,0.01,979.0,3.5,608.0,1.09,0.0,0.0,0.0,0.01
13,0.023,1035.0,9.42,612.0,1.07,0.0,0.0,0.0,0.023
14,0.025,1036.0,10.22,617.0,1.31,0.0,0.0,0.0,0.025
15,0.026,1038.0,11.63,611.0,1.09,0.0,0.0,0.0,0.026
16,0.026,1035.0,11.44,619.0,0.93,0.0,0.0,0.0,0.026
17,0.023,1040.0,10.89,615.0,0.6,0.0,0.0,0.0,0.023
18,2.025,1239.0,47.7,2295.0,68.81,0.0,709.0,0.21,2.025
19,3.362,1388.0,41.92,2840.0,85.54,0.0,710.0,0.42,3.362
20,0.191,1195.0,64.05,648.0,5.06,0.0,705.0,0.22,0.191
21,0.027,1035.0,12.36,618.0,1.07,0.0,0.0,0.0,0.027
22,0.027,1039.0,11.46,619.0,0.93,0.0,0.0,0.0,0.027
23,0.029,1041.0,14.17,617.0,1.26,0.0,0.0,0.0,0.029
24,0.041,1035.0,37.3,611.0,0.73,0.0,704.0,0.22,0.041
25,0.032,1048.0,15.18,614.0,1.25,0.0,0.0,0.0,0.032
26,0.029,1038.0,13.33,615.0,1.06,0.0,704.0,0.22,0.029
27,0.03,1045.0,13.16,617.0,1.27,0.0,0.0,0.0,0.03
28,0.025,1039.0,13.88,609.0,0.85,0.0,0.0,0.0,0.025
29,0.021,1006.0,9.57,611.0,1.1,0.0,0.0,0.0,0.021
30,0.018,1006.0,8.21,608.0,1.11,0.0,0.0,0.0,0.018
31,0.025,1042.0,10.74,612.0,1.1,0.0,0.0,0.0,0.025
32,0.028,1040.0,12.95,619.0,0.93,0.0,704.0,0.22,0.028
33,0.043,1061.0,23.28,617.0,1.13,0.0,0.0,0.0,0.043
34,0.176,1087.0,93.07,612.0,1.48,0.01,714.0,1.22,0.186
35,0.163,1222.0,48.91,607.0,1.01,0.0,0.0,0.0,0.163
36,0.027,1041.0,11.85,610.0,1.38,0.0,709.0,0.32,0.027
37,0.04,1060.0,12.42,635.0,3.26,0.0,0.0,0.0,0.04
38,0.027,1038.0,12.45,617.0,1.0,0.0,0.0,0.0,0.027
39,0.026,1033.0,12.35,615.0,0.73,0.0,0.0,0.0,0.026
40,0.028,1041.0,12.94,614.0,1.24,0.0,0.0,0.0,0.028
41,0.025,1042.0,11.06,612.0,1.21,0.0,0.0,0.0,0.025
42,0.025,1043.0,10.1,609.0,1.37,0.0,0.0,0.0,0.025
43,0.026,1037.0,12.03,612.0,1.12,0.0,0.0,0.0,0.026
44,0.026,1035.0,11.13,618.0,0.95,0.0,0.0,0.0,0.026
45,0.026,1037.0,11.78,619.0,0.92,0.0,0.0,0.0,0.026
46,0.019,1002.0,6.97,615.0,0.89,0.0,0.0,0.0,0.019
47,0.018,1009.0,7.54,610.0,1.49,0.0,0.0,0.0,0.018
48,0.026,1043.0,10.97,608.0,1.08,0.0,0.0,0.0,0.026
49,0.035,1042.0,13.01,753.0,1.72,0.0,714.0,0.52,0.035
50,0.029,1042.0,12.85,616.0,1.13,0.0,0.0,0.0,0.029
51,0.024,1045.0,11.0,615.0,1.0,0.0,0.0,0.0,0.024
52,0.043,1064.0,15.58,686.0,1.76,0.0,712.0,0.73,0.043
53,0.048,1044.0,25.18,609.0,1.17,0.0,0.0,0.0,0.048
54,0.039,1085.0,20.79,607.0,0.7,0.001,712.0,0.41,0.04
55,0.026,1043.0,10.88,613.0,1.06,0.0,0.0,0.0,0.026
56,0.025,1035.0,10.97,619.0,0.94,0.0,0.0,0.0,0.025
57,0.024,1037.0,12.1,615.0,0.62,0.0,0.0,0.0,0.024
58,0.026,1041.0,11.35,615.0,1.01,0.0,0.0,0.0,0.026
59,0.027,1038.0,12.55,617.0,1.31,0.0,0.0,0.0,0.027
60,0.026,1040.0,11.08,612.0,1.13,0.0,0.0,0.0,0.026
61,0.026,1038.0,11.59,619.0,0.92,0.0,0.0,0.0,0.026
62,0.027,1039.0,12.49,619.0,0.93,0.0,0.0,0.0,0.027
63,0.021,1003.0,9.11,615.0,0.8,0.0,0.0,0.0,0.021
64,0.017,1006.0,5.88,609.0,1.17,0.0,0.0,0.0,0.017
65,0.026,1036.0,10.83,614.0,0.97,0.0,0.0,0.0,0.026
66,0.025,1039.0,10.39,618.0,1.08,0.0,0.0,0.0,0.025
67,0.027,1041.0,12.9,615.0,0.97,0.0,0.0,0.0,0.027
68,0.027,1051.0,11.4,616.0,1.12,0.0,0.0,0.0,0.027
69,0.026,1036.0,11.62,610.0,1.12,0.0,0.0,0.0,0.026
70,0.026,1038.0,12.11,618.0,0.95,0.0,0.0,0.0,0.026
71,0.026,1038.0,11.16,619.0,0.93,0.0,0.0,0.0,0.026
72,0.026,1043.0,10.58,617.0,1.25,0.0,0.0,0.0,0.026
73,0.025,1039.0,11.63,610.0,1.16,0.0,0.0,0.0,0.025
74,0.026,1043.0,11.53,613.0,1.06,0.0,0.0,0.0,0.026
75,0.024,1042.0,12.28,614.0,0.77,0.0,0.0,0.0,0.024
76,0.025,1047.0,10.47,609.0,1.52,0.0,0.0,0.0,0.025
77,0.025,1040.0,10.9,611.0,1.1,0.0,0.0,0.0,0.025
78,0.027,1040.0,11.89,619.0,0.92,0.0,0.0,0.0,0.027
79,0.024,1025.0,10.44,615.0,0.85,0.0,0.0,0.0,0.024
80,0.012,985.0,4.43,608.0,1.02,0.0,0.0,0.0,0.012
81,0.021,1036.0,9.52,609.0,1.02,0.0,0.0,0.0,0.021
82,0.038,1043.0,32.73,609.0,1.45,0.0,0.0,0.0,0.038
83,0.025,1035.0,11.09,611.0,1.1,0.0,0.0,0.0,0.025
84,0.026,1038.0,10.47,619.0,0.94,0.0,0.0,0.0,0.026
85,0.037,1051.0,15.38,619.0,0.92,0.0,0.0,0.0,0.037
86,0.027,1039.0,11.74,619.0,0.91,0.0,0.0,0.0,0.027
87,0.032,1050.0,15.13,617.0,1.26,0.0,0.0,0.0,0.032
88,0.024,1041.0,10.97,609.0,1.13,0.0,0.0,0.0,0.024
89,0.026,1036.0,13.03,612.0,1.06,0.0,0.0,0.0,0.026
90,0.028,1040.0,12.09,613.0,1.03,0.0,0.0,0.0,0.028
91,0.025,1041.0,10.43,619.0,0.93,0.0,0.0,0.0,0.025
92,0.03,1044.0,17.16,614.0,0.69,0.0,0.0,0.0,0.03
93,0.031,1055.0,12.38,720.0,1.73,0.001,710.0,0.32,0.032
94,0.026,1040.0,11.82,611.0,1.21,0.0,0.0,0.0,0.026
95,0.05,1056.0,12.61,613.0,1.95,0.0,0.0,0.0,0.05
96,0.767,1063.0,75.62,1133.0,20.38,0.0,704.0,0.22,0.767
97,0.032,991.0,20.72,608.0,0.94,0.0,0.0,0.0,0.032
98,0.026,1041.0,12.28,609.0,1.31,0.0,703.0,0.22,0.026
99,0.026,1044.0,11.09,612.0,1.11,0.0,0.0,0.0,0.026
100,0.026,1035.0,12.17,618.0,1.24,0.0,0.0,0.0,0.026
101,0.027,1038.0,12.1,612.0,1.23,0.0,0.0,0.0,0.027
102,0.026,1043.0,11.98,612.0,1.12,0.0,0.0,0.0,0.026
103,0.027,1035.0,11.44,618.0,1.32,0.0,0.0,0.0,0.027
104,0.026,1038.0,10.75,613.0,1.07,0.0,0.0,0.0,0.026
105,0.025,1040.0,10.09,617.0,1.28,0.0,0.0,0.0,0.025
106,0.029,1037.0,10.74,614.0,1.02,0.0,705.0,0.22,0.029
107,0.028,1042.0,10.75,619.0,0.95,0.0,709.0,0.32,0.028
108,0.028,1040.0,12.98,615.0,1.35,0.0,0.0,0.0,0.028
109,0.025,1038.0,11.39,612.0,1.03,0.0,0.0,0.0,0.025
110,0.027,1039.0,11.69,616.0,1.0,0.0,0.0,0.0,0.027
111,0.027,1039.0,11.89,618.0,0.91,0.0,0.0,0.0,0.027
112,0.039,1034.0,36.74,615.0,0.61,0.0,711.0,0.41,0.039
113,0.018,1000.0,8.65,611.0,0.88,0.0,0.0,0.0,0.018
114,0.014,1007.0,6.67,607.0,0.66,0.0,0.0,0.0,0.014
115,0.024,1049.0,10.28,613.0,1.06,0.0,0.0,0.0,0.024
116,0.025,1040.0,11.06,611.0,1.11,0.0,0.0,0.0,0.025
117,0.026,1040.0,10.67,618.0,1.28,0.0,0.0,0.0,0.026
118,0.028,1040.0,12.44,613.0,1.08,0.0,0.0,0.0,0.028
119,0.028,1038.0,11.61,617.0,1.09,0.0,0.0,0.0,0.028
120,0.028,1045.0,13.09,616.0,1.29,0.0,0.0,0.0,0.028
121,0.036,1054.0,15.02,614.0,1.04,0.0,0.0,0.0,0.036
122,0.025,1038.0,11.04,617.0,1.07,0.0,0.0,0.0,0.025
123,0.026,1040.0,11.37,612.0,1.05,0.0,0.0,0.0,0.026
124,0.024,1036.0,13.12,614.0,0.49,0.0,0.0,0.0,0.024
125,0.026,1046.0,10.69,616.0,1.01,0.0,0.0,0.0,0.026
126,0.028,1045.0,13.55,617.0,1.25,0.0,0.0,0.0,0.028
127,0.025,1042.0,12.85,608.0,1.16,0.0,0.0,0.0,0.025
128,0.027,1039.0,11.56,611.0,1.1,0.0,0.0,0.0,0.027
129,0.067,1181.0,23.43,616.0,1.05,0.0,0.0,0.0,0.067
130,0.012,980.0,4.5,608.0,1.17,0.0,0.0,0.0,0.012
131,0.024,1033.0,9.68,610.0,1.09,0.0,0.0,0.0,0.024
132,0.024,1033.0,12.38,616.0,0.66,0.0,0.0,0.0,0.024
133,0.026,1042.0,11.65,614.0,0.98,0.0,0.0,0.0,0.026
134,0.026,1045.0,10.81,617.0,1.26,0.0,0.0,0.0,0.026
135,0.025,1038.0,10.81,610.0,1.05,0.0,0.0,0.0,0.025
136,0.026,1035.0,11.72,619.0,0.91,0.0,0.0,0.0,0.026
137,0.026,1037.0,11.82,619.0,0.93,0.0,0.0,0.0,0.026
138,0.027,1040.0,12.02,619.0,0.91,0.0,0.0,0.0,0.027
139,0.024,1042.0,11.22,615.0,0.9,0.0,0.0,0.0,0.024
140,0.024,1040.0,10.17,610.0,1.51,0.0,0.0,0.0,0.024
141,0.039,1041.0,33.0,612.0,1.09,0.0,0.0,0.0,0.039
142,0.027,1045.0,11.48,618.0,0.93,0.0,0.0,0.0,0.027
143,0.025,1041.0,10.68,617.0,1.32,0.0,0.0,0.0,0.025
144,0.036,1041.0,12.5,607.0,0.89,0.0,0.0,0.0,0.036
