Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
0,0.05,1095.0,27.93,626.0,0.95,0.0,0.0,0.0,0.05
1,0.027,1035.0,11.37,611.0,1.16,0.0,0.0,0.0,0.027
2,0.025,1034.0,9.77,614.0,0.96,0.0,0.0,0.0,0.025
3,0.01,980.0,4.05,608.0,1.01,0.0,0.0,0.0,0.01
4,0.026,1038.0,11.41,612.0,1.14,0.0,0.0,0.0,0.026
5,0.028,1043.0,11.47,615.0,1.37,0.0,0.0,0.0,0.028
6,0.025,1043.0,10.85,609.0,1.39,0.0,0.0,0.0,0.025
7,0.026,1041.0,12.49,610.0,1.1,0.0,0.0,0.0,0.026
8,0.029,1038.0,11.06,619.0,0.9,0.0,0.0,0.0,0.029
9,0.083,1205.0,29.46,626.0,1.04,0.0,712.0,0.41,0.083
10,0.024,1038.0,11.89,609.0,0.84,0.0,0.0,0.0,0.024
11,0.025,1047.0,10.43,609.0,1.45,0.0,0.0,0.0,0.025
12,0.024,1039.0,11.04,610.0,1.26,0.0,0.0,0.0,0.024
13,0.025,1042.0,10.5,614.0,0.96,0.0,0.0,0.0,0.025
14,0.024,1036.0,11.57,616.0,0.79,0.0,0.0,0.0,0.024
15,0.028,1043.0,11.87,613.0,1.28,0.001,712.0,0.42,0.029
16,0.024,1038.0,10.53,614.0,0.95,0.0,0.0,0.0,0.024
17,0.027,1040.0,12.63,618.0,1.19,0.0,0.0,0.0,0.027
18,0.025,1037.0,10.59,614.0,0.98,0.0,0.0,0.0,0.025
19,0.035,1053.0,14.03,615.0,0.82,0.0,0.0,0.0,0.035
20,0.029,1005.0,27.76,612.0,1.09,0.0,0.0,0.0,0.029
21,0.025,1039.0,10.22,617.0,1.32,0.0,0.0,0.0,0.025
22,0.028,1041.0,14.24,612.0,1.45,0.0,714.0,0.51,0.028
23,0.044,1100.0,24.39,610.0,0.94,0.0,0.0,0.0,0.044
24,0.035,1040.0,15.11,611.0,1.09,0.0,0.0,0.0,0.035
25,0.027,1040.0,12.45,619.0,0.9,0.0,0.0,0.0,0.027
26,0.028,1038.0,12.67,619.0,0.9,0.0,0.0,0.0,0.028
27,0.026,1038.0,11.19,617.0,1.07,0.0,0.0,0.0,0.026
28,0.032,1047.0,13.09,610.0,1.05,0.0,0.0,0.0,0.032
29,0.201,1053.0,98.16,871.0,12.81,0.0,0.0,0.0,0.201
30,0.036,1056.0,16.39,679.0,1.59,0.0,0.0,0.0,0.036
31,0.027,1038.0,11.63,618.0,0.95,0.0,0.0,0.0,0.027
32,0.026,1038.0,11.27,619.0,0.92,0.0,0.0,0.0,0.026
33,0.025,1040.0,11.18,619.0,0.9,0.0,0.0,0.0,0.025
34,0.027,1038.0,13.15,619.0,0.9,0.0,0.0,0.0,0.027
35,0.024,1038.0,11.94,615.0,0.58,0.0,0.0,0.0,0.024
36,0.015,992.0,7.12,611.0,0.81,0.0,0.0,0.0,0.015
37,0.021,1020.0,6.8,609.0,1.45,0.0,0.0,0.0,0.021
38,0.023,1037.0,11.12,610.0,0.69,0.0,0.0,0.0,0.023
39,0.024,1038.0,12.43,612.0,0.65,0.0,0.0,0.0,0.024
40,0.025,1039.0,10.91,615.0,1.03,0.0,0.0,0.0,0.025
41,0.026,1043.0,11.4,615.0,0.93,0.0,0.0,0.0,0.026
42,0.022,1035.0,12.1,608.0,0.78,0.0,0.0,0.0,0.022
43,0.025,1047.0,11.64,612.0,0.94,0.0,0.0,0.0,0.025
44,0.025,1038.0,11.09,611.0,1.09,0.0,0.0,0.0,0.025
45,0.025,1040.0,10.78,619.0,0.91,0.0,0.0,0.0,0.025
46,0.027,1042.0,12.18,617.0,1.3,0.0,0.0,0.0,0.027
47,0.026,1038.0,10.59,610.0,1.37,0.0,0.0,0.0,0.026
48,0.024,1044.0,10.27,609.0,1.44,0.0,0.0,0.0,0.024
49,0.042,1035.0,22.41,611.0,1.11,0.0,0.0,0.0,0.042
50,0.025,1037.0,10.9,619.0,0.91,0.0,0.0,0.0,0.025
51,0.026,1043.0,11.07,617.0,1.22,0.0,0.0,0.0,0.026
52,0.023,1028.0,9.49,608.0,1.1,0.0,0.0,0.0,0.023
53,0.01,984.0,3.35,608.0,1.15,0.0,0.0,0.0,0.01
54,0.024,1038.0,9.35,611.0,1.05,0.0,0.0,0.0,0.024
55,0.025,1037.0,10.49,619.0,0.9,0.0,0.0,0.0,0.025
56,0.027,1038.0,11.0,619.0,0.9,0.0,0.0,0.0,0.027
57,0.023,1035.0,11.2,615.0,0.57,0.0,0.0,0.0,0.023
58,0.024,1040.0,11.92,611.0,0.53,0.0,0.0,0.0,0.024
59,0.026,1045.0,10.28,618.0,1.1,0.0,0.0,0.0,0.026
60,0.027,1041.0,11.07,616.0,1.0,0.0,0.0,0.0,0.027
61,0.025,1037.0,11.06,611.0,1.42,0.0,0.0,0.0,0.025
62,0.026,1043.0,11.42,611.0,1.09,0.0,0.0,0.0,0.026
63,0.024,1040.0,11.89,615.0,0.57,0.0,0.0,0.0,0.024
64,0.025,1042.0,12.75,612.0,0.88,0.0,0.0,0.0,0.025
65,0.026,1043.0,11.53,610.0,1.43,0.0,0.0,0.0,0.026
66,0.026,1036.0,12.4,611.0,1.08,0.0,0.0,0.0,0.026
67,0.024,1036.0,11.61,614.0,0.48,0.0,0.0,0.0,0.024
68,0.025,1044.0,12.22,612.0,1.21,0.0,0.0,0.0,0.025
69,0.023,1030.0,8.73,611.0,0.88,0.0,0.0,0.0,0.023
70,0.011,980.0,3.79,608.0,1.32,0.0,0.0,0.0,0.011
71,0.024,1039.0,10.15,611.0,1.08,0.0,0.0,0.0,0.024
72,0.026,1041.0,10.36,619.0,0.88,0.0,0.0,0.0,0.026
73,0.023,1033.0,11.4,615.0,0.56,0.0,0.0,0.0,0.023
74,0.042,1046.0,12.0,786.0,1.72,0.0,713.0,0.51,0.042
75,0.027,1043.0,11.48,617.0,1.07,0.0,0.0,0.0,0.027
76,0.026,1037.0,11.82,618.0,0.96,0.0,0.0,0.0,0.026
77,0.025,1041.0,11.46,615.0,1.02,0.0,0.0,0.0,0.025
78,0.025,1042.0,14.01,607.0,1.01,0.0,0.0,0.0,0.025
79,0.035,1043.0,28.0,612.0,1.09,0.0,0.0,0.0,0.035
80,0.029,1042.0,14.24,615.0,0.66,0.0,0.0,0.0,0.029
81,0.028,1041.0,13.48,614.0,1.08,0.0,711.0,0.42,0.028
82,0.044,1127.0,20.6,614.0,1.36,0.0,0.0,0.0,0.044
83,0.026,1041.0,10.88,613.0,1.07,0.0,0.0,0.0,0.026
84,0.026,1040.0,10.79,618.0,0.91,0.0,0.0,0.0,0.026
85,0.027,1044.0,12.11,617.0,1.23,0.0,0.0,0.0,0.027
86,0.022,1014.0,9.58,607.0,1.04,0.0,0.0,0.0,0.022
87,0.012,993.0,4.52,612.0,1.09,0.0,0.0,0.0,0.012
88,0.029,1040.0,13.02,618.0,0.89,0.0,0.0,0.0,0.029
89,0.027,1038.0,11.01,620.0,1.05,0.0,0.0,0.0,0.027
90,0.03,1042.0,13.88,617.0,0.94,0.0,0.0,0.0,0.03
91,0.028,1038.0,12.58,619.0,0.94,0.0,0.0,0.0,0.028
92,0.027,1037.0,12.82,618.0,1.3,0.0,0.0,0.0,0.027
93,0.026,1039.0,11.02,612.0,1.4,0.0,0.0,0.0,0.026
94,0.023,1037.0,11.14,610.0,0.69,0.0,0.0,0.0,0.023
95,0.027,1041.0,12.61,615.0,0.96,0.0,0.0,0.0,0.027
96,0.023,1036.0,11.43,615.0,0.82,0.0,0.0,0.0,0.023
97,0.026,1035.0,10.73,611.0,1.09,0.0,0.0,0.0,0.026
98,0.026,1040.0,11.68,619.0,0.9,0.0,0.0,0.0,0.026
99,0.026,1039.0,11.35,619.0,0.88,0.0,0.0,0.0,0.026
100,0.024,1043.0,10.99,617.0,0.91,0.0,0.0,0.0,0.024
101,0.025,1040.0,10.5,614.0,0.99,0.0,0.0,0.0,0.025
102,0.023,1025.0,8.96,615.0,0.73,0.0,0.0,0.0,0.023
103,0.014,986.0,4.39,608.0,1.31,0.0,0.0,0.0,0.014
104,0.022,1035.0,9.6,610.0,1.38,0.0,0.0,0.0,0.022
105,0.026,1035.0,11.11,610.0,1.47,0.0,0.0,0.0,0.026
106,0.024,1042.0,11.08,610.0,1.19,0.0,0.0,0.0,0.024
107,0.026,1041.0,11.17,610.0,1.07,0.0,0.0,0.0,0.026
108,0.04,1038.0,21.23,617.0,0.94,0.0,0.0,0.0,0.04
