Time (s),Power (W),Voltage (V),Amps (A)
0,270.5,235.8,1.103
1,256.0,235.8,1.111
2,255.5,236.0,1.101
3,255.4,235.8,1.115
4,255.1,235.9,1.113
5,254.9,235.8,1.126
6,255.0,235.9,1.103
7,254.6,235.8,1.104
8,254.5,235.7,1.128
9,254.3,235.4,1.21
10,274.0,235.6,1.202
11,273.9,235.7,1.19
12,273.6,235.9,1.195
13,273.9,235.8,1.188
14,273.6,235.9,1.195
15,273.6,235.7,1.204
16,274.1,235.8,1.193
17,274.0,235.6,1.199
18,273.9,235.7,1.268
19,285.5,235.5,1.261
20,285.9,235.4,1.262
21,286.4,235.6,1.253
22,286.4,235.4,1.253
23,286.6,235.6,1.252
24,286.6,235.5,1.257
25,286.6,235.6,1.253
26,286.7,235.4,1.26
27,286.6,235.4,1.287
28,294.6,235.3,1.262
29,294.6,235.6,1.295
30,294.8,235.5,1.293
31,294.9,235.3,1.29
32,295.0,235.4,1.285
33,295.1,235.2,1.278
34,295.1,235.2,1.301
35,295.2,235.3,1.292
36,295.2,235.2,1.307
37,295.8,235.2,1.31
38,301.2,235.0,1.318
39,301.2,234.9,1.32
40,301.4,235.1,1.315
41,301.4,235.2,1.312
42,301.4,235.0,1.32
43,301.3,235.2,1.316
44,301.3,235.1,1.31
45,301.2,235.2,1.337
46,301.7,235.3,1.327
47,302.0,235.0,1.335
48,302.4,235.2,1.301
49,302.7,235.1,1.336
50,303.1,235.1,1.348
51,303.7,235.2,1.337
52,304.0,235.2,1.34
53,304.4,235.3,1.325
54,304.4,235.4,1.345
55,304.9,235.2,1.337
56,305.3,235.3,1.341
57,305.6,235.4,1.338
58,305.8,235.4,1.345
59,306.1,235.7,1.345
60,306.5,235.6,1.347
61,306.8,235.7,1.346
62,307.0,235.6,1.343
63,307.2,235.6,1.328
64,307.6,235.7,1.355
65,307.9,235.9,1.334
66,308.0,235.7,1.352
67,308.4,235.8,1.351
68,308.7,235.8,1.329
69,308.9,235.9,1.329
70,309.2,236.0,1.355
71,309.4,236.1,1.358
72,309.7,236.2,1.364
73,310.1,236.1,1.36
74,310.2,236.0,1.366
75,310.6,236.1,1.372
76,311.0,236.0,1.361
77,311.2,235.9,1.367
78,311.6,236.1,1.349
79,311.7,235.9,1.369
80,312.0,236.0,1.368
81,312.3,235.8,1.381
82,312.8,235.9,1.385
83,313.2,235.9,1.375
84,313.4,236.1,1.366
85,313.4,235.9,1.361
86,313.2,236.1,1.367
87,313.0,235.7,1.372
88,313.0,235.9,1.317
89,312.5,235.9,1.366
90,312.4,235.8,1.357
91,312.6,235.9,1.355
92,312.8,235.8,1.343
93,312.3,235.8,1.308
94,303.9,235.8,1.326
95,303.2,235.7,1.342
96,302.8,235.9,1.32
97,302.6,235.7,1.318
98,302.7,235.9,1.352
99,302.8,236.0,1.36
100,308.9,235.9,1.371
101,309.4,235.8,1.342
102,309.5,236.0,1.359
103,309.4,236.1,1.364
104,309.4,236.1,1.381
105,309.6,235.9,1.295
106,309.3,235.9,1.383
107,309.6,236.1,1.278
108,295.6,236.3,1.377
109,313.5,236.3,1.345
110,313.1,236.2,1.381
111,312.7,236.2,1.355
112,312.8,236.0,1.377
113,313.0,236.2,1.384
114,312.9,236.3,1.364
115,312.9,236.0,1.335
116,312.7,236.0,1.352
117,304.7,236.0,1.323
118,304.9,236.2,1.331
119,305.0,236.1,1.384
120,305.4,236.2,1.336
121,305.7,236.1,1.361
122,306.1,235.9,1.379
123,306.6,236.0,1.386
124,315.6,236.0,1.383
125,315.9,236.0,1.383
126,316.0,235.9,1.384
127,316.1,236.1,1.377
128,316.4,236.2,1.371
129,316.5,235.9,1.381
130,316.5,236.0,1.379
131,316.7,236.1,1.379
132,316.8,236.1,1.382
133,316.9,236.1,1.378
134,317.0,235.9,1.397
135,317.3,235.9,1.38
136,317.3,236.0,1.374
137,317.3,236.0,1.38
138,317.2,236.0,1.373
139,317.2,235.9,1.382
140,317.3,235.8,1.383
141,317.3,235.8,1.378
142,317.4,235.8,1.385
143,317.6,235.9,1.382
144,317.6,235.8,1.384
145,318.1,235.9,1.384
146,318.1,235.9,1.368
147,317.8,235.8,1.389
148,317.9,235.8,1.373
149,317.9,235.9,1.396
150,317.8,235.8,1.379
151,317.8,235.9,1.388
152,317.7,235.9,1.378
153,317.7,235.8,1.385
154,317.8,235.9,1.386
155,317.9,235.8,1.391
156,318.1,235.8,1.375
157,318.0,235.7,1.39
158,318.0,235.8,1.377
159,317.9,235.8,1.408
160,318.1,235.9,1.391
161,308.7,235.9,1.385
162,318.3,235.9,1.387
163,318.3,235.8,1.383
164,318.3,235.8,1.378
165,318.3,235.8,1.393
166,318.4,235.9,1.381
167,318.3,235.8,1.378
168,318.4,235.8,1.391
169,318.4,235.5,1.397
170,318.5,235.5,1.388
171,318.6,235.5,1.394
172,318.5,235.6,1.39
173,318.5,235.6,1.388
174,318.6,235.7,1.383
175,318.5,235.7,1.386
176,318.6,235.7,1.388
177,318.6,235.8,1.387
