Time (s),Power (W),Voltage (V),Amps (A)
0,255.2,238.8,1.084
1,255.2,238.7,1.087
2,254.9,238.6,1.086
3,254.7,238.8,1.105
4,254.6,238.7,1.094
5,254.5,239.0,1.095
6,254.4,238.7,1.097
7,254.4,238.9,1.09
8,254.2,238.9,1.088
9,254.1,238.7,1.088
10,254.3,238.8,1.092
11,254.5,238.9,1.089
12,254.3,238.8,1.09
13,254.1,238.8,1.091
14,254.0,238.7,1.087
15,253.9,238.9,1.092
16,253.9,238.6,1.096
17,254.0,238.8,1.09
18,253.8,238.7,1.088
19,253.7,238.8,1.091
20,254.0,238.8,1.089
21,254.2,238.7,1.107
22,254.6,238.8,1.087
23,254.5,238.7,1.087
24,254.4,238.9,1.095
25,254.2,238.6,1.101
26,254.3,238.9,1.108
27,254.3,238.8,1.091
28,254.0,238.7,1.092
29,254.0,238.7,1.095
30,254.3,238.8,1.092
31,254.4,238.7,1.093
32,254.3,238.8,1.101
33,254.4,238.5,1.114
34,254.3,238.8,1.096
35,254.2,238.6,1.094
36,254.2,238.9,1.107
37,254.3,238.7,1.1
38,254.4,238.9,1.091
39,254.4,238.8,1.089
40,254.7,239.2,1.089
41,254.8,239.0,1.09
42,254.6,239.2,1.088
43,254.4,239.1,1.095
44,254.4,239.0,1.085
45,254.1,239.0,1.107
46,254.2,238.7,1.095
47,254.4,238.9,1.098
48,254.3,238.8,1.096
49,254.4,238.9,1.092
50,254.6,238.7,1.086
51,254.7,238.9,1.089
52,254.6,238.6,1.102
53,254.5,238.8,1.09
54,254.3,238.7,1.096
55,254.3,238.6,1.102
56,254.5,238.8,1.094
57,254.4,238.6,1.096
58,254.4,238.8,1.091
59,254.3,238.7,1.107
60,254.7,238.6,1.094
61,254.9,238.8,1.102
62,254.9,238.7,1.092
63,254.7,238.9,1.121
64,254.7,238.6,1.094
65,254.6,238.8,1.111
66,254.6,238.7,1.107
67,254.6,238.9,1.104
68,254.7,238.8,1.098
69,254.7,238.9,1.09
