Time (s),Power (W),Voltage (V),Amps (A)
0,261.6,234.6,1.12
1,261.0,234.8,1.127
2,260.4,234.6,1.116
3,259.8,234.9,1.121
4,259.2,234.9,1.116
5,258.9,234.8,1.115
6,258.4,235.0,1.105
7,258.0,234.8,1.108
8,257.4,234.9,1.111
9,257.0,234.5,1.167
10,257.4,234.7,1.118
11,257.1,234.9,1.111
12,256.8,234.8,1.106
13,256.5,234.6,1.114
14,256.2,234.8,1.109
15,256.0,234.7,1.111
16,255.7,234.8,1.113
17,255.6,234.6,1.119
18,255.5,234.7,1.117
19,255.4,234.7,1.185
20,256.0,234.6,1.127
21,255.8,234.9,1.121
22,255.7,234.8,1.117
23,255.5,234.7,1.125
24,255.3,234.6,1.116
25,255.4,234.8,1.121
26,255.1,234.7,1.119
27,255.2,234.7,1.126
28,255.2,234.9,1.113
29,254.9,234.7,1.187
30,260.5,234.7,1.111
31,253.9,234.6,1.126
32,254.0,234.8,1.115
33,254.0,234.7,1.114
34,254.6,234.8,1.125
35,254.6,234.7,1.12
36,254.6,234.8,1.127
37,254.6,234.7,1.131
38,254.6,234.7,1.116
39,254.4,234.6,1.184
40,261.4,234.5,1.123
41,254.5,234.4,1.123
42,254.4,234.5,1.12
43,254.5,234.5,1.113
44,254.4,234.5,1.111
45,254.5,234.5,1.117
46,254.4,234.5,1.109
47,254.4,234.5,1.126
48,254.4,234.4,1.118
49,254.4,234.8,1.167
50,254.9,235.4,1.111
51,254.8,235.1,1.114
52,254.8,235.0,1.113
53,254.7,235.2,1.126
54,254.8,235.1,1.118
55,254.8,235.0,1.119
56,254.6,235.1,1.12
57,254.7,235.3,1.114
58,254.5,235.4,1.108
59,254.4,235.2,1.177
60,255.0,235.2,1.11
61,254.9,235.4,1.129
62,254.8,235.2,1.121
63,254.8,235.4,1.129
64,254.7,235.2,1.115
65,254.7,235.4,1.124
66,254.6,235.1,1.119
67,254.6,235.2,1.118
68,254.4,235.3,1.115
69,254.2,235.1,1.178
70,259.7,235.2,1.118
71,253.7,235.4,1.122
72,253.7,235.3,1.121
73,253.8,235.1,1.126
74,253.9,235.3,1.124
75,254.1,235.3,1.118
76,254.0,235.1,1.131
77,254.1,235.0,1.127
78,254.2,235.3,1.118
79,254.1,235.1,1.186
80,254.7,235.2,1.122
81,254.7,235.1,1.133
82,254.7,235.2,1.128
83,254.8,235.2,1.131
84,254.7,235.1,1.126
85,254.9,235.1,1.142
86,254.7,235.2,1.124
87,254.8,235.0,1.12
88,254.7,235.0,1.114
89,254.6,235.3,1.173
90,255.0,235.0,1.127
91,255.2,235.0,1.124
92,255.0,235.3,1.12
93,255.1,235.1,1.121
94,255.0,235.3,1.125
95,260.5,235.1,1.136
96,259.8,235.1,1.126
97,259.3,235.2,1.139
98,258.7,235.3,1.118
99,258.2,235.1,1.188
100,258.4,235.3,1.136
101,258.0,234.9,1.128
102,257.7,235.0,1.127
103,257.4,235.1,1.124
104,257.1,235.2,1.135
105,257.0,235.0,1.134
106,256.7,235.1,1.125
107,256.4,235.1,1.132
108,256.2,235.2,1.127
109,256.1,235.2,1.176
110,256.6,235.1,1.134
111,256.4,235.1,1.129
112,256.2,235.0,1.135
113,256.3,235.1,1.129
114,256.2,235.2,1.136
115,256.2,235.1,1.134
116,256.0,235.1,1.134
117,255.9,235.2,1.128
118,255.7,235.2,1.134
119,255.6,235.1,1.2
120,256.1,235.0,1.129
121,256.0,234.8,1.134
122,255.8,234.9,1.122
123,255.7,234.9,1.14
124,255.5,235.0,1.127
125,255.6,235.0,1.144
126,255.3,235.0,1.122
127,255.2,234.9,1.138
128,255.1,234.9,1.119
129,254.9,235.1,1.197
130,260.5,235.1,1.128
131,254.4,235.1,1.13
132,254.4,235.2,1.127
133,254.5,235.1,1.13
134,254.5,235.1,1.129
135,254.6,235.1,1.12
136,254.5,235.2,1.121
137,254.5,235.2,1.129
138,254.7,235.2,1.119
139,254.7,235.0,1.189
140,261.4,235.0,1.127
141,254.7,234.9,1.119
142,254.5,235.0,1.118
143,254.5,234.9,1.118
144,254.5,235.1,1.111
145,254.5,235.1,1.114
146,254.3,235.1,1.129
147,254.5,235.1,1.127
148,254.7,235.1,1.109
149,254.6,235.0,1.185
150,255.2,235.1,1.114
151,255.0,235.1,1.116
152,254.9,235.1,1.117
153,255.1,235.1,1.123
154,255.0,235.1,1.112
155,255.0,235.0,1.125
156,254.9,235.1,1.109
157,254.8,235.3,1.111
158,254.5,235.3,1.115
159,254.5,235.1,1.177
160,255.1,235.2,1.113
161,255.0,235.3,1.118
162,254.8,235.3,1.112
163,254.8,235.1,1.12
164,254.6,235.3,1.131
165,254.8,235.1,1.122
166,254.6,235.1,1.132
167,254.7,235.3,1.138
168,254.6,235.1,1.137
169,255.3,235.3,1.189
170,255.9,235.2,1.138
171,255.7,235.2,1.128
172,255.5,235.5,1.143
173,255.6,235.3,1.125
174,255.4,235.3,1.13
175,255.4,235.4,1.127
176,255.2,235.3,1.144
177,255.4,235.5,1.13
178,255.2,235.3,1.134
179,255.1,235.5,1.19
180,255.6,235.4,1.12
181,255.6,235.6,1.122
182,255.3,235.4,1.121
183,255.4,235.5,1.131
184,255.3,235.5,1.123
185,255.3,235.5,1.119
186,255.1,235.4,1.122
187,255.1,235.4,1.117
188,255.0,235.3,1.126
189,254.9,235.2,1.184
190,261.6,235.6,1.116
191,253.9,235.4,1.12
192,253.9,235.3,1.128
193,254.0,235.5,1.116
194,254.1,235.4,1.115
195,254.2,235.5,1.122
196,254.2,235.3,1.12
197,254.2,235.3,1.125
198,254.4,235.4,1.127
199,254.4,235.2,1.191
200,260.1,235.2,1.127
201,254.4,235.4,1.131
202,254.4,235.3,1.137
203,254.5,235.1,1.133
204,254.6,235.2,1.132
205,254.7,235.4,1.135
206,254.7,235.2,1.127
207,254.8,235.2,1.132
208,254.7,235.3,1.13
209,254.7,235.0,1.198
210,260.3,235.1,1.144
211,259.7,235.3,1.131
212,254.2,235.1,1.133
213,254.2,235.1,1.141
214,254.4,235.2,1.133
215,254.5,235.1,1.145
216,254.5,235.1,1.13
217,254.6,235.3,1.14
218,254.5,235.2,1.125
219,254.4,235.1,1.183
220,260.6,235.3,1.117
221,254.2,235.1,1.117
222,254.3,235.2,1.123
223,254.2,235.0,1.124
224,254.3,235.2,1.123
225,254.2,235.1,1.132
226,254.8,235.2,1.118
227,254.8,235.0,1.126
228,254.8,235.1,1.115
229,254.5,234.9,1.169
230,255.1,234.8,1.122
231,255.0,235.1,1.127
232,254.9,235.1,1.132
233,254.9,235.2,1.135
234,254.9,235.3,1.129
235,254.9,235.0,1.127
236,254.7,235.1,1.124
237,255.0,235.1,1.128
238,254.8,235.2,1.12
239,254.7,235.1,1.177
240,255.2,235.0,1.126
241,255.2,234.9,1.133
242,255.0,235.1,1.144
243,255.3,235.2,1.135
244,255.3,235.0,1.123
245,255.4,235.1,1.124
246,255.2,235.0,1.116
247,255.1,235.0,1.119
248,254.8,235.2,1.122
249,254.7,235.1,1.193
250,259.8,235.2,1.121
