Time (s),Power (W),Voltage (V),Amps (A),Adapted
0,269.9,239.2,1.087,false
1,253.1,239.1,1.153,false
2,253.6,239.2,1.135,false
3,254.1,239.3,1.095,false
4,254.0,239.1,1.09,false
5,254.0,239.2,1.101,false
6,253.9,239.1,1.122,false
7,254.1,239.0,1.09,false
8,254.4,239.2,1.095,false
9,254.6,239.1,1.178,false
10,272.8,239.1,1.182,false
11,272.8,238.5,1.231,false
12,278.2,238.9,1.18,false
13,277.6,238.7,1.226,false
14,277.9,238.7,1.178,false
15,277.2,238.7,1.181,false
16,276.8,238.5,1.195,false
17,276.4,238.7,1.182,false
18,276.1,238.8,1.243,false
19,289.2,238.4,1.248,false
20,289.4,238.5,1.244,false
21,289.4,238.3,1.278,false
22,289.5,238.6,1.247,false
23,289.4,238.3,1.246,false
24,289.2,238.3,1.275,false
25,289.7,238.4,1.237,false
26,289.4,238.4,1.257,false
27,289.4,238.6,1.278,false
28,295.8,238.4,1.279,false
29,295.8,238.2,1.288,false
30,296.0,238.3,1.305,false
31,296.5,238.1,1.308,false
32,296.8,238.3,1.286,false
33,296.8,238.1,1.29,false
34,296.7,238.2,1.277,false
35,296.6,238.2,1.289,false
36,296.9,237.9,1.314,false
37,303.3,238.2,1.308,false
38,303.2,238.1,1.315,false
39,303.2,238.1,1.31,false
40,303.2,238.1,1.309,false
41,303.1,237.9,1.358,false
42,303.7,238.1,1.313,false
43,303.7,237.9,1.316,false
44,303.6,237.8,1.316,false
45,303.5,237.9,1.329,false
46,304.0,237.8,1.331,false
47,304.3,238.1,1.333,false
48,309.8,238.1,1.33,false
49,309.4,238.3,1.329,false
50,309.1,238.1,1.329,false
51,309.0,238.3,1.335,false
52,308.8,238.1,1.341,false
53,308.6,238.2,1.299,false
54,301.7,238.0,1.276,false
55,294.5,238.2,1.275,false
56,294.3,238.1,1.314,false
57,294.6,238.0,1.286,false
58,294.6,238.0,1.355,false
59,308.7,237.9,1.331,false
60,302.6,237.9,1.303,false
61,302.2,238.0,1.346,false
62,302.5,237.9,1.327,false
63,302.2,238.0,1.325,false
64,302.3,238.0,1.352,false
65,302.8,237.8,1.303,false
66,303.2,238.1,1.367,false
67,311.1,237.9,1.326,false
68,310.6,238.0,1.337,false
69,310.0,237.8,1.376,false
70,309.8,237.9,1.343,false
71,309.8,237.9,1.349,false
72,309.7,237.9,1.351,false
73,309.8,237.7,1.374,false
74,315.2,237.9,1.354,false
75,314.7,238.0,1.376,false
76,314.9,238.3,1.318,false
77,314.5,238.2,1.315,false
78,302.9,238.4,1.317,false
79,302.3,238.4,1.338,false
80,302.0,238.2,1.338,false
81,301.9,238.4,1.32,false
82,302.3,238.4,1.312,false
83,302.5,238.2,1.367,false
84,309.3,238.2,1.331,false
85,303.9,238.4,1.339,false
86,304.1,238.2,1.365,false
87,310.4,238.5,1.34,false
88,309.8,238.4,1.329,false
89,309.8,238.3,1.346,false
90,309.6,238.4,1.359,false
91,310.0,238.4,1.349,false
92,310.0,238.1,1.381,false
93,310.6,238.1,1.359,false
94,311.0,238.4,1.368,false
95,311.2,238.4,1.37,false
96,317.5,238.1,1.376,false
97,317.2,238.0,1.368,false
98,317.1,238.1,1.376,false
99,317.1,238.2,1.365,false
100,317.1,238.2,1.372,false
101,317.1,238.2,1.379,false
102,317.3,238.3,1.367,false
103,317.3,238.0,1.381,false
104,317.6,238.1,1.37,false
105,317.5,238.2,1.364,false
106,317.5,238.3,1.376,false
107,317.3,238.1,1.371,false
108,317.2,238.0,1.383,false
109,317.1,238.2,1.382,false
110,317.4,238.1,1.38,false
111,317.5,238.2,1.366,false
112,317.3,238.0,1.373,false
113,317.6,238.1,1.38,false
114,317.7,238.0,1.376,false
115,317.7,238.1,1.371,false
116,317.9,238.0,1.36,false
117,317.7,237.9,1.376,false
118,317.7,238.2,1.379,false
119,317.7,238.1,1.387,false
120,317.8,238.1,1.389,false
121,317.9,238.0,1.368,false
122,317.8,238.2,1.367,false
123,317.6,238.0,1.367,false
124,317.6,238.1,1.375,false
125,317.7,238.1,1.38,false
126,317.6,237.9,1.38,false
127,317.9,238.0,1.372,false
128,317.8,238.0,1.38,false
129,317.9,238.1,1.373,false
130,317.9,238.0,1.38,false
131,318.0,238.1,1.382,false
132,318.1,238.2,1.385,false
133,318.3,238.2,1.373,false
134,318.3,238.0,1.377,false
135,318.4,238.2,1.385,false
136,318.4,238.1,1.376,false
137,318.5,237.9,1.384,false
138,318.5,238.0,1.371,false
139,318.5,238.2,1.375,false
140,318.4,238.3,1.376,false
141,318.6,238.2,1.377,false
142,318.6,238.2,1.377,false
143,318.8,238.5,1.362,false
144,318.7,238.3,1.378,false
145,318.8,238.5,1.365,false
146,318.6,238.5,1.381,false
147,318.5,238.6,1.34,false
148,318.5,238.3,1.382,false
149,318.6,238.3,1.384,false
150,318.6,238.2,1.387,false
151,318.8,238.2,1.379,false
152,318.5,238.2,1.378,false
153,318.5,238.1,1.387,false
154,318.7,238.2,1.384,false
155,318.8,238.3,1.38,false
156,318.8,238.3,1.38,false
157,318.8,238.2,1.386,false
158,318.9,238.1,1.376,false
159,319.1,238.4,1.382,false
160,319.2,238.2,1.393,false
161,319.4,238.5,1.386,false
162,319.5,238.3,1.378,false
163,319.5,238.3,1.384,false
164,319.7,238.2,1.381,false
165,319.8,238.4,1.382,false
166,319.8,238.3,1.387,false
167,319.8,238.1,1.379,false
168,319.8,238.2,1.39,false
169,319.8,238.1,1.383,false
170,319.9,238.4,1.39,false
171,319.9,238.5,1.391,false
172,320.2,238.3,1.383,false
173,320.3,238.3,1.402,false
174,320.5,238.3,1.383,false
175,320.3,238.5,1.385,false
176,320.3,238.0,1.389,false
177,320.2,238.2,1.393,false
178,320.5,238.2,1.388,false
179,320.4,238.0,1.384,false
180,320.5,238.1,1.377,false
181,320.5,238.3,1.392,false
182,320.5,238.3,1.391,false
183,320.5,238.1,1.371,false
184,320.7,237.9,1.387,false
185,320.7,238.2,1.392,false
186,320.7,238.2,1.373,false
187,320.7,238.0,1.381,false
188,320.7,238.1,1.394,false
189,320.8,237.9,1.387,false
190,320.8,238.0,1.388,false
191,320.8,238.0,1.399,false
192,320.8,238.0,1.388,false
193,320.9,238.3,1.383,false
194,320.8,238.0,1.393,false
195,320.8,238.2,1.379,false
196,320.8,238.2,1.393,false
197,320.9,238.0,1.388,false
198,320.9,238.0,1.386,false
199,320.8,238.1,1.388,false
200,305.3,238.2,1.388,false
201,321.8,238.0,1.394,false
202,321.6,238.2,1.382,false
203,321.5,238.0,1.386,false
204,321.4,237.9,1.384,false
205,321.3,237.8,1.387,false
206,321.2,237.8,1.386,false
207,321.2,237.7,1.384,false
208,321.0,237.8,1.389,false
209,321.0,237.8,1.379,false
210,320.8,237.8,1.388,false
211,320.9,237.9,1.39,false
212,320.7,237.7,1.389,false
213,320.8,237.5,1.378,false
214,320.8,237.6,1.389,false
215,320.9,237.7,1.386,false
216,320.8,237.8,1.361,false
217,320.6,237.7,1.402,false
218,320.8,237.6,1.383,false
219,320.7,237.9,1.382,false
220,320.7,237.6,1.388,false
221,320.7,237.5,1.367,false
222,320.5,237.6,1.395,false
223,320.6,237.6,1.368,false
224,320.6,237.6,1.393,false
225,320.7,237.8,1.379,false
226,320.7,237.7,1.39,false
227,320.5,237.9,1.384,false
228,320.6,237.7,1.395,false
229,320.7,237.9,1.388,false
230,320.7,237.8,1.386,false
231,320.7,238.0,1.388,false
232,320.4,237.8,1.383,false
233,320.4,237.9,1.375,false
234,320.5,237.7,1.397,false
235,320.7,238.0,1.365,false
236,320.5,237.8,1.389,false
237,320.5,237.9,1.383,false
238,320.7,237.7,1.383,false
239,320.6,237.9,1.389,false
240,320.6,237.6,1.39,false
241,321.0,237.5,1.381,false
242,320.9,237.3,1.385,false
243,320.6,237.4,1.383,false
244,320.7,237.3,1.365,false
245,320.5,237.4,1.384,false
246,320.6,237.3,1.39,false
247,320.6,237.0,1.393,false
248,320.7,237.4,1.367,false
249,320.5,237.3,1.388,false
250,320.5,237.3,1.39,false
251,320.4,237.5,1.405,false
252,320.6,237.6,1.391,false
253,320.6,237.4,1.387,false
254,320.6,237.6,1.393,false
255,320.5,237.4,1.39,false
256,320.4,237.5,1.389,false
257,320.6,237.4,1.394,false
258,320.7,237.7,1.395,false
259,320.8,237.4,1.388,false
260,320.9,237.6,1.401,false
261,321.1,237.4,1.395,false
262,321.1,237.5,1.383,false
263,321.2,237.4,1.386,false
264,321.2,237.5,1.388,false
265,321.3,237.2,1.395,false
266,321.4,237.4,1.394,false
267,321.3,237.4,1.392,false
268,321.3,237.5,1.392,false
269,321.4,237.4,1.387,false
270,321.5,237.6,1.397,false
271,321.4,237.5,1.391,false
272,321.3,237.8,1.388,false
273,321.2,237.7,1.393,false
274,321.1,237.6,1.405,false
275,321.2,237.5,1.392,false
276,321.4,237.6,1.378,false
277,321.3,237.5,1.393,false
278,321.0,237.4,1.398,false
279,321.2,237.7,1.388,false
280,321.1,237.7,1.384,false
281,321.2,237.8,1.396,false
282,321.2,237.8,1.397,false
283,321.4,237.8,1.395,false
284,321.3,237.7,1.394,false
285,321.3,237.7,1.399,false
286,321.5,237.7,1.371,false
287,321.2,237.6,1.389,false
288,321.2,237.6,1.394,false
289,321.3,237.4,1.386,false
290,321.4,237.4,1.395,false
291,321.5,237.6,1.411,false
292,321.8,237.6,1.391,false
293,321.7,237.6,1.402,false
294,321.7,237.4,1.393,false
295,321.7,237.1,1.394,false
296,321.7,237.5,1.382,false
297,321.5,237.2,1.397,false
298,321.6,237.4,1.396,false
299,321.6,237.3,1.39,false
300,321.5,237.4,1.397,false
301,321.6,237.7,1.395,false
302,321.4,237.5,1.395,false
303,321.4,237.7,1.346,false
304,321.2,237.5,1.392,false
305,321.3,237.7,1.389,false
306,321.5,237.5,1.392,false
307,320.9,237.7,1.391,false
308,320.8,237.7,1.404,false
309,321.1,237.5,1.392,false
310,321.2,237.7,1.399,false
311,321.2,237.5,1.393,false
312,321.3,237.6,1.394,false
313,315.2,237.4,1.389,false
314,321.5,237.7,1.394,false
315,321.5,237.6,1.397,false
316,321.5,237.8,1.39,false
317,321.5,237.4,1.391,false
318,321.6,237.6,1.38,false
319,321.6,237.4,1.397,false
320,321.7,237.7,1.393,false
321,321.7,237.5,1.394,false
322,321.8,237.8,1.393,false
323,321.5,237.7,1.394,false
324,321.3,237.5,1.379,false
325,321.4,237.7,1.396,false
326,321.5,237.6,1.401,false
327,321.5,237.4,1.387,false
328,321.5,237.5,1.394,false
329,321.6,237.6,1.388,false
330,321.6,237.5,1.385,false
331,321.7,237.6,1.393,false
332,321.9,237.5,1.384,false
333,321.8,237.6,1.351,false
334,321.7,237.5,1.389,false
335,321.7,237.4,1.395,false
336,321.8,237.7,1.379,false
337,321.6,237.7,1.387,false
338,321.7,237.5,1.387,false
339,321.7,237.4,1.387,false
340,321.6,237.5,1.4,false
341,321.6,237.3,1.389,false
342,321.5,237.5,1.399,false
343,321.7,237.6,1.394,false
344,321.8,237.6,1.397,false
345,321.8,237.6,1.392,false
346,321.8,237.6,1.376,false
347,321.7,237.6,1.39,false
348,321.6,237.5,1.408,false
349,321.9,237.5,1.388,false
350,321.6,237.4,1.398,false
351,321.6,237.4,1.401,false
352,321.6,237.6,1.396,false
353,321.4,237.6,1.359,false
354,313.3,237.8,1.354,false
355,313.3,237.6,1.374,false
356,313.2,237.4,1.335,false
357,307.9,237.5,1.381,false
