Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s,Adapted
59,5.222,1710.0,98.28,3065.0,100.0,0.0,708.0,0.22,5.222,1275.66,1169.85,false
60,5.195,1735.0,97.34,3065.0,99.87,0.0,0.0,0.0,5.195,1287.93,1153.28,false
61,5.299,1776.0,98.55,3058.0,100.0,0.0,708.0,0.22,5.299,1366.2,1165.22,false
62,5.305,1776.0,99.29,3058.0,100.0,0.0,0.0,0.0,5.305,1361.71,1149.6,false
63,5.315,1794.0,99.11,3062.0,99.98,0.0,0.0,0.0,5.315,1356.13,1152.92,false
64,5.359,1749.0,99.36,3057.0,100.0,0.0,0.0,0.0,5.359,1364.6,1151.02,false
65,5.333,1751.0,99.24,3061.0,100.0,0.0,0.0,0.0,5.333,1332.8,1165.44,false
66,5.25,1702.0,99.56,3066.0,100.0,0.002,711.0,0.53,5.252,1267.73,1159.3,false
67,5.222,1700.0,99.55,3068.0,99.79,0.0,0.0,0.0,5.222,1259.61,1154.83,false
68,5.145,1742.0,99.54,3072.0,99.58,0.0,0.0,0.0,5.145,1239.43,1154.93,false
69,5.178,1744.0,99.2,3071.0,99.66,0.0,0.0,0.0,5.178,1253.88,1161.81,false
70,5.214,1753.0,99.8,3069.0,99.85,0.002,713.0,0.63,5.216,1262.1,1174.37,false
71,5.226,1765.0,99.98,3070.0,99.54,0.0,0.0,0.0,5.226,1253.82,1160.62,false
72,5.197,1726.0,99.94,3071.0,99.66,0.002,713.0,0.31,5.199,1248.29,1154.97,false
73,5.214,1700.0,99.92,3069.0,99.84,0.0,0.0,0.0,5.214,1258.72,1169.4,false
74,5.21,1718.0,100.0,3069.0,99.8,0.0,0.0,0.0,5.21,1248.88,1152.79,false
75,5.232,1687.0,99.89,3067.0,99.85,0.0,0.0,0.0,5.232,1270.96,1163.22,false
76,5.292,1715.0,99.05,3065.0,100.0,0.0,709.0,0.22,5.292,1276.8,1171.98,false
77,4.933,1691.0,36.68,3066.0,100.0,0.0,0.0,0.0,4.933,1254.68,1156.59,false
78,4.833,1703.0,23.32,3067.0,100.0,0.0,709.0,0.22,4.833,1261.24,1153.92,false
79,4.808,1671.0,20.72,3068.0,99.85,0.0,0.0,0.0,4.808,1258.27,1152.68,false
80,4.824,1674.0,24.98,3068.0,99.86,0.0,0.0,0.0,4.824,1251.46,1148.84,false
81,4.783,1695.0,20.77,3069.0,99.71,0.0,0.0,0.0,4.783,1245.09,1154.28,false
82,4.821,1692.0,24.59,3067.0,99.85,0.0,709.0,0.22,4.821,1251.9,1150.22,false
83,4.787,1702.0,22.26,3069.0,99.73,0.0,0.0,0.0,4.787,1250.53,1151.32,false
