Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s,Adapted
0,1.961,1165.0,18.68,1797.0,50.4,0.0,0.0,0.0,1.961,517.8,473.48,false
1,4.535,1525.0,23.7,3073.0,99.98,0.001,714.0,0.41,4.536,1151.87,1078.08,false
2,4.708,1683.0,20.14,3063.0,100.0,0.0,0.0,0.0,4.708,1264.84,1160.97,false
3,4.725,1736.0,22.0,3061.0,100.0,0.0,0.0,0.0,4.725,1331.07,1151.51,false
4,4.696,1725.0,22.44,3063.0,99.81,0.0,0.0,0.0,4.696,1320.43,1156.64,false
5,4.684,1673.0,20.98,3065.0,99.79,0.0,0.0,0.0,4.684,1253.66,1150.33,false
6,4.659,1694.0,21.79,3068.0,99.68,0.0,0.0,0.0,4.659,1246.14,1156.95,false
7,4.755,1695.0,29.64,3066.0,100.0,0.0,0.0,0.0,4.755,1262.16,1156.72,false
8,4.71,1681.0,20.53,3066.0,100.0,0.0,0.0,0.0,4.71,1255.87,1152.69,false
9,4.689,1706.0,21.59,3068.0,100.0,0.002,713.0,0.31,4.691,1245.4,1155.54,false
10,4.717,1681.0,20.35,3066.0,100.0,0.0,0.0,0.0,4.717,1261.36,1148.18,false
11,4.693,1691.0,21.0,3068.0,99.87,0.0,0.0,0.0,4.693,1253.5,1158.74,false
12,4.698,1719.0,23.55,3069.0,99.75,0.0,0.0,0.0,4.698,1249.5,1158.88,false
13,4.723,1704.0,19.89,3066.0,100.0,0.0,0.0,0.0,4.723,1259.32,1155.08,false
14,4.708,1682.0,21.72,3068.0,100.0,0.0,0.0,0.0,4.708,1250.54,1153.41,false
15,4.728,1688.0,22.09,3068.0,99.91,0.001,713.0,0.31,4.729,1258.83,1158.14,false
16,4.706,1685.0,14.83,3066.0,100.0,0.0,0.0,0.0,4.706,1254.98,1151.21,false
17,4.687,1712.0,22.22,3070.0,100.0,0.001,711.0,0.53,4.688,1244.05,1147.86,false
18,4.688,1689.0,23.24,3070.0,99.7,0.0,0.0,0.0,4.688,1255.63,1162.98,false
19,4.737,1686.0,19.88,3066.0,100.0,0.0,0.0,0.0,4.737,1251.59,1156.16,false
20,4.72,1686.0,20.99,3068.0,99.85,0.0,0.0,0.0,4.72,1250.11,1155.3,false
21,4.725,1686.0,20.73,3068.0,99.87,0.0,0.0,0.0,4.725,1252.14,1153.64,false
22,4.693,1715.0,24.45,3071.0,99.86,0.0,0.0,0.0,4.693,1246.0,1146.92,false
23,4.726,1698.0,20.79,3068.0,99.85,0.0,0.0,0.0,4.726,1254.57,1153.02,false
24,4.679,1691.0,24.02,3071.0,99.65,0.0,0.0,0.0,4.679,1244.49,1163.26,false
25,4.72,1689.0,21.01,3068.0,99.78,0.0,0.0,0.0,4.72,1249.05,1152.79,false
26,4.743,1680.0,22.75,3068.0,100.0,0.0,0.0,0.0,4.743,1253.9,1156.15,false
27,4.757,1699.0,20.96,3066.0,100.0,0.0,0.0,0.0,4.757,1257.16,1156.04,false
28,4.723,1709.0,24.02,3069.0,99.8,0.0,0.0,0.0,4.723,1241.8,1156.06,false
29,4.773,1680.0,20.42,3066.0,100.0,0.0,0.0,0.0,4.773,1259.74,1155.21,false
30,4.715,1684.0,21.4,3068.0,100.0,0.001,712.0,0.32,4.716,1239.74,1150.48,false
31,4.72,1701.0,21.03,3068.0,99.84,0.0,0.0,0.0,4.72,1247.94,1159.81,false
32,4.747,1703.0,21.5,3068.0,99.83,0.0,0.0,0.0,4.747,1245.66,1154.34,false
33,4.735,1728.0,21.16,3068.0,99.87,0.0,0.0,0.0,4.735,1247.0,1154.05,false
34,4.735,1688.0,22.38,3069.0,100.0,0.0,0.0,0.0,4.735,1243.06,1154.77,false
35,4.751,1681.0,21.52,3067.0,100.0,0.0,0.0,0.0,4.751,1269.05,1145.76,false
36,4.754,1669.0,14.87,3066.0,100.0,0.001,713.0,0.32,4.755,1264.87,1154.25,false
37,4.784,1698.0,30.35,3068.0,99.85,0.0,0.0,0.0,4.784,1261.8,1157.32,false
38,4.731,1696.0,24.17,3070.0,99.85,0.0,0.0,0.0,4.731,1255.68,1160.1,false
39,4.758,1672.0,20.74,3067.0,99.91,0.0,0.0,0.0,4.758,1253.84,1159.36,false
40,4.773,1705.0,20.09,3066.0,100.0,0.0,0.0,0.0,4.773,1263.8,1154.49,false
41,4.789,1705.0,20.64,3066.0,100.0,0.0,0.0,0.0,4.789,1261.16,1150.23,false
42,4.745,1695.0,24.22,3069.0,99.84,0.0,0.0,0.0,4.745,1252.91,1160.45,false
43,4.763,1695.0,20.83,3068.0,99.85,0.0,0.0,0.0,4.763,1250.12,1154.59,false
44,4.724,1696.0,23.08,3070.0,99.71,0.0,0.0,0.0,4.724,1244.89,1146.72,false
45,4.779,1673.0,20.36,3066.0,100.0,0.0,712.0,0.32,4.779,1258.55,1154.61,false
46,4.73,1705.0,23.38,3070.0,99.84,0.0,711.0,0.53,4.73,1254.49,1162.18,false
47,4.748,1715.0,20.74,3069.0,99.79,0.0,0.0,0.0,4.748,1248.4,1157.02,false
48,4.736,1698.0,20.78,3069.0,99.85,0.001,712.0,0.31,4.737,1242.22,1145.69,false
49,4.781,1686.0,19.76,3066.0,100.0,0.0,0.0,0.0,4.781,1259.25,1154.63,false
50,4.785,1692.0,27.02,3068.0,100.0,0.0,0.0,0.0,4.785,1257.38,1155.86,false
51,4.747,1678.0,23.68,3069.0,99.66,0.003,712.0,0.63,4.75,1251.65,1160.23,false
52,4.796,1677.0,20.28,3066.0,100.0,0.0,0.0,0.0,4.796,1254.32,1151.01,false
53,4.74,1668.0,22.33,3070.0,99.91,0.0,0.0,0.0,4.74,1249.54,1161.23,false
54,4.79,1696.0,19.38,3066.0,100.0,0.0,0.0,0.0,4.79,1255.47,1155.31,false
55,4.772,1694.0,19.12,3068.0,100.0,0.0,0.0,0.0,4.772,1243.18,1151.67,false
56,4.748,1677.0,14.86,3066.0,100.0,0.0,0.0,0.0,4.748,1253.0,1146.07,false
57,4.729,1708.0,22.43,3071.0,99.8,0.0,0.0,0.0,4.729,1252.86,1160.79,false
