Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s,Adapted
0,1.948,1150.0,22.61,1789.0,49.5,0.0,0.0,0.0,1.948,501.78,455.18,false
1,4.522,1474.0,18.7,3073.0,99.97,0.003,715.0,0.51,4.525,1164.44,1084.6,false
2,4.652,1684.0,17.54,3065.0,99.77,0.0,0.0,0.0,4.652,1250.05,1144.64,false
3,4.686,1700.0,25.73,3066.0,99.88,0.0,712.0,0.32,4.686,1239.19,1151.98,false
4,4.693,1648.0,19.09,3064.0,100.0,0.0,0.0,0.0,4.693,1266.13,1146.63,false
5,4.645,1667.0,23.42,3068.0,99.77,0.0,0.0,0.0,4.645,1243.21,1147.06,false
6,4.712,1657.0,20.32,3065.0,100.0,0.0,0.0,0.0,4.712,1261.37,1152.76,false
7,4.657,1684.0,23.57,3071.0,99.69,0.0,0.0,0.0,4.657,1239.66,1149.96,false
8,4.658,1694.0,23.48,3071.0,99.84,0.0,0.0,0.0,4.658,1236.04,1147.85,false
9,4.667,1698.0,21.69,3070.0,99.84,0.002,713.0,0.31,4.669,1250.05,1143.49,false
10,4.714,1659.0,20.0,3067.0,100.0,0.0,0.0,0.0,4.714,1259.74,1150.24,false
11,4.738,1673.0,20.75,3066.0,100.0,0.0,714.0,0.41,4.738,1264.33,1149.86,false
12,4.782,1668.0,29.42,3067.0,100.0,0.0,0.0,0.0,4.782,1262.34,1163.41,false
13,4.712,1694.0,21.79,3068.0,99.85,0.001,708.0,0.22,4.713,1255.34,1150.71,false
14,4.711,1666.0,21.01,3068.0,99.85,0.0,0.0,0.0,4.711,1248.08,1149.2,false
15,4.693,1662.0,22.67,3070.0,99.85,0.0,0.0,0.0,4.693,1244.89,1148.95,false
16,4.712,1706.0,22.11,3070.0,99.86,0.0,0.0,0.0,4.712,1249.19,1153.32,false
17,4.633,1698.0,25.09,3075.0,99.18,0.0,0.0,0.0,4.633,1226.53,1140.35,false
18,4.7,1672.0,22.0,3070.0,99.68,0.0,0.0,0.0,4.7,1247.3,1150.6,false
19,4.718,1678.0,20.13,3068.0,99.85,0.0,0.0,0.0,4.718,1255.42,1151.56,false
20,4.779,1664.0,27.16,3066.0,100.0,0.0,0.0,0.0,4.779,1253.0,1145.66,false
21,4.757,1690.0,27.81,3069.0,100.0,0.0,0.0,0.0,4.757,1268.03,1163.0,false
22,4.757,1666.0,19.51,3066.0,100.0,0.0,0.0,0.0,4.757,1257.31,1146.02,false
23,4.668,1680.0,19.22,3071.0,99.6,0.0,0.0,0.0,4.668,1242.29,1154.58,false
24,4.719,1668.0,18.84,3068.0,100.0,0.0,0.0,0.0,4.719,1254.34,1147.53,false
25,4.719,1694.0,20.84,3070.0,99.85,0.0,0.0,0.0,4.719,1239.32,1141.04,false
26,4.761,1682.0,21.01,3066.0,100.0,0.0,712.0,0.31,4.761,1264.79,1160.12,false
27,4.72,1662.0,20.95,3070.0,99.86,0.0,0.0,0.0,4.72,1243.58,1149.54,false
28,4.724,1671.0,21.18,3070.0,99.86,0.0,0.0,0.0,4.724,1245.87,1151.32,false
29,4.774,1677.0,19.52,3066.0,100.0,0.0,0.0,0.0,4.774,1265.54,1151.77,false
30,4.728,1676.0,20.75,3068.0,100.0,0.0,0.0,0.0,4.728,1239.36,1149.86,false
31,4.752,1687.0,18.91,3066.0,100.0,0.0,0.0,0.0,4.752,1244.22,1147.99,false
32,4.702,1710.0,23.22,3072.0,99.61,0.0,0.0,0.0,4.702,1236.95,1141.64,false
33,4.753,1679.0,21.15,3068.0,99.85,0.0,0.0,0.0,4.753,1252.55,1158.52,false
34,4.743,1681.0,21.65,3068.0,99.88,0.0,0.0,0.0,4.743,1253.95,1150.21,false
35,4.78,1659.0,19.9,3066.0,100.0,0.0,0.0,0.0,4.78,1266.0,1151.88,false
36,4.765,1660.0,22.2,3068.0,100.0,0.0,0.0,0.0,4.765,1258.46,1152.89,false
37,4.769,1665.0,21.44,3068.0,100.0,0.0,0.0,0.0,4.769,1260.58,1147.78,false
38,4.77,1677.0,21.34,3067.0,99.85,0.0,0.0,0.0,4.77,1259.31,1148.75,false
39,4.74,1681.0,22.29,3070.0,99.84,0.0,0.0,0.0,4.74,1250.17,1149.59,false
40,4.784,1665.0,19.57,3066.0,100.0,0.0,0.0,0.0,4.784,1253.35,1154.9,false
41,4.756,1635.0,21.34,3068.0,99.8,0.0,0.0,0.0,4.756,1253.03,1141.44,false
42,4.788,1666.0,19.41,3066.0,100.0,0.0,0.0,0.0,4.788,1258.39,1158.03,false
43,4.706,1679.0,18.08,3070.0,99.67,0.0,0.0,0.0,4.706,1251.74,1139.95,false
44,4.783,1664.0,19.46,3066.0,100.0,0.0,0.0,0.0,4.783,1253.4,1149.15,false
45,4.781,1689.0,21.95,3066.0,100.0,0.0,0.0,0.0,4.781,1263.45,1151.22,false
46,4.77,1699.0,20.54,3068.0,99.86,0.0,0.0,0.0,4.77,1253.82,1149.84,false
47,4.747,1713.0,20.96,3069.0,99.7,0.0,0.0,0.0,4.747,1247.96,1151.48,false
48,4.747,1691.0,21.51,3069.0,99.73,0.0,0.0,0.0,4.747,1247.98,1149.81,false
49,4.799,1701.0,21.42,3066.0,100.0,0.0,715.0,0.51,4.799,1263.88,1150.79,false
50,4.801,1706.0,33.1,3069.0,99.86,0.0,0.0,0.0,4.801,1261.71,1160.07,false
51,4.784,1654.0,21.1,3068.0,100.0,0.0,0.0,0.0,4.784,1261.01,1151.26,false
52,4.792,1689.0,20.34,3067.0,100.0,0.0,0.0,0.0,4.792,1265.13,1152.2,false
53,4.758,1686.0,19.93,3069.0,99.81,0.0,0.0,0.0,4.758,1243.03,1150.93,false
54,4.747,1692.0,30.58,3071.0,99.6,0.001,714.0,0.41,4.748,1249.5,1150.42,false
55,4.79,1661.0,24.91,3066.0,100.0,0.0,0.0,0.0,4.79,1261.21,1150.99,false
56,4.739,1695.0,24.59,3072.0,99.71,0.0,709.0,0.22,4.739,1241.01,1149.05,false
57,4.813,1676.0,20.57,3066.0,100.0,0.0,0.0,0.0,4.813,1263.08,1153.62,false
58,4.79,1669.0,22.12,3067.0,100.0,0.0,708.0,0.22,4.79,1253.22,1147.85,false
59,4.804,1673.0,20.04,3066.0,100.0,0.0,0.0,0.0,4.804,1258.98,1150.36,false
60,4.781,1675.0,22.32,3068.0,99.85,0.0,709.0,0.22,4.781,1256.76,1152.46,false
61,4.815,1668.0,21.61,3066.0,100.0,0.0,0.0,0.0,4.815,1242.93,1148.18,false
62,4.796,1704.0,25.25,3068.0,99.84,0.0,708.0,0.22,4.796,1242.92,1152.25,false
63,4.821,1665.0,20.52,3066.0,100.0,0.0,0.0,0.0,4.821,1256.07,1147.2,false
64,4.807,1669.0,20.64,3066.0,100.0,0.0,709.0,0.22,4.807,1259.17,1158.86,false
65,4.772,1690.0,23.11,3070.0,99.84,0.0,0.0,0.0,4.772,1245.13,1150.02,false
66,4.741,1731.0,24.61,3071.0,99.49,0.0,0.0,0.0,4.741,1248.78,1147.98,false
67,4.801,1675.0,20.52,3067.0,100.0,0.0,0.0,0.0,4.801,1250.72,1146.72,false
68,4.781,1675.0,21.18,3068.0,99.84,0.0,0.0,0.0,4.781,1253.82,1150.47,false
69,4.788,1677.0,20.54,3068.0,99.85,0.0,0.0,0.0,4.788,1251.19,1148.8,false
70,4.826,1663.0,20.56,3066.0,100.0,0.0,0.0,0.0,4.826,1264.35,1158.41,false
71,4.8,1674.0,22.4,3068.0,100.0,0.0,0.0,0.0,4.8,1257.03,1155.54,false
72,4.791,1666.0,20.86,3068.0,99.85,0.0,0.0,0.0,4.791,1253.52,1146.68,false
73,4.726,1680.0,23.09,3071.0,99.74,0.0,709.0,0.22,4.726,1240.0,1145.85,false
74,4.778,1678.0,22.1,3070.0,99.87,0.0,0.0,0.0,4.778,1241.29,1148.78,false
75,4.772,1684.0,23.88,3070.0,99.64,0.0,0.0,0.0,4.772,1253.73,1151.47,false
