Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s,Adapted
0,1.973,1167.0,18.32,1806.0,50.63,0.0,0.0,0.0,1.973,501.97,454.84,false
1,4.506,1454.0,18.87,3073.0,99.97,0.001,712.0,0.31,4.507,1163.06,1081.81,false
2,4.697,1663.0,18.74,3063.0,100.0,0.0,0.0,0.0,4.697,1264.24,1157.67,false
3,4.702,1686.0,18.68,3063.0,100.0,0.0,0.0,0.0,4.702,1257.5,1148.17,false
4,4.685,1661.0,21.94,3065.0,99.86,0.0,710.0,0.22,4.685,1254.0,1147.76,false
5,4.594,1665.0,20.86,3070.0,99.35,0.0,712.0,0.32,4.594,1233.98,1149.65,false
6,4.625,1682.0,22.5,3070.0,99.56,0.001,708.0,0.22,4.626,1230.22,1144.28,false
7,4.696,1657.0,19.66,3067.0,100.0,0.0,0.0,0.0,4.696,1255.86,1147.8,false
8,4.677,1690.0,22.75,3069.0,99.72,0.0,0.0,0.0,4.677,1250.63,1150.77,false
9,4.677,1689.0,22.5,3070.0,99.79,0.001,711.0,0.43,4.678,1251.98,1151.76,false
10,4.697,1674.0,20.35,3068.0,99.85,0.0,0.0,0.0,4.697,1253.49,1151.44,false
11,4.705,1674.0,20.76,3068.0,99.85,0.0,0.0,0.0,4.705,1250.73,1149.63,false
12,4.73,1648.0,18.72,3066.0,100.0,0.0,0.0,0.0,4.73,1252.42,1148.59,false
13,4.682,1672.0,23.08,3071.0,99.73,0.0,0.0,0.0,4.682,1241.93,1153.34,false
14,4.696,1698.0,22.89,3069.0,99.69,0.0,0.0,0.0,4.696,1252.83,1154.09,false
15,4.713,1672.0,19.8,3068.0,99.83,0.0,0.0,0.0,4.713,1253.39,1151.22,false
16,4.712,1665.0,21.29,3068.0,99.87,0.0,0.0,0.0,4.712,1249.92,1150.78,false
17,4.723,1681.0,20.37,3068.0,99.84,0.0,0.0,0.0,4.723,1253.62,1148.96,false
18,4.728,1661.0,17.84,3067.0,100.0,0.0,0.0,0.0,4.728,1253.91,1150.34,false
19,4.779,1689.0,38.26,3067.0,99.9,0.001,714.0,0.41,4.78,1257.45,1152.82,false
20,4.708,1689.0,22.01,3070.0,99.84,0.0,0.0,0.0,4.708,1242.12,1152.68,false
21,4.776,1697.0,26.02,3066.0,100.0,0.0,712.0,0.31,4.776,1254.42,1148.47,false
22,4.725,1667.0,21.25,3069.0,100.0,0.0,0.0,0.0,4.725,1246.34,1150.79,false
23,4.685,1688.0,22.16,3072.0,99.55,0.0,0.0,0.0,4.685,1245.47,1155.43,false
24,4.746,1654.0,18.47,3066.0,100.0,0.0,0.0,0.0,4.746,1259.63,1147.47,false
25,4.741,1666.0,16.31,3066.0,100.0,0.0,0.0,0.0,4.741,1254.11,1148.5,false
26,4.734,1687.0,20.69,3068.0,99.87,0.0,0.0,0.0,4.734,1252.48,1149.08,false
27,4.736,1677.0,21.3,3068.0,99.85,0.0,0.0,0.0,4.736,1253.9,1152.08,false
28,4.744,1695.0,28.87,3070.0,99.72,0.0,0.0,0.0,4.744,1248.2,1151.74,false
29,4.711,1687.0,24.13,3071.0,99.6,0.0,0.0,0.0,4.711,1240.74,1153.51,false
30,4.697,1694.0,22.02,3071.0,99.72,0.0,0.0,0.0,4.697,1241.96,1148.01,false
31,4.732,1692.0,19.71,3068.0,99.86,0.0,0.0,0.0,4.732,1244.26,1148.52,false
32,4.716,1704.0,21.98,3069.0,99.72,0.0,0.0,0.0,4.716,1238.64,1143.01,false
33,4.774,1688.0,19.44,3067.0,100.0,0.0,0.0,0.0,4.774,1264.47,1157.78,false
34,4.749,1686.0,21.51,3068.0,99.88,0.0,0.0,0.0,4.749,1245.34,1153.08,false
35,4.691,1712.0,26.3,3073.0,99.5,0.0,712.0,0.53,4.691,1244.21,1147.62,false
36,4.727,1669.0,20.88,3070.0,99.69,0.0,0.0,0.0,4.727,1247.85,1153.0,false
37,4.792,1692.0,22.51,3066.0,100.0,0.0,708.0,0.22,4.792,1255.96,1149.5,false
38,4.769,1685.0,22.04,3068.0,99.86,0.0,0.0,0.0,4.769,1266.72,1147.25,false
39,4.769,1683.0,20.13,3066.0,100.0,0.0,0.0,0.0,4.769,1261.61,1150.01,false
40,4.75,1683.0,20.02,3068.0,99.84,0.0,0.0,0.0,4.75,1255.38,1150.56,false
41,4.773,1661.0,20.62,3067.0,100.0,0.0,0.0,0.0,4.773,1259.05,1144.12,false
42,4.72,1678.0,21.39,3071.0,99.56,0.0,0.0,0.0,4.72,1243.38,1152.28,false
43,4.726,1666.0,20.57,3070.0,99.79,0.0,0.0,0.0,4.726,1236.83,1154.76,false
44,4.736,1627.0,16.28,3068.0,100.0,0.0,0.0,0.0,4.736,1242.82,1147.01,false
45,4.778,1660.0,17.95,3066.0,100.0,0.0,0.0,0.0,4.778,1263.38,1150.77,false
46,4.748,1710.0,21.93,3068.0,99.81,0.0,0.0,0.0,4.748,1263.31,1145.38,false
47,4.842,1715.0,20.3,3058.0,100.0,0.0,0.0,0.0,4.842,1386.89,1145.78,false
48,4.83,1745.0,29.08,3061.0,99.97,0.0,714.0,0.42,4.83,1358.67,1145.66,false
49,4.837,1702.0,32.18,3062.0,99.9,0.0,0.0,0.0,4.837,1355.35,1147.98,false
50,4.842,1720.0,21.51,3061.0,100.0,0.001,711.0,0.53,4.843,1342.0,1149.9,false
51,4.769,1685.0,20.9,3068.0,99.85,0.0,0.0,0.0,4.769,1254.87,1148.86,false
52,4.779,1667.0,22.79,3068.0,99.95,0.0,0.0,0.0,4.779,1248.87,1150.1,false
53,4.799,1704.0,25.71,3068.0,99.86,0.0,0.0,0.0,4.799,1252.68,1147.19,false
54,4.739,1698.0,24.84,3072.0,99.64,0.0,0.0,0.0,4.739,1244.82,1154.04,false
55,4.775,1669.0,21.37,3068.0,99.86,0.0,0.0,0.0,4.775,1254.06,1150.38,false
56,4.798,1677.0,19.63,3066.0,100.0,0.0,0.0,0.0,4.798,1256.23,1147.68,false
57,4.784,1667.0,20.78,3067.0,100.0,0.0,0.0,0.0,4.784,1255.62,1151.4,false
58,4.763,1668.0,21.31,3068.0,99.85,0.0,0.0,0.0,4.763,1252.91,1153.11,false
59,4.761,1682.0,22.04,3069.0,99.76,0.0,0.0,0.0,4.761,1249.84,1153.18,false
60,4.78,1683.0,21.48,3068.0,99.89,0.0,0.0,0.0,4.78,1255.68,1150.41,false
61,4.786,1692.0,20.83,3067.0,100.0,0.0,710.0,0.22,4.786,1238.3,1150.37,false
62,4.763,1677.0,22.99,3069.0,99.87,0.0,0.0,0.0,4.763,1261.59,1150.84,false
63,4.837,1699.0,24.96,3066.0,100.0,0.0,708.0,0.22,4.837,1257.02,1146.63,false
64,4.784,1657.0,17.54,3067.0,100.0,0.0,0.0,0.0,4.784,1260.69,1145.85,false
65,4.772,1680.0,18.32,3068.0,100.0,0.0,0.0,0.0,4.772,1253.35,1150.4,false
66,4.798,1688.0,21.59,3067.0,100.0,0.0,713.0,0.31,4.798,1266.23,1147.74,false
67,4.768,1687.0,21.96,3068.0,99.87,0.0,0.0,0.0,4.768,1260.85,1151.38,false
68,4.81,1650.0,20.39,3066.0,100.0,0.0,709.0,0.22,4.81,1253.69,1157.57,false
69,4.809,1660.0,19.89,3066.0,100.0,0.0,0.0,0.0,4.809,1266.69,1150.76,false
70,4.76,1682.0,20.63,3070.0,99.74,0.0,0.0,0.0,4.76,1239.79,1147.71,false
71,4.783,1657.0,18.54,3068.0,99.85,0.0,0.0,0.0,4.783,1257.56,1150.95,false
72,4.813,1661.0,19.55,3066.0,100.0,0.0,0.0,0.0,4.813,1258.64,1151.14,false
73,4.772,1679.0,22.6,3070.0,99.74,0.0,0.0,0.0,4.772,1245.25,1148.78,false
74,4.774,1662.0,22.35,3068.0,99.84,0.0,0.0,0.0,4.774,1249.24,1141.0,false
75,4.803,1676.0,19.84,3066.0,100.0,0.0,0.0,0.0,4.803,1257.95,1150.69,false
76,4.813,1688.0,18.97,3066.0,100.0,0.0,0.0,0.0,4.813,1252.88,1157.26,false
77,4.776,1656.0,21.2,3070.0,99.86,0.0,0.0,0.0,4.776,1252.47,1149.6,false
78,4.823,1693.0,37.55,3070.0,99.8,0.0,0.0,0.0,4.823,1248.35,1157.95,false
79,4.792,1662.0,21.44,3069.0,100.0,0.0,0.0,0.0,4.792,1255.93,1150.79,false
80,4.785,1685.0,21.13,3068.0,99.8,0.0,0.0,0.0,4.785,1259.2,1150.25,false
81,4.815,1678.0,20.88,3066.0,100.0,0.0,713.0,0.31,4.815,1260.53,1149.47,false
82,4.814,1664.0,19.24,3066.0,100.0,0.0,0.0,0.0,4.814,1254.36,1147.39,false
83,4.82,1689.0,20.34,3066.0,100.0,0.0,708.0,0.22,4.82,1258.84,1149.59,false
84,4.787,1669.0,14.97,3066.0,100.0,0.0,0.0,0.0,4.787,1258.55,1148.47,false
85,4.811,1680.0,19.84,3066.0,100.0,0.0,0.0,0.0,4.811,1262.23,1149.65,false
86,4.771,1677.0,24.03,3070.0,99.67,0.0,0.0,0.0,4.771,1254.06,1149.1,false
87,4.828,1674.0,21.67,3066.0,100.0,0.0,0.0,0.0,4.828,1254.06,1149.09,false
88,4.816,1698.0,25.09,3068.0,99.85,0.0,0.0,0.0,4.816,1249.19,1149.82,false
89,4.837,1672.0,19.9,3066.0,100.0,0.0,0.0,0.0,4.837,1258.01,1158.16,false
90,4.814,1654.0,19.59,3066.0,100.0,0.0,0.0,0.0,4.814,1262.94,1150.79,false
91,4.79,1682.0,20.46,3068.0,99.84,0.0,0.0,0.0,4.79,1252.27,1150.05,false
92,4.813,1671.0,19.2,3066.0,100.0,0.0,0.0,0.0,4.813,1245.71,1150.36,false
93,4.776,1684.0,22.7,3070.0,99.87,0.0,0.0,0.0,4.776,1236.61,1148.4,false
94,4.805,1690.0,21.16,3068.0,99.87,0.0,0.0,0.0,4.805,1255.3,1149.88,false
95,4.823,1685.0,19.27,3066.0,100.0,0.0,0.0,0.0,4.823,1255.68,1152.85,false
96,4.789,1671.0,18.86,3069.0,100.0,0.0,0.0,0.0,4.789,1247.52,1147.37,false
97,4.804,1653.0,18.96,3067.0,100.0,0.0,713.0,0.31,4.804,1254.18,1149.25,false
98,4.803,1672.0,20.59,3068.0,99.85,0.0,0.0,0.0,4.803,1253.24,1148.83,false
99,4.809,1654.0,23.6,3069.0,100.0,0.0,708.0,0.22,4.809,1273.45,1153.62,false
100,4.75,1677.0,23.03,3071.0,99.66,0.0,0.0,0.0,4.75,1228.71,1147.8,false
101,4.781,1685.0,22.49,3069.0,99.85,0.0,0.0,0.0,4.781,1248.26,1148.41,false
102,4.809,1674.0,20.41,3068.0,100.0,0.0,0.0,0.0,4.809,1250.72,1148.77,false
103,4.795,1694.0,22.63,3069.0,99.87,0.0,0.0,0.0,4.795,1246.3,1150.86,false
104,4.819,1656.0,16.49,3066.0,100.0,0.0,0.0,0.0,4.819,1265.57,1150.65,false
105,4.778,1691.0,22.82,3068.0,99.71,0.0,0.0,0.0,4.778,1243.39,1145.16,false
106,4.938,1672.0,32.69,3067.0,100.0,0.0,0.0,0.0,4.938,1260.63,1154.33,false
107,4.825,1676.0,23.63,3068.0,100.0,0.0,714.0,0.41,4.825,1261.83,1150.97,false
108,4.852,1677.0,31.76,3067.0,100.0,0.0,0.0,0.0,4.852,1268.39,1153.74,false
109,4.795,1699.0,23.4,3069.0,99.89,0.0,0.0,0.0,4.795,1256.56,1151.88,false
110,4.835,1676.0,20.2,3067.0,100.0,0.0,0.0,0.0,4.835,1271.61,1150.45,false
111,4.812,1708.0,20.35,3068.0,99.85,0.0,0.0,0.0,4.812,1260.78,1147.98,false
112,5.077,1704.0,23.31,3062.0,100.0,0.0,712.0,0.32,5.077,1269.0,1150.78,false
113,4.839,1679.0,20.29,3066.0,100.0,0.0,0.0,0.0,4.839,1265.33,1152.29,false
114,5.154,1871.0,64.3,3066.0,100.0,0.0,709.0,0.22,5.154,1260.23,1155.9,false
115,4.821,1684.0,23.02,3068.0,99.97,0.0,0.0,0.0,4.821,1254.28,1149.57,false
116,4.831,1673.0,20.13,3066.0,100.0,0.0,0.0,0.0,4.831,1258.31,1153.43,false
117,4.795,1683.0,21.77,3069.0,99.73,0.0,0.0,0.0,4.795,1245.65,1148.46,false
118,4.835,1666.0,19.71,3066.0,100.0,0.0,0.0,0.0,4.835,1259.7,1151.56,false
119,4.811,1691.0,20.8,3067.0,99.87,0.0,0.0,0.0,4.811,1250.03,1147.13,false
120,4.835,1640.0,20.19,3066.0,100.0,0.0,0.0,0.0,4.835,1263.07,1152.17,false
121,4.811,1669.0,20.12,3068.0,100.0,0.0,0.0,0.0,4.811,1257.22,1150.18,false
122,4.811,1654.0,19.18,3068.0,100.0,0.0,0.0,0.0,4.811,1251.1,1149.82,false
123,4.819,1676.0,19.62,3066.0,100.0,0.0,0.0,0.0,4.819,1241.69,1147.97,false
124,4.799,1655.0,16.35,3068.0,99.89,0.0,0.0,0.0,4.799,1253.87,1151.69,false
125,4.834,1685.0,19.02,3066.0,100.0,0.0,0.0,0.0,4.834,1255.47,1148.23,false
126,4.802,1675.0,20.64,3068.0,99.81,0.0,0.0,0.0,4.802,1254.96,1151.12,false
127,4.832,1660.0,20.24,3067.0,100.0,0.0,0.0,0.0,4.832,1259.06,1150.8,false
128,4.83,1691.0,20.24,3066.0,100.0,0.0,712.0,0.32,4.83,1262.62,1153.48,false
129,4.817,1661.0,19.99,3068.0,100.0,0.0,0.0,0.0,4.817,1256.29,1150.52,false
130,4.844,1661.0,19.7,3066.0,100.0,0.0,0.0,0.0,4.844,1262.26,1146.56,false
131,4.82,1683.0,20.65,3067.0,100.0,0.0,0.0,0.0,4.82,1252.59,1148.57,false
132,4.811,1692.0,23.34,3067.0,99.9,0.0,0.0,0.0,4.811,1265.37,1150.36,false
133,4.804,1669.0,22.13,3068.0,99.86,0.0,0.0,0.0,4.804,1251.83,1152.12,false
134,4.823,1683.0,21.26,3067.0,99.87,0.0,0.0,0.0,4.823,1258.38,1149.14,false
135,4.816,1697.0,22.13,3067.0,99.84,0.0,0.0,0.0,4.816,1261.22,1145.83,false
136,4.77,1700.0,22.88,3069.0,99.74,0.0,0.0,0.0,4.77,1248.16,1155.85,false
137,4.804,1716.0,33.58,3070.0,99.65,0.0,0.0,0.0,4.804,1235.14,1149.33,false
138,4.854,1662.0,21.17,3067.0,100.0,0.0,0.0,0.0,4.854,1268.89,1152.55,false
139,4.822,1671.0,20.99,3067.0,99.85,0.0,0.0,0.0,4.822,1255.36,1149.47,false
140,4.791,1682.0,22.4,3068.0,99.75,0.0,0.0,0.0,4.791,1250.37,1152.24,false
141,4.846,1689.0,19.74,3066.0,100.0,0.0,0.0,0.0,4.846,1264.42,1150.65,false
142,4.853,1659.0,21.3,3066.0,100.0,0.0,0.0,0.0,4.853,1263.01,1147.67,false
143,4.822,1643.0,21.49,3067.0,100.0,0.0,712.0,0.32,4.822,1251.77,1154.17,false
144,4.738,1660.0,20.42,3070.0,99.55,0.0,0.0,0.0,4.738,1232.49,1151.82,false
145,4.813,1687.0,23.22,3068.0,99.81,0.0,0.0,0.0,4.813,1262.86,1151.24,false
146,4.833,1706.0,20.65,3067.0,99.89,0.0,0.0,0.0,4.833,1254.69,1153.9,false
147,4.837,1706.0,28.37,3068.0,99.64,0.0,0.0,0.0,4.837,1251.87,1152.12,false
148,4.76,1685.0,23.6,3070.0,99.59,0.0,0.0,0.0,4.76,1241.76,1148.79,false
149,4.835,1669.0,18.9,3067.0,99.92,0.0,0.0,0.0,4.835,1248.89,1143.99,false
150,4.818,1687.0,21.69,3067.0,100.0,0.0,0.0,0.0,4.818,1258.85,1151.32,false
151,4.793,1669.0,22.62,3069.0,99.88,0.0,0.0,0.0,4.793,1249.15,1154.55,false
152,4.816,1678.0,21.64,3068.0,100.0,0.0,0.0,0.0,4.816,1248.11,1150.6,false
153,4.783,1681.0,23.75,3069.0,99.66,0.0,0.0,0.0,4.783,1243.91,1158.4,false
154,4.813,1662.0,19.95,3068.0,100.0,0.0,0.0,0.0,4.813,1228.54,1151.27,false
155,4.843,1681.0,19.19,3066.0,100.0,0.0,0.0,0.0,4.843,1255.65,1152.46,false
156,4.819,1684.0,20.57,3067.0,99.86,0.0,0.0,0.0,4.819,1252.85,1149.37,false
157,4.809,1677.0,21.34,3068.0,100.0,0.0,0.0,0.0,4.809,1248.78,1147.93,false
158,4.798,1680.0,24.94,3069.0,99.7,0.0,713.0,0.32,4.798,1235.72,1154.94,false
159,4.856,1656.0,19.85,3066.0,100.0,0.0,0.0,0.0,4.856,1270.55,1154.66,false
160,4.779,1675.0,23.97,3069.0,99.64,0.0,708.0,0.22,4.779,1237.17,1143.53,false
161,4.832,1662.0,20.55,3067.0,99.85,0.0,0.0,0.0,4.832,1252.74,1154.12,false
162,4.849,1662.0,20.6,3066.0,100.0,0.0,0.0,0.0,4.849,1260.39,1161.4,false
163,4.806,1668.0,19.34,3068.0,99.87,0.0,0.0,0.0,4.806,1255.04,1143.75,false
164,4.789,1694.0,18.83,3068.0,99.69,0.0,0.0,0.0,4.789,1252.24,1157.55,false
165,4.824,1681.0,22.11,3067.0,99.81,0.0,0.0,0.0,4.824,1258.46,1157.25,false
166,4.854,1669.0,19.62,3066.0,100.0,0.0,0.0,0.0,4.854,1258.14,1148.93,false
167,4.848,1671.0,33.4,3068.0,99.74,0.0,712.0,0.32,4.848,1253.22,1157.77,false
168,4.786,1667.0,23.64,3069.0,99.66,0.0,0.0,0.0,4.786,1237.83,1153.14,false
169,4.827,1694.0,20.99,3067.0,99.87,0.0,0.0,0.0,4.827,1256.55,1149.8,false
170,4.8,1690.0,22.69,3067.0,99.66,0.0,0.0,0.0,4.8,1248.64,1147.44,false
