Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s,Adapted
0,2.009,1182.0,22.25,1863.0,50.93,0.0,0.0,0.0,2.009,518.13,472.11,false
1,4.52,1512.0,18.46,3073.0,99.96,0.001,712.0,0.32,4.521,1158.64,1085.17,false
2,4.686,1678.0,19.4,3063.0,100.0,0.0,0.0,0.0,4.686,1250.55,1146.83,false
3,4.674,1613.0,19.98,3064.0,99.91,0.0,0.0,0.0,4.674,1241.65,1153.93,false
4,4.663,1659.0,21.38,3067.0,99.62,0.0,0.0,0.0,4.663,1255.44,1150.79,false
5,4.71,1648.0,19.08,3063.0,100.0,0.0,0.0,0.0,4.71,1251.28,1151.65,false
6,4.679,1720.0,24.76,3067.0,99.79,0.0,0.0,0.0,4.679,1306.93,1149.7,false
7,4.778,1735.0,21.26,3058.0,100.0,0.0,0.0,0.0,4.778,1373.04,1141.32,false
8,4.734,1722.0,23.48,3062.0,99.92,0.0,0.0,0.0,4.734,1366.67,1147.22,false
9,4.722,1747.0,30.45,3064.0,99.93,0.0,709.0,0.43,4.722,1334.75,1146.17,false
10,4.737,1732.0,24.4,3064.0,99.87,0.0,0.0,0.0,4.737,1345.54,1145.31,false
11,4.72,1669.0,20.4,3066.0,100.0,0.0,712.0,0.32,4.72,1259.72,1152.21,false
12,4.635,1694.0,24.98,3073.0,99.56,0.0,0.0,0.0,4.635,1237.57,1159.77,false
13,4.737,1693.0,24.69,3067.0,100.0,0.0,0.0,0.0,4.737,1262.88,1149.22,false
14,4.692,1653.0,17.54,3068.0,100.0,0.0,0.0,0.0,4.692,1249.47,1155.67,false
15,4.709,1704.0,20.09,3068.0,99.96,0.0,0.0,0.0,4.709,1248.48,1152.4,false
16,4.761,1700.0,23.85,3066.0,100.0,0.0,0.0,0.0,4.761,1261.26,1153.49,false
17,4.705,1680.0,19.77,3068.0,99.84,0.0,0.0,0.0,4.705,1243.31,1149.67,false
18,4.72,1689.0,22.2,3068.0,100.0,0.0,0.0,0.0,4.72,1238.28,1151.06,false
19,4.705,1690.0,23.04,3068.0,99.8,0.001,709.0,0.22,4.706,1252.2,1145.54,false
20,4.74,1669.0,19.43,3066.0,100.0,0.0,0.0,0.0,4.74,1251.68,1153.95,false
21,4.738,1663.0,20.98,3066.0,100.0,0.0,708.0,0.22,4.738,1260.23,1155.57,false
22,4.746,1684.0,18.49,3066.0,100.0,0.0,0.0,0.0,4.746,1251.28,1151.22,false
23,4.737,1663.0,19.2,3066.0,100.0,0.0,0.0,0.0,4.737,1256.44,1152.14,false
24,4.722,1677.0,22.9,3068.0,99.84,0.0,709.0,0.22,4.722,1248.51,1156.54,false
25,4.722,1670.0,21.08,3068.0,100.0,0.0,0.0,0.0,4.722,1244.77,1151.32,false
26,4.739,1674.0,21.25,3066.0,100.0,0.0,710.0,0.53,4.739,1250.83,1150.27,false
27,4.729,1687.0,20.21,3068.0,99.88,0.0,0.0,0.0,4.729,1254.68,1141.85,false
28,4.726,1680.0,20.38,3068.0,99.87,0.0,0.0,0.0,4.726,1254.34,1154.8,false
29,4.747,1675.0,20.98,3068.0,99.87,0.0,0.0,0.0,4.747,1254.06,1153.72,false
30,4.764,1688.0,25.04,3066.0,100.0,0.002,712.0,0.32,4.766,1240.87,1152.65,false
31,4.715,1679.0,21.93,3070.0,99.9,0.0,0.0,0.0,4.715,1234.68,1155.56,false
32,4.73,1688.0,20.97,3069.0,100.0,0.0,0.0,0.0,4.73,1246.41,1150.06,false
33,4.719,1686.0,21.09,3070.0,99.83,0.0,0.0,0.0,4.719,1233.57,1150.62,false
34,4.918,1708.0,43.14,3066.0,100.0,0.0,0.0,0.0,4.918,1267.4,1156.68,false
35,4.717,1682.0,17.6,3069.0,99.81,0.0,0.0,0.0,4.717,1236.91,1148.28,false
36,4.8,1715.0,20.01,3060.0,99.94,0.0,0.0,0.0,4.8,1373.06,1140.2,false
37,4.789,1737.0,22.79,3061.0,100.0,0.0,0.0,0.0,4.789,1363.39,1146.12,false
38,4.752,1684.0,21.31,3068.0,99.98,0.001,714.0,0.42,4.753,1254.27,1157.75,false
39,4.763,1690.0,36.79,3071.0,99.74,0.0,0.0,0.0,4.763,1259.77,1152.89,false
40,4.733,1666.0,23.36,3070.0,99.83,0.0,714.0,0.41,4.733,1249.23,1153.88,false
41,4.771,1692.0,20.0,3066.0,100.0,0.0,0.0,0.0,4.771,1256.62,1152.54,false
42,4.773,1670.0,20.13,3066.0,100.0,0.0,709.0,0.22,4.773,1254.18,1151.84,false
43,4.726,1693.0,21.88,3070.0,99.67,0.0,0.0,0.0,4.726,1239.82,1141.65,false
44,4.738,1673.0,22.57,3070.0,99.91,0.0,0.0,0.0,4.738,1248.37,1153.99,false
45,4.784,1683.0,19.35,3066.0,100.0,0.0,0.0,0.0,4.784,1254.42,1152.82,false
46,4.693,1715.0,24.35,3073.0,99.61,0.0,0.0,0.0,4.693,1236.89,1156.99,false
47,4.781,1691.0,19.42,3066.0,100.0,0.0,0.0,0.0,4.781,1250.3,1150.82,false
48,4.774,1680.0,20.65,3066.0,100.0,0.0,0.0,0.0,4.774,1255.42,1148.46,false
49,4.78,1682.0,19.81,3066.0,100.0,0.0,0.0,0.0,4.78,1256.45,1151.67,false
50,4.737,1689.0,19.84,3069.0,100.0,0.0,0.0,0.0,4.737,1233.85,1143.07,false
51,4.768,1670.0,20.58,3068.0,100.0,0.0,0.0,0.0,4.768,1246.6,1150.58,false
52,4.89,1733.0,33.51,3066.0,100.0,0.0,0.0,0.0,4.89,1267.24,1165.3,false
53,4.765,1669.0,19.41,3068.0,100.0,0.0,0.0,0.0,4.765,1251.2,1146.6,false
54,4.77,1656.0,16.15,3066.0,100.0,0.0,0.0,0.0,4.77,1245.63,1149.95,false
55,4.761,1677.0,21.08,3068.0,100.0,0.0,0.0,0.0,4.761,1253.33,1143.96,false
56,4.788,1670.0,19.11,3066.0,100.0,0.0,0.0,0.0,4.788,1255.96,1151.11,false
57,4.737,1687.0,21.57,3070.0,99.84,0.0,0.0,0.0,4.737,1248.04,1157.96,false
58,4.783,1686.0,20.02,3067.0,100.0,0.0,0.0,0.0,4.783,1253.34,1148.48,false
59,4.794,1669.0,19.31,3066.0,100.0,0.0,0.0,0.0,4.794,1256.59,1151.92,false
60,4.737,1696.0,22.53,3070.0,99.87,0.0,0.0,0.0,4.737,1247.16,1153.47,false
61,4.774,1667.0,16.93,3066.0,100.0,0.0,0.0,0.0,4.774,1220.33,1150.65,false
62,4.8,1676.0,25.17,3068.0,100.0,0.0,0.0,0.0,4.8,1276.75,1155.13,false
63,4.79,1661.0,19.25,3066.0,100.0,0.0,0.0,0.0,4.79,1252.86,1150.77,false
64,4.77,1684.0,20.6,3068.0,99.86,0.0,0.0,0.0,4.77,1240.37,1150.41,false
65,4.788,1682.0,20.01,3066.0,100.0,0.0,0.0,0.0,4.788,1259.26,1151.58,false
66,4.765,1656.0,20.48,3069.0,100.0,0.0,0.0,0.0,4.765,1250.57,1150.05,false
67,4.764,1673.0,20.05,3068.0,99.86,0.0,0.0,0.0,4.764,1253.98,1141.16,false
68,4.794,1674.0,20.7,3067.0,100.0,0.0,0.0,0.0,4.794,1262.94,1158.14,false
69,4.831,1661.0,34.8,3068.0,100.0,0.0,0.0,0.0,4.831,1261.19,1156.31,false
70,4.78,1666.0,20.85,3068.0,99.85,0.0,0.0,0.0,4.78,1253.74,1152.55,false
71,4.797,1667.0,20.25,3066.0,100.0,0.0,712.0,0.32,4.797,1255.89,1150.03,false
72,4.765,1682.0,21.82,3070.0,99.83,0.0,0.0,0.0,4.765,1243.24,1146.27,false
73,4.744,1677.0,19.66,3070.0,99.87,0.0,0.0,0.0,4.744,1240.09,1147.36,false
74,4.778,1657.0,19.81,3068.0,100.0,0.0,0.0,0.0,4.778,1251.54,1151.73,false
75,4.761,1702.0,21.29,3068.0,99.79,0.0,0.0,0.0,4.761,1263.07,1156.81,false
76,4.743,1710.0,23.28,3071.0,99.47,0.0,0.0,0.0,4.743,1237.89,1151.72,false
77,4.769,1678.0,22.36,3070.0,99.88,0.0,0.0,0.0,4.769,1242.71,1150.79,false
78,4.813,1682.0,20.01,3066.0,100.0,0.0,0.0,0.0,4.813,1268.77,1151.63,false
79,4.783,1662.0,21.22,3068.0,99.85,0.0,0.0,0.0,4.783,1244.36,1151.36,false
80,4.775,1688.0,20.5,3068.0,99.85,0.0,0.0,0.0,4.775,1254.75,1144.16,false
81,4.766,1705.0,22.87,3069.0,99.71,0.0,0.0,0.0,4.766,1251.57,1154.99,false
82,4.776,1703.0,23.22,3070.0,99.68,0.0,0.0,0.0,4.776,1249.71,1153.87,false
83,4.801,1669.0,19.69,3066.0,100.0,0.0,0.0,0.0,4.801,1258.13,1150.99,false
84,4.812,1685.0,20.8,3066.0,100.0,0.0,0.0,0.0,4.812,1256.09,1152.39,false
85,4.74,1687.0,24.71,3071.0,99.71,0.001,713.0,0.63,4.741,1228.15,1142.52,false
86,4.786,1668.0,21.23,3068.0,100.0,0.0,0.0,0.0,4.786,1250.0,1152.15,false
87,4.804,1680.0,19.24,3066.0,100.0,0.003,711.0,0.53,4.807,1260.1,1156.28,false
88,4.797,1659.0,18.02,3067.0,100.0,0.0,0.0,0.0,4.797,1259.0,1153.23,false
89,4.773,1695.0,21.1,3069.0,99.81,0.0,0.0,0.0,4.773,1236.2,1151.09,false
90,4.806,1680.0,20.46,3066.0,100.0,0.0,0.0,0.0,4.806,1259.77,1141.83,false
91,4.783,1665.0,21.28,3068.0,100.0,0.0,0.0,0.0,4.783,1257.63,1156.62,false
92,4.778,1681.0,20.25,3068.0,99.85,0.0,0.0,0.0,4.778,1227.57,1156.65,false
93,4.813,1689.0,23.39,3066.0,100.0,0.0,0.0,0.0,4.813,1250.19,1149.71,false
94,4.8,1667.0,18.67,3066.0,100.0,0.0,0.0,0.0,4.8,1259.08,1144.53,false
95,4.781,1680.0,20.59,3068.0,99.91,0.0,0.0,0.0,4.781,1252.22,1158.17,false
96,4.81,1664.0,19.42,3066.0,100.0,0.0,0.0,0.0,4.81,1252.99,1149.5,false
97,4.783,1676.0,19.5,3068.0,100.0,0.0,714.0,0.41,4.783,1241.24,1142.66,false
98,4.818,1700.0,34.71,3068.0,99.89,0.0,0.0,0.0,4.818,1263.01,1156.55,false
99,4.813,1662.0,19.35,3066.0,100.0,0.0,0.0,0.0,4.813,1259.04,1154.44,false
100,4.79,1690.0,20.39,3068.0,100.0,0.0,0.0,0.0,4.79,1244.38,1151.31,false
101,4.808,1687.0,20.97,3066.0,100.0,0.0,712.0,0.63,4.808,1255.23,1145.08,false
102,4.796,1668.0,20.3,3068.0,100.0,0.0,0.0,0.0,4.796,1249.33,1153.47,false
103,4.805,1674.0,22.59,3068.0,99.84,0.001,712.0,0.32,4.806,1258.81,1153.8,false
104,4.806,1668.0,20.52,3068.0,100.0,0.0,0.0,0.0,4.806,1250.05,1149.48,false
105,4.811,1690.0,20.62,3067.0,100.0,0.0,0.0,0.0,4.811,1265.12,1156.75,false
106,4.817,1678.0,20.43,3068.0,100.0,0.0,0.0,0.0,4.817,1256.88,1153.34,false
107,4.814,1658.0,19.43,3066.0,100.0,0.0,0.0,0.0,4.814,1256.59,1154.22,false
108,4.784,1685.0,20.01,3068.0,99.84,0.0,0.0,0.0,4.784,1252.18,1148.99,false
109,4.82,1684.0,19.53,3066.0,100.0,0.0,0.0,0.0,4.82,1259.56,1149.15,false
110,4.828,1678.0,19.37,3067.0,100.0,0.0,0.0,0.0,4.828,1264.43,1151.46,false
111,4.756,1641.0,20.0,3070.0,99.75,0.0,0.0,0.0,4.756,1238.18,1142.25,false
112,4.827,1656.0,17.75,3066.0,100.0,0.0,0.0,0.0,4.827,1251.97,1158.1,false
113,4.778,1667.0,16.64,3068.0,99.84,0.0,0.0,0.0,4.778,1255.25,1146.82,false
114,4.793,1685.0,18.42,3068.0,99.8,0.0,0.0,0.0,4.793,1254.05,1154.99,false
115,4.802,1692.0,19.5,3068.0,99.82,0.0,0.0,0.0,4.802,1248.94,1151.13,false
116,4.828,1665.0,20.24,3066.0,100.0,0.0,0.0,0.0,4.828,1255.43,1151.23,false
117,5.034,1709.0,28.01,3066.0,99.67,0.002,712.0,0.31,5.036,1226.63,1150.12,false
118,4.798,1674.0,20.46,3068.0,99.86,0.0,0.0,0.0,4.798,1251.62,1149.69,false
119,4.772,1681.0,23.33,3071.0,99.81,0.0,0.0,0.0,4.772,1232.62,1149.35,false
120,4.796,1686.0,20.91,3068.0,99.85,0.0,0.0,0.0,4.796,1252.25,1151.88,false
121,4.801,1685.0,20.83,3067.0,99.8,0.0,0.0,0.0,4.801,1254.31,1151.55,false
122,4.807,1687.0,20.93,3067.0,100.0,0.0,0.0,0.0,4.807,1254.16,1144.19,false
123,4.814,1665.0,20.05,3066.0,100.0,0.0,0.0,0.0,4.814,1238.08,1150.38,false
124,4.811,1667.0,20.47,3068.0,100.0,0.0,0.0,0.0,4.811,1250.76,1153.18,false
125,4.821,1672.0,19.16,3066.0,100.0,0.0,0.0,0.0,4.821,1257.43,1152.33,false
126,4.81,1685.0,20.82,3067.0,99.86,0.0,0.0,0.0,4.81,1253.18,1152.94,false
127,4.761,1661.0,22.76,3070.0,99.56,0.0,0.0,0.0,4.761,1236.12,1150.9,false
128,4.867,1682.0,29.92,3066.0,100.0,0.0,0.0,0.0,4.867,1261.21,1155.58,false
129,4.758,1680.0,22.13,3069.0,99.58,0.0,0.0,0.0,4.758,1232.85,1139.96,false
130,4.824,1684.0,20.01,3066.0,100.0,0.0,0.0,0.0,4.824,1262.16,1150.9,false
131,4.819,1668.0,21.72,3068.0,99.8,0.0,0.0,0.0,4.819,1253.89,1161.23,false
132,4.837,1670.0,18.98,3066.0,100.0,0.0,0.0,0.0,4.837,1256.17,1151.63,false
133,4.8,1643.0,17.04,3066.0,100.0,0.0,713.0,0.31,4.8,1264.57,1145.14,false
134,4.828,1674.0,19.45,3066.0,100.0,0.0,0.0,0.0,4.828,1260.94,1152.9,false
135,4.74,1675.0,23.87,3071.0,99.5,0.0,0.0,0.0,4.74,1232.68,1153.64,false
136,4.806,1691.0,21.43,3068.0,99.89,0.0,0.0,0.0,4.806,1251.37,1150.4,false
137,4.824,1669.0,23.49,3068.0,99.83,0.0,0.0,0.0,4.824,1246.6,1151.38,false
138,4.843,1667.0,19.99,3066.0,100.0,0.0,0.0,0.0,4.843,1266.21,1154.19,false
139,4.85,1685.0,22.39,3067.0,100.0,0.0,0.0,0.0,4.85,1259.69,1154.48,false
140,4.806,1645.0,18.46,3068.0,99.87,0.0,0.0,0.0,4.806,1243.7,1150.6,false
141,4.82,1664.0,22.04,3068.0,100.0,0.0,0.0,0.0,4.82,1251.17,1149.87,false
142,4.825,1701.0,21.33,3067.0,100.0,0.0,0.0,0.0,4.825,1266.12,1155.45,false
143,4.81,1673.0,21.53,3067.0,99.85,0.0,0.0,0.0,4.81,1250.83,1148.97,false
144,4.804,1677.0,20.66,3067.0,99.84,0.0,0.0,0.0,4.804,1245.17,1154.86,false
145,4.783,1680.0,23.12,3069.0,99.81,0.0,0.0,0.0,4.783,1254.4,1145.01,false
146,4.838,1683.0,19.45,3066.0,100.0,0.0,0.0,0.0,4.838,1256.77,1151.68,false
147,4.814,1675.0,20.97,3067.0,99.87,0.0,0.0,0.0,4.814,1257.44,1153.6,false
148,4.811,1663.0,21.52,3068.0,100.0,0.0,713.0,0.31,4.811,1253.69,1155.97,false
149,4.815,1675.0,22.18,3068.0,100.0,0.0,0.0,0.0,4.815,1247.95,1152.5,false
