Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s,Adapted
0,2.016,1151.0,27.01,1906.0,50.49,0.0,0.0,0.0,2.016,516.92,469.56,false
1,4.529,1463.0,18.31,3073.0,99.96,0.001,715.0,0.51,4.53,1165.6,1084.86,false
2,4.702,1679.0,18.94,3063.0,100.0,0.0,0.0,0.0,4.702,1244.69,1148.65,false
3,4.704,1650.0,22.72,3065.0,100.0,0.003,713.0,0.63,4.707,1263.85,1145.69,false
4,4.661,1669.0,24.56,3068.0,99.6,0.0,0.0,0.0,4.661,1246.3,1153.86,false
5,4.683,1692.0,23.11,3065.0,99.91,0.003,713.0,0.63,4.686,1258.67,1142.83,false
6,4.652,1686.0,22.77,3070.0,99.72,0.0,0.0,0.0,4.652,1246.37,1154.53,false
7,4.714,1688.0,21.08,3066.0,100.0,0.0,0.0,0.0,4.714,1261.02,1149.85,false
8,4.654,1680.0,23.41,3071.0,99.85,0.0,0.0,0.0,4.654,1248.28,1154.5,false
9,4.69,1699.0,23.2,3069.0,99.86,0.0,712.0,0.32,4.69,1255.92,1148.74,false
10,4.74,1695.0,27.03,3068.0,99.81,0.001,712.0,0.32,4.741,1255.11,1146.83,false
11,4.684,1704.0,22.41,3070.0,99.73,0.0,0.0,0.0,4.684,1244.14,1150.86,false
12,4.704,1695.0,21.01,3068.0,99.89,0.0,0.0,0.0,4.704,1249.83,1149.65,false
13,4.7,1707.0,21.18,3068.0,99.89,0.0,0.0,0.0,4.7,1253.13,1151.8,false
14,4.721,1689.0,20.13,3068.0,99.89,0.0,0.0,0.0,4.721,1251.24,1150.04,false
15,4.714,1698.0,20.8,3068.0,100.0,0.0,0.0,0.0,4.714,1250.35,1149.15,false
16,4.711,1693.0,20.12,3068.0,99.83,0.0,0.0,0.0,4.711,1248.63,1149.87,false
17,4.719,1661.0,19.55,3069.0,100.0,0.0,0.0,0.0,4.719,1247.09,1150.78,false
18,4.72,1687.0,19.31,3067.0,99.84,0.0,712.0,0.32,4.72,1260.46,1151.91,false
19,4.753,1679.0,19.68,3066.0,100.0,0.0,0.0,0.0,4.753,1251.72,1148.27,false
20,4.723,1701.0,20.53,3068.0,99.84,0.0,0.0,0.0,4.723,1254.32,1151.24,false
21,4.724,1687.0,22.19,3069.0,100.0,0.0,0.0,0.0,4.724,1252.08,1146.82,false
22,4.76,1692.0,19.78,3067.0,100.0,0.0,0.0,0.0,4.76,1265.07,1159.15,false
23,4.702,1688.0,20.39,3070.0,99.65,0.0,0.0,0.0,4.702,1248.05,1150.51,false
