Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s,Adapted
0,2.071,1193.0,31.92,1851.0,51.75,0.0,0.0,0.0,2.071,530.2,472.08,false
1,4.528,1485.0,23.21,3073.0,99.97,0.001,712.0,0.32,4.529,1155.03,1087.41,false
2,4.693,1647.0,19.32,3063.0,100.0,0.0,0.0,0.0,4.693,1246.91,1157.1,false
3,4.9,1676.0,22.81,3061.0,100.0,0.0,0.0,0.0,4.9,1257.61,1151.68,false
4,4.641,1646.0,21.09,3068.0,99.63,0.0,0.0,0.0,4.641,1248.4,1151.02,false
5,4.656,1615.0,19.52,3067.0,99.65,0.0,0.0,0.0,4.656,1242.92,1152.49,false
6,4.65,1665.0,21.61,3069.0,99.92,0.0,0.0,0.0,4.65,1241.53,1143.63,false
7,4.603,1685.0,23.17,3073.0,99.28,0.0,0.0,0.0,4.603,1227.95,1147.57,false
8,4.717,1654.0,20.65,3066.0,100.0,0.0,0.0,0.0,4.717,1260.93,1153.56,false
9,4.723,1676.0,27.91,3068.0,100.0,0.002,709.0,0.43,4.725,1260.06,1157.89,false
10,4.755,1681.0,26.06,3067.0,100.0,0.0,0.0,0.0,4.755,1249.44,1153.45,false
11,4.745,1688.0,25.74,3066.0,100.0,0.001,712.0,0.32,4.746,1258.11,1153.49,false
12,4.711,1701.0,22.43,3068.0,99.85,0.0,0.0,0.0,4.711,1248.23,1156.64,false
13,4.71,1691.0,21.15,3068.0,100.0,0.0,0.0,0.0,4.71,1242.69,1151.06,false
14,4.706,1685.0,20.69,3068.0,99.86,0.0,0.0,0.0,4.706,1239.85,1147.95,false
15,4.739,1684.0,18.45,3066.0,100.0,0.0,0.0,0.0,4.739,1263.26,1153.72,false
16,4.706,1660.0,16.53,3066.0,100.0,0.0,0.0,0.0,4.706,1244.39,1144.13,false
17,4.728,1682.0,20.42,3066.0,100.0,0.0,0.0,0.0,4.728,1255.33,1154.43,false
18,4.682,1705.0,23.76,3071.0,99.46,0.0,0.0,0.0,4.682,1243.4,1158.36,false
