Time (s),Power (W),Voltage (V),Amps (A)
0,260.7,238.3,1.108
1,253.1,238.3,1.093
2,253.2,238.2,1.106
3,253.3,238.2,1.095
4,253.2,238.2,1.121
5,253.6,238.2,1.111
6,253.8,238.2,1.128
7,254.0,238.2,1.134
8,254.3,238.1,1.098
9,254.6,238.0,1.147
10,262.7,238.1,1.145
11,262.9,238.0,1.145
12,263.1,238.1,1.154
13,263.4,238.0,1.149
14,263.6,238.0,1.15
15,263.7,237.9,1.145
16,263.8,238.0,1.164
17,264.0,237.8,1.176
18,264.4,237.9,1.162
19,269.9,237.7,1.187
20,270.3,237.6,1.2
21,270.7,237.8,1.184
22,271.2,237.7,1.197
23,278.8,237.7,1.189
24,273.4,237.7,1.191
25,273.6,237.6,1.194
26,273.7,237.7,1.197
27,273.9,237.7,1.252
28,282.0,237.9,1.216
29,281.8,237.8,1.217
30,281.7,237.9,1.211
31,281.6,237.8,1.245
32,281.9,237.9,1.233
33,281.9,237.7,1.21
34,275.3,237.6,1.199
35,275.5,237.7,1.237
36,284.7,237.8,1.267
37,292.4,237.9,1.265
38,292.2,238.0,1.266
39,292.0,237.8,1.259
40,291.8,237.7,1.264
41,291.7,237.9,1.263
42,291.6,237.7,1.273
43,291.5,237.9,1.264
44,291.5,237.9,1.26
45,291.7,237.9,1.278
46,292.2,238.0,1.286
47,292.8,237.9,1.29
48,293.4,238.0,1.286
49,293.8,237.7,1.286
50,294.1,237.8,1.278
51,294.4,237.6,1.278
52,294.4,237.8,1.297
53,294.7,237.6,1.287
54,295.0,237.8,1.291
55,295.4,237.6,1.274
56,295.7,237.8,1.294
57,296.3,237.6,1.308
58,296.7,237.5,1.291
59,297.0,237.7,1.3
60,297.5,237.5,1.304
61,297.8,237.8,1.3
62,298.1,237.5,1.298
63,298.4,237.6,1.311
64,298.9,237.6,1.316
65,299.3,237.7,1.312
66,299.8,237.5,1.318
67,300.1,237.5,1.329
68,300.4,237.4,1.324
69,300.9,237.6,1.31
70,301.0,237.7,1.315
71,301.2,237.6,1.316
72,301.4,237.7,1.343
73,301.9,237.5,1.32
74,302.3,237.7,1.318
75,302.6,237.4,1.325
76,303.0,237.6,1.32
77,303.3,237.7,1.334
78,303.6,237.5,1.331
79,303.9,237.6,1.321
80,304.0,237.7,1.316
81,304.2,237.5,1.332
82,304.4,237.5,1.33
83,304.7,237.6,1.332
84,305.0,237.4,1.333
85,305.1,237.7,1.338
86,305.4,237.6,1.336
87,305.7,237.7,1.336
88,305.9,237.5,1.322
89,306.0,237.6,1.325
90,306.1,237.5,1.345
91,306.5,237.3,1.336
92,306.6,237.3,1.326
93,306.8,237.3,1.347
94,307.2,237.5,1.336
95,307.4,237.3,1.338
96,307.6,237.2,1.345
97,307.8,237.4,1.348
98,308.0,237.4,1.339
99,308.1,237.4,1.342
100,308.4,237.4,1.34
101,308.6,237.7,1.337
102,308.7,237.8,1.346
103,309.0,237.6,1.342
104,309.4,237.5,1.349
105,309.5,237.4,1.346
106,309.5,237.2,1.347
107,309.6,237.4,1.347
108,309.7,237.4,1.353
109,310.0,237.5,1.35
110,310.2,237.5,1.355
111,310.4,237.4,1.361
112,310.4,237.5,1.343
113,310.5,237.5,1.349
114,310.7,237.5,1.349
115,310.7,237.6,1.348
116,310.9,237.6,1.352
117,310.8,237.4,1.345
118,310.8,237.6,1.361
119,310.8,237.7,1.355
120,310.9,237.6,1.35
121,311.1,237.5,1.353
122,311.1,237.5,1.358
123,311.3,237.6,1.358
124,311.4,237.5,1.352
125,311.5,237.5,1.348
126,311.6,237.6,1.348
127,311.7,237.4,1.348
128,311.9,237.5,1.362
129,312.0,237.5,1.353
130,311.9,237.4,1.361
131,312.0,237.7,1.354
132,312.1,237.6,1.358
133,312.1,237.8,1.35
134,312.0,237.8,1.361
135,312.3,237.6,1.353
136,312.3,237.6,1.353
137,312.4,237.8,1.359
138,312.3,237.7,1.357
139,312.5,237.8,1.36
140,312.6,237.7,1.352
