Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
0,0.039,1068.0,17.22,623.0,0.47,0.0,0.0,0.0,0.039
1,0.025,1038.0,10.41,617.0,0.98,0.0,0.0,0.0,0.025
2,0.026,1042.0,10.49,617.0,1.41,0.0,0.0,0.0,0.026
3,0.025,1035.0,10.52,612.0,1.1,0.0,0.0,0.0,0.025
4,0.025,1039.0,9.82,618.0,1.38,0.0,0.0,0.0,0.025
5,0.025,1040.0,10.43,613.0,1.09,0.0,0.0,0.0,0.025
6,0.036,1040.0,28.71,615.0,1.08,0.0,0.0,0.0,0.036
7,0.026,1042.0,10.87,612.0,1.14,0.0,0.0,0.0,0.026
8,0.026,1040.0,10.6,619.0,0.95,0.0,0.0,0.0,0.026
9,0.024,1053.0,10.97,623.0,0.68,0.001,712.0,0.41,0.025
10,0.024,1039.0,12.34,613.0,0.67,0.0,0.0,0.0,0.024
11,0.026,1042.0,10.89,616.0,1.01,0.0,0.0,0.0,0.026
12,0.026,1044.0,10.6,615.0,1.35,0.0,0.0,0.0,0.026
13,0.025,1040.0,10.82,613.0,1.13,0.0,0.0,0.0,0.025
14,0.028,1040.0,12.87,619.0,0.96,0.0,0.0,0.0,0.028
15,0.026,1040.0,10.24,618.0,1.21,0.0,0.0,0.0,0.026
16,0.016,997.0,6.01,611.0,1.11,0.0,0.0,0.0,0.016
17,0.016,1007.0,6.59,608.0,0.79,0.0,0.0,0.0,0.016
18,0.023,1039.0,11.19,611.0,0.74,0.0,0.0,0.0,0.023
19,0.025,1041.0,10.72,612.0,1.14,0.0,0.0,0.0,0.025
20,0.024,1045.0,10.42,615.0,1.03,0.0,0.0,0.0,0.024
21,0.025,1038.0,10.35,612.0,1.13,0.0,0.0,0.0,0.025
22,0.026,1040.0,10.3,618.0,1.2,0.0,0.0,0.0,0.026
23,0.025,1043.0,10.09,613.0,1.5,0.0,0.0,0.0,0.025
24,0.025,1038.0,10.43,612.0,1.14,0.0,0.0,0.0,0.025
25,0.024,1042.0,10.38,616.0,1.09,0.0,0.0,0.0,0.024
26,0.025,1040.0,10.33,612.0,1.02,0.0,0.0,0.0,0.025
27,0.026,1039.0,10.85,619.0,1.15,0.0,0.0,0.0,0.026
28,0.025,1041.0,10.09,616.0,1.05,0.0,0.0,0.0,0.025
29,0.026,1040.0,10.05,620.0,1.08,0.0,0.0,0.0,0.026
30,0.025,1038.0,10.12,617.0,1.03,0.0,0.0,0.0,0.025
31,0.025,1036.0,11.91,613.0,0.63,0.0,0.0,0.0,0.025
32,0.023,1041.0,11.16,611.0,0.67,0.0,0.0,0.0,0.023
33,0.017,995.0,5.81,613.0,0.94,0.0,0.0,0.0,0.017
34,0.016,1013.0,5.26,611.0,1.37,0.0,0.0,0.0,0.016
35,0.025,1041.0,9.88,614.0,1.39,0.0,0.0,0.0,0.025
36,0.04,1033.0,18.78,614.0,1.13,0.0,0.0,0.0,0.04
37,0.026,1038.0,10.39,616.0,1.0,0.0,0.0,0.0,0.026
38,0.025,1043.0,10.4,616.0,1.12,0.0,0.0,0.0,0.025
39,0.035,1049.0,13.21,620.0,1.33,0.0,711.0,0.42,0.035
40,0.028,1045.0,11.79,620.0,1.25,0.0,705.0,0.22,0.028
41,0.029,1039.0,13.86,618.0,1.0,0.0,0.0,0.0,0.029
42,0.026,1042.0,10.68,618.0,0.97,0.0,0.0,0.0,0.026
43,0.026,1045.0,9.97,617.0,1.37,0.0,0.0,0.0,0.026
44,0.024,1037.0,10.5,612.0,1.13,0.0,0.0,0.0,0.024
45,0.026,1035.0,10.59,618.0,0.98,0.0,0.0,0.0,0.026
46,0.026,1040.0,10.65,618.0,1.07,0.0,0.0,0.0,0.026
