Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
79,0.024,1042.0,11.01,612.0,0.84,0.0,0.0,0.0,0.024
80,0.026,1045.0,10.36,612.0,1.18,0.0,0.0,0.0,0.026
81,0.026,1041.0,10.64,616.0,1.0,0.0,0.0,0.0,0.026
82,0.026,1042.0,10.83,617.0,1.0,0.0,0.0,0.0,0.026
83,0.019,1003.0,6.6,613.0,0.93,0.0,0.0,0.0,0.019
84,0.016,1006.0,4.81,612.0,1.14,0.0,0.0,0.0,0.016
85,0.025,1043.0,9.95,617.0,1.01,0.0,0.0,0.0,0.025
86,0.027,1044.0,10.95,615.0,1.03,0.0,0.0,0.0,0.027
87,0.025,1042.0,10.59,616.0,0.99,0.0,0.0,0.0,0.025
88,0.057,1100.0,20.56,654.0,1.64,0.0,0.0,0.0,0.057
89,0.027,1043.0,10.16,618.0,1.14,0.0,0.0,0.0,0.027
90,0.024,1036.0,11.46,616.0,0.66,0.0,0.0,0.0,0.024
91,0.026,1047.0,10.68,616.0,1.01,0.0,0.0,0.0,0.026
92,0.026,1042.0,10.39,616.0,1.0,0.0,0.0,0.0,0.026
93,0.025,1044.0,10.22,616.0,1.15,0.0,0.0,0.0,0.025
94,0.026,1043.0,10.23,616.0,1.03,0.0,0.0,0.0,0.026
95,0.039,1040.0,25.24,616.0,1.0,0.0,0.0,0.0,0.039
96,0.025,1044.0,10.51,616.0,1.19,0.0,0.0,0.0,0.025
97,0.025,1039.0,10.27,615.0,1.11,0.0,0.0,0.0,0.025
98,0.026,1043.0,10.4,617.0,1.03,0.0,0.0,0.0,0.026
99,0.026,1048.0,10.06,616.0,0.96,0.0,0.0,0.0,0.026
100,0.024,1040.0,9.56,613.0,0.95,0.0,0.0,0.0,0.024
101,0.013,984.0,3.97,609.0,1.22,0.0,0.0,0.0,0.013
102,0.021,1034.0,8.07,606.0,0.91,0.0,0.0,0.0,0.021
103,0.027,1050.0,11.92,611.0,1.15,0.0,0.0,0.0,0.027
104,0.026,1044.0,10.02,616.0,1.0,0.0,0.0,0.0,0.026
105,0.026,1042.0,10.83,616.0,1.0,0.0,0.0,0.0,0.026
106,0.026,1042.0,10.33,616.0,0.97,0.0,0.0,0.0,0.026
107,0.025,1047.0,9.99,616.0,1.26,0.0,0.0,0.0,0.025
108,0.025,1044.0,9.84,612.0,1.48,0.0,0.0,0.0,0.025
109,0.027,1039.0,10.56,615.0,1.08,0.0,0.0,0.0,0.027
110,0.025,1046.0,10.41,616.0,1.13,0.0,0.0,0.0,0.025
111,0.024,1039.0,11.01,613.0,0.71,0.0,0.0,0.0,0.024
112,0.026,1048.0,10.24,615.0,1.21,0.0,0.0,0.0,0.026
113,0.026,1043.0,10.07,614.0,1.07,0.0,0.0,0.0,0.026
114,0.025,1043.0,10.15,616.0,1.0,0.0,0.0,0.0,0.025
115,0.027,1042.0,10.88,616.0,1.0,0.0,0.0,0.0,0.027
116,0.026,1045.0,10.12,617.0,0.97,0.0,0.0,0.0,0.026
117,0.025,1046.0,10.03,616.0,1.0,0.0,0.0,0.0,0.025
118,0.017,995.0,5.83,613.0,0.88,0.0,0.0,0.0,0.017
119,0.02,1017.0,6.25,614.0,1.27,0.0,0.0,0.0,0.02
120,0.026,1043.0,10.46,619.0,1.01,0.0,0.0,0.0,0.026
121,0.026,1040.0,10.56,616.0,0.97,0.0,0.0,0.0,0.026
122,0.026,1042.0,10.44,616.0,0.98,0.0,0.0,0.0,0.026
123,0.024,1045.0,10.22,616.0,0.97,0.0,0.0,0.0,0.024
124,0.036,1038.0,30.55,613.0,0.68,0.0,0.0,0.0,0.036
125,0.027,1045.0,10.92,617.0,1.05,0.0,0.0,0.0,0.027
126,0.026,1040.0,10.56,616.0,0.99,0.0,0.0,0.0,0.026
127,0.023,1043.0,10.99,612.0,0.76,0.0,0.0,0.0,0.023
128,0.026,1047.0,10.43,611.0,1.18,0.0,0.0,0.0,0.026
129,0.03,1047.0,12.09,746.0,0.96,0.0,713.0,0.52,0.03
130,0.027,1047.0,10.76,622.0,1.26,0.0,0.0,0.0,0.027
131,0.028,1044.0,12.3,613.0,1.09,0.0,0.0,0.0,0.028
132,0.027,1042.0,12.94,617.0,1.0,0.0,711.0,0.42,0.027
133,0.027,1045.0,10.41,616.0,0.99,0.0,0.0,0.0,0.027
134,0.026,1044.0,10.58,615.0,1.4,0.0,0.0,0.0,0.026
135,0.024,1032.0,9.58,609.0,0.96,0.0,0.0,0.0,0.024
136,0.012,985.0,3.93,609.0,1.37,0.0,0.0,0.0,0.012
137,0.023,1035.0,8.04,611.0,1.17,0.0,0.0,0.0,0.023
138,0.026,1040.0,10.43,616.0,0.98,0.0,0.0,0.0,0.026
139,0.027,1047.0,12.32,615.0,1.37,0.0,0.0,0.0,0.027
140,0.025,1040.0,11.16,614.0,1.15,0.0,0.0,0.0,0.025
141,0.024,1039.0,11.36,613.0,0.66,0.0,0.0,0.0,0.024
142,0.027,1046.0,10.63,616.0,0.99,0.0,0.0,0.0,0.027
143,0.026,1042.0,10.72,617.0,1.0,0.0,0.0,0.0,0.026
144,0.024,1038.0,11.79,613.0,0.61,0.0,0.0,0.0,0.024
145,0.025,1046.0,11.32,616.0,1.15,0.0,0.0,0.0,0.025
146,0.026,1043.0,10.3,615.0,1.06,0.0,0.0,0.0,0.026
147,0.025,1042.0,10.43,616.0,0.98,0.0,0.0,0.0,0.025
148,0.026,1046.0,10.12,615.0,1.25,0.0,0.0,0.0,0.026
149,0.026,1041.0,10.52,614.0,1.29,0.0,0.0,0.0,0.026
150,0.026,1042.0,10.05,619.0,1.21,0.0,0.0,0.0,0.026
151,0.024,1040.0,10.15,612.0,1.3,0.0,0.0,0.0,0.024
152,0.026,1045.0,10.29,610.0,1.42,0.0,0.0,0.0,0.026
153,0.015,992.0,5.31,609.0,1.1,0.0,0.0,0.0,0.015
154,0.03,1018.0,25.6,612.0,1.23,0.0,0.0,0.0,0.03
155,0.026,1042.0,10.3,617.0,1.03,0.0,0.0,0.0,0.026
156,0.033,1053.0,13.51,615.0,1.39,0.0,0.0,0.0,0.033
157,0.025,1041.0,10.44,612.0,1.22,0.0,0.0,0.0,0.025
158,0.026,1047.0,10.46,616.0,1.06,0.0,0.0,0.0,0.026
159,0.027,1041.0,10.88,617.0,1.04,0.0,0.0,0.0,0.027
160,0.026,1042.0,10.53,617.0,1.01,0.0,0.0,0.0,0.026
161,0.029,1047.0,14.02,616.0,1.19,0.0,0.0,0.0,0.029
162,0.027,1043.0,11.25,614.0,1.09,0.0,0.0,0.0,0.027
163,0.025,1042.0,11.05,616.0,0.99,0.0,0.0,0.0,0.025
164,0.027,1045.0,10.63,617.0,0.98,0.0,0.0,0.0,0.027
165,0.03,1054.0,12.11,684.0,1.4,0.0,712.0,0.42,0.03
166,0.026,1038.0,10.59,616.0,1.07,0.0,0.0,0.0,0.026
167,0.026,1042.0,11.31,616.0,1.03,0.0,0.0,0.0,0.026
168,0.025,1044.0,10.1,617.0,1.36,0.0,0.0,0.0,0.025
169,0.027,1042.0,11.07,613.0,1.08,0.0,0.0,0.0,0.027
170,0.017,998.0,6.12,613.0,0.89,0.0,0.0,0.0,0.017
