Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
0,0.051,1046.0,15.49,631.0,0.94,0.0,0.0,0.0,0.051
1,0.026,1040.0,10.74,621.0,1.3,0.0,0.0,0.0,0.026
2,0.026,1038.0,10.32,618.0,1.09,0.0,0.0,0.0,0.026
3,0.028,1041.0,10.47,619.0,1.06,0.0,0.0,0.0,0.028
4,0.026,1040.0,10.76,619.0,1.06,0.0,0.0,0.0,0.026
5,0.021,1004.0,8.67,614.0,0.93,0.0,0.0,0.0,0.021
6,0.017,1013.0,5.61,611.0,1.6,0.0,0.0,0.0,0.017
7,0.026,1040.0,10.25,613.0,1.24,0.0,0.0,0.0,0.026
8,0.028,1038.0,12.12,619.0,1.04,0.0,0.0,0.0,0.028
9,0.026,1046.0,12.87,618.0,0.73,0.0,713.0,0.51,0.026
10,0.028,1042.0,10.98,616.0,1.11,0.0,0.0,0.0,0.028
11,0.027,1042.0,10.96,619.0,1.05,0.0,0.0,0.0,0.027
12,0.026,1038.0,10.54,619.0,1.05,0.0,0.0,0.0,0.026
13,0.026,1042.0,10.09,617.0,1.44,0.0,0.0,0.0,0.026
14,0.026,1039.0,11.22,612.0,1.31,0.0,0.0,0.0,0.026
15,0.027,1037.0,10.4,614.0,1.54,0.0,0.0,0.0,0.027
16,0.026,1040.0,11.26,614.0,1.17,0.0,0.0,0.0,0.026
17,0.027,1038.0,10.12,617.0,1.44,0.0,0.0,0.0,0.027
18,0.026,1043.0,10.14,614.0,1.35,0.0,0.0,0.0,0.026
19,0.038,1038.0,32.78,615.0,0.78,0.0,0.0,0.0,0.038
20,0.028,1040.0,10.77,617.0,1.05,0.0,0.0,0.0,0.028
21,0.026,1042.0,10.34,616.0,1.23,0.0,0.0,0.0,0.026
22,0.016,995.0,5.88,611.0,1.0,0.0,0.0,0.0,0.016
23,0.019,1013.0,5.79,613.0,1.19,0.0,0.0,0.0,0.019
24,0.027,1043.0,10.15,619.0,1.05,0.0,0.0,0.0,0.027
25,0.027,1042.0,10.31,617.0,1.47,0.0,0.0,0.0,0.027
26,0.026,1039.0,10.1,614.0,1.14,0.0,0.0,0.0,0.026
27,0.027,1038.0,10.69,619.0,1.04,0.0,0.0,0.0,0.027
28,0.026,1043.0,10.61,619.0,1.04,0.0,0.0,0.0,0.026
29,0.029,1045.0,10.34,617.0,1.59,0.0,0.0,0.0,0.029
30,0.027,1039.0,11.35,615.0,1.21,0.0,0.0,0.0,0.027
31,0.026,1038.0,10.38,618.0,1.02,0.0,0.0,0.0,0.026
32,0.026,1043.0,10.34,619.0,1.04,0.0,0.0,0.0,0.026
33,0.028,1040.0,10.74,619.0,1.04,0.0,0.0,0.0,0.028
34,0.026,1048.0,9.94,616.0,1.39,0.0,0.0,0.0,0.026
35,0.029,1042.0,11.75,614.0,1.21,0.0,0.0,0.0,0.029
36,0.027,1039.0,10.61,618.0,1.13,0.0,0.0,0.0,0.027
37,0.027,1043.0,10.47,617.0,1.05,0.0,0.0,0.0,0.027
38,0.025,1040.0,11.09,615.0,1.0,0.0,0.0,0.0,0.025
39,0.014,987.0,5.63,608.0,1.24,0.0,0.0,0.0,0.014
40,0.019,1017.0,7.51,609.0,0.91,0.0,0.0,0.0,0.019
41,0.027,1037.0,10.73,616.0,1.33,0.0,0.0,0.0,0.027
42,0.027,1043.0,10.55,616.0,1.14,0.0,0.0,0.0,0.027
43,0.026,1038.0,10.3,618.0,1.01,0.0,0.0,0.0,0.026
44,0.027,1040.0,10.7,617.0,1.46,0.0,0.0,0.0,0.027
45,0.025,1044.0,10.28,613.0,1.6,0.0,0.0,0.0,0.025
46,0.027,1045.0,9.96,616.0,1.18,0.0,0.0,0.0,0.027
47,0.027,1042.0,11.06,619.0,1.06,0.0,0.0,0.0,0.027
48,0.035,1040.0,26.45,615.0,1.13,0.0,0.0,0.0,0.035
49,0.031,1044.0,19.03,611.0,1.59,0.0,0.0,0.0,0.031
50,0.026,1038.0,10.59,613.0,1.21,0.0,0.0,0.0,0.026
51,0.026,1040.0,10.4,619.0,1.04,0.0,0.0,0.0,0.026
52,0.026,1040.0,10.72,618.0,1.08,0.0,0.0,0.0,0.026
53,0.026,1040.0,11.01,614.0,0.92,0.0,0.0,0.0,0.026
54,0.026,1043.0,10.84,612.0,1.18,0.0,0.0,0.0,0.026
55,0.03,1060.0,11.22,779.0,1.57,0.002,714.0,0.62,0.032
56,0.013,980.0,4.48,610.0,1.18,0.0,0.0,0.0,0.013
57,0.021,1034.0,8.37,609.0,0.9,0.0,0.0,0.0,0.021
58,0.026,1039.0,10.53,612.0,1.2,0.0,0.0,0.0,0.026
59,0.029,1040.0,11.19,620.0,1.19,0.0,0.0,0.0,0.029
60,0.026,1039.0,10.76,617.0,1.07,0.0,0.0,0.0,0.026
61,0.027,1039.0,10.54,619.0,1.05,0.0,0.0,0.0,0.027
62,0.026,1040.0,9.73,618.0,1.37,0.0,0.0,0.0,0.026
63,0.027,1040.0,11.87,615.0,1.13,0.0,0.0,0.0,0.027
64,0.028,1040.0,11.36,618.0,1.36,0.0,0.0,0.0,0.028
65,0.027,1040.0,10.82,614.0,1.16,0.0,0.0,0.0,0.027
66,0.026,1038.0,10.47,619.0,1.05,0.0,0.0,0.0,0.026
67,0.028,1040.0,13.11,615.0,0.86,0.0,0.0,0.0,0.028
68,0.026,1040.0,10.45,615.0,1.15,0.0,0.0,0.0,0.026
69,0.027,1043.0,10.74,617.0,1.43,0.0,0.0,0.0,0.027
70,0.026,1039.0,10.42,614.0,1.19,0.0,0.0,0.0,0.026
71,0.028,1043.0,10.22,619.0,1.05,0.0,0.0,0.0,0.028
72,0.024,1027.0,8.53,615.0,1.08,0.0,0.0,0.0,0.024
