Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
0,0.052,1082.0,25.15,625.0,0.54,0.0,0.0,0.0,0.052
1,0.025,1040.0,10.55,615.0,1.42,0.0,0.0,0.0,0.025
2,0.041,1035.0,20.69,613.0,1.44,0.0,0.0,0.0,0.041
3,0.027,1040.0,11.37,614.0,1.09,0.0,0.0,0.0,0.027
4,0.026,1043.0,10.68,619.0,1.02,0.0,0.0,0.0,0.026
5,0.025,1038.0,11.01,616.0,1.19,0.0,0.0,0.0,0.025
6,0.024,1037.0,11.55,610.0,0.87,0.0,0.0,0.0,0.024
7,0.027,1031.0,10.15,611.0,1.02,0.0,0.0,0.0,0.027
8,0.013,985.0,4.83,609.0,1.26,0.0,0.0,0.0,0.013
9,0.024,1032.0,9.6,612.0,1.18,0.001,711.0,0.41,0.025
10,0.026,1043.0,13.94,614.0,0.62,0.0,0.0,0.0,0.026
11,0.026,1042.0,11.48,612.0,1.39,0.0,0.0,0.0,0.026
12,0.027,1041.0,11.14,614.0,1.15,0.0,0.0,0.0,0.027
13,0.025,1045.0,10.07,615.0,1.43,0.0,0.0,0.0,0.025
14,0.028,1040.0,11.21,612.0,1.44,0.0,0.0,0.0,0.028
15,0.024,1038.0,10.76,612.0,1.31,0.0,0.0,0.0,0.024
16,0.026,1039.0,11.15,610.0,1.35,0.0,0.0,0.0,0.026
17,0.026,1046.0,10.93,614.0,1.5,0.0,0.0,0.0,0.026
18,0.025,1039.0,10.86,612.0,1.13,0.0,0.0,0.0,0.025
19,0.027,1035.0,11.18,618.0,1.0,0.0,0.0,0.0,0.027
20,0.023,1043.0,11.81,613.0,0.51,0.0,0.0,0.0,0.023
21,0.025,1046.0,10.34,616.0,1.37,0.0,0.0,0.0,0.025
22,0.028,1038.0,11.17,614.0,1.11,0.0,0.0,0.0,0.028
23,0.025,1042.0,10.48,619.0,0.99,0.0,0.0,0.0,0.025
24,0.027,1037.0,11.05,618.0,1.07,0.0,0.0,0.0,0.027
25,0.014,985.0,5.4,611.0,0.9,0.0,0.0,0.0,0.014
26,0.019,1020.0,7.9,609.0,0.92,0.0,0.0,0.0,0.019
27,0.026,1037.0,10.77,614.0,1.48,0.0,0.0,0.0,0.026
28,0.026,1046.0,10.53,614.0,1.1,0.0,0.0,0.0,0.026
29,0.029,1042.0,10.38,620.0,1.25,0.0,0.0,0.0,0.029
30,0.024,1041.0,11.82,614.0,0.9,0.0,0.0,0.0,0.024
31,0.037,1042.0,30.85,611.0,0.94,0.0,0.0,0.0,0.037
32,0.026,1038.0,10.62,615.0,1.09,0.0,0.0,0.0,0.026
33,0.027,1038.0,10.67,619.0,0.98,0.0,0.0,0.0,0.027
34,0.024,1035.0,11.94,615.0,0.78,0.0,0.0,0.0,0.024
35,0.026,1038.0,10.88,615.0,1.08,0.0,0.0,0.0,0.026
36,0.032,1057.0,11.79,699.0,1.27,0.0,713.0,0.51,0.032
37,0.028,1040.0,12.83,618.0,1.03,0.0,0.0,0.0,0.028
38,0.026,1038.0,10.51,618.0,1.15,0.0,0.0,0.0,0.026
39,0.024,1033.0,11.66,611.0,0.74,0.0,0.0,0.0,0.024
40,0.027,1038.0,10.97,615.0,1.06,0.0,0.0,0.0,0.027
41,0.028,1038.0,12.11,619.0,1.01,0.0,0.0,0.0,0.028
42,0.021,1012.0,8.13,615.0,1.02,0.0,0.0,0.0,0.021
43,0.014,996.0,4.51,611.0,1.14,0.0,0.0,0.0,0.014
44,0.026,1039.0,10.73,616.0,1.02,0.0,0.0,0.0,0.026
45,0.025,1037.0,11.51,616.0,1.03,0.0,0.0,0.0,0.025
46,0.026,1043.0,11.04,612.0,1.16,0.0,0.0,0.0,0.026
47,0.027,1040.0,11.26,619.0,0.99,0.0,0.0,0.0,0.027
48,0.026,1038.0,10.69,619.0,1.0,0.0,0.0,0.0,0.026
49,0.026,1048.0,10.32,617.0,1.35,0.0,0.0,0.0,0.026
50,0.024,1041.0,11.92,610.0,0.86,0.0,0.0,0.0,0.024
51,0.026,1043.0,11.21,614.0,1.1,0.0,0.0,0.0,0.026
52,0.025,1041.0,12.02,614.0,0.78,0.0,0.0,0.0,0.025
53,0.026,1038.0,11.0,611.0,1.18,0.0,0.0,0.0,0.026
54,0.025,1040.0,10.69,618.0,1.0,0.0,0.0,0.0,0.025
55,0.027,1040.0,11.24,619.0,1.0,0.0,0.0,0.0,0.027
56,0.027,1038.0,10.77,619.0,1.0,0.0,0.0,0.0,0.027
57,0.024,1036.0,11.53,615.0,0.66,0.0,0.0,0.0,0.024
58,0.027,1043.0,11.09,617.0,1.07,0.0,0.0,0.0,0.027
59,0.025,1037.0,9.51,612.0,1.09,0.0,0.0,0.0,0.025
60,0.015,980.0,4.03,608.0,1.14,0.0,0.0,0.0,0.015
61,0.035,1028.0,16.25,612.0,1.24,0.0,0.0,0.0,0.035
62,0.024,1039.0,11.13,613.0,0.95,0.0,0.0,0.0,0.024
63,0.026,1040.0,10.4,612.0,1.16,0.0,0.0,0.0,0.026
64,0.027,1040.0,10.79,619.0,1.01,0.0,0.0,0.0,0.027
65,0.027,1039.0,11.16,618.0,1.06,0.0,0.0,0.0,0.027
66,0.026,1042.0,10.8,617.0,1.01,0.0,0.0,0.0,0.026
67,0.027,1037.0,11.27,619.0,0.97,0.0,0.0,0.0,0.027
68,0.028,1039.0,13.17,619.0,1.02,0.0,0.0,0.0,0.028
69,0.027,1040.0,11.07,618.0,0.98,0.0,0.0,0.0,0.027
70,0.027,1046.0,11.04,617.0,1.31,0.0,0.0,0.0,0.027
71,0.023,1038.0,11.5,610.0,0.9,0.0,0.0,0.0,0.023
72,0.026,1041.0,10.86,614.0,1.01,0.0,0.0,0.0,0.026
73,0.025,1041.0,11.08,616.0,1.16,0.0,0.0,0.0,0.025
74,0.026,1043.0,10.48,611.0,1.27,0.0,0.0,0.0,0.026
75,0.027,1038.0,10.96,614.0,1.05,0.0,0.0,0.0,0.027
76,0.025,1042.0,10.7,617.0,1.12,0.0,0.0,0.0,0.025
77,0.016,982.0,5.77,610.0,1.34,0.0,0.0,0.0,0.016
78,0.02,1027.0,7.04,611.0,1.2,0.0,0.0,0.0,0.02
79,0.023,1038.0,11.36,610.0,0.75,0.0,0.0,0.0,0.023
80,0.026,1043.0,11.31,617.0,1.07,0.0,0.0,0.0,0.026
81,0.027,1039.0,10.96,615.0,1.04,0.0,0.0,0.0,0.027
82,0.027,1035.0,11.22,619.0,0.98,0.0,0.0,0.0,0.027
83,0.023,1037.0,11.48,615.0,0.63,0.0,0.0,0.0,0.023
84,0.027,1046.0,10.17,617.0,1.3,0.0,0.0,0.0,0.027
85,0.026,1042.0,11.15,614.0,1.09,0.0,0.0,0.0,0.026
86,0.04,1044.0,26.16,616.0,1.19,0.0,0.0,0.0,0.04
87,0.115,1043.0,100.0,608.0,1.29,0.0,0.0,0.0,0.115
88,0.113,1043.0,100.0,608.0,1.29,0.0,0.0,0.0,0.113
89,0.115,1043.0,100.0,609.0,1.34,0.0,0.0,0.0,0.115
90,0.123,1040.0,100.0,608.0,1.35,0.0,0.0,0.0,0.123
91,0.115,1043.0,100.0,609.0,1.38,0.0,0.0,0.0,0.115
92,0.114,1042.0,100.0,607.0,1.13,0.0,0.0,0.0,0.114
93,0.114,1043.0,100.0,609.0,1.19,0.0,0.0,0.0,0.114
94,0.073,1041.0,30.72,831.0,2.03,0.0,711.0,0.42,0.073
95,0.018,1007.0,7.73,609.0,1.32,0.0,704.0,0.22,0.018
96,0.025,1041.0,10.98,611.0,1.31,0.0,0.0,0.0,0.025
97,0.026,1036.0,10.25,614.0,1.43,0.0,0.0,0.0,0.026
98,0.026,1040.0,10.81,614.0,1.12,0.0,0.0,0.0,0.026
99,0.028,1043.0,11.6,619.0,0.99,0.0,0.0,0.0,0.028
100,0.023,1038.0,11.68,615.0,0.68,0.0,0.0,0.0,0.023
101,0.026,1042.0,10.36,616.0,1.39,0.0,0.0,0.0,0.026
102,0.027,1041.0,11.75,614.0,1.1,0.0,0.0,0.0,0.027
103,0.026,1037.0,10.91,619.0,1.0,0.0,0.0,0.0,0.026
104,0.026,1038.0,10.73,619.0,1.0,0.0,0.0,0.0,0.026
105,0.029,1043.0,10.55,617.0,1.37,0.0,0.0,0.0,0.029
