Time (s),Power (W),Voltage (V),Amps (A)
0,267.6,236.5,1.1
1,275.5,236.2,1.147
2,262.5,236.2,1.197
3,274.0,236.4,1.248
4,282.3,236.0,1.265
5,289.2,236.1,1.273
6,294.3,236.0,1.324
7,300.5,235.9,1.327
8,300.9,236.1,1.341
9,306.3,236.0,1.35
10,311.7,236.0,1.353
11,311.3,235.9,1.36
12,311.3,236.0,1.357
13,311.3,235.9,1.381
14,311.7,236.0,1.362
15,311.7,235.8,1.368
16,312.0,235.9,1.373
17,312.1,235.7,1.375
18,312.6,235.9,1.388
19,313.0,235.7,1.381
20,313.5,235.8,1.373
21,313.7,235.7,1.373
22,313.9,235.7,1.35
23,314.1,235.8,1.372
24,314.2,235.7,1.361
25,314.2,235.5,1.374
26,314.3,235.9,1.36
27,314.3,235.8,1.369
28,314.5,236.0,1.374
29,314.6,235.8,1.382
30,314.9,236.0,1.358
31,315.0,235.9,1.39
32,315.1,235.9,1.362
33,315.0,236.1,1.377
34,315.0,236.0,1.374
35,315.1,235.9,1.376
36,315.3,236.0,1.396
37,315.4,236.1,1.375
38,315.5,236.1,1.383
39,315.7,236.2,1.371
40,315.7,236.3,1.381
41,315.8,236.3,1.373
42,316.0,236.3,1.373
43,316.0,236.1,1.374
44,316.0,236.1,1.377
45,316.1,236.2,1.377
46,315.8,236.2,1.372
47,315.9,236.2,1.375
48,315.9,236.1,1.374
49,316.1,236.2,1.376
50,316.0,236.2,1.377
51,316.3,236.1,1.376
52,316.5,236.0,1.375
53,316.4,236.1,1.374
54,316.1,236.1,1.377
55,316.1,236.4,1.124
56,292.7,236.0,1.367
57,318.0,236.1,1.374
58,317.7,236.3,1.377
59,317.6,236.4,1.387
60,317.6,236.3,1.379
61,317.6,236.1,1.37
62,317.6,236.2,1.374
63,317.5,236.2,1.372
64,317.3,236.4,1.376
65,317.0,236.4,1.379
66,317.2,236.2,1.346
67,316.5,236.0,1.382
68,316.8,236.0,1.375
69,316.9,235.9,1.369
70,316.9,235.9,1.379
71,317.0,236.0,1.399
72,317.2,236.0,1.374
73,317.0,235.8,1.379
74,317.1,235.9,1.377
75,317.0,235.8,1.387
76,317.2,236.0,1.379
77,317.2,235.8,1.381
78,317.4,235.9,1.384
79,317.3,235.6,1.379
80,317.4,235.9,1.375
81,317.5,235.8,1.386
82,317.6,235.9,1.411
83,317.8,235.7,1.386
84,317.8,235.6,1.372
85,317.7,235.4,1.386
86,317.8,235.4,1.383
87,309.8,235.6,1.4
88,319.2,235.6,1.384
89,318.9,235.8,1.383
90,318.8,235.6,1.395
91,318.8,235.5,1.378
92,318.7,235.7,1.383
93,318.4,235.5,1.38
94,318.3,235.5,1.382
95,318.3,235.7,1.387
96,318.3,235.7,1.385
97,318.3,235.7,1.385
98,318.2,235.7,1.385
99,318.4,235.7,1.383
100,318.3,235.6,1.392
101,318.5,235.7,1.387
102,318.3,235.9,1.387
103,318.3,235.9,1.385
104,318.2,235.7,1.39
105,318.5,235.8,1.377
106,318.3,235.5,1.388
107,318.4,235.8,1.348
108,313.2,235.9,1.383
109,318.4,235.9,1.395
110,318.5,235.6,1.384
111,318.7,235.4,1.38
112,318.6,235.7,1.382
113,318.6,235.7,1.383
114,318.5,235.6,1.383
115,318.5,235.6,1.384
116,318.6,235.6,1.364
117,318.2,235.7,1.369
118,318.1,235.8,1.386
119,318.2,235.7,1.385
120,318.2,235.6,1.387
121,318.3,235.4,1.382
122,318.4,235.3,1.38
123,318.3,235.2,1.339
124,318.1,235.1,1.386
125,318.1,235.1,1.395
126,318.3,235.6,1.38
127,318.4,235.6,1.377
128,318.5,235.7,1.387
129,318.5,235.7,1.39
130,318.6,235.7,1.388
131,318.6,235.8,1.385
132,318.6,235.8,1.386
133,318.6,235.8,1.396
134,318.4,235.9,1.384
135,318.5,235.9,1.398
136,318.7,235.6,1.385
137,318.7,235.8,1.387
138,318.8,235.8,1.391
139,318.8,235.9,1.387
140,318.8,235.9,1.384
141,318.7,235.8,1.387
142,318.8,236.0,1.384
143,318.5,235.8,1.388
144,318.6,235.6,1.39
145,318.5,235.6,1.384
146,318.5,235.6,1.377
