Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.795,1269.0,24.58,1736.0,44.13,0.001,710.0,0.53,1.796,50.32,435.93,441.62
1,4.518,1636.0,12.11,3076.0,99.7,0.001,708.0,0.22,4.519,125.83,1068.3,1072.01
2,4.762,1852.0,11.57,3053.0,100.0,0.0,0.0,0.0,4.762,180.82,1138.92,1148.85
3,4.751,1844.0,13.79,3056.0,100.0,0.0,0.0,0.0,4.751,179.62,1150.89,1152.84
4,4.774,1864.0,11.74,3053.0,100.0,0.0,0.0,0.0,4.774,179.75,1154.36,1147.3
5,4.778,1856.0,10.96,3052.0,100.0,0.0,0.0,0.0,4.778,179.61,1142.71,1156.26
6,4.789,1924.0,10.84,3053.0,100.0,0.0,0.0,0.0,4.789,179.97,1153.99,1141.07
7,4.791,1868.0,18.46,3056.0,100.0,0.0,0.0,0.0,4.791,189.11,1143.87,1154.92
8,4.765,1913.0,15.22,3057.0,100.0,0.0,0.0,0.0,4.765,183.46,1158.85,1143.8
9,4.794,1801.0,15.08,3056.0,100.0,0.001,710.0,0.53,4.795,186.44,1152.69,1150.43
10,4.804,1913.0,11.79,3054.0,100.0,0.0,0.0,0.0,4.804,184.53,1145.14,1147.74
11,4.865,1892.0,24.61,3058.0,100.0,0.0,0.0,0.0,4.865,188.87,1148.14,1142.21
12,4.763,1865.0,14.46,3059.0,100.0,0.0,0.0,0.0,4.763,185.03,1143.88,1149.98
13,4.771,1932.0,14.62,3059.0,100.0,0.0,0.0,0.0,4.771,183.28,1144.4,1153.58
14,4.79,1941.0,14.74,3060.0,100.0,0.0,0.0,0.0,4.79,181.22,1139.57,1148.05
15,4.769,1861.0,17.13,3061.0,100.0,0.0,714.0,0.41,4.769,185.1,1152.35,1148.59
16,4.822,1898.0,14.0,3055.0,100.0,0.0,0.0,0.0,4.822,185.32,1141.94,1140.98
17,4.812,1858.0,13.95,3059.0,100.0,0.0,0.0,0.0,4.812,187.2,1138.36,1151.82
18,4.819,1835.0,12.39,3057.0,100.0,0.0,0.0,0.0,4.819,186.23,1144.22,1152.79
19,4.796,1914.0,14.36,3059.0,100.0,0.0,0.0,0.0,4.796,185.55,1151.81,1151.67
20,4.798,1955.0,13.86,3058.0,100.0,0.0,0.0,0.0,4.798,183.85,1143.41,1141.21
21,4.804,1894.0,12.99,3057.0,100.0,0.0,0.0,0.0,4.804,184.92,1141.01,1152.46
22,4.822,1958.0,11.67,3055.0,100.0,0.0,0.0,0.0,4.822,186.04,1142.23,1147.19
23,4.804,1809.0,17.2,3063.0,100.0,0.0,0.0,0.0,4.804,192.67,1139.57,1153.08
24,4.809,1965.0,13.72,3058.0,100.0,0.0,0.0,0.0,4.809,185.62,1154.32,1142.27
25,4.807,1754.0,17.83,3064.0,100.0,0.0,0.0,0.0,4.807,191.41,1142.16,1155.14
26,4.808,1952.0,14.23,3059.0,100.0,0.0,0.0,0.0,4.808,186.04,1146.6,1142.67
27,4.832,1842.0,13.64,3058.0,100.0,0.0,0.0,0.0,4.832,188.22,1141.14,1153.2
28,4.831,1928.0,11.58,3056.0,100.0,0.0,0.0,0.0,4.831,184.74,1143.78,1137.27
29,4.801,1835.0,17.67,3063.0,100.0,0.0,0.0,0.0,4.801,188.35,1145.34,1156.15
30,4.809,1835.0,12.53,3058.0,100.0,0.0,0.0,0.0,4.809,160.72,1141.65,1146.95
31,4.811,1791.0,15.17,3063.0,100.0,0.0,0.0,0.0,4.811,173.9,1148.36,1148.12
32,4.825,1895.0,15.95,3061.0,100.0,0.0,0.0,0.0,4.825,185.06,1144.42,1150.53
33,4.818,1893.0,15.68,3061.0,100.0,0.0,0.0,0.0,4.818,189.27,1142.25,1145.4
34,4.839,1903.0,14.13,3060.0,100.0,0.0,0.0,0.0,4.839,187.92,1144.06,1145.04
35,4.83,1791.0,15.21,3060.0,100.0,0.0,0.0,0.0,4.83,190.54,1149.46,1156.25
36,4.823,1844.0,15.8,3061.0,100.0,0.0,0.0,0.0,4.823,185.85,1145.08,1148.93
37,4.873,1886.0,16.9,3056.0,100.0,0.0,0.0,0.0,4.873,189.25,1143.53,1140.79
38,4.862,1965.0,11.5,3055.0,100.0,0.0,0.0,0.0,4.862,184.79,1141.15,1151.42
39,4.852,1879.0,14.34,3057.0,100.0,0.001,711.0,0.53,4.853,187.23,1143.83,1151.8
40,4.835,1913.0,13.16,3058.0,100.0,0.0,0.0,0.0,4.835,184.0,1140.77,1144.14
41,4.85,1768.0,14.16,3061.0,100.0,0.0,0.0,0.0,4.85,187.95,1146.06,1154.19
42,4.853,1837.0,13.47,3057.0,100.0,0.0,0.0,0.0,4.853,189.5,1142.66,1147.33
43,4.838,1869.0,14.77,3059.0,100.0,0.0,0.0,0.0,4.838,187.26,1153.8,1140.92
44,4.86,1971.0,11.35,3056.0,100.0,0.0,0.0,0.0,4.86,183.59,1141.93,1152.43
45,4.783,1920.0,18.36,3063.0,100.0,0.0,0.0,0.0,4.783,185.65,1144.07,1148.94
46,4.83,1845.0,16.59,3060.0,100.0,0.0,710.0,0.22,4.83,190.78,1143.31,1148.72
47,4.834,1877.0,16.43,3061.0,100.0,0.0,0.0,0.0,4.834,188.44,1146.19,1144.84
48,4.846,1912.0,14.74,3059.0,100.0,0.0,0.0,0.0,4.846,186.35,1138.53,1156.11
49,4.879,1893.0,11.47,3056.0,100.0,0.0,0.0,0.0,4.879,185.85,1139.65,1146.96
50,4.849,1846.0,14.26,3060.0,100.0,0.0,0.0,0.0,4.849,190.58,1155.63,1141.01
51,4.87,1946.0,11.4,3056.0,100.0,0.0,0.0,0.0,4.87,183.51,1141.2,1157.09
52,4.877,1874.0,14.64,3057.0,100.0,0.0,0.0,0.0,4.877,188.18,1144.69,1148.9
53,4.833,1929.0,15.32,3059.0,100.0,0.0,0.0,0.0,4.833,188.06,1136.87,1147.12
54,4.85,1840.0,14.44,3059.0,100.0,0.0,0.0,0.0,4.85,186.78,1148.64,1140.69
55,4.846,1856.0,14.9,3058.0,100.0,0.0,0.0,0.0,4.846,188.58,1136.79,1153.28
56,4.861,1853.0,12.76,3057.0,100.0,0.0,0.0,0.0,4.861,183.13,1142.58,1149.18
57,4.84,1870.0,16.1,3061.0,100.0,0.0,0.0,0.0,4.84,188.12,1147.49,1148.64
58,4.87,1933.0,11.53,3055.0,100.0,0.0,0.0,0.0,4.87,183.75,1145.13,1140.45
59,4.822,1837.0,18.9,3062.0,100.0,0.0,0.0,0.0,4.822,188.53,1148.17,1153.07
60,4.836,1852.0,17.3,3060.0,100.0,0.0,714.0,0.41,4.836,189.09,1134.13,1150.64
61,4.842,1871.0,12.99,3058.0,100.0,0.0,0.0,0.0,4.842,160.07,1145.73,1144.85
62,4.852,1912.0,12.75,3057.0,100.0,0.0,0.0,0.0,4.852,171.73,1149.17,1146.47
63,4.879,1837.0,14.93,3059.0,100.0,0.0,0.0,0.0,4.879,188.97,1146.66,1149.73
64,4.872,1805.0,14.15,3060.0,100.0,0.0,0.0,0.0,4.872,187.42,1145.79,1141.87
65,4.893,1900.0,11.99,3055.0,100.0,0.0,0.0,0.0,4.893,187.41,1141.87,1154.42
