Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,2.008,1364.0,44.03,1773.0,48.7,0.0,707.0,0.22,2.008,53.91,487.45,485.25
1,4.589,1700.0,18.38,3071.0,99.94,0.0,0.0,0.0,4.589,136.05,1074.32,1080.32
2,4.797,1826.0,20.01,3055.0,100.0,0.001,713.0,0.73,4.798,183.67,1145.57,1153.56
3,4.775,1784.0,20.52,3060.0,100.0,0.0,0.0,0.0,4.775,172.97,1154.8,1154.96
4,4.792,1834.0,18.29,3053.0,100.0,0.0,0.0,0.0,4.792,181.63,1149.79,1145.53
5,4.814,1813.0,19.27,3053.0,100.0,0.0,0.0,0.0,4.814,184.79,1143.85,1156.52
6,4.793,1856.0,20.65,3059.0,100.0,0.0,0.0,0.0,4.793,182.68,1147.93,1154.51
7,4.766,1880.0,21.45,3058.0,100.0,0.0,0.0,0.0,4.766,187.37,1150.41,1138.32
8,4.785,1890.0,21.6,3060.0,100.0,0.0,0.0,0.0,4.785,190.91,1139.61,1149.99
9,4.759,1898.0,25.75,3059.0,100.0,0.001,714.0,0.41,4.76,188.93,1143.5,1148.64
10,4.801,1820.0,22.43,3056.0,100.0,0.0,0.0,0.0,4.801,190.58,1150.8,1148.85
11,4.825,1896.0,19.51,3054.0,100.0,0.0,0.0,0.0,4.825,187.71,1146.44,1153.48
12,4.783,1936.0,15.09,3056.0,100.0,0.0,0.0,0.0,4.783,184.83,1147.67,1137.79
13,4.784,1876.0,22.3,3062.0,100.0,0.0,0.0,0.0,4.784,191.76,1142.65,1151.99
14,5.013,1977.0,21.82,3054.0,100.0,0.0,0.0,0.0,5.013,185.26,1140.03,1139.27
15,4.805,1952.0,20.53,3057.0,100.0,0.0,0.0,0.0,4.805,186.29,1145.14,1142.0
16,4.806,1959.0,20.12,3059.0,100.0,0.0,0.0,0.0,4.806,184.86,1151.22,1141.91
17,4.802,1910.0,21.74,3059.0,100.0,0.0,0.0,0.0,4.802,183.98,1135.27,1151.75
18,4.783,1835.0,20.65,3061.0,100.0,0.0,0.0,0.0,4.783,188.54,1151.42,1140.54
19,4.782,1828.0,22.93,3062.0,100.0,0.0,0.0,0.0,4.782,187.63,1143.94,1151.25
20,4.816,1871.0,20.79,3059.0,100.0,0.0,0.0,0.0,4.816,189.96,1148.85,1151.14
21,4.78,1959.0,24.18,3062.0,100.0,0.0,0.0,0.0,4.78,185.05,1154.25,1136.92
22,4.837,1949.0,18.15,3055.0,100.0,0.0,0.0,0.0,4.837,184.18,1143.55,1141.85
23,4.812,1762.0,22.75,3064.0,100.0,0.0,0.0,0.0,4.812,192.58,1148.76,1147.98
24,4.837,1889.0,21.18,3059.0,100.0,0.0,0.0,0.0,4.837,188.54,1149.17,1151.37
25,4.819,1767.0,22.72,3065.0,100.0,0.0,0.0,0.0,4.819,185.99,1155.36,1153.14
26,4.833,1830.0,19.91,3057.0,100.0,0.0,0.0,0.0,4.833,190.69,1145.66,1146.74
27,4.81,1914.0,22.79,3059.0,100.0,0.0,0.0,0.0,4.81,186.31,1142.48,1135.61
28,4.839,1834.0,21.75,3060.0,100.0,0.0,0.0,0.0,4.839,190.47,1144.95,1157.15
29,4.863,1971.0,19.59,3055.0,100.0,0.0,0.0,0.0,4.863,188.06,1147.29,1147.25
30,4.883,1791.0,36.09,3062.0,100.0,0.0,0.0,0.0,4.883,167.26,1159.54,1146.89
31,4.814,1852.0,21.19,3061.0,100.0,0.0,0.0,0.0,4.814,174.79,1148.25,1151.81
32,4.816,1767.0,24.12,3064.0,100.0,0.002,713.0,0.63,4.818,192.9,1148.66,1137.49
33,4.825,1878.0,19.79,3061.0,100.0,0.0,0.0,0.0,4.825,187.76,1146.79,1155.32
34,4.85,1975.0,18.53,3055.0,100.0,0.0,0.0,0.0,4.85,187.22,1140.24,1147.11
35,4.833,1884.0,24.68,3061.0,100.0,0.0,0.0,0.0,4.833,188.08,1152.48,1148.15
36,4.814,1901.0,23.1,3060.0,100.0,0.0,0.0,0.0,4.814,189.82,1148.69,1144.29
37,4.847,1886.0,20.78,3059.0,100.0,0.0,0.0,0.0,4.847,188.58,1143.74,1145.05
38,4.807,1894.0,24.27,3063.0,100.0,0.0,0.0,0.0,4.807,188.63,1149.91,1138.45
39,4.791,1904.0,25.82,3063.0,100.0,0.0,0.0,0.0,4.791,187.35,1141.51,1154.29
40,4.853,1837.0,21.37,3058.0,100.0,0.0,0.0,0.0,4.853,188.65,1151.33,1140.69
41,4.818,1928.0,22.81,3061.0,100.0,0.0,0.0,0.0,4.818,188.28,1144.22,1150.01
42,4.855,1827.0,22.62,3060.0,100.0,0.0,0.0,0.0,4.855,189.58,1150.97,1144.85
43,4.841,1804.0,20.78,3061.0,100.0,0.0,0.0,0.0,4.841,192.94,1147.97,1151.06
44,4.849,1902.0,20.23,3060.0,100.0,0.0,0.0,0.0,4.849,187.1,1147.57,1142.97
45,4.843,1949.0,21.86,3059.0,100.0,0.0,0.0,0.0,4.843,185.84,1144.48,1149.75
46,4.836,1874.0,22.42,3059.0,100.0,0.0,0.0,0.0,4.836,186.65,1138.58,1144.19
47,4.877,1802.0,19.56,3058.0,100.0,0.0,0.0,0.0,4.877,189.03,1154.27,1136.58
48,4.854,1846.0,21.54,3059.0,100.0,0.0,0.0,0.0,4.854,188.32,1140.28,1153.9
49,4.859,1847.0,21.96,3059.0,100.0,0.0,0.0,0.0,4.859,187.71,1153.12,1142.27
50,4.872,1820.0,22.46,3060.0,100.0,0.0,0.0,0.0,4.872,194.0,1149.1,1152.85
51,4.807,1864.0,27.4,3065.0,100.0,0.0,0.0,0.0,4.807,194.36,1146.17,1148.25
52,4.849,1787.0,18.32,3061.0,100.0,0.0,0.0,0.0,4.849,192.21,1148.27,1143.81
53,4.879,1842.0,17.81,3058.0,100.0,0.0,0.0,0.0,4.879,189.88,1145.34,1157.43
54,4.853,1864.0,21.5,3059.0,100.0,0.0,0.0,0.0,4.853,189.86,1151.79,1140.75
55,4.871,1870.0,21.51,3058.0,100.0,0.0,0.0,0.0,4.871,190.03,1152.84,1152.11
56,4.877,1879.0,21.26,3059.0,100.0,0.0,0.0,0.0,4.877,189.73,1143.31,1147.01
57,4.86,1892.0,21.12,3060.0,100.0,0.0,0.0,0.0,4.86,189.83,1143.61,1146.12
58,4.883,1986.0,18.54,3055.0,100.0,0.0,0.0,0.0,4.883,187.39,1150.49,1143.07
59,4.889,1917.0,22.2,3056.0,99.94,0.002,714.0,0.41,4.891,188.48,1149.29,1140.85
60,4.909,1894.0,31.52,3058.0,100.0,0.0,0.0,0.0,4.909,191.94,1145.0,1149.5
61,4.844,1820.0,20.03,3058.0,100.0,0.0,0.0,0.0,4.844,158.57,1144.26,1138.58
62,4.881,1799.0,21.7,3061.0,100.0,0.0,0.0,0.0,4.881,190.22,1152.37,1154.38
