Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.977,1261.0,21.08,1790.0,48.58,0.0,0.0,0.0,1.977,52.66,479.68,485.8
1,4.572,1645.0,20.21,3072.0,99.91,0.001,714.0,0.41,4.573,139.6,1076.42,1073.41
2,4.8,1830.0,18.85,3052.0,100.0,0.0,0.0,0.0,4.8,181.75,1142.38,1136.33
3,4.811,1776.0,19.85,3053.0,100.0,0.002,709.0,0.22,4.813,182.34,1151.85,1154.98
4,4.801,1841.0,19.2,3053.0,100.0,0.0,0.0,0.0,4.801,178.72,1149.82,1153.12
5,4.815,1869.0,18.64,3051.0,100.0,0.0,0.0,0.0,4.815,180.22,1146.29,1149.54
6,4.807,1877.0,19.3,3055.0,100.0,0.0,0.0,0.0,4.807,183.34,1149.79,1147.95
7,4.837,1908.0,26.03,3058.0,100.0,0.0,0.0,0.0,4.837,190.4,1147.38,1144.64
8,4.764,1826.0,20.14,3059.0,100.0,0.0,0.0,0.0,4.764,185.94,1139.17,1152.11
9,4.778,1901.0,20.36,3057.0,100.0,0.001,712.0,0.32,4.779,187.55,1149.12,1149.87
10,4.806,1921.0,19.68,3055.0,100.0,0.0,0.0,0.0,4.806,184.89,1140.36,1141.18
11,4.855,1908.0,32.47,3055.0,100.0,0.0,712.0,0.32,4.855,187.4,1147.58,1158.71
12,4.818,1923.0,18.42,3054.0,100.0,0.0,0.0,0.0,4.818,186.23,1143.24,1143.68
13,4.815,1877.0,20.87,3058.0,100.0,0.0,0.0,0.0,4.815,190.66,1139.47,1148.4
14,4.823,1900.0,18.34,3055.0,100.0,0.0,0.0,0.0,4.823,185.48,1146.2,1140.61
15,4.807,1839.0,22.46,3059.0,100.0,0.0,0.0,0.0,4.807,189.85,1148.58,1145.7
16,4.826,1852.0,21.05,3057.0,100.0,0.0,0.0,0.0,4.826,188.54,1145.35,1138.44
17,4.838,1934.0,20.19,3055.0,100.0,0.001,709.0,0.22,4.839,188.0,1146.41,1141.13
18,4.825,1933.0,18.45,3055.0,100.0,0.0,0.0,0.0,4.825,183.65,1143.48,1146.12
19,4.82,1980.0,18.39,3055.0,100.0,0.0,0.0,0.0,4.82,184.78,1135.62,1143.74
20,4.834,1801.0,20.43,3059.0,100.0,0.0,0.0,0.0,4.834,190.41,1154.19,1145.17
21,4.81,1812.0,23.06,3061.0,100.0,0.0,0.0,0.0,4.81,189.99,1146.9,1147.3
22,4.845,1940.0,18.99,3055.0,100.0,0.0,0.0,0.0,4.845,185.04,1143.93,1140.68
23,4.833,1946.0,18.39,3055.0,100.0,0.0,0.0,0.0,4.833,184.94,1137.22,1141.9
24,4.845,1878.0,19.1,3055.0,100.0,0.0,0.0,0.0,4.845,186.77,1146.04,1140.29
