Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,2.019,1325.0,31.37,1819.0,48.53,0.0,0.0,0.0,2.019,53.82,478.38,478.74
1,4.568,1685.0,20.48,3073.0,99.99,0.002,712.0,0.31,4.57,132.76,1076.24,1078.26
2,4.806,1822.0,18.74,3052.0,100.0,0.0,0.0,0.0,4.806,180.13,1143.47,1146.11
3,4.818,1830.0,19.06,3052.0,100.0,0.0,708.0,0.22,4.818,180.99,1156.14,1145.62
4,4.817,1821.0,18.54,3052.0,100.0,0.0,0.0,0.0,4.817,180.09,1153.02,1155.17
5,4.784,1856.0,19.6,3055.0,100.0,0.0,714.0,0.41,4.784,183.15,1145.56,1150.74
6,4.859,1877.0,31.97,3054.0,100.0,0.0,0.0,0.0,4.859,188.01,1146.46,1145.13
7,4.803,1919.0,20.9,3057.0,100.0,0.0,0.0,0.0,4.803,188.59,1149.77,1150.29
8,4.802,1912.0,20.42,3057.0,100.0,0.0,0.0,0.0,4.802,185.47,1148.9,1143.35
9,4.786,1942.0,24.81,3060.0,100.0,0.0,714.0,0.41,4.786,187.94,1140.44,1149.52
10,4.788,1813.0,24.0,3065.0,100.0,0.001,709.0,0.22,4.789,187.69,1158.2,1150.27
11,4.793,1823.0,24.01,3062.0,100.0,0.0,0.0,0.0,4.793,192.53,1150.15,1141.91
12,4.798,1952.0,19.48,3058.0,100.0,0.0,0.0,0.0,4.798,185.05,1143.46,1150.75
13,4.794,1822.0,20.89,3061.0,100.0,0.0,0.0,0.0,4.794,184.63,1152.28,1145.67
14,4.805,1916.0,19.78,3056.0,100.0,0.0,0.0,0.0,4.805,185.83,1133.98,1143.58
15,4.8,1825.0,20.46,3058.0,100.0,0.0,0.0,0.0,4.8,187.06,1154.04,1143.44
16,4.775,1858.0,18.82,3060.0,100.0,0.0,0.0,0.0,4.775,185.62,1150.93,1151.95
17,4.828,1871.0,21.26,3058.0,100.0,0.0,0.0,0.0,4.828,189.22,1144.92,1146.37
18,4.825,1959.0,18.52,3055.0,100.0,0.0,0.0,0.0,4.825,185.5,1138.62,1145.48
19,4.79,1931.0,21.67,3060.0,100.0,0.0,0.0,0.0,4.79,182.12,1154.18,1138.84
20,4.81,1895.0,21.94,3061.0,100.0,0.0,0.0,0.0,4.81,186.19,1147.6,1148.63
21,4.784,1814.0,25.02,3066.0,100.0,0.0,0.0,0.0,4.784,186.06,1151.98,1149.95
22,4.811,1960.0,20.68,3059.0,100.0,0.0,0.0,0.0,4.811,186.32,1141.15,1151.17
23,4.81,1941.0,19.67,3057.0,100.0,0.0,0.0,0.0,4.81,181.25,1149.32,1143.72
24,4.842,1808.0,21.7,3060.0,100.0,0.0,0.0,0.0,4.842,191.22,1147.77,1139.65
25,4.831,1818.0,24.08,3061.0,100.0,0.0,0.0,0.0,4.831,191.59,1150.26,1150.62
26,4.82,1805.0,22.94,3064.0,100.0,0.0,0.0,0.0,4.82,189.13,1144.57,1149.9
