Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.936,1281.0,25.08,1791.0,47.23,0.0,709.0,0.22,1.936,52.52,468.34,467.63
1,4.536,1613.0,11.83,3073.0,99.97,0.0,713.0,0.31,4.536,133.76,1073.91,1076.14
2,4.738,1822.0,13.34,3059.0,100.0,0.0,0.0,0.0,4.738,174.98,1148.46,1143.49
3,4.799,1893.0,16.96,3052.0,100.0,0.001,712.0,0.32,4.8,180.43,1149.52,1161.55
4,4.767,1875.0,11.82,3053.0,100.0,0.0,0.0,0.0,4.767,182.03,1147.0,1148.58
5,4.776,1873.0,10.67,3052.0,100.0,0.0,0.0,0.0,4.776,178.41,1144.21,1151.09
6,4.732,1882.0,15.27,3059.0,100.0,0.0,0.0,0.0,4.732,182.65,1147.76,1149.34
7,4.779,1818.0,12.26,3057.0,100.0,0.0,0.0,0.0,4.779,183.73,1142.95,1149.34
8,4.742,1823.0,17.37,3064.0,100.0,0.0,0.0,0.0,4.742,187.2,1153.04,1147.73
9,4.737,1885.0,16.43,3063.0,100.0,0.001,708.0,0.22,4.738,181.81,1137.4,1146.85
10,4.806,1940.0,12.9,3055.0,100.0,0.001,709.0,0.43,4.807,185.56,1150.81,1153.61
11,4.732,1899.0,17.01,3062.0,100.0,0.0,0.0,0.0,4.732,186.56,1137.84,1146.37
12,4.766,1847.0,14.79,3059.0,100.0,0.0,0.0,0.0,4.766,187.23,1152.39,1144.8
13,4.78,1790.0,15.71,3063.0,100.0,0.0,0.0,0.0,4.78,187.94,1147.27,1150.39
14,4.774,1930.0,14.56,3060.0,100.0,0.0,0.0,0.0,4.774,185.14,1141.33,1150.7
15,4.76,1786.0,17.61,3066.0,100.0,0.0,0.0,0.0,4.76,181.27,1148.81,1149.41
16,4.793,1855.0,11.62,3056.0,100.0,0.0,0.0,0.0,4.793,185.35,1138.9,1139.36
17,4.801,1951.0,11.83,3055.0,100.0,0.0,0.0,0.0,4.801,185.38,1136.03,1155.55
18,4.796,1948.0,11.54,3055.0,100.0,0.0,0.0,0.0,4.796,184.36,1148.38,1138.73
19,4.78,1812.0,15.52,3061.0,100.0,0.0,0.0,0.0,4.78,188.39,1141.16,1149.64
20,4.779,1851.0,15.97,3061.0,100.0,0.0,0.0,0.0,4.779,186.72,1148.37,1152.98
21,4.78,1883.0,14.14,3059.0,100.0,0.0,0.0,0.0,4.78,186.32,1141.61,1138.37
22,4.777,1772.0,14.68,3068.0,100.0,0.0,0.0,0.0,4.777,175.63,1143.06,1157.39
23,4.767,1844.0,16.34,3061.0,100.0,0.0,0.0,0.0,4.767,187.31,1142.5,1145.84
24,4.803,1917.0,12.32,3056.0,100.0,0.0,0.0,0.0,4.803,182.02,1141.75,1147.58
25,4.815,1839.0,15.22,3059.0,100.0,0.0,0.0,0.0,4.815,190.1,1140.27,1145.98
26,4.823,1965.0,11.96,3055.0,100.0,0.0,715.0,0.51,4.823,182.83,1145.38,1148.11
27,4.823,1968.0,11.51,3055.0,100.0,0.0,0.0,0.0,4.823,185.33,1144.39,1139.65
28,4.824,1832.0,13.96,3059.0,100.0,0.0,0.0,0.0,4.824,187.8,1137.98,1149.41
29,4.831,1915.0,12.95,3057.0,100.0,0.0,0.0,0.0,4.831,185.24,1150.95,1152.65
30,4.778,1820.0,14.86,3063.0,100.0,0.0,0.0,0.0,4.778,160.11,1144.96,1146.27
31,4.771,1833.0,15.49,3061.0,100.0,0.0,0.0,0.0,4.771,169.36,1140.65,1140.66
32,4.833,1887.0,19.26,3059.0,100.0,0.0,0.0,0.0,4.833,188.69,1145.28,1156.71
33,4.784,1844.0,18.73,3066.0,100.0,0.0,713.0,0.32,4.784,186.5,1146.99,1148.92
34,4.777,1901.0,19.63,3063.0,100.0,0.0,710.0,0.22,4.777,188.27,1140.9,1143.63
35,4.799,1816.0,18.88,3065.0,100.0,0.0,0.0,0.0,4.799,190.81,1145.59,1152.73
36,4.855,1883.0,12.46,3056.0,100.0,0.0,0.0,0.0,4.855,185.45,1144.46,1148.51
37,4.835,1811.0,14.21,3059.0,100.0,0.0,0.0,0.0,4.835,189.7,1138.47,1149.61
38,4.859,1865.0,11.79,3055.0,100.0,0.0,0.0,0.0,4.859,188.19,1141.03,1150.07
39,4.798,1835.0,21.26,3065.0,100.0,0.0,710.0,0.22,4.798,193.12,1151.46,1151.8
40,4.806,1845.0,16.03,3061.0,100.0,0.0,0.0,0.0,4.806,190.08,1139.92,1138.99
41,4.837,1836.0,16.47,3061.0,100.0,0.0,0.0,0.0,4.837,190.57,1148.44,1154.88
42,4.846,1868.0,14.28,3059.0,100.0,0.0,0.0,0.0,4.846,187.79,1142.66,1151.25
43,4.81,1873.0,16.35,3061.0,100.0,0.0,0.0,0.0,4.81,187.72,1147.03,1145.96
44,4.844,1790.0,13.92,3060.0,100.0,0.0,0.0,0.0,4.844,186.95,1146.85,1147.02
45,4.85,1908.0,13.16,3058.0,100.0,0.0,0.0,0.0,4.85,184.35,1144.84,1153.71
46,4.783,1787.0,14.56,3050.0,98.47,0.0,0.0,0.0,4.783,184.09,1143.4,1150.54
47,4.864,1844.0,11.69,3056.0,100.0,0.0,0.0,0.0,4.864,186.49,1145.06,1148.88
48,4.864,1832.0,12.18,3056.0,100.0,0.0,0.0,0.0,4.864,186.12,1143.36,1148.35
49,4.863,1917.0,11.84,3055.0,100.0,0.0,0.0,0.0,4.863,186.57,1144.42,1145.47
50,4.822,1865.0,16.11,3061.0,100.0,0.0,0.0,0.0,4.822,188.29,1143.21,1149.32
