Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,2.166,1305.0,24.8,1892.0,52.89,0.0,0.0,0.0,2.166,57.68,521.17,524.0
1,4.578,1625.0,18.01,3071.0,99.97,0.0,0.0,0.0,4.578,134.18,1076.61,1085.77
2,4.804,1812.0,20.57,3055.0,100.0,0.0,0.0,0.0,4.804,177.52,1152.47,1142.45
3,4.941,1866.0,35.0,3054.0,100.0,0.0,712.0,0.31,4.941,183.83,1156.55,1161.89
4,4.818,1781.0,20.55,3056.0,100.0,0.0,708.0,0.22,4.818,183.95,1157.7,1151.72
5,4.817,1807.0,20.05,3056.0,100.0,0.0,713.0,0.31,4.817,181.6,1148.36,1147.45
6,5.039,1900.0,54.91,3061.0,100.0,0.002,712.0,0.63,5.041,181.87,1158.19,1156.9
7,4.794,1931.0,22.32,3057.0,100.0,0.0,713.0,0.41,4.794,184.14,1146.44,1152.85
8,4.838,1931.0,27.35,3055.0,100.0,0.0,709.0,0.22,4.838,189.28,1145.11,1148.0
9,4.831,1830.0,28.74,3060.0,100.0,0.0,709.0,0.22,4.831,188.95,1149.83,1149.31
10,4.817,1966.0,18.58,3055.0,100.0,0.0,0.0,0.0,4.817,187.38,1143.77,1142.25
11,4.813,1862.0,22.84,3058.0,100.0,0.001,713.0,0.63,4.814,191.21,1139.16,1147.77
12,4.816,1800.0,19.71,3057.0,100.0,0.0,0.0,0.0,4.816,187.95,1154.61,1148.75
13,5.116,2006.0,62.06,3055.0,100.0,0.001,712.0,0.32,5.117,194.96,1148.36,1142.39
14,4.943,1867.0,35.55,3056.0,100.0,0.0,0.0,0.0,4.943,192.47,1145.21,1150.2
15,5.348,1906.0,72.93,3057.0,100.0,0.001,709.0,0.22,5.349,188.74,1146.27,1145.3
16,4.976,1829.0,38.87,3059.0,100.0,0.0,0.0,0.0,4.976,191.04,1145.73,1143.9
17,5.038,1893.0,54.88,3060.0,100.0,0.0,0.0,0.0,5.038,198.02,1158.29,1148.7
18,4.88,1804.0,29.54,3059.0,100.0,0.0,0.0,0.0,4.88,200.6,1140.33,1143.36
19,4.799,1875.0,21.6,3059.0,100.0,0.0,0.0,0.0,4.799,186.67,1151.97,1139.11
20,5.114,1816.0,41.63,3056.0,100.0,0.0,0.0,0.0,5.114,197.77,1151.95,1156.19
21,4.816,1944.0,18.95,3056.0,100.0,0.0,0.0,0.0,4.816,187.75,1141.43,1141.44
22,4.79,1953.0,23.04,3060.0,100.0,0.0,0.0,0.0,4.79,183.64,1141.5,1144.49
23,4.835,1906.0,21.02,3058.0,100.0,0.0,0.0,0.0,4.835,189.41,1139.0,1145.12
24,4.835,1901.0,21.03,3057.0,100.0,0.0,0.0,0.0,4.835,188.62,1148.73,1135.89
25,4.85,1895.0,19.0,3055.0,100.0,0.0,0.0,0.0,4.85,186.79,1145.86,1150.73
26,4.832,1792.0,23.85,3062.0,100.0,0.0,713.0,0.31,4.832,194.04,1147.71,1139.15
27,4.839,1906.0,20.81,3058.0,100.0,0.0,0.0,0.0,4.839,188.36,1151.78,1152.97
28,4.819,1901.0,23.06,3060.0,100.0,0.0,0.0,0.0,4.819,185.59,1136.64,1143.16
29,4.86,1973.0,18.79,3055.0,100.0,0.0,0.0,0.0,4.86,187.75,1147.09,1146.07
30,4.825,1805.0,21.61,3060.0,100.0,0.0,0.0,0.0,4.825,159.53,1142.55,1145.6
31,4.852,1787.0,20.29,3059.0,100.0,0.0,0.0,0.0,4.852,181.06,1155.75,1151.95
32,4.832,1885.0,22.25,3058.0,100.0,0.0,0.0,0.0,4.832,186.07,1138.87,1142.45
33,4.853,1948.0,20.04,3055.0,100.0,0.0,710.0,0.22,4.853,187.91,1150.33,1136.11
34,4.912,1891.0,28.54,3059.0,100.0,0.0,0.0,0.0,4.912,190.92,1145.53,1151.17
35,4.857,1962.0,18.67,3055.0,100.0,0.0,0.0,0.0,4.857,186.19,1142.95,1142.59
36,4.833,1897.0,21.53,3061.0,100.0,0.0,0.0,0.0,4.833,183.93,1146.41,1148.62
37,4.88,1878.0,21.11,3055.0,100.0,0.0,709.0,0.22,4.88,188.33,1145.45,1143.96
38,4.905,1882.0,36.36,3059.0,100.0,0.0,0.0,0.0,4.905,192.02,1147.13,1143.15
39,4.869,1841.0,21.04,3059.0,100.0,0.0,709.0,0.22,4.869,189.21,1146.11,1151.53
40,4.852,1916.0,13.91,3055.0,100.0,0.0,0.0,0.0,4.852,183.77,1147.91,1144.57
41,4.844,1897.0,17.01,3059.0,100.0,0.0,0.0,0.0,4.844,187.08,1141.76,1141.82
42,4.865,1880.0,20.49,3056.0,100.0,0.0,710.0,0.22,4.865,188.18,1138.87,1144.37
43,4.872,1841.0,21.6,3058.0,100.0,0.0,0.0,0.0,4.872,188.9,1147.66,1149.04
44,4.871,1969.0,18.99,3055.0,100.0,0.0,0.0,0.0,4.871,186.15,1150.8,1143.96
45,4.849,1789.0,20.99,3062.0,100.0,0.0,0.0,0.0,4.849,185.49,1146.32,1137.37
46,4.876,1976.0,18.17,3055.0,100.0,0.0,0.0,0.0,4.876,186.55,1147.84,1144.39
47,4.845,1926.0,21.37,3060.0,100.0,0.0,0.0,0.0,4.845,184.47,1143.7,1150.78
48,4.865,1806.0,22.43,3061.0,100.0,0.0,0.0,0.0,4.865,192.07,1140.96,1150.87
49,4.874,1874.0,20.92,3058.0,100.0,0.0,0.0,0.0,4.874,189.03,1150.08,1145.6
50,4.858,1914.0,22.4,3058.0,100.0,0.0,0.0,0.0,4.858,187.29,1147.72,1142.69
51,4.836,1843.0,25.33,3063.0,100.0,0.0,0.0,0.0,4.836,188.57,1147.03,1150.18
52,4.849,1837.0,22.78,3061.0,100.0,0.0,0.0,0.0,4.849,189.69,1143.43,1144.32
53,4.869,1895.0,22.56,3059.0,100.0,0.0,0.0,0.0,4.869,187.72,1148.87,1141.47
54,4.861,1726.0,22.44,3063.0,100.0,0.0,0.0,0.0,4.861,191.75,1148.88,1144.56
55,4.874,1956.0,19.93,3056.0,100.0,0.0,0.0,0.0,4.874,187.83,1141.92,1153.26
56,4.85,1874.0,21.12,3059.0,100.0,0.0,0.0,0.0,4.85,186.19,1146.48,1138.56
57,4.809,1845.0,26.89,3065.0,100.0,0.0,0.0,0.0,4.809,189.79,1137.2,1154.02
58,4.874,1830.0,20.12,3057.0,100.0,0.0,0.0,0.0,4.874,188.83,1148.24,1135.2
59,4.897,1948.0,19.33,3055.0,100.0,0.0,0.0,0.0,4.897,187.89,1149.11,1144.48
60,4.894,1961.0,17.74,3055.0,100.0,0.0,0.0,0.0,4.894,186.51,1145.11,1142.68
61,4.816,1812.0,15.82,3060.0,100.0,0.0,0.0,0.0,4.816,153.08,1143.89,1155.71
62,4.887,1813.0,19.63,3058.0,100.0,0.0,0.0,0.0,4.887,190.27,1147.78,1146.9
63,4.88,1975.0,20.52,3058.0,100.0,0.0,0.0,0.0,4.88,186.31,1144.12,1143.04
64,4.85,1910.0,24.35,3062.0,100.0,0.0,0.0,0.0,4.85,190.33,1140.37,1148.9
65,4.885,1927.0,20.84,3057.0,100.0,0.0,0.0,0.0,4.885,188.94,1152.4,1146.26
66,4.869,1934.0,21.7,3060.0,100.0,0.0,0.0,0.0,4.869,188.41,1144.09,1144.64
67,4.885,1873.0,20.92,3059.0,100.0,0.0,714.0,0.41,4.885,190.85,1144.11,1142.12
68,4.956,1983.0,32.63,3055.0,100.0,0.002,713.0,0.63,4.958,190.5,1150.62,1152.13
69,4.866,1821.0,21.81,3061.0,100.0,0.0,0.0,0.0,4.866,188.12,1145.31,1151.0
70,4.885,1829.0,20.9,3058.0,100.0,0.0,0.0,0.0,4.885,189.12,1146.57,1137.08
71,4.875,1916.0,20.84,3058.0,100.0,0.0,0.0,0.0,4.875,185.12,1145.07,1150.67
72,4.886,1854.0,21.75,3059.0,100.0,0.0,0.0,0.0,4.886,189.72,1143.86,1144.74
73,4.888,1859.0,24.55,3060.0,100.0,0.0,713.0,0.31,4.888,193.85,1149.67,1149.12
74,4.92,1945.0,20.79,3055.0,100.0,0.0,0.0,0.0,4.92,187.46,1140.81,1143.62
75,4.858,1810.0,24.15,3061.0,100.0,0.0,0.0,0.0,4.858,188.52,1150.53,1140.29
76,4.888,1824.0,20.97,3058.0,100.0,0.0,0.0,0.0,4.888,188.48,1145.7,1150.18
77,4.855,1834.0,23.74,3063.0,100.0,0.0,0.0,0.0,4.855,190.91,1142.06,1146.72
78,4.897,1967.0,20.84,3056.0,100.0,0.0,0.0,0.0,4.897,184.83,1148.62,1139.91
79,4.908,1964.0,19.25,3055.0,100.0,0.0,0.0,0.0,4.908,187.85,1136.94,1145.62
80,4.894,1790.0,23.41,3059.0,100.0,0.0,0.0,0.0,4.894,193.64,1146.57,1149.01
81,4.877,1822.0,19.04,3059.0,100.0,0.001,710.0,0.22,4.878,190.73,1149.39,1144.06
82,4.89,1868.0,19.31,3059.0,100.0,0.0,0.0,0.0,4.89,190.06,1151.36,1154.56
83,4.894,1813.0,23.41,3060.0,100.0,0.0,0.0,0.0,4.894,195.03,1148.62,1140.89
84,4.878,1809.0,23.66,3061.0,100.0,0.0,0.0,0.0,4.878,189.37,1143.3,1153.4
85,4.886,1853.0,22.72,3058.0,100.0,0.0,709.0,0.22,4.886,187.13,1146.62,1138.09
86,4.893,1875.0,19.99,3057.0,100.0,0.0,0.0,0.0,4.893,188.17,1141.93,1149.91
87,4.864,1893.0,23.05,3060.0,100.0,0.0,0.0,0.0,4.864,187.79,1149.03,1143.76
88,4.878,1793.0,25.71,3064.0,100.0,0.0,0.0,0.0,4.878,192.18,1148.22,1145.01
89,4.901,1901.0,27.16,3061.0,100.0,0.0,0.0,0.0,4.901,190.5,1141.11,1152.89
90,4.906,1970.0,22.97,3058.0,100.0,0.0,0.0,0.0,4.906,187.35,1150.32,1145.45
91,4.903,1941.0,18.33,3055.0,100.0,0.0,0.0,0.0,4.903,180.49,1146.99,1142.05
92,4.97,1784.0,29.85,3060.0,100.0,0.0,0.0,0.0,4.97,159.89,1140.36,1152.3
93,4.878,1801.0,23.09,3064.0,100.0,0.0,0.0,0.0,4.878,193.24,1156.83,1148.51
94,4.892,1816.0,22.72,3060.0,100.0,0.0,0.0,0.0,4.892,189.78,1146.64,1147.34
95,4.913,1861.0,21.86,3058.0,100.0,0.0,0.0,0.0,4.913,192.67,1145.85,1145.38
96,4.853,1864.0,26.01,3065.0,100.0,0.0,0.0,0.0,4.853,188.79,1146.47,1150.03
97,4.96,1903.0,30.09,3055.0,100.0,0.0,0.0,0.0,4.96,193.64,1148.7,1147.15
98,4.914,1839.0,20.57,3058.0,100.0,0.0,0.0,0.0,4.914,190.21,1148.4,1138.91
99,4.896,1844.0,23.34,3058.0,100.0,0.0,712.0,0.63,4.896,191.1,1144.77,1144.5
100,4.912,1885.0,19.61,3056.0,100.0,0.0,0.0,0.0,4.912,187.56,1137.08,1150.86
101,4.922,1896.0,18.42,3055.0,100.0,0.0,0.0,0.0,4.922,188.06,1147.96,1142.5
102,4.916,1937.0,24.53,3058.0,100.0,0.003,712.0,0.31,4.919,190.8,1151.68,1140.58
103,4.888,1830.0,22.03,3062.0,100.0,0.0,0.0,0.0,4.888,186.86,1146.8,1153.39
104,4.9,1981.0,19.91,3056.0,100.0,0.0,0.0,0.0,4.9,188.62,1138.63,1143.45
105,4.913,1849.0,21.48,3058.0,100.0,0.0,712.0,0.31,4.913,192.36,1152.02,1142.68
