Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.794,1288.0,19.27,1779.0,45.29,0.0,709.0,0.22,1.794,49.59,446.82,451.57
1,4.49,1666.0,13.04,3074.0,98.91,0.0,708.0,0.22,4.49,130.59,1076.63,1061.31
2,4.779,1855.0,11.79,3052.0,100.0,0.0,0.0,0.0,4.779,179.87,1150.27,1161.26
3,4.774,1885.0,12.66,3053.0,100.0,0.0,709.0,0.22,4.774,180.77,1144.3,1155.79
4,4.77,1859.0,11.99,3054.0,100.0,0.0,0.0,0.0,4.77,181.19,1162.73,1152.98
5,4.781,1918.0,11.24,3053.0,100.0,0.0,0.0,0.0,4.781,179.17,1153.21,1157.71
6,4.795,1914.0,11.91,3054.0,100.0,0.0,0.0,0.0,4.795,184.81,1152.63,1153.41
7,4.737,1894.0,15.92,3060.0,100.0,0.0,0.0,0.0,4.737,182.76,1151.14,1146.64
8,4.749,1845.0,16.41,3059.0,100.0,0.0,0.0,0.0,4.749,186.44,1146.48,1150.53
9,4.775,1881.0,14.64,3058.0,100.0,0.0,708.0,0.22,4.775,189.21,1155.17,1146.51
10,4.77,1813.0,16.6,3063.0,100.0,0.0,0.0,0.0,4.77,187.24,1151.28,1162.69
11,4.774,1882.0,14.91,3057.0,100.0,0.0,0.0,0.0,4.774,183.12,1150.9,1150.58
12,4.8,1938.0,11.78,3054.0,100.0,0.0,0.0,0.0,4.8,183.51,1153.73,1144.57
13,4.754,1854.0,16.8,3063.0,100.0,0.0,0.0,0.0,4.754,183.97,1149.53,1157.77
14,4.773,1851.0,14.88,3057.0,100.0,0.0,0.0,0.0,4.773,182.29,1150.99,1140.89
15,4.809,1905.0,11.49,3055.0,100.0,0.0,0.0,0.0,4.809,184.88,1139.18,1158.73
16,4.808,1931.0,12.55,3056.0,100.0,0.0,0.0,0.0,4.808,183.91,1150.62,1142.8
17,4.78,1879.0,15.8,3059.0,100.0,0.0,0.0,0.0,4.78,187.16,1144.39,1157.91
18,4.771,1864.0,16.66,3062.0,100.0,0.0,0.0,0.0,4.771,187.87,1153.1,1146.77
19,4.816,1930.0,13.76,3056.0,100.0,0.001,714.0,0.41,4.817,187.16,1141.96,1158.04
20,4.807,1971.0,12.54,3057.0,100.0,0.0,0.0,0.0,4.807,185.64,1151.44,1145.27
21,4.782,1912.0,16.1,3061.0,100.0,0.0,0.0,0.0,4.782,188.29,1138.46,1152.47
22,4.783,1919.0,15.92,3061.0,100.0,0.0,0.0,0.0,4.783,186.11,1157.68,1149.42
23,4.766,1871.0,18.17,3064.0,100.0,0.0,0.0,0.0,4.766,184.57,1141.9,1153.8
24,4.781,1857.0,16.26,3061.0,100.0,0.0,0.0,0.0,4.781,184.85,1150.66,1142.63
25,4.866,1982.0,18.14,3055.0,100.0,0.002,713.0,0.63,4.868,188.51,1148.46,1160.81
26,4.743,1950.0,21.32,3065.0,100.0,0.0,709.0,0.22,4.743,186.29,1144.12,1148.35
27,4.817,1923.0,14.06,3058.0,100.0,0.0,709.0,0.22,4.817,184.37,1144.17,1145.28
28,4.842,1903.0,12.25,3056.0,100.0,0.0,0.0,0.0,4.842,184.9,1149.84,1159.12
29,4.798,1813.0,16.05,3060.0,100.0,0.0,0.0,0.0,4.798,190.33,1149.73,1150.16
30,4.803,1923.0,11.1,3056.0,100.0,0.0,0.0,0.0,4.803,158.44,1150.03,1145.01
31,4.796,1863.0,14.18,3058.0,100.0,0.0,0.0,0.0,4.796,168.27,1145.17,1154.76
32,4.811,1856.0,16.26,3061.0,100.0,0.0,0.0,0.0,4.811,189.5,1142.28,1155.87
33,4.825,1910.0,14.39,3059.0,100.0,0.0,0.0,0.0,4.825,186.65,1157.98,1149.42
34,4.788,1891.0,18.65,3063.0,100.0,0.001,709.0,0.22,4.789,188.27,1139.37,1149.87
35,4.81,1892.0,16.11,3060.0,100.0,0.0,0.0,0.0,4.81,185.76,1157.44,1148.48
36,4.844,1934.0,13.81,3057.0,100.0,0.0,0.0,0.0,4.844,185.79,1149.0,1154.3
37,4.841,1852.0,13.16,3058.0,100.0,0.0,0.0,0.0,4.841,188.57,1148.34,1150.47
38,4.84,1881.0,14.05,3060.0,100.0,0.0,0.0,0.0,4.84,186.66,1144.15,1158.29
39,4.821,1922.0,14.78,3059.0,100.0,0.0,0.0,0.0,4.821,185.67,1147.72,1142.11
40,4.836,1849.0,20.23,3063.0,100.0,0.0,0.0,0.0,4.836,191.1,1151.59,1162.02
41,4.779,1825.0,20.19,3065.0,100.0,0.0,0.0,0.0,4.779,190.39,1153.17,1150.83
42,4.859,1950.0,12.49,3055.0,100.0,0.0,0.0,0.0,4.859,187.08,1142.36,1153.15
43,4.83,1825.0,15.08,3060.0,100.0,0.0,0.0,0.0,4.83,185.66,1148.83,1144.73
44,4.846,1885.0,13.36,3059.0,100.0,0.0,0.0,0.0,4.846,183.2,1144.51,1159.63
45,4.798,1907.0,16.48,3062.0,100.0,0.0,0.0,0.0,4.798,184.42,1148.8,1147.49
46,4.836,1811.0,15.31,3060.0,100.0,0.0,0.0,0.0,4.836,193.47,1144.01,1155.05
47,4.852,1826.0,14.65,3061.0,100.0,0.0,0.0,0.0,4.852,191.18,1154.89,1151.15
48,4.85,1920.0,13.38,3057.0,100.0,0.0,0.0,0.0,4.85,184.93,1147.23,1146.39
49,4.831,1917.0,17.01,3062.0,100.0,0.0,0.0,0.0,4.831,189.08,1148.59,1151.04
50,4.866,1905.0,12.23,3056.0,100.0,0.0,0.0,0.0,4.866,185.4,1138.88,1160.87
51,4.895,1866.0,17.46,3058.0,100.0,0.0,713.0,0.31,4.895,193.76,1153.71,1154.71
52,4.847,1867.0,13.54,3058.0,100.0,0.0,0.0,0.0,4.847,187.1,1139.89,1147.29
53,4.867,1940.0,12.69,3056.0,100.0,0.0,0.0,0.0,4.867,184.82,1150.1,1152.59
54,4.823,1851.0,16.82,3062.0,100.0,0.0,0.0,0.0,4.823,189.49,1144.93,1149.14
55,4.877,1868.0,19.7,3061.0,100.0,0.0,0.0,0.0,4.877,189.61,1158.82,1157.14
56,4.828,1911.0,16.67,3061.0,100.0,0.0,0.0,0.0,4.828,187.67,1145.65,1146.0
57,4.875,1903.0,14.31,3058.0,100.0,0.0,709.0,0.22,4.875,185.57,1142.45,1155.56
58,4.869,1955.0,11.66,3056.0,100.0,0.0,0.0,0.0,4.869,185.49,1147.94,1146.66
59,4.869,1884.0,14.58,3058.0,100.0,0.0,0.0,0.0,4.869,189.3,1147.08,1153.06
60,4.845,1876.0,15.36,3059.0,100.0,0.0,0.0,0.0,4.845,189.03,1139.79,1154.12
61,4.862,1878.0,12.09,3059.0,100.0,0.0,0.0,0.0,4.862,157.96,1156.6,1152.27
62,4.854,1961.0,12.67,3056.0,100.0,0.0,0.0,0.0,4.854,175.36,1144.78,1151.89
63,4.837,1884.0,16.31,3060.0,99.95,0.0,0.0,0.0,4.837,186.85,1149.54,1142.22
