Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
56,4.866,1816.0,12.84,3059.0,100.0,0.0,0.0,0.0,4.866,187.91,1150.98,1148.89
57,4.851,1832.0,14.17,3060.0,100.0,0.0,0.0,0.0,4.851,190.68,1144.28,1154.78
58,4.82,1862.0,17.34,3062.0,100.0,0.0,0.0,0.0,4.82,187.48,1142.65,1142.86
59,4.833,1896.0,15.17,3061.0,100.0,0.0,0.0,0.0,4.833,182.25,1140.4,1155.56
60,4.851,1876.0,13.33,3058.0,100.0,0.0,0.0,0.0,4.851,187.34,1149.05,1141.48
61,4.818,1877.0,11.41,3056.0,100.0,0.0,0.0,0.0,4.818,154.87,1134.66,1150.02
62,4.833,1842.0,15.18,3062.0,100.0,0.0,0.0,0.0,4.833,183.14,1148.0,1152.48
63,4.834,1903.0,14.18,3058.0,100.0,0.0,0.0,0.0,4.834,186.12,1137.6,1144.32
64,4.869,1920.0,11.7,3056.0,100.0,0.0,0.0,0.0,4.869,184.39,1144.35,1148.85
65,4.861,1829.0,13.47,3058.0,100.0,0.0,0.0,0.0,4.861,189.96,1150.39,1140.97
66,4.85,1891.0,15.01,3060.0,100.0,0.0,0.0,0.0,4.85,191.02,1143.91,1151.7
67,4.854,1937.0,12.99,3057.0,100.0,0.0,0.0,0.0,4.854,185.51,1137.42,1155.18
68,4.871,1885.0,12.54,3056.0,100.0,0.0,0.0,0.0,4.871,187.92,1141.37,1147.86
69,4.835,1889.0,15.62,3059.0,100.0,0.0,0.0,0.0,4.835,185.77,1138.59,1145.61
70,4.852,1927.0,13.71,3057.0,100.0,0.0,0.0,0.0,4.852,186.04,1152.37,1142.41
71,4.859,1957.0,11.19,3055.0,100.0,0.0,0.0,0.0,4.859,183.52,1133.72,1153.66
72,4.867,1854.0,13.09,3057.0,100.0,0.0,0.0,0.0,4.867,187.45,1148.41,1139.66
73,4.862,1924.0,13.48,3058.0,100.0,0.0,0.0,0.0,4.862,187.71,1145.67,1157.09
74,4.847,1899.0,14.06,3059.0,100.0,0.0,0.0,0.0,4.847,183.39,1135.29,1141.61
75,4.893,1813.0,20.09,3059.0,100.0,0.0,713.0,0.31,4.893,192.01,1153.7,1152.41
76,4.854,1887.0,13.77,3058.0,100.0,0.0,0.0,0.0,4.854,187.8,1142.23,1155.35
77,4.851,1946.0,14.39,3058.0,100.0,0.0,0.0,0.0,4.851,189.29,1145.16,1148.32
78,4.818,1842.0,18.16,3062.0,100.0,0.0,0.0,0.0,4.818,190.61,1146.45,1146.53
79,4.88,1867.0,12.04,3057.0,100.0,0.0,0.0,0.0,4.88,187.17,1144.4,1152.12
80,4.864,1882.0,13.92,3061.0,100.0,0.0,0.0,0.0,4.864,185.38,1137.1,1148.65
81,4.794,1870.0,19.1,3066.0,100.0,0.0,0.0,0.0,4.794,179.38,1147.42,1140.22
82,4.891,1823.0,12.18,3057.0,100.0,0.0,0.0,0.0,4.891,186.99,1149.19,1150.11
83,4.839,1913.0,16.34,3058.0,100.0,0.0,0.0,0.0,4.839,188.87,1142.75,1146.02
84,4.853,1870.0,16.07,3058.0,100.0,0.0,0.0,0.0,4.853,186.17,1146.38,1154.02
85,4.854,1848.0,15.43,3058.0,100.0,0.0,709.0,0.22,4.854,188.75,1140.73,1147.44
86,4.826,1940.0,17.38,3060.0,100.0,0.0,0.0,0.0,4.826,186.32,1145.14,1145.43
87,4.867,1920.0,12.7,3056.0,100.0,0.0,0.0,0.0,4.867,186.96,1139.99,1147.41
88,4.836,1997.0,15.64,3058.0,100.0,0.0,0.0,0.0,4.836,184.83,1137.93,1148.34
89,4.856,1906.0,15.83,3059.0,100.0,0.0,0.0,0.0,4.856,188.32,1150.42,1139.31
90,4.827,1917.0,18.53,3060.0,100.0,0.0,0.0,0.0,4.827,190.13,1143.15,1147.4
91,4.856,1907.0,14.31,3058.0,100.0,0.0,0.0,0.0,4.856,185.7,1139.86,1150.87
92,4.84,1840.0,12.74,3058.0,100.0,0.0,0.0,0.0,4.84,152.82,1146.14,1146.07
93,4.89,1923.0,11.48,3056.0,100.0,0.0,0.0,0.0,4.89,185.9,1135.01,1149.37
94,4.877,1956.0,12.47,3056.0,100.0,0.0,0.0,0.0,4.877,187.36,1150.13,1148.05
95,4.881,1849.0,12.62,3059.0,100.0,0.0,0.0,0.0,4.881,187.66,1145.25,1149.77
96,4.867,1939.0,12.73,3057.0,100.0,0.0,0.0,0.0,4.867,183.09,1140.97,1140.77
97,4.879,1808.0,14.54,3058.0,100.0,0.0,714.0,0.41,4.879,193.54,1138.92,1157.22
98,4.887,1968.0,11.27,3055.0,100.0,0.0,0.0,0.0,4.887,184.4,1147.69,1147.64
99,4.888,1885.0,13.97,3057.0,100.0,0.0,0.0,0.0,4.888,187.6,1138.9,1147.76
100,4.852,1904.0,14.47,3059.0,100.0,0.0,0.0,0.0,4.852,186.87,1149.11,1147.79
101,4.876,1862.0,14.04,3058.0,100.0,0.0,0.0,0.0,4.876,190.06,1143.03,1145.97
102,4.899,1952.0,11.39,3055.0,100.0,0.0,0.0,0.0,4.899,184.46,1134.95,1150.66
103,4.882,1866.0,13.86,3059.0,100.0,0.0,0.0,0.0,4.882,190.79,1151.05,1142.64
104,4.904,1917.0,17.43,3057.0,100.0,0.0,0.0,0.0,4.904,190.74,1140.66,1154.81
105,4.906,1763.0,21.05,3061.0,100.0,0.001,714.0,0.73,4.907,190.94,1140.84,1145.75
106,4.847,1833.0,17.41,3064.0,100.0,0.0,0.0,0.0,4.847,185.47,1154.3,1156.06
107,4.901,1925.0,14.96,3057.0,100.0,0.003,711.0,0.53,4.904,189.16,1147.61,1151.46
108,4.88,1823.0,14.12,3059.0,100.0,0.0,708.0,0.22,4.88,194.11,1140.59,1143.73
109,4.847,1907.0,16.02,3058.0,100.0,0.0,0.0,0.0,4.847,188.02,1146.32,1151.76
110,4.879,1853.0,14.99,3058.0,100.0,0.0,0.0,0.0,4.879,188.49,1143.64,1152.24
111,4.892,1927.0,11.41,3055.0,100.0,0.0,0.0,0.0,4.892,185.99,1143.8,1141.5
112,4.885,1919.0,12.79,3057.0,100.0,0.0,0.0,0.0,4.885,188.26,1143.36,1153.61
113,4.884,1847.0,13.11,3057.0,100.0,0.0,0.0,0.0,4.884,189.04,1142.62,1143.69
114,4.861,1864.0,16.54,3058.0,100.0,0.0,0.0,0.0,4.861,189.59,1135.3,1147.83
115,4.884,1860.0,13.82,3058.0,100.0,0.0,0.0,0.0,4.884,189.39,1140.21,1149.22
116,4.837,1834.0,18.84,3063.0,100.0,0.0,0.0,0.0,4.837,191.02,1147.56,1148.05
117,4.904,1955.0,11.85,3055.0,100.0,0.0,0.0,0.0,4.904,185.68,1144.23,1149.14
118,5.139,1857.0,20.76,3055.0,100.0,0.0,0.0,0.0,5.139,195.19,1147.29,1148.26
119,4.906,1860.0,13.57,3058.0,100.0,0.0,0.0,0.0,4.906,190.83,1146.16,1147.75
120,4.849,1910.0,15.78,3060.0,100.0,0.0,0.0,0.0,4.849,186.5,1134.31,1144.57
121,4.909,1912.0,11.25,3055.0,100.0,0.0,0.0,0.0,4.909,185.91,1145.41,1151.93
122,4.898,1839.0,13.65,3056.0,100.0,0.0,0.0,0.0,4.898,184.42,1148.6,1141.68
123,4.877,1828.0,11.69,3057.0,100.0,0.0,0.0,0.0,4.877,161.04,1144.98,1153.62
124,4.853,1827.0,16.99,3061.0,100.0,0.0,0.0,0.0,4.853,191.55,1145.67,1150.76
125,4.9,1913.0,12.96,3056.0,100.0,0.0,0.0,0.0,4.9,188.9,1145.88,1140.59
126,4.902,1865.0,13.12,3057.0,100.0,0.0,0.0,0.0,4.902,187.88,1141.47,1153.86
127,4.91,1931.0,11.34,3055.0,100.0,0.0,0.0,0.0,4.91,187.12,1141.05,1137.9
128,4.905,1845.0,12.87,3057.0,100.0,0.0,0.0,0.0,4.905,188.03,1136.97,1154.57
129,4.899,1931.0,11.17,3055.0,100.0,0.0,0.0,0.0,4.899,185.83,1142.91,1147.4
130,4.905,1880.0,13.62,3057.0,100.0,0.0,0.0,0.0,4.905,191.02,1142.79,1149.1
131,4.908,1843.0,14.71,3059.0,100.0,0.0,0.0,0.0,4.908,192.69,1150.08,1144.5
132,4.867,1895.0,14.95,3058.0,100.0,0.0,0.0,0.0,4.867,189.02,1138.64,1144.27
133,4.884,1886.0,13.67,3057.0,100.0,0.0,0.0,0.0,4.884,188.51,1137.17,1154.43
134,4.826,1855.0,27.99,3064.0,100.0,0.0,0.0,0.0,4.826,192.72,1152.58,1147.93
135,4.907,1854.0,12.61,3056.0,100.0,0.0,0.0,0.0,4.907,189.43,1135.57,1150.78
136,4.879,1819.0,15.07,3058.0,100.0,0.0,0.0,0.0,4.879,191.81,1156.4,1145.48
137,4.901,1876.0,13.57,3058.0,100.0,0.0,0.0,0.0,4.901,190.59,1142.54,1148.67
138,4.899,1886.0,14.62,3056.0,100.0,0.0,712.0,0.53,4.899,189.71,1143.66,1140.69
139,4.9,1890.0,13.38,3057.0,100.0,0.0,708.0,0.22,4.9,188.39,1143.17,1156.09
140,4.906,1890.0,11.67,3055.0,100.0,0.0,0.0,0.0,4.906,188.82,1138.7,1143.9
141,4.893,1889.0,13.0,3056.0,100.0,0.0,0.0,0.0,4.893,187.39,1144.23,1142.82
142,4.911,1947.0,11.28,3055.0,100.0,0.0,0.0,0.0,4.911,186.52,1134.34,1153.2
143,4.83,1846.0,20.53,3063.0,100.0,0.0,0.0,0.0,4.83,192.38,1149.0,1150.7
144,4.85,1820.0,17.76,3064.0,100.0,0.0,0.0,0.0,4.85,185.21,1145.04,1139.51
145,4.869,1933.0,16.1,3059.0,100.0,0.0,0.0,0.0,4.869,188.37,1147.59,1149.76
146,4.895,1819.0,15.46,3058.0,100.0,0.0,0.0,0.0,4.895,191.88,1144.26,1154.37
147,4.87,1872.0,14.57,3058.0,100.0,0.0,0.0,0.0,4.87,190.11,1140.25,1148.0
148,4.915,1923.0,11.51,3056.0,100.0,0.0,0.0,0.0,4.915,185.53,1145.04,1147.18
149,4.886,1793.0,17.42,3062.0,100.0,0.0,0.0,0.0,4.886,194.76,1147.48,1145.84
150,4.874,1847.0,15.08,3061.0,100.0,0.0,0.0,0.0,4.874,187.09,1149.27,1147.27
151,4.908,1883.0,11.87,3056.0,100.0,0.0,0.0,0.0,4.908,189.53,1135.05,1154.5
152,4.899,1867.0,12.93,3056.0,100.0,0.0,0.0,0.0,4.899,189.55,1151.34,1141.13
153,4.867,1875.0,14.19,3059.0,100.0,0.0,0.0,0.0,4.867,174.73,1143.54,1142.45
154,4.844,1886.0,17.5,3059.0,100.0,0.0,0.0,0.0,4.844,167.7,1142.49,1152.64
155,4.89,1943.0,13.86,3057.0,100.0,0.0,0.0,0.0,4.89,189.05,1145.34,1144.65
156,4.886,1905.0,13.27,3057.0,100.0,0.0,0.0,0.0,4.886,186.53,1142.81,1143.49
157,4.895,1879.0,14.57,3057.0,100.0,0.0,714.0,0.41,4.895,187.08,1131.11,1156.04
158,4.904,1899.0,12.67,3056.0,100.0,0.0,0.0,0.0,4.904,191.2,1149.17,1143.69
159,4.89,1914.0,14.86,3058.0,100.0,0.0,0.0,0.0,4.89,189.97,1145.74,1145.58
160,4.906,1844.0,13.34,3057.0,100.0,0.0,0.0,0.0,4.906,187.9,1140.32,1152.68
161,4.917,1950.0,11.28,3055.0,100.0,0.0,0.0,0.0,4.917,187.37,1146.46,1143.29
162,4.9,1902.0,14.1,3057.0,100.0,0.0,0.0,0.0,4.9,189.76,1140.92,1143.5
163,4.902,1842.0,20.84,3058.0,100.0,0.0,0.0,0.0,4.902,191.42,1138.59,1154.95
164,4.873,1872.0,19.02,3060.0,100.0,0.001,711.0,0.53,4.874,193.42,1152.66,1147.48
165,4.858,1917.0,17.59,3060.0,100.0,0.0,709.0,0.22,4.858,187.93,1137.64,1144.49
166,4.867,1817.0,15.95,3061.0,100.0,0.0,0.0,0.0,4.867,186.69,1141.03,1150.48
167,4.872,1887.0,16.93,3061.0,100.0,0.0,0.0,0.0,4.872,185.67,1150.53,1150.7
168,4.905,1876.0,12.83,3057.0,100.0,0.0,0.0,0.0,4.905,190.26,1143.02,1141.4
169,4.848,1944.0,17.02,3059.0,100.0,0.0,0.0,0.0,4.848,186.88,1143.66,1146.66
170,4.894,1863.0,16.35,3058.0,100.0,0.0,713.0,0.32,4.894,190.42,1142.03,1151.75
171,4.858,1835.0,17.21,3063.0,100.0,0.0,0.0,0.0,4.858,185.67,1147.63,1147.63
172,4.89,1946.0,17.47,3058.0,100.0,0.0,0.0,0.0,4.89,187.56,1141.38,1145.49
173,4.894,1874.0,13.74,3059.0,100.0,0.0,0.0,0.0,4.894,186.44,1139.81,1148.99
174,4.892,1863.0,15.74,3059.0,100.0,0.0,0.0,0.0,4.892,193.63,1149.44,1151.48
175,4.848,1922.0,16.88,3062.0,100.0,0.0,0.0,0.0,4.848,184.18,1139.66,1146.62
176,4.874,1884.0,16.27,3059.0,100.0,0.0,0.0,0.0,4.874,189.18,1149.01,1141.82
177,4.919,1895.0,12.28,3055.0,100.0,0.0,0.0,0.0,4.919,189.04,1141.1,1152.16
178,4.899,1923.0,13.17,3057.0,100.0,0.0,0.0,0.0,4.899,186.75,1143.65,1146.66
179,4.926,1942.0,11.95,3055.0,100.0,0.0,0.0,0.0,4.926,189.02,1141.53,1146.04
180,4.866,1833.0,16.86,3060.0,100.0,0.0,0.0,0.0,4.866,191.85,1139.93,1147.73
181,4.922,1944.0,11.56,3055.0,100.0,0.0,0.0,0.0,4.922,185.55,1145.38,1138.63
182,4.901,1923.0,13.38,3058.0,100.0,0.0,0.0,0.0,4.901,184.43,1138.2,1155.56
183,4.909,1910.0,13.09,3057.0,100.0,0.0,0.0,0.0,4.909,189.84,1148.51,1146.81
184,4.896,1810.0,12.93,3057.0,100.0,0.0,0.0,0.0,4.896,169.5,1145.01,1139.28
185,4.861,1904.0,13.68,3059.0,100.0,0.0,0.0,0.0,4.861,164.09,1144.5,1155.09
186,4.859,1858.0,19.04,3062.0,100.0,0.0,0.0,0.0,4.859,190.43,1137.11,1146.88
187,4.905,1885.0,13.01,3057.0,100.0,0.0,0.0,0.0,4.905,190.21,1142.19,1145.39
188,4.919,1907.0,13.31,3057.0,100.0,0.0,0.0,0.0,4.919,187.49,1150.83,1140.91
189,4.895,1957.0,14.14,3057.0,100.0,0.0,0.0,0.0,4.895,187.55,1143.64,1146.66
190,4.898,1854.0,15.73,3059.0,100.0,0.0,0.0,0.0,4.898,192.21,1144.67,1152.47
191,4.857,1800.0,19.93,3065.0,100.0,0.0,0.0,0.0,4.857,188.62,1145.73,1154.24
192,4.891,1929.0,14.3,3058.0,100.0,0.0,0.0,0.0,4.891,185.63,1136.42,1146.66
193,4.944,1907.0,17.99,3056.0,100.0,0.0,0.0,0.0,4.944,192.55,1148.16,1138.33
194,4.884,1864.0,17.35,3058.0,100.0,0.001,712.0,0.53,4.885,190.55,1146.59,1152.35
195,4.899,1888.0,14.85,3058.0,100.0,0.0,0.0,0.0,4.899,189.74,1137.32,1147.85
196,4.89,1938.0,14.42,3059.0,100.0,0.0,0.0,0.0,4.89,186.79,1147.88,1147.19
197,4.88,1902.0,16.32,3059.0,100.0,0.0,0.0,0.0,4.88,188.77,1140.17,1147.68
198,4.913,1889.0,13.51,3057.0,100.0,0.0,0.0,0.0,4.913,192.42,1143.36,1144.13
199,4.92,1924.0,11.89,3056.0,100.0,0.0,0.0,0.0,4.92,188.1,1147.03,1141.83
200,4.91,1855.0,13.31,3057.0,100.0,0.0,0.0,0.0,4.91,188.32,1143.51,1152.0
201,4.889,1865.0,16.79,3061.0,100.0,0.0,0.0,0.0,4.889,194.42,1145.59,1151.6
202,4.904,1830.0,14.01,3062.0,100.0,0.0,0.0,0.0,4.904,184.46,1147.19,1149.41
203,4.885,1850.0,17.09,3060.0,100.0,0.0,0.0,0.0,4.885,194.31,1140.81,1145.96
204,4.916,1904.0,12.88,3056.0,100.0,0.0,0.0,0.0,4.916,188.48,1143.22,1144.88
205,4.928,1935.0,11.38,3055.0,100.0,0.0,0.0,0.0,4.928,188.2,1149.56,1141.89
206,5.093,1943.0,43.63,3057.0,100.0,0.0,0.0,0.0,5.093,194.85,1139.88,1158.06
207,5.535,1925.0,99.92,3054.0,100.0,0.0,712.0,0.32,5.535,205.31,1151.42,1157.03
208,5.122,1960.0,49.25,3055.0,100.0,0.0,0.0,0.0,5.122,196.65,1141.24,1150.02
209,4.919,1910.0,15.73,3057.0,100.0,0.002,711.0,0.53,4.921,192.3,1147.97,1148.54
210,4.91,1922.0,13.65,3057.0,100.0,0.0,708.0,0.22,4.91,191.07,1142.72,1143.61
211,5.096,1902.0,36.07,3056.0,100.0,0.001,712.0,0.32,5.097,189.6,1143.32,1143.35
212,5.526,1909.0,100.0,3056.0,100.0,0.0,0.0,0.0,5.526,195.47,1143.38,1159.1
213,5.496,1881.0,100.0,3058.0,100.0,0.0,0.0,0.0,5.496,195.35,1144.42,1161.35
214,5.127,1882.0,45.48,3058.0,100.0,0.0,709.0,0.22,5.127,192.19,1152.34,1147.15
215,4.895,1789.0,14.66,3060.0,100.0,0.0,0.0,0.0,4.895,165.83,1136.92,1141.35
216,4.862,1852.0,18.38,3061.0,100.0,0.0,712.0,0.32,4.862,181.39,1144.04,1154.81
217,4.88,1844.0,18.75,3062.0,100.0,0.0,0.0,0.0,4.88,196.39,1148.07,1149.06
218,4.9,1870.0,16.37,3058.0,100.0,0.0,0.0,0.0,4.9,192.0,1150.16,1145.87
219,4.883,1926.0,16.41,3059.0,100.0,0.0,0.0,0.0,4.883,192.23,1144.63,1148.95
220,4.908,1860.0,14.96,3060.0,100.0,0.0,0.0,0.0,4.908,187.32,1144.9,1150.94
221,4.913,1831.0,14.38,3059.0,100.0,0.0,0.0,0.0,4.913,191.92,1146.2,1140.26
222,4.88,1910.0,17.68,3059.0,100.0,0.0,0.0,0.0,4.88,189.37,1140.72,1155.69
223,4.947,1884.0,16.79,3056.0,100.0,0.0,0.0,0.0,4.947,192.57,1144.45,1148.77
