Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.75,1279.0,20.93,1708.0,43.84,0.001,709.0,0.22,1.751,49.35,436.08,437.79
1,4.477,1724.0,14.28,3077.0,98.44,0.001,708.0,0.22,4.478,130.45,1058.15,1058.78
2,4.788,1832.0,11.88,3054.0,100.0,0.0,0.0,0.0,4.788,183.42,1162.38,1147.59
3,4.794,1819.0,13.15,3057.0,100.0,0.0,0.0,0.0,4.794,181.55,1156.13,1161.72
4,4.778,1893.0,12.76,3055.0,100.0,0.0,0.0,0.0,4.778,178.37,1150.38,1155.67
5,4.799,1852.0,11.9,3053.0,100.0,0.0,0.0,0.0,4.799,183.13,1165.8,1149.63
6,4.79,1862.0,12.92,3057.0,100.0,0.0,0.0,0.0,4.79,184.74,1152.57,1157.16
7,4.765,1851.0,16.63,3062.0,100.0,0.0,0.0,0.0,4.765,188.83,1160.85,1145.33
8,4.723,1848.0,23.68,3067.0,100.0,0.0,709.0,0.22,4.723,190.6,1147.18,1161.12
9,4.775,1839.0,16.5,3060.0,100.0,0.0,708.0,0.22,4.775,190.83,1161.29,1153.6
10,4.794,1771.0,15.35,3061.0,100.0,0.001,708.0,0.22,4.795,189.64,1152.76,1150.64
11,4.795,1839.0,13.97,3058.0,100.0,0.0,0.0,0.0,4.795,187.31,1148.46,1158.88
12,4.769,1855.0,16.89,3060.0,100.0,0.0,713.0,0.73,4.769,187.99,1150.95,1152.3
13,4.819,1839.0,13.12,3058.0,100.0,0.0,0.0,0.0,4.819,187.41,1148.83,1153.62
14,4.82,1937.0,12.08,3055.0,100.0,0.0,0.0,0.0,4.82,183.39,1150.73,1151.6
15,4.804,1919.0,14.9,3058.0,100.0,0.0,0.0,0.0,4.804,189.83,1151.63,1144.62
16,4.803,1865.0,15.32,3059.0,100.0,0.0,0.0,0.0,4.803,188.74,1145.63,1157.21
17,4.806,1917.0,13.2,3057.0,100.0,0.0,0.0,0.0,4.806,184.58,1149.9,1144.55
18,4.845,1821.0,18.43,3058.0,100.0,0.0,0.0,0.0,4.845,190.31,1147.86,1162.19
19,4.791,1831.0,18.49,3062.0,100.0,0.0,0.0,0.0,4.791,189.59,1155.96,1148.59
20,4.813,1895.0,15.63,3059.0,100.0,0.0,0.0,0.0,4.813,185.37,1149.97,1157.27
21,4.819,1943.0,13.68,3057.0,100.0,0.0,0.0,0.0,4.819,187.59,1150.1,1146.92
22,4.813,1901.0,15.73,3059.0,100.0,0.002,712.0,0.31,4.815,185.88,1144.18,1157.37
23,4.835,1938.0,13.58,3055.0,100.0,0.0,710.0,0.22,4.835,189.26,1157.56,1150.11
24,4.842,1839.0,13.95,3058.0,100.0,0.001,708.0,0.22,4.843,189.83,1151.25,1151.19
25,4.817,1858.0,14.1,3058.0,100.0,0.0,0.0,0.0,4.817,185.17,1148.58,1155.43
26,4.844,1978.0,12.52,3056.0,100.0,0.0,0.0,0.0,4.844,186.75,1147.76,1146.06
27,4.834,1888.0,13.8,3058.0,100.0,0.0,0.0,0.0,4.834,187.07,1144.44,1158.05
28,4.838,2011.0,12.16,3055.0,100.0,0.0,0.0,0.0,4.838,185.23,1155.11,1144.8
29,4.787,1941.0,17.79,3062.0,100.0,0.0,0.0,0.0,4.787,184.88,1144.25,1147.7
30,4.823,1914.0,12.44,3056.0,100.0,0.0,0.0,0.0,4.823,166.69,1153.64,1158.55
31,4.815,1884.0,12.97,3058.0,100.0,0.0,0.0,0.0,4.815,165.57,1148.04,1144.16
32,4.828,1927.0,15.9,3059.0,100.0,0.0,0.0,0.0,4.828,187.18,1141.59,1159.3
33,4.843,1914.0,14.09,3058.0,100.0,0.0,0.0,0.0,4.843,189.78,1159.13,1149.9
34,4.842,1916.0,14.89,3058.0,100.0,0.0,0.0,0.0,4.842,187.98,1145.2,1155.37
35,4.791,1818.0,18.59,3065.0,100.0,0.0,0.0,0.0,4.791,186.56,1155.81,1153.25
36,4.835,1898.0,14.72,3058.0,100.0,0.0,0.0,0.0,4.835,185.64,1150.13,1154.01
37,4.813,1816.0,16.06,3061.0,100.0,0.0,0.0,0.0,4.813,191.74,1146.86,1152.88
38,4.81,1905.0,17.23,3061.0,100.0,0.0,0.0,0.0,4.81,186.83,1153.79,1147.62
39,4.864,1931.0,13.13,3056.0,100.0,0.0,0.0,0.0,4.864,187.19,1139.53,1158.59
40,4.861,1901.0,12.93,3056.0,100.0,0.0,0.0,0.0,4.861,186.95,1147.67,1148.28
41,4.806,1867.0,17.96,3062.0,100.0,0.0,0.0,0.0,4.806,187.34,1161.92,1153.19
42,4.81,1971.0,16.6,3061.0,100.0,0.0,0.0,0.0,4.81,188.76,1145.76,1144.77
43,4.815,1863.0,17.97,3064.0,100.0,0.0,0.0,0.0,4.815,188.12,1150.67,1160.46
44,4.814,1891.0,17.31,3061.0,100.0,0.0,0.0,0.0,4.814,188.47,1150.19,1150.84
45,4.843,1843.0,15.51,3061.0,100.0,0.0,0.0,0.0,4.843,188.07,1150.2,1155.89
46,4.848,1844.0,14.56,3059.0,100.0,0.0,0.0,0.0,4.848,190.33,1147.49,1154.61
47,4.872,1965.0,12.62,3055.0,100.0,0.0,0.0,0.0,4.872,185.36,1146.42,1151.53
48,4.884,1886.0,19.67,3058.0,100.0,0.0,0.0,0.0,4.884,191.43,1152.08,1145.54
