Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,2.01,1289.0,32.01,1779.0,48.56,0.0,0.0,0.0,2.01,53.48,486.16,482.47
1,4.542,1671.0,16.95,3075.0,99.61,0.001,709.0,0.22,4.543,129.36,1072.08,1068.22
2,4.78,1856.0,20.64,3054.0,100.0,0.0,0.0,0.0,4.78,179.57,1154.69,1145.94
3,4.801,1860.0,19.69,3052.0,100.0,0.0,713.0,0.32,4.801,181.2,1149.39,1149.84
4,4.785,1856.0,18.71,3054.0,100.0,0.0,0.0,0.0,4.785,181.89,1153.68,1147.36
5,4.78,1865.0,14.65,3052.0,100.0,0.0,0.0,0.0,4.78,182.46,1151.62,1144.74
6,4.798,1830.0,22.28,3059.0,100.0,0.001,709.0,0.22,4.799,187.16,1148.47,1157.08
7,4.806,1723.0,22.16,3059.0,100.0,0.0,709.0,0.22,4.806,187.69,1142.18,1145.25
8,4.83,1814.0,27.84,3061.0,100.0,0.0,0.0,0.0,4.83,191.06,1159.36,1150.36
9,4.818,1808.0,21.69,3058.0,100.0,0.001,712.0,0.31,4.819,191.19,1149.17,1148.65
10,4.779,1877.0,23.17,3060.0,100.0,0.0,0.0,0.0,4.779,189.66,1143.47,1147.58
11,4.813,1788.0,22.55,3061.0,100.0,0.001,709.0,0.22,4.814,191.44,1147.33,1151.3
12,4.815,1889.0,20.49,3059.0,100.0,0.0,0.0,0.0,4.815,191.21,1146.28,1148.47
13,4.805,1891.0,21.7,3059.0,100.0,0.0,0.0,0.0,4.805,187.32,1149.91,1141.15
14,4.761,1829.0,24.29,3067.0,100.0,0.0,0.0,0.0,4.761,176.32,1155.23,1154.03
15,4.816,1951.0,18.93,3055.0,100.0,0.0,0.0,0.0,4.816,186.01,1142.9,1144.31
16,4.805,1851.0,20.12,3058.0,100.0,0.0,0.0,0.0,4.805,185.39,1147.21,1147.77
17,4.814,1803.0,21.87,3061.0,100.0,0.0,0.0,0.0,4.814,192.0,1148.59,1140.7
18,4.802,1857.0,22.21,3058.0,100.0,0.0,0.0,0.0,4.802,188.02,1138.55,1152.17
19,4.808,1891.0,23.25,3059.0,100.0,0.0,0.0,0.0,4.808,186.61,1152.65,1144.77
