Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,2.028,1275.0,30.72,1762.0,48.75,0.0,0.0,0.0,2.028,54.07,484.68,483.98
1,4.566,1584.0,18.02,3074.0,99.98,0.0,0.0,0.0,4.566,130.83,1073.11,1072.97
2,4.788,1790.0,19.75,3055.0,100.0,0.002,712.0,0.31,4.79,178.95,1147.02,1155.96
3,4.781,1797.0,20.99,3060.0,100.0,0.0,0.0,0.0,4.781,181.54,1154.87,1151.58
4,4.789,1818.0,19.37,3057.0,100.0,0.0,0.0,0.0,4.789,186.8,1151.53,1154.45
5,4.932,1833.0,34.67,3056.0,100.0,0.0,0.0,0.0,4.932,183.51,1146.87,1156.62
6,5.187,1962.0,49.35,3053.0,100.0,0.0,0.0,0.0,5.187,188.61,1149.37,1153.52
7,4.824,1847.0,23.24,3058.0,100.0,0.0,0.0,0.0,4.824,191.73,1146.31,1141.09
8,4.766,1862.0,25.68,3063.0,100.0,0.0,708.0,0.22,4.766,183.54,1143.61,1156.97
9,4.786,1862.0,23.11,3061.0,100.0,0.0,709.0,0.22,4.786,187.94,1145.33,1148.67
10,4.82,1830.0,23.22,3058.0,100.0,0.0,0.0,0.0,4.82,189.99,1141.52,1149.01
11,5.107,1879.0,45.49,3054.0,100.0,0.0,0.0,0.0,5.107,190.96,1141.41,1148.33
12,4.814,1761.0,21.84,3062.0,100.0,0.0,0.0,0.0,4.814,194.49,1148.08,1152.17
13,4.828,1898.0,19.07,3056.0,100.0,0.0,0.0,0.0,4.828,186.62,1138.93,1147.71
14,4.817,1781.0,25.0,3064.0,100.0,0.0,0.0,0.0,4.817,188.05,1153.07,1152.74
15,4.837,1851.0,19.92,3057.0,100.0,0.0,0.0,0.0,4.837,190.39,1143.26,1149.25
16,4.803,1847.0,22.46,3060.0,100.0,0.0,0.0,0.0,4.803,188.61,1139.73,1148.05
17,4.831,1987.0,18.4,3055.0,100.0,0.0,0.0,0.0,4.831,185.53,1142.44,1143.74
18,4.803,1858.0,30.1,3067.0,100.0,0.0,0.0,0.0,4.803,184.21,1148.42,1147.43
19,4.834,1905.0,19.02,3055.0,100.0,0.0,0.0,0.0,4.834,185.3,1139.77,1149.08
20,4.844,1858.0,19.54,3056.0,100.0,0.0,0.0,0.0,4.844,187.81,1139.4,1146.14
21,4.807,1823.0,23.19,3062.0,100.0,0.0,0.0,0.0,4.807,192.1,1142.54,1152.89
22,4.814,1889.0,20.43,3060.0,100.0,0.0,0.0,0.0,4.814,188.78,1138.68,1147.28
23,4.803,1835.0,19.42,3059.0,100.0,0.0,0.0,0.0,4.803,186.87,1148.46,1146.73
24,4.796,1897.0,19.13,3059.0,100.0,0.0,0.0,0.0,4.796,190.1,1143.35,1141.22
25,4.86,1829.0,29.91,3059.0,100.0,0.0,0.0,0.0,4.86,188.79,1139.06,1153.41
26,4.837,1845.0,22.54,3059.0,100.0,0.0,712.0,0.31,4.837,191.57,1147.06,1140.1
27,4.85,1888.0,17.84,3055.0,100.0,0.0,0.0,0.0,4.85,187.0,1142.88,1146.96
28,4.847,1854.0,18.39,3055.0,100.0,0.0,0.0,0.0,4.847,187.17,1142.16,1148.41
29,4.853,1877.0,19.32,3056.0,100.0,0.0,0.0,0.0,4.853,188.04,1135.78,1148.74
