Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,2.0,1333.0,37.19,1794.0,49.2,0.0,0.0,0.0,2.0,54.11,484.94,487.57
1,4.538,1660.0,19.67,3076.0,99.48,0.0,0.0,0.0,4.538,127.93,1079.78,1067.7
2,4.787,1833.0,19.69,3056.0,100.0,0.003,714.0,0.41,4.79,183.4,1145.67,1150.93
3,4.795,1793.0,28.26,3060.0,100.0,0.0,0.0,0.0,4.795,183.74,1157.82,1156.97
4,4.768,1822.0,19.34,3057.0,100.0,0.0,0.0,0.0,4.768,179.94,1147.72,1146.22
5,4.793,1843.0,19.38,3053.0,100.0,0.0,0.0,0.0,4.793,182.86,1144.57,1159.1
6,4.769,1879.0,22.34,3057.0,100.0,0.0,709.0,0.22,4.769,184.95,1155.7,1148.6
7,4.813,1774.0,28.65,3061.0,100.0,0.0,0.0,0.0,4.813,185.32,1145.18,1149.59
8,4.787,1846.0,23.36,3058.0,100.0,0.001,710.0,0.22,4.788,189.66,1156.65,1145.03
9,4.78,1925.0,19.61,3055.0,100.0,0.0,708.0,0.22,4.78,183.41,1150.38,1145.04
10,4.759,1862.0,25.41,3061.0,100.0,0.0,0.0,0.0,4.759,186.58,1150.34,1151.74
11,4.783,1855.0,22.57,3058.0,100.0,0.0,0.0,0.0,4.783,188.2,1144.74,1150.32
12,4.808,1891.0,18.16,3052.0,100.0,0.0,0.0,0.0,4.808,182.9,1154.7,1135.42
13,4.758,1844.0,22.13,3062.0,100.0,0.0,0.0,0.0,4.758,181.62,1154.68,1153.15
14,4.799,1851.0,15.89,3055.0,100.0,0.0,0.0,0.0,4.799,185.47,1147.69,1150.39
15,4.784,1891.0,22.28,3059.0,100.0,0.0,0.0,0.0,4.784,185.55,1146.05,1148.0
16,4.809,1894.0,20.21,3054.0,100.0,0.0,0.0,0.0,4.809,184.47,1151.73,1140.81
