Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.804,1285.0,26.67,1695.0,44.68,0.0,708.0,0.22,1.804,50.9,436.3,441.37
1,4.484,1679.0,13.16,3075.0,98.79,0.0,708.0,0.22,4.484,129.21,1061.9,1077.1
2,4.778,1820.0,12.03,3055.0,100.0,0.0,0.0,0.0,4.778,179.75,1161.11,1156.92
3,4.786,1831.0,14.68,3055.0,100.0,0.0,709.0,0.22,4.786,182.48,1157.46,1156.29
4,4.772,1917.0,12.58,3054.0,100.0,0.0,0.0,0.0,4.772,181.68,1155.46,1150.37
5,4.809,1872.0,19.29,3054.0,100.0,0.0,709.0,0.22,4.809,184.23,1157.13,1150.0
6,4.792,1873.0,13.38,3056.0,100.0,0.0,0.0,0.0,4.792,186.89,1151.62,1161.25
7,4.791,1856.0,14.49,3059.0,100.0,0.0,0.0,0.0,4.791,189.68,1139.89,1154.07
8,4.795,1863.0,13.79,3058.0,100.0,0.0,0.0,0.0,4.795,186.04,1160.95,1151.16
9,4.797,1980.0,13.52,3057.0,100.0,0.0,712.0,0.32,4.797,187.45,1144.94,1150.69
10,4.807,1961.0,11.84,3055.0,100.0,0.0,0.0,0.0,4.807,183.53,1149.48,1150.52
11,4.811,1854.0,14.11,3058.0,100.0,0.001,712.0,0.31,4.812,190.86,1148.8,1148.46
12,4.76,1842.0,19.07,3065.0,100.0,0.0,0.0,0.0,4.76,189.35,1154.84,1159.56
13,4.769,1864.0,18.34,3063.0,100.0,0.0,0.0,0.0,4.769,188.09,1152.34,1152.99
14,4.813,1865.0,13.39,3058.0,100.0,0.0,0.0,0.0,4.813,185.88,1143.42,1152.69
15,4.809,1924.0,13.04,3057.0,100.0,0.0,0.0,0.0,4.809,185.98,1142.93,1151.66
16,4.816,1886.0,13.59,3058.0,100.0,0.0,0.0,0.0,4.816,187.65,1154.56,1147.51
17,4.818,1993.0,11.52,3056.0,100.0,0.0,0.0,0.0,4.818,183.6,1138.77,1157.83
18,4.805,1933.0,14.23,3057.0,100.0,0.0,0.0,0.0,4.805,187.02,1145.77,1147.29
19,4.81,1916.0,13.42,3057.0,100.0,0.0,0.0,0.0,4.81,184.95,1148.86,1151.29
20,4.816,1802.0,16.38,3062.0,100.0,0.0,0.0,0.0,4.816,190.78,1157.17,1157.68
21,4.814,1900.0,13.98,3058.0,100.0,0.0,0.0,0.0,4.814,187.63,1137.32,1147.85
22,4.805,1861.0,15.1,3060.0,100.0,0.0,0.0,0.0,4.805,186.23,1156.74,1154.43
23,4.777,1876.0,18.08,3063.0,100.0,0.0,0.0,0.0,4.777,188.82,1140.27,1150.91
24,4.802,1868.0,15.81,3060.0,100.0,0.0,0.0,0.0,4.802,189.61,1160.01,1149.51
25,4.805,1787.0,15.42,3060.0,100.0,0.0,0.0,0.0,4.805,189.88,1149.31,1154.64
26,4.776,1847.0,20.42,3066.0,100.0,0.0,0.0,0.0,4.776,189.13,1150.82,1146.92
27,4.833,1893.0,13.59,3058.0,100.0,0.0,0.0,0.0,4.833,185.33,1146.22,1156.86
28,4.805,1878.0,15.68,3059.0,100.0,0.0,715.0,0.51,4.805,188.7,1146.01,1150.7
29,4.851,1917.0,11.47,3055.0,100.0,0.0,0.0,0.0,4.851,184.12,1151.29,1148.87
30,4.799,1903.0,13.98,3059.0,100.0,0.0,0.0,0.0,4.799,162.8,1145.43,1151.59
