Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.808,1254.0,22.03,1665.0,44.18,0.0,708.0,0.22,1.808,50.3,437.09,438.55
1,4.516,1634.0,11.83,3073.0,99.24,0.0,709.0,0.22,4.516,134.12,1054.99,1072.34
2,4.752,1860.0,11.9,3053.0,100.0,0.0,0.0,0.0,4.752,177.87,1157.12,1152.81
3,4.793,1872.0,12.7,3052.0,100.0,0.0,709.0,0.22,4.793,181.95,1141.09,1153.53
4,4.776,1849.0,12.61,3054.0,100.0,0.0,0.0,0.0,4.776,181.12,1159.81,1149.41
5,4.779,1815.0,14.05,3058.0,100.0,0.0,0.0,0.0,4.779,184.26,1155.52,1155.34
6,4.774,1901.0,12.48,3055.0,100.0,0.0,0.0,0.0,4.774,183.01,1147.68,1154.98
7,4.743,1843.0,15.93,3059.0,100.0,0.0,0.0,0.0,4.743,185.38,1146.6,1147.26
8,4.769,1822.0,14.55,3057.0,100.0,0.0,0.0,0.0,4.769,188.5,1150.38,1150.15
9,4.79,1809.0,16.57,3061.0,100.0,0.0,708.0,0.22,4.79,186.92,1161.04,1152.37
10,4.793,1923.0,14.25,3056.0,100.0,0.0,711.0,0.53,4.793,184.33,1143.35,1143.01
11,4.79,1927.0,12.72,3056.0,100.0,0.0,0.0,0.0,4.79,182.68,1144.58,1155.78
12,4.794,1931.0,13.69,3056.0,100.0,0.0,0.0,0.0,4.794,187.09,1156.06,1150.31
13,4.794,1920.0,13.07,3057.0,100.0,0.0,0.0,0.0,4.794,183.69,1149.02,1142.31
14,4.755,1881.0,16.17,3061.0,100.0,0.0,0.0,0.0,4.755,185.59,1142.67,1154.5
15,4.79,1843.0,14.08,3059.0,100.0,0.0,0.0,0.0,4.79,186.02,1138.96,1148.33
16,4.781,1920.0,22.25,3062.0,100.0,0.0,0.0,0.0,4.781,186.94,1155.99,1146.25
17,4.755,1921.0,19.1,3063.0,100.0,0.0,0.0,0.0,4.755,189.73,1142.82,1156.54
18,4.824,1818.0,15.07,3059.0,100.0,0.0,713.0,0.31,4.824,189.03,1146.96,1150.31
19,4.806,1896.0,14.2,3059.0,100.0,0.0,0.0,0.0,4.806,191.79,1146.69,1147.07
20,4.801,1832.0,15.09,3060.0,100.0,0.0,0.0,0.0,4.801,191.78,1141.79,1154.48
21,4.833,1977.0,11.27,3055.0,100.0,0.0,0.0,0.0,4.833,182.16,1146.58,1148.94
22,4.823,1899.0,13.76,3059.0,100.0,0.0,0.0,0.0,4.823,188.55,1149.89,1148.21
23,4.815,1860.0,13.65,3059.0,100.0,0.0,0.0,0.0,4.815,186.16,1141.8,1154.18
24,4.814,1962.0,11.81,3056.0,100.0,0.0,0.0,0.0,4.814,184.77,1147.82,1145.38
