Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.855,1276.0,27.39,1713.0,45.52,0.001,710.0,0.22,1.856,51.6,451.53,448.37
1,4.533,1662.0,11.85,3074.0,99.6,0.002,712.0,0.32,4.535,129.92,1069.94,1074.18
2,4.77,1873.0,11.71,3054.0,100.0,0.0,0.0,0.0,4.77,181.39,1153.89,1151.99
3,4.784,1880.0,11.77,3052.0,100.0,0.0,0.0,0.0,4.784,180.5,1143.68,1156.78
4,4.757,1866.0,16.12,3058.0,100.0,0.0,0.0,0.0,4.757,182.95,1156.77,1157.27
5,4.778,1842.0,13.68,3057.0,100.0,0.0,0.0,0.0,4.778,181.55,1157.64,1159.14
6,4.771,1881.0,12.81,3055.0,100.0,0.0,0.0,0.0,4.771,183.41,1158.83,1154.41
7,4.743,1928.0,15.72,3058.0,100.0,0.0,0.0,0.0,4.743,182.9,1148.74,1146.03
8,4.769,1949.0,14.15,3054.0,100.0,0.001,713.0,0.31,4.77,181.29,1157.58,1152.47
9,4.767,1781.0,15.76,3060.0,100.0,0.0,708.0,0.22,4.767,191.79,1154.55,1152.68
10,4.791,1827.0,13.53,3056.0,100.0,0.0,0.0,0.0,4.791,185.43,1151.9,1151.77
11,4.745,1869.0,17.89,3061.0,100.0,0.0,0.0,0.0,4.745,186.39,1152.72,1145.5
12,4.806,1909.0,11.47,3053.0,100.0,0.0,0.0,0.0,4.806,180.83,1147.1,1158.05
13,4.995,1938.0,17.97,3056.0,100.0,0.0,0.0,0.0,4.995,187.44,1153.32,1143.24
14,4.816,1868.0,12.38,3057.0,100.0,0.0,0.0,0.0,4.816,188.24,1149.34,1157.82
15,4.813,1954.0,12.69,3055.0,100.0,0.0,714.0,0.42,4.813,183.79,1144.02,1153.94
16,4.824,1991.0,11.93,3055.0,100.0,0.0,0.0,0.0,4.824,184.73,1148.53,1143.86
17,4.817,1893.0,13.82,3057.0,100.0,0.0,0.0,0.0,4.817,186.04,1147.11,1157.06
18,4.795,1926.0,15.17,3059.0,100.0,0.0,0.0,0.0,4.795,188.26,1150.63,1149.5
19,4.775,1835.0,19.48,3066.0,100.0,0.0,0.0,0.0,4.775,191.23,1145.33,1154.77
20,4.827,1948.0,12.23,3056.0,100.0,0.0,0.0,0.0,4.827,184.31,1149.17,1150.26
21,4.786,1918.0,16.88,3062.0,100.0,0.0,0.0,0.0,4.786,190.8,1148.26,1147.72
22,4.855,1845.0,19.66,3060.0,100.0,0.0,0.0,0.0,4.855,194.56,1153.29,1159.73
23,4.781,1935.0,16.62,3061.0,100.0,0.0,0.0,0.0,4.781,185.23,1140.26,1147.37
24,4.833,1848.0,14.83,3057.0,100.0,0.001,713.0,0.31,4.834,190.8,1155.78,1155.36
25,4.768,1871.0,19.46,3064.0,100.0,0.0,0.0,0.0,4.768,188.03,1146.44,1155.6
26,4.836,1879.0,13.98,3059.0,100.0,0.0,0.0,0.0,4.836,188.62,1154.43,1153.12
27,4.8,1853.0,17.64,3063.0,100.0,0.0,0.0,0.0,4.8,194.05,1145.9,1144.27
28,4.846,1821.0,13.16,3058.0,100.0,0.0,0.0,0.0,4.846,190.74,1149.77,1152.4
29,4.836,1932.0,13.2,3058.0,100.0,0.0,0.0,0.0,4.836,186.19,1144.97,1160.59
30,4.762,1830.0,18.63,3065.0,100.0,0.0,0.0,0.0,4.762,166.13,1159.15,1150.82
31,4.831,1937.0,11.55,3056.0,100.0,0.0,0.0,0.0,4.831,169.29,1145.23,1150.3
32,4.833,1864.0,15.84,3059.0,100.0,0.0,0.0,0.0,4.833,189.44,1146.58,1155.23
33,4.834,1951.0,13.53,3057.0,100.0,0.0,0.0,0.0,4.834,185.54,1150.47,1142.65
34,4.807,1902.0,18.0,3063.0,100.0,0.0,0.0,0.0,4.807,188.7,1150.57,1151.07
35,4.856,1996.0,11.5,3055.0,100.0,0.0,0.0,0.0,4.856,185.51,1143.85,1158.6
36,4.862,1910.0,13.21,3056.0,100.0,0.0,712.0,0.32,4.862,187.03,1141.62,1152.48
37,4.853,1888.0,22.37,3061.0,100.0,0.0,0.0,0.0,4.853,189.78,1150.64,1150.98
38,4.84,1987.0,12.64,3056.0,100.0,0.0,0.0,0.0,4.84,185.43,1155.29,1145.82
39,4.82,1834.0,16.87,3062.0,100.0,0.0,0.0,0.0,4.82,192.23,1146.87,1156.97
40,4.839,1855.0,15.98,3060.0,100.0,0.0,0.0,0.0,4.839,189.99,1151.52,1155.51
41,4.821,1938.0,15.63,3059.0,100.0,0.0,0.0,0.0,4.821,187.71,1150.03,1141.67
42,4.845,1869.0,14.26,3058.0,100.0,0.0,0.0,0.0,4.845,188.62,1151.44,1157.11
43,4.823,1878.0,15.71,3060.0,100.0,0.0,0.0,0.0,4.823,187.88,1147.43,1148.33
44,4.83,1938.0,14.91,3060.0,100.0,0.0,0.0,0.0,4.83,187.4,1147.87,1158.26
45,4.814,1871.0,16.87,3062.0,100.0,0.0,0.0,0.0,4.814,187.38,1143.7,1149.41
46,4.827,1858.0,16.0,3061.0,100.0,0.0,0.0,0.0,4.827,190.5,1154.17,1151.85
47,4.864,1867.0,13.83,3059.0,100.0,0.0,0.0,0.0,4.864,189.55,1150.17,1151.13
48,4.867,1960.0,12.27,3055.0,100.0,0.0,0.0,0.0,4.867,188.55,1147.22,1151.87
49,4.82,1872.0,17.03,3061.0,100.0,0.0,0.0,0.0,4.82,187.29,1148.6,1151.94
50,4.855,1886.0,15.29,3059.0,100.0,0.0,0.0,0.0,4.855,187.37,1141.41,1149.16
51,4.885,1890.0,18.8,3058.0,100.0,0.0,0.0,0.0,4.885,190.15,1155.06,1150.49
52,4.884,1943.0,11.84,3056.0,100.0,0.0,0.0,0.0,4.884,184.34,1145.66,1155.43
53,4.868,1843.0,13.81,3058.0,100.0,0.0,0.0,0.0,4.868,185.9,1148.84,1148.63
54,4.875,1857.0,14.6,3060.0,100.0,0.0,0.0,0.0,4.875,190.79,1148.57,1154.56
55,4.869,1916.0,14.54,3057.0,100.0,0.0,713.0,0.32,4.869,189.14,1146.44,1148.82
56,4.877,1941.0,11.72,3056.0,100.0,0.0,0.0,0.0,4.877,184.29,1144.06,1154.43
57,4.857,1920.0,15.1,3057.0,100.0,0.0,0.0,0.0,4.857,189.09,1145.92,1152.16
58,4.837,1911.0,15.15,3058.0,100.0,0.0,0.0,0.0,4.837,185.89,1144.83,1148.02
59,4.847,1831.0,18.5,3062.0,100.0,0.0,0.0,0.0,4.847,192.59,1158.43,1155.25
60,4.877,1949.0,11.62,3055.0,100.0,0.0,0.0,0.0,4.877,186.67,1147.95,1146.74
61,4.838,1882.0,12.69,3057.0,100.0,0.0,0.0,0.0,4.838,159.14,1149.61,1145.25
62,4.856,1880.0,14.82,3057.0,100.0,0.0,0.0,0.0,4.856,178.95,1147.4,1158.38
63,4.887,1904.0,11.8,3055.0,100.0,0.0,0.0,0.0,4.887,185.86,1146.25,1146.12
64,4.893,1992.0,12.26,3055.0,100.0,0.0,0.0,0.0,4.893,188.02,1144.73,1156.79
65,4.871,1906.0,13.62,3058.0,100.0,0.0,0.0,0.0,4.871,185.44,1148.12,1144.77
66,4.893,2000.0,11.75,3055.0,100.0,0.0,0.0,0.0,4.893,185.59,1141.3,1158.19
67,4.871,1828.0,15.87,3061.0,100.0,0.0,0.0,0.0,4.871,196.63,1155.23,1155.31
68,4.883,1854.0,14.55,3060.0,100.0,0.0,0.0,0.0,4.883,191.85,1146.02,1152.66
69,4.872,1880.0,13.79,3059.0,100.0,0.0,0.0,0.0,4.872,187.71,1151.11,1148.26
70,4.896,1982.0,11.94,3055.0,100.0,0.0,0.0,0.0,4.896,186.24,1143.46,1152.44
71,4.905,1986.0,12.78,3055.0,100.0,0.0,0.0,0.0,4.905,189.7,1149.04,1147.58
72,4.895,1825.0,13.55,3059.0,100.0,0.0,0.0,0.0,4.895,194.55,1145.93,1151.94
73,4.868,1904.0,15.44,3057.0,100.0,0.0,0.0,0.0,4.868,186.78,1144.15,1155.18
74,4.874,1900.0,14.66,3058.0,100.0,0.0,715.0,0.51,4.874,191.03,1146.68,1155.15
75,4.905,1898.0,12.12,3056.0,100.0,0.0,0.0,0.0,4.905,186.12,1149.6,1149.54
76,4.89,1873.0,14.26,3058.0,100.0,0.0,0.0,0.0,4.89,192.74,1155.22,1150.09
77,4.905,1939.0,11.75,3056.0,100.0,0.0,0.0,0.0,4.905,188.01,1143.61,1156.01
78,4.905,1875.0,13.85,3058.0,100.0,0.0,0.0,0.0,4.905,190.31,1148.13,1153.91
79,4.888,1904.0,15.0,3057.0,100.0,0.0,0.0,0.0,4.888,191.12,1143.48,1144.27
80,4.89,1889.0,14.06,3058.0,100.0,0.0,0.0,0.0,4.89,190.2,1154.95,1157.85
81,4.936,2016.0,16.19,3055.0,100.0,0.0,0.0,0.0,4.936,190.16,1147.76,1157.0
82,4.881,1852.0,15.41,3058.0,100.0,0.0,0.0,0.0,4.881,189.33,1139.92,1145.89
83,4.904,1880.0,14.82,3058.0,100.0,0.0,0.0,0.0,4.904,193.35,1159.07,1159.62
84,4.894,1883.0,13.91,3058.0,100.0,0.0,0.0,0.0,4.894,191.22,1146.65,1152.08
85,4.857,1943.0,16.22,3059.0,100.0,0.0,0.0,0.0,4.857,187.24,1141.84,1152.6
86,4.857,1848.0,17.0,3059.0,100.0,0.0,0.0,0.0,4.857,191.7,1156.22,1147.99
87,4.929,1966.0,13.34,3055.0,100.0,0.0,714.0,0.41,4.929,188.38,1141.93,1154.42
88,4.888,1923.0,13.46,3057.0,100.0,0.0,0.0,0.0,4.888,190.53,1147.78,1149.49
89,4.93,1871.0,12.21,3055.0,100.0,0.0,0.0,0.0,4.93,187.12,1149.2,1154.75
90,4.906,1956.0,11.35,3055.0,100.0,0.0,0.0,0.0,4.906,186.36,1148.22,1140.59
91,4.899,1902.0,13.73,3057.0,100.0,0.0,0.0,0.0,4.899,186.73,1146.76,1160.95
92,4.881,1883.0,10.68,3055.0,100.0,0.0,0.0,0.0,4.881,152.25,1147.53,1141.6
93,4.907,1986.0,11.61,3055.0,100.0,0.0,0.0,0.0,4.907,188.68,1139.71,1160.29
94,4.86,1927.0,17.27,3059.0,100.0,0.0,0.0,0.0,4.86,187.72,1157.06,1150.57
95,4.922,1894.0,12.46,3055.0,100.0,0.0,0.0,0.0,4.922,190.61,1148.01,1150.78
96,4.913,1952.0,11.89,3055.0,100.0,0.0,0.0,0.0,4.913,189.55,1137.0,1149.71
97,4.92,1962.0,11.83,3055.0,100.0,0.0,0.0,0.0,4.92,186.02,1150.68,1150.71
98,4.866,1940.0,17.41,3060.0,100.0,0.0,0.0,0.0,4.866,190.84,1152.38,1154.03
99,4.907,1879.0,13.24,3057.0,100.0,0.0,0.0,0.0,4.907,186.98,1148.52,1150.85
100,4.874,1850.0,15.98,3059.0,100.0,0.0,0.0,0.0,4.874,192.01,1150.86,1153.19
101,4.905,1858.0,14.26,3058.0,100.0,0.0,0.0,0.0,4.905,192.39,1144.8,1150.93
102,4.892,1935.0,14.93,3058.0,100.0,0.0,0.0,0.0,4.892,190.14,1149.92,1151.41
103,4.932,1938.0,12.82,3055.0,100.0,0.0,0.0,0.0,4.932,189.22,1138.51,1152.23
104,4.858,1838.0,18.61,3062.0,100.0,0.0,0.0,0.0,4.858,191.56,1161.32,1144.25
105,4.913,1994.0,11.6,3055.0,100.0,0.0,0.0,0.0,4.913,188.89,1136.39,1161.37
106,4.865,1860.0,18.37,3061.0,100.0,0.0,0.0,0.0,4.865,188.57,1158.55,1149.33
107,4.868,1901.0,17.73,3060.0,100.0,0.0,0.0,0.0,4.868,192.19,1143.44,1153.01
108,4.906,1847.0,14.57,3058.0,100.0,0.0,0.0,0.0,4.906,192.95,1150.48,1149.64
109,4.911,1910.0,13.45,3057.0,100.0,0.0,0.0,0.0,4.911,189.91,1150.27,1142.92
110,4.923,1969.0,12.15,3055.0,100.0,0.0,0.0,0.0,4.923,190.43,1136.2,1160.55
111,4.934,1914.0,18.27,3057.0,100.0,0.0,0.0,0.0,4.934,189.52,1158.63,1145.25
112,4.873,1956.0,16.49,3058.0,100.0,0.0,712.0,0.32,4.873,187.28,1138.23,1152.96
113,4.91,1962.0,13.68,3057.0,100.0,0.0,0.0,0.0,4.91,190.42,1147.89,1157.06
114,4.926,1893.0,12.64,3056.0,100.0,0.0,0.0,0.0,4.926,188.83,1150.71,1149.97
115,4.913,1881.0,14.32,3057.0,100.0,0.0,0.0,0.0,4.913,191.34,1145.85,1152.08
116,4.896,1926.0,14.72,3060.0,100.0,0.0,0.0,0.0,4.896,184.63,1148.24,1154.01
117,4.931,1845.0,13.03,3057.0,100.0,0.0,0.0,0.0,4.931,195.75,1150.59,1150.03
118,4.915,1913.0,16.74,3058.0,100.0,0.0,709.0,0.22,4.915,196.08,1154.85,1153.61
119,4.874,1837.0,18.77,3061.0,100.0,0.0,0.0,0.0,4.874,189.06,1149.39,1153.59
120,4.869,1844.0,19.57,3060.0,100.0,0.002,711.0,0.53,4.871,192.39,1152.58,1154.24
121,4.917,1931.0,14.03,3057.0,100.0,0.0,0.0,0.0,4.917,190.93,1149.95,1141.62
122,4.902,1949.0,14.37,3057.0,100.0,0.0,0.0,0.0,4.902,179.71,1148.44,1156.35
123,4.885,1907.0,12.53,3056.0,100.0,0.0,0.0,0.0,4.885,160.88,1147.14,1153.32
124,4.915,1934.0,13.32,3057.0,100.0,0.0,0.0,0.0,4.915,190.7,1147.48,1144.24
125,4.906,1910.0,14.8,3058.0,100.0,0.0,0.0,0.0,4.906,190.24,1149.02,1154.99
126,4.915,1933.0,13.56,3056.0,100.0,0.0,0.0,0.0,4.915,190.74,1147.63,1154.06
127,4.929,1827.0,15.39,3059.0,100.0,0.0,0.0,0.0,4.929,195.34,1140.27,1156.79
128,4.919,1957.0,13.0,3056.0,100.0,0.0,0.0,0.0,4.919,187.18,1147.41,1142.66
129,4.931,1897.0,14.13,3058.0,100.0,0.0,0.0,0.0,4.931,194.28,1156.05,1158.26
130,4.935,1897.0,12.52,3056.0,100.0,0.0,0.0,0.0,4.935,187.5,1141.89,1155.62
131,5.184,1915.0,15.52,3053.0,100.0,0.0,0.0,0.0,5.184,196.86,1154.32,1144.1
132,4.902,1861.0,16.4,3058.0,100.0,0.0,0.0,0.0,4.902,193.55,1145.57,1160.89
133,4.941,1976.0,12.32,3055.0,100.0,0.0,715.0,0.51,4.941,187.84,1151.64,1143.61
134,4.95,1992.0,12.23,3055.0,100.0,0.0,0.0,0.0,4.95,192.15,1145.37,1159.15
135,4.922,1899.0,13.61,3057.0,100.0,0.0,0.0,0.0,4.922,188.69,1142.76,1151.53
136,4.922,1857.0,14.84,3058.0,100.0,0.0,0.0,0.0,4.922,192.12,1154.51,1146.21
137,4.918,1899.0,14.48,3057.0,100.0,0.0,0.0,0.0,4.918,189.23,1142.45,1157.92
138,4.909,1882.0,16.39,3058.0,100.0,0.0,0.0,0.0,4.909,191.42,1152.58,1149.22
139,4.934,1926.0,13.06,3056.0,100.0,0.0,0.0,0.0,4.934,190.85,1148.29,1148.29
140,4.974,1966.0,16.3,3055.0,100.0,0.0,0.0,0.0,4.974,188.7,1138.07,1156.1
141,5.012,1871.0,27.21,3059.0,100.0,0.0,0.0,0.0,5.012,196.05,1161.63,1143.83
142,4.98,1977.0,17.14,3055.0,100.0,0.002,713.0,0.63,4.982,191.85,1146.39,1157.23
