Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.98,1294.0,29.03,1816.0,49.47,0.0,0.0,0.0,1.98,51.97,483.71,482.96
1,4.55,1645.0,18.2,3073.0,99.89,0.002,711.0,0.31,4.552,133.25,1067.86,1072.13
2,4.799,1810.0,16.95,3054.0,100.0,0.0,0.0,0.0,4.799,181.39,1153.03,1155.09
3,4.785,1794.0,20.23,3061.0,100.0,0.0,709.0,0.22,4.785,172.26,1146.95,1149.3
4,4.766,1764.0,19.49,3062.0,100.0,0.0,0.0,0.0,4.766,166.12,1155.92,1148.66
5,4.821,1855.0,21.11,3055.0,100.0,0.0,709.0,0.22,4.821,187.97,1149.81,1155.3
6,4.778,1856.0,20.39,3060.0,100.0,0.0,0.0,0.0,4.778,180.12,1138.86,1156.18
7,4.832,1881.0,26.21,3058.0,100.0,0.0,0.0,0.0,4.832,189.86,1151.72,1138.96
8,4.78,1754.0,24.83,3066.0,100.0,0.0,0.0,0.0,4.78,192.15,1152.11,1151.08
9,4.766,1924.0,22.29,3059.0,100.0,0.0,709.0,0.22,4.766,186.71,1139.16,1145.99
10,4.805,1966.0,18.24,3055.0,100.0,0.0,0.0,0.0,4.805,182.25,1147.45,1135.96
11,4.794,1862.0,22.4,3059.0,100.0,0.0,712.0,0.31,4.794,185.06,1135.61,1154.79
12,4.753,1915.0,16.66,3058.0,100.0,0.0,0.0,0.0,4.753,182.2,1148.81,1138.48
13,4.996,1902.0,23.97,3057.0,100.0,0.001,709.0,0.22,4.997,187.37,1144.99,1137.86
14,4.763,1819.0,25.54,3064.0,100.0,0.0,0.0,0.0,4.763,190.48,1140.15,1149.24
15,4.823,1974.0,19.03,3055.0,100.0,0.0,0.0,0.0,4.823,185.22,1148.23,1141.69
16,4.782,1859.0,23.07,3061.0,100.0,0.0,0.0,0.0,4.782,185.67,1143.74,1142.45
17,4.824,1945.0,18.63,3055.0,100.0,0.0,0.0,0.0,4.824,185.56,1142.84,1144.54
18,4.796,1835.0,23.46,3062.0,100.0,0.0,0.0,0.0,4.796,191.96,1139.45,1145.61
19,4.883,1947.0,32.45,3055.0,100.0,0.0,0.0,0.0,4.883,190.88,1146.74,1144.17
20,4.826,1970.0,18.31,3055.0,100.0,0.0,0.0,0.0,4.826,186.19,1149.21,1140.18
21,4.819,1849.0,22.39,3059.0,100.0,0.0,709.0,0.22,4.819,186.75,1147.8,1149.31
22,4.826,1880.0,20.75,3059.0,100.0,0.0,0.0,0.0,4.826,187.35,1137.97,1144.86
23,4.809,1884.0,22.84,3059.0,100.0,0.0,0.0,0.0,4.809,187.94,1146.06,1143.7
24,4.79,1804.0,23.32,3062.0,99.83,0.0,0.0,0.0,4.79,186.46,1151.81,1145.79
25,4.827,1880.0,21.21,3060.0,100.0,0.0,0.0,0.0,4.827,187.17,1147.82,1146.31
26,4.823,1966.0,22.23,3059.0,100.0,0.0,712.0,0.53,4.823,187.38,1137.85,1145.91
27,4.801,1830.0,21.41,3061.0,100.0,0.0,0.0,0.0,4.801,188.29,1147.11,1138.11
28,4.843,1806.0,19.24,3057.0,100.0,0.0,0.0,0.0,4.843,189.31,1144.57,1146.82
29,4.854,1904.0,18.79,3055.0,100.0,0.0,0.0,0.0,4.854,184.52,1150.76,1142.55
30,4.816,1873.0,17.83,3055.0,100.0,0.0,0.0,0.0,4.816,158.72,1137.31,1143.16
31,4.824,1810.0,20.64,3059.0,100.0,0.0,0.0,0.0,4.824,176.13,1138.25,1148.28
32,4.823,1808.0,18.73,3059.0,100.0,0.0,0.0,0.0,4.823,189.19,1151.68,1139.19
33,4.831,1803.0,19.03,3061.0,100.0,0.0,0.0,0.0,4.831,189.64,1150.24,1152.24
34,4.851,1823.0,21.4,3058.0,100.0,0.0,0.0,0.0,4.851,190.48,1148.51,1142.09
35,4.859,1810.0,21.19,3058.0,100.0,0.0,0.0,0.0,4.859,190.79,1146.68,1144.29
36,4.854,1876.0,18.76,3055.0,100.0,0.0,0.0,0.0,4.854,185.94,1141.35,1147.01
37,4.843,1866.0,19.91,3057.0,100.0,0.0,0.0,0.0,4.843,185.87,1137.16,1138.24
38,4.832,1799.0,22.33,3061.0,100.0,0.0,0.0,0.0,4.832,187.58,1153.58,1139.93
39,4.808,1858.0,25.22,3065.0,100.0,0.0,0.0,0.0,4.808,188.05,1145.55,1146.43
40,4.842,1930.0,21.67,3060.0,100.0,0.0,0.0,0.0,4.842,187.74,1148.32,1149.49
41,4.839,1923.0,21.88,3060.0,100.0,0.0,0.0,0.0,4.839,185.97,1140.85,1150.08
42,4.862,1919.0,18.94,3055.0,100.0,0.0,0.0,0.0,4.862,184.9,1150.06,1143.3
43,4.843,1937.0,20.84,3058.0,100.0,0.0,0.0,0.0,4.843,187.48,1139.29,1143.75
44,4.862,1903.0,19.2,3056.0,100.0,0.0,0.0,0.0,4.862,186.29,1151.42,1144.28
45,4.831,1869.0,22.75,3061.0,100.0,0.0,0.0,0.0,4.831,188.0,1138.76,1137.92
46,4.87,1927.0,18.89,3056.0,100.0,0.0,0.0,0.0,4.87,186.39,1148.92,1143.87
47,4.866,1949.0,18.08,3055.0,100.0,0.0,0.0,0.0,4.866,183.55,1141.65,1145.38
48,4.839,1879.0,22.76,3063.0,100.0,0.002,716.0,0.61,4.841,182.07,1147.67,1149.7
49,4.917,1842.0,32.91,3058.0,100.0,0.0,0.0,0.0,4.917,191.21,1142.44,1141.27
50,4.85,1841.0,21.64,3060.0,100.0,0.001,713.0,0.31,4.851,187.57,1142.02,1145.47
51,4.859,1879.0,19.98,3059.0,100.0,0.0,0.0,0.0,4.859,189.9,1153.0,1149.99
52,4.858,1794.0,20.8,3060.0,100.0,0.0,0.0,0.0,4.858,191.66,1147.74,1146.84
53,4.836,1829.0,17.56,3059.0,100.0,0.0,0.0,0.0,4.836,188.71,1144.5,1137.51
54,4.862,1804.0,19.75,3060.0,100.0,0.0,0.0,0.0,4.862,191.41,1144.74,1154.61
55,4.875,1873.0,17.72,3055.0,100.0,0.0,0.0,0.0,4.875,186.8,1140.48,1141.15
56,4.855,1731.0,20.95,3066.0,100.0,0.0,0.0,0.0,4.855,185.82,1152.75,1147.82
57,4.854,1842.0,22.35,3061.0,100.0,0.0,0.0,0.0,4.854,192.01,1138.58,1147.22
58,4.866,1833.0,22.24,3060.0,100.0,0.0,0.0,0.0,4.866,190.97,1149.89,1146.66
59,4.818,1932.0,24.36,3062.0,100.0,0.0,0.0,0.0,4.818,185.86,1137.91,1137.31
60,4.845,1937.0,23.42,3061.0,99.98,0.0,0.0,0.0,4.845,183.59,1151.05,1147.81
61,4.857,1899.0,17.85,3055.0,100.0,0.0,0.0,0.0,4.857,154.3,1136.75,1145.98
62,4.868,1894.0,21.06,3059.0,100.0,0.0,0.0,0.0,4.868,181.79,1151.32,1136.43
63,4.851,1923.0,21.23,3060.0,100.0,0.0,0.0,0.0,4.851,183.69,1137.1,1153.02
64,4.876,1888.0,20.75,3057.0,100.0,0.0,0.0,0.0,4.876,187.69,1150.61,1139.59
65,4.886,1940.0,19.03,3055.0,100.0,0.0,0.0,0.0,4.886,185.76,1142.53,1144.77
66,4.901,1906.0,26.76,3060.0,100.0,0.0,0.0,0.0,4.901,188.72,1147.49,1147.21
67,4.856,1854.0,23.44,3060.0,100.0,0.0,712.0,0.32,4.856,190.54,1141.81,1146.49
68,4.878,1833.0,20.95,3059.0,100.0,0.0,0.0,0.0,4.878,191.29,1148.17,1145.39
69,4.868,1918.0,20.14,3057.0,100.0,0.0,0.0,0.0,4.868,183.92,1135.08,1142.67
70,4.878,1840.0,19.66,3058.0,100.0,0.0,0.0,0.0,4.878,188.69,1150.35,1145.64
71,4.882,1804.0,20.27,3061.0,100.0,0.0,0.0,0.0,4.882,189.68,1147.99,1144.52
72,4.874,1898.0,21.75,3060.0,100.0,0.0,0.0,0.0,4.874,187.06,1151.59,1141.66
73,4.87,1865.0,21.17,3061.0,100.0,0.0,0.0,0.0,4.87,187.5,1144.28,1151.62
74,4.874,1904.0,15.82,3055.0,100.0,0.0,0.0,0.0,4.874,186.96,1139.22,1138.87
75,4.89,1953.0,18.19,3055.0,100.0,0.0,0.0,0.0,4.89,187.01,1152.17,1136.54
76,4.886,1881.0,20.45,3058.0,100.0,0.0,0.0,0.0,4.886,188.45,1143.47,1152.16
