Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.803,1281.0,27.54,1723.0,44.85,0.001,709.0,0.22,1.804,49.93,437.72,447.32
1,4.485,1690.0,13.04,3074.0,98.89,0.001,712.0,0.31,4.486,135.84,1066.97,1077.61
2,4.793,1852.0,11.42,3053.0,100.0,0.0,0.0,0.0,4.793,179.81,1153.04,1160.86
3,4.779,1809.0,13.26,3057.0,100.0,0.001,712.0,0.31,4.78,178.92,1156.28,1156.3
4,4.789,1839.0,12.91,3056.0,100.0,0.0,0.0,0.0,4.789,180.99,1148.49,1156.46
5,4.771,1890.0,13.57,3055.0,100.0,0.0,0.0,0.0,4.771,181.79,1157.05,1154.91
6,4.754,1877.0,15.38,3057.0,100.0,0.0,709.0,0.22,4.754,182.54,1152.55,1154.89
7,4.757,1877.0,15.35,3059.0,100.0,0.0,0.0,0.0,4.757,185.59,1160.81,1152.17
8,4.721,1958.0,18.42,3061.0,100.0,0.0,0.0,0.0,4.721,185.96,1144.17,1150.76
9,4.77,1857.0,15.66,3057.0,100.0,0.0,711.0,0.43,4.77,185.1,1163.7,1151.18
10,4.776,1801.0,14.22,3057.0,100.0,0.0,0.0,0.0,4.776,188.44,1155.5,1145.81
11,4.807,1955.0,11.57,3052.0,100.0,0.0,0.0,0.0,4.807,181.93,1151.35,1153.93
12,4.801,1821.0,13.76,3056.0,100.0,0.0,0.0,0.0,4.801,186.69,1151.68,1147.83
13,4.824,1933.0,16.3,3052.0,100.0,0.0,0.0,0.0,4.824,184.36,1162.13,1149.32
14,4.786,1932.0,14.45,3056.0,100.0,0.0,0.0,0.0,4.786,184.42,1149.12,1151.69
15,4.779,1916.0,14.46,3056.0,100.0,0.0,0.0,0.0,4.779,184.26,1156.2,1152.4
