Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,2.056,1354.0,29.16,1877.0,50.41,0.001,709.0,0.32,2.057,55.34,500.28,499.07
1,4.559,1648.0,18.21,3075.0,99.9,0.0,0.0,0.0,4.559,128.56,1063.01,1070.15
2,4.808,1807.0,20.53,3055.0,100.0,0.0,712.0,0.32,4.808,181.4,1148.29,1153.05
3,4.802,1822.0,19.72,3054.0,100.0,0.0,0.0,0.0,4.802,182.82,1148.5,1147.27
4,4.785,1830.0,20.07,3055.0,100.0,0.0,0.0,0.0,4.785,178.2,1152.86,1155.0
5,4.799,1858.0,20.37,3056.0,100.0,0.0,0.0,0.0,4.799,184.25,1147.98,1148.52
6,4.776,1890.0,21.15,3056.0,100.0,0.0,0.0,0.0,4.776,185.56,1140.32,1144.64
7,4.794,1825.0,22.53,3059.0,100.0,0.0,0.0,0.0,4.794,190.62,1152.28,1154.27
8,4.77,1880.0,22.86,3059.0,100.0,0.0,0.0,0.0,4.77,183.39,1145.67,1155.22
9,4.812,1870.0,22.47,3055.0,100.0,0.0,714.0,0.41,4.812,189.6,1141.95,1152.14
10,4.754,1840.0,26.15,3063.0,100.0,0.0,0.0,0.0,4.754,186.53,1144.61,1148.45
11,4.8,1820.0,21.39,3058.0,100.0,0.002,712.0,0.63,4.802,185.74,1149.57,1155.09
12,4.798,1893.0,15.52,3054.0,100.0,0.0,0.0,0.0,4.798,184.53,1148.77,1144.85
13,4.825,1854.0,26.13,3056.0,100.0,0.0,0.0,0.0,4.825,187.85,1139.32,1159.33
14,4.837,1815.0,20.83,3057.0,100.0,0.0,0.0,0.0,4.837,187.92,1153.55,1143.34
15,4.804,1897.0,19.2,3057.0,100.0,0.0,0.0,0.0,4.804,187.06,1143.42,1150.37
16,4.848,1971.0,26.5,3055.0,100.0,0.001,713.0,0.31,4.849,186.77,1151.18,1146.35
17,4.809,1870.0,28.67,3060.0,100.0,0.0,0.0,0.0,4.809,186.96,1147.22,1145.45
18,4.789,1848.0,24.4,3064.0,100.0,0.001,709.0,0.22,4.79,178.69,1143.16,1147.62
19,4.87,1927.0,24.91,3054.0,100.0,0.0,0.0,0.0,4.87,186.5,1149.41,1142.22
20,4.814,1829.0,22.02,3060.0,100.0,0.0,0.0,0.0,4.814,189.81,1145.38,1152.74
21,4.801,1939.0,22.67,3060.0,100.0,0.0,0.0,0.0,4.801,185.14,1142.25,1149.24
22,4.844,1843.0,20.5,3057.0,100.0,0.0,0.0,0.0,4.844,190.78,1144.92,1140.77
23,4.812,1887.0,20.72,3060.0,100.0,0.0,0.0,0.0,4.812,186.05,1150.17,1142.27
24,4.843,1834.0,19.29,3055.0,100.0,0.0,709.0,0.22,4.843,187.36,1150.04,1145.89
25,4.819,1844.0,21.91,3059.0,100.0,0.0,0.0,0.0,4.819,185.93,1148.06,1154.94
26,4.829,1797.0,22.41,3059.0,100.0,0.0,0.0,0.0,4.829,190.78,1151.24,1146.82
27,4.846,1933.0,19.86,3056.0,100.0,0.0,0.0,0.0,4.846,184.75,1142.79,1139.54
28,4.855,1859.0,21.5,3057.0,100.0,0.0,0.0,0.0,4.855,188.09,1148.35,1139.74
29,4.867,1898.0,25.76,3060.0,100.0,0.0,0.0,0.0,4.867,190.62,1147.19,1148.25
30,4.807,1797.0,21.49,3062.0,100.0,0.0,0.0,0.0,4.807,161.54,1150.44,1153.86
31,4.828,1911.0,20.12,3057.0,100.0,0.0,0.0,0.0,4.828,174.51,1137.45,1140.22
32,4.812,1822.0,21.71,3062.0,100.0,0.0,709.0,0.22,4.812,191.45,1152.74,1150.6
33,4.817,1869.0,20.28,3060.0,100.0,0.0,0.0,0.0,4.817,190.04,1147.17,1144.24
34,4.86,1957.0,18.56,3055.0,100.0,0.0,0.0,0.0,4.86,185.86,1146.43,1143.37
35,4.85,1889.0,19.17,3056.0,100.0,0.0,0.0,0.0,4.85,188.82,1141.87,1145.74
36,4.82,1921.0,23.17,3061.0,100.0,0.0,0.0,0.0,4.82,188.56,1150.22,1139.9
37,4.863,1903.0,21.85,3059.0,100.0,0.0,0.0,0.0,4.863,188.34,1147.0,1147.77
38,4.846,1936.0,30.4,3063.0,100.0,0.001,714.0,0.63,4.847,185.74,1147.87,1148.71
39,4.844,1931.0,19.97,3056.0,100.0,0.0,0.0,0.0,4.844,187.22,1138.13,1140.95
