Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.975,1321.0,24.94,1763.0,48.97,0.0,0.0,0.0,1.975,53.23,482.3,485.56
1,4.571,1622.0,19.31,3076.0,99.95,0.001,712.0,0.32,4.572,128.15,1076.91,1074.73
2,4.782,1779.0,19.37,3059.0,100.0,0.0,0.0,0.0,4.782,178.82,1149.42,1151.44
3,4.81,1817.0,20.0,3057.0,100.0,0.0,0.0,0.0,4.81,186.24,1150.71,1152.57
4,4.809,1802.0,21.74,3057.0,100.0,0.001,712.0,0.53,4.81,182.63,1152.08,1150.3
5,4.841,1822.0,23.56,3052.0,100.0,0.0,0.0,0.0,4.841,184.4,1150.29,1155.0
6,4.799,1885.0,21.12,3057.0,100.0,0.0,0.0,0.0,4.799,184.91,1149.11,1141.44
7,4.817,2003.0,19.09,3055.0,100.0,0.0,0.0,0.0,4.817,186.8,1145.74,1150.51
8,4.794,1953.0,22.5,3058.0,100.0,0.0,0.0,0.0,4.794,188.06,1145.51,1138.31
9,4.787,1898.0,23.94,3061.0,100.0,0.003,714.0,0.41,4.79,190.42,1147.31,1152.93
10,4.92,1983.0,31.94,3055.0,100.0,0.0,0.0,0.0,4.92,191.83,1141.24,1144.48
11,4.799,1933.0,20.57,3058.0,100.0,0.0,0.0,0.0,4.799,188.49,1148.05,1144.7
12,4.803,1862.0,22.38,3060.0,100.0,0.0,0.0,0.0,4.803,188.37,1141.78,1147.47
13,4.825,1970.0,18.82,3055.0,100.0,0.0,0.0,0.0,4.825,186.84,1144.0,1139.81
14,4.778,1850.0,24.03,3062.0,100.0,0.0,0.0,0.0,4.778,189.52,1145.28,1147.14
15,5.041,1980.0,22.03,3053.0,100.0,0.0,0.0,0.0,5.041,189.44,1130.76,1144.78
16,4.841,1894.0,19.52,3057.0,100.0,0.0,0.0,0.0,4.841,191.71,1153.59,1146.86
17,4.796,1849.0,23.56,3061.0,100.0,0.0,0.0,0.0,4.796,188.42,1143.7,1137.69
18,4.808,1883.0,14.45,3055.0,100.0,0.0,0.0,0.0,4.808,185.14,1149.32,1145.01
19,4.81,1908.0,19.35,3058.0,100.0,0.0,0.0,0.0,4.81,186.17,1132.28,1149.47
20,4.863,1924.0,23.16,3055.0,100.0,0.0,0.0,0.0,4.863,187.28,1143.92,1143.67
21,4.827,1955.0,19.77,3055.0,100.0,0.0,715.0,0.51,4.827,186.08,1151.38,1140.03
22,4.851,1832.0,34.92,3061.0,100.0,0.0,0.0,0.0,4.851,191.95,1140.56,1141.88
23,4.829,1780.0,24.19,3063.0,100.0,0.0,0.0,0.0,4.829,192.97,1157.15,1155.94
24,4.826,1826.0,20.75,3058.0,100.0,0.0,0.0,0.0,4.826,189.39,1141.04,1145.36
25,4.838,1854.0,20.12,3057.0,100.0,0.0,0.0,0.0,4.838,186.4,1148.8,1140.1
26,4.85,1838.0,20.08,3056.0,100.0,0.0,0.0,0.0,4.85,188.25,1144.78,1143.51
27,4.831,1848.0,23.86,3059.0,100.0,0.001,711.0,0.53,4.832,187.69,1144.69,1149.58
28,4.846,1815.0,19.71,3057.0,100.0,0.0,0.0,0.0,4.846,186.53,1135.62,1143.05
29,4.858,1774.0,21.55,3060.0,100.0,0.0,0.0,0.0,4.858,193.51,1160.45,1151.88
30,4.797,1844.0,21.6,3060.0,100.0,0.0,0.0,0.0,4.797,163.4,1134.29,1147.45
31,4.85,1928.0,19.51,3055.0,100.0,0.0,0.0,0.0,4.85,172.4,1148.52,1140.87
