Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.947,1404.0,40.22,1733.0,48.1,0.001,712.0,0.32,1.948,52.25,471.03,476.73
1,4.569,1634.0,18.85,3072.0,99.87,0.0,0.0,0.0,4.569,132.45,1072.46,1074.16
2,4.803,1776.0,20.25,3056.0,100.0,0.001,711.0,0.53,4.804,181.28,1148.81,1153.43
3,4.812,1806.0,19.46,3054.0,100.0,0.0,0.0,0.0,4.812,186.48,1149.36,1154.44
4,4.815,1840.0,20.9,3056.0,100.0,0.0,0.0,0.0,4.815,182.19,1150.38,1157.82
5,4.81,1839.0,18.36,3052.0,100.0,0.0,0.0,0.0,4.81,180.58,1156.47,1151.14
6,4.799,1825.0,20.31,3059.0,100.0,0.0,0.0,0.0,4.799,188.93,1148.12,1152.44
7,4.801,1926.0,20.16,3056.0,100.0,0.0,0.0,0.0,4.801,186.09,1144.62,1141.33
8,4.777,1828.0,23.85,3062.0,100.0,0.0,0.0,0.0,4.777,189.82,1148.11,1152.52
9,4.782,1919.0,23.46,3060.0,100.0,0.001,712.0,0.31,4.783,188.9,1143.83,1141.14
10,4.812,1812.0,22.76,3061.0,100.0,0.0,0.0,0.0,4.812,196.69,1148.53,1156.52
11,4.79,1922.0,22.94,3060.0,100.0,0.0,0.0,0.0,4.79,185.81,1144.38,1149.18
12,4.81,1936.0,16.79,3055.0,100.0,0.0,0.0,0.0,4.81,184.77,1140.33,1144.49
13,4.788,1917.0,18.0,3057.0,100.0,0.001,714.0,0.41,4.789,185.18,1151.6,1144.74
14,4.861,1894.0,32.3,3056.0,100.0,0.0,0.0,0.0,4.861,189.32,1143.74,1137.59
15,4.82,1792.0,22.01,3061.0,100.0,0.0,0.0,0.0,4.82,193.26,1150.59,1156.4
16,4.827,1803.0,22.44,3058.0,100.0,0.001,713.0,0.31,4.828,186.09,1148.16,1143.01
17,4.795,1831.0,23.18,3062.0,100.0,0.0,0.0,0.0,4.795,194.07,1143.15,1153.97
18,4.823,1950.0,17.09,3055.0,100.0,0.0,0.0,0.0,4.823,182.72,1147.75,1139.75
19,4.792,1882.0,24.25,3063.0,100.0,0.0,0.0,0.0,4.792,188.46,1144.31,1142.75
20,4.839,1912.0,18.68,3055.0,100.0,0.0,0.0,0.0,4.839,185.39,1149.11,1145.23
21,4.839,1983.0,18.37,3055.0,100.0,0.0,0.0,0.0,4.839,184.34,1145.09,1146.79
22,4.812,1828.0,22.98,3063.0,100.0,0.0,0.0,0.0,4.812,186.45,1152.82,1148.47
23,4.828,1875.0,20.46,3057.0,100.0,0.0,0.0,0.0,4.828,186.85,1134.81,1151.39
24,4.851,1869.0,21.66,3056.0,100.0,0.0,0.0,0.0,4.851,190.35,1156.29,1145.81
25,4.82,1921.0,20.54,3057.0,100.0,0.0,0.0,0.0,4.82,186.21,1141.3,1142.91
26,4.828,1760.0,24.86,3065.0,100.0,0.0,709.0,0.22,4.828,191.1,1155.81,1140.76
27,4.853,1927.0,18.54,3055.0,100.0,0.0,0.0,0.0,4.853,185.63,1145.1,1143.19
28,4.836,1796.0,21.36,3059.0,100.0,0.0,0.0,0.0,4.836,188.86,1145.15,1157.55
29,4.831,1855.0,22.82,3059.0,100.0,0.0,0.0,0.0,4.831,188.39,1142.14,1137.84
30,4.784,1827.0,23.81,3062.0,100.0,0.0,0.0,0.0,4.784,166.98,1148.94,1154.56
31,4.841,1786.0,19.76,3058.0,100.0,0.0,0.0,0.0,4.841,177.55,1146.33,1144.52
32,4.86,1764.0,23.25,3062.0,100.0,0.0,709.0,0.22,4.86,190.87,1156.07,1145.96
33,4.833,1958.0,14.59,3055.0,100.0,0.0,0.0,0.0,4.833,186.51,1138.43,1147.99
34,4.83,1900.0,21.1,3060.0,100.0,0.0,0.0,0.0,4.83,189.7,1153.59,1134.88
35,4.827,1970.0,20.82,3058.0,100.0,0.0,0.0,0.0,4.827,182.14,1138.93,1154.24
36,4.86,1952.0,18.96,3055.0,100.0,0.0,0.0,0.0,4.86,188.58,1149.64,1141.28
37,4.82,1844.0,23.63,3061.0,100.0,0.0,0.0,0.0,4.82,187.5,1138.45,1145.78
38,4.833,1932.0,21.96,3060.0,100.0,0.0,0.0,0.0,4.833,187.41,1154.12,1140.98
39,4.858,1837.0,23.94,3060.0,100.0,0.0,0.0,0.0,4.858,190.87,1142.82,1147.15
40,4.842,1850.0,23.4,3061.0,100.0,0.0,0.0,0.0,4.842,192.13,1142.16,1152.48
41,4.815,1839.0,26.05,3065.0,100.0,0.0,0.0,0.0,4.815,189.87,1155.08,1148.96
42,4.914,1956.0,24.78,3055.0,100.0,0.0,0.0,0.0,4.914,187.35,1146.98,1140.67
43,4.927,1978.0,30.29,3055.0,100.0,0.0,0.0,0.0,4.927,188.17,1145.56,1149.48
44,4.83,1854.0,21.66,3061.0,100.0,0.0,0.0,0.0,4.83,191.52,1140.37,1140.05
45,4.879,1796.0,19.89,3058.0,100.0,0.0,0.0,0.0,4.879,188.93,1142.75,1151.86
46,4.876,1849.0,18.78,3055.0,100.0,0.0,0.0,0.0,4.876,186.72,1145.39,1143.38
47,4.859,1871.0,22.21,3058.0,100.0,0.0,713.0,0.31,4.859,189.35,1147.36,1142.74
48,4.82,1919.0,21.59,3060.0,100.0,0.0,0.0,0.0,4.82,187.44,1143.16,1147.71
49,4.863,1855.0,22.37,3059.0,100.0,0.0,0.0,0.0,4.863,191.63,1152.65,1140.5
50,4.882,1909.0,18.49,3055.0,100.0,0.0,0.0,0.0,4.882,187.2,1148.37,1143.82
