Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.808,1262.0,28.56,1674.0,44.28,0.001,712.0,0.32,1.809,49.35,434.43,435.11
1,4.531,1645.0,11.42,3073.0,99.98,0.0,712.0,0.32,4.531,130.23,1073.34,1076.13
2,4.779,1796.0,11.84,3055.0,100.0,0.0,0.0,0.0,4.779,181.98,1155.76,1151.05
3,4.751,1792.0,13.51,3061.0,100.0,0.0,0.0,0.0,4.751,171.02,1147.67,1155.87
4,4.781,1852.0,12.48,3055.0,100.0,0.0,0.0,0.0,4.781,180.32,1161.98,1145.06
5,4.787,1848.0,10.57,3052.0,100.0,0.0,0.0,0.0,4.787,176.34,1151.66,1161.1
6,4.797,1792.0,12.88,3058.0,100.0,0.0,0.0,0.0,4.797,184.24,1154.47,1155.24
7,4.785,1969.0,13.27,3056.0,100.0,0.0,0.0,0.0,4.785,184.93,1145.95,1146.21
8,4.713,1966.0,18.37,3063.0,100.0,0.0,0.0,0.0,4.713,184.75,1144.79,1151.72
9,4.745,1935.0,18.19,3061.0,100.0,0.003,711.0,0.53,4.748,184.13,1148.46,1150.74
10,4.805,1829.0,12.55,3057.0,100.0,0.0,0.0,0.0,4.805,186.87,1149.84,1150.0
11,4.769,1925.0,14.91,3059.0,100.0,0.0,0.0,0.0,4.769,187.73,1141.52,1150.72
12,4.789,1967.0,11.93,3056.0,100.0,0.0,0.0,0.0,4.789,182.39,1147.18,1143.38
13,4.791,1883.0,12.99,3057.0,100.0,0.0,0.0,0.0,4.791,184.21,1146.97,1154.14
14,4.805,1940.0,11.69,3055.0,100.0,0.0,0.0,0.0,4.805,182.94,1144.14,1146.94
15,4.791,1897.0,13.81,3058.0,100.0,0.0,0.0,0.0,4.791,185.6,1148.07,1143.64
16,4.774,1889.0,16.24,3061.0,100.0,0.0,0.0,0.0,4.774,189.07,1147.3,1158.78
17,4.779,1879.0,16.01,3060.0,100.0,0.0,0.0,0.0,4.779,185.59,1138.94,1145.96
18,4.772,1857.0,17.94,3063.0,100.0,0.0,0.0,0.0,4.772,188.66,1153.96,1150.04
19,4.815,1930.0,11.41,3055.0,100.0,0.0,0.0,0.0,4.815,182.68,1141.48,1156.98
20,4.801,1906.0,12.94,3057.0,100.0,0.0,0.0,0.0,4.801,183.02,1143.25,1147.35
21,4.861,1923.0,16.66,3055.0,100.0,0.0,0.0,0.0,4.861,185.61,1145.06,1154.5
22,4.811,1928.0,15.23,3059.0,100.0,0.0,715.0,0.41,4.811,183.19,1145.14,1146.56
23,4.76,1871.0,18.12,3062.0,100.0,0.0,0.0,0.0,4.76,186.79,1156.47,1154.74
24,4.831,1864.0,13.57,3057.0,100.0,0.0,0.0,0.0,4.831,186.08,1146.97,1149.84
25,4.842,1940.0,11.32,3055.0,100.0,0.0,0.0,0.0,4.842,183.78,1143.04,1143.74
26,4.804,1882.0,15.72,3061.0,100.0,0.0,0.0,0.0,4.804,187.83,1140.1,1159.2
27,4.789,1929.0,17.07,3062.0,100.0,0.0,0.0,0.0,4.789,184.33,1147.48,1149.52
28,4.834,1952.0,11.28,3055.0,100.0,0.0,0.0,0.0,4.834,185.68,1148.19,1139.64
29,4.846,1841.0,14.23,3058.0,100.0,0.0,0.0,0.0,4.846,186.81,1142.07,1156.34
30,4.821,1928.0,11.15,3055.0,100.0,0.0,0.0,0.0,4.821,161.56,1149.15,1151.68
31,4.791,1839.0,16.88,3062.0,100.0,0.0,0.0,0.0,4.791,175.07,1151.49,1150.47
32,4.818,1854.0,14.82,3059.0,100.0,0.0,0.0,0.0,4.818,186.01,1139.32,1146.34
33,4.855,1962.0,12.08,3055.0,100.0,0.0,0.0,0.0,4.855,184.28,1148.72,1154.99
34,4.858,1944.0,11.56,3056.0,100.0,0.0,0.0,0.0,4.858,184.51,1147.14,1147.12
35,4.826,1790.0,16.48,3064.0,100.0,0.0,0.0,0.0,4.826,192.14,1148.09,1155.25
36,4.853,1950.0,13.09,3057.0,100.0,0.0,0.0,0.0,4.853,185.84,1151.15,1149.25
37,4.821,1906.0,14.58,3058.0,100.0,0.0,0.0,0.0,4.821,184.54,1148.39,1144.45
38,4.851,1868.0,13.05,3057.0,100.0,0.0,0.0,0.0,4.851,182.89,1143.95,1157.14
39,4.801,1887.0,19.17,3064.0,100.0,0.0,0.0,0.0,4.801,192.34,1149.94,1149.55
40,4.865,1779.0,13.64,3059.0,100.0,0.0,0.0,0.0,4.865,184.87,1146.44,1155.75
41,4.823,1800.0,17.23,3062.0,100.0,0.0,0.0,0.0,4.823,192.26,1157.35,1151.96
42,4.854,1881.0,13.38,3057.0,100.0,0.0,0.0,0.0,4.854,188.19,1145.44,1145.73
43,4.84,1930.0,13.93,3058.0,100.0,0.0,0.0,0.0,4.84,183.22,1140.38,1150.38
44,4.811,1840.0,19.22,3063.0,100.0,0.001,715.0,0.51,4.812,189.26,1151.61,1151.18
45,4.843,1848.0,16.75,3063.0,100.0,0.0,0.0,0.0,4.843,189.4,1146.12,1151.38
46,4.869,1785.0,15.03,3060.0,100.0,0.0,0.0,0.0,4.869,190.76,1146.9,1155.91
47,4.859,1729.0,15.2,3065.0,100.0,0.0,0.0,0.0,4.859,188.26,1154.12,1147.01
48,4.867,1756.0,14.82,3061.0,100.0,0.0,0.0,0.0,4.867,190.95,1153.19,1165.71
49,4.862,1876.0,13.11,3058.0,100.0,0.0,0.0,0.0,4.862,186.74,1147.87,1151.12
50,4.872,1847.0,19.09,3058.0,100.0,0.0,0.0,0.0,4.872,190.43,1152.64,1141.0
51,4.91,1952.0,16.99,3055.0,100.0,0.003,713.0,0.63,4.913,189.14,1142.96,1155.52
52,5.073,1932.0,17.82,3054.0,100.0,0.0,707.0,0.22,5.073,191.44,1147.03,1151.62
53,4.879,1894.0,12.48,3057.0,100.0,0.0,0.0,0.0,4.879,188.91,1144.89,1152.94
54,4.859,1883.0,16.29,3058.0,100.0,0.001,709.0,0.43,4.86,188.68,1147.58,1145.2
55,4.869,1881.0,13.84,3059.0,100.0,0.0,708.0,0.22,4.869,186.95,1150.23,1157.09
56,4.875,1861.0,13.94,3057.0,100.0,0.0,0.0,0.0,4.875,186.25,1150.08,1148.24
57,4.879,1967.0,11.25,3055.0,100.0,0.0,0.0,0.0,4.879,185.51,1144.2,1146.31
58,4.867,1846.0,14.01,3058.0,100.0,0.0,0.0,0.0,4.867,188.58,1143.35,1157.14
59,4.861,1828.0,16.7,3060.0,100.0,0.0,0.0,0.0,4.861,189.09,1151.26,1149.45
60,4.816,1784.0,19.19,3065.0,100.0,0.0,0.0,0.0,4.816,192.51,1148.87,1152.82
61,4.833,1877.0,13.57,3058.0,100.0,0.0,0.0,0.0,4.833,154.79,1148.47,1146.13
62,4.879,1893.0,11.84,3056.0,100.0,0.0,0.0,0.0,4.879,177.1,1146.07,1157.78
63,4.833,1863.0,17.37,3061.0,100.0,0.0,0.0,0.0,4.833,187.88,1144.89,1148.77
64,4.865,1885.0,13.92,3057.0,100.0,0.0,0.0,0.0,4.865,187.44,1145.0,1148.64
65,4.88,1894.0,12.51,3056.0,100.0,0.0,0.0,0.0,4.88,184.71,1151.47,1152.26
66,4.881,1906.0,13.57,3057.0,100.0,0.0,0.0,0.0,4.881,188.16,1151.46,1151.11
67,4.841,1829.0,18.51,3062.0,100.0,0.0,0.0,0.0,4.841,184.82,1147.5,1154.63
68,4.855,1880.0,16.35,3059.0,100.0,0.0,0.0,0.0,4.855,189.96,1151.33,1151.75
69,4.876,1850.0,15.48,3059.0,100.0,0.0,0.0,0.0,4.876,189.92,1151.92,1150.41
70,4.823,1801.0,19.6,3062.0,100.0,0.0,0.0,0.0,4.823,188.7,1145.6,1145.98
71,4.896,1922.0,11.85,3055.0,100.0,0.0,0.0,0.0,4.896,186.92,1145.55,1156.06
72,4.863,1929.0,13.89,3057.0,100.0,0.0,0.0,0.0,4.863,185.35,1145.52,1147.12
73,4.904,1965.0,11.45,3055.0,100.0,0.0,0.0,0.0,4.904,185.53,1147.49,1154.22
74,4.832,1825.0,19.8,3062.0,100.0,0.0,0.0,0.0,4.832,190.92,1142.69,1151.3
75,4.866,1844.0,15.72,3059.0,100.0,0.0,0.0,0.0,4.866,187.25,1154.17,1144.3
76,4.911,1870.0,11.81,3055.0,100.0,0.0,0.0,0.0,4.911,187.19,1144.99,1152.63
77,4.874,1883.0,14.6,3058.0,100.0,0.0,0.0,0.0,4.874,187.68,1142.86,1158.53
78,4.883,1920.0,15.0,3057.0,100.0,0.0,0.0,0.0,4.883,188.25,1140.63,1148.99
79,4.875,1912.0,14.81,3057.0,100.0,0.0,0.0,0.0,4.875,187.24,1155.22,1148.35
80,4.933,1967.0,16.69,3055.0,100.0,0.0,0.0,0.0,4.933,187.36,1143.85,1152.06
81,4.875,1825.0,16.7,3062.0,100.0,0.0,0.0,0.0,4.875,189.97,1150.4,1154.88
82,4.826,1830.0,19.09,3061.0,100.0,0.0,0.0,0.0,4.826,188.88,1148.06,1148.43
83,4.906,1951.0,11.38,3055.0,100.0,0.0,0.0,0.0,4.906,185.48,1145.07,1144.03
84,4.896,1906.0,13.65,3056.0,100.0,0.0,0.0,0.0,4.896,186.61,1144.64,1155.34
85,4.923,1955.0,12.58,3055.0,100.0,0.0,713.0,0.32,4.923,187.2,1147.43,1145.23
86,4.899,1890.0,13.39,3057.0,100.0,0.0,0.0,0.0,4.899,187.12,1146.56,1153.61
87,4.906,1963.0,11.85,3055.0,100.0,0.0,0.0,0.0,4.906,186.79,1146.78,1143.03
88,4.843,1949.0,17.04,3059.0,100.0,0.0,0.0,0.0,4.843,187.39,1138.68,1151.53
89,4.893,1953.0,12.41,3056.0,100.0,0.0,0.0,0.0,4.893,182.64,1149.27,1151.43
90,4.897,1853.0,15.32,3059.0,100.0,0.0,0.0,0.0,4.897,189.89,1154.82,1153.36
91,4.889,1838.0,15.62,3059.0,100.0,0.0,0.0,0.0,4.889,191.23,1152.18,1153.28
92,4.845,1817.0,13.94,3058.0,100.0,0.0,0.0,0.0,4.845,152.74,1140.82,1151.62
93,4.909,1956.0,11.52,3055.0,100.0,0.0,0.0,0.0,4.909,187.27,1150.81,1141.89
94,4.922,1952.0,12.39,3055.0,100.0,0.0,0.0,0.0,4.922,187.85,1147.44,1154.09
95,4.861,1841.0,18.1,3061.0,100.0,0.0,0.0,0.0,4.861,189.36,1140.11,1155.09
96,4.82,1865.0,21.17,3062.0,100.0,0.0,0.0,0.0,4.82,191.43,1157.11,1141.75
