Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
56,4.883,1886.0,21.14,3057.0,100.0,0.0,0.0,0.0,4.883,190.7,1146.22,1151.05
57,4.865,1852.0,22.2,3060.0,100.0,0.0,0.0,0.0,4.865,190.85,1139.51,1152.19
58,4.895,1914.0,19.18,3055.0,100.0,0.0,0.0,0.0,4.895,187.75,1143.44,1147.12
59,4.904,1929.0,18.95,3055.0,100.0,0.0,0.0,0.0,4.904,190.05,1141.57,1148.0
60,4.934,1898.0,25.26,3055.0,100.0,0.0,0.0,0.0,4.934,189.94,1139.19,1151.03
61,4.839,1879.0,23.34,3060.0,100.0,0.001,716.0,0.61,4.84,156.57,1146.36,1145.65
62,4.938,1900.0,26.5,3054.0,100.0,0.0,0.0,0.0,4.938,185.08,1140.5,1142.9
63,4.853,1829.0,25.04,3062.0,100.0,0.0,0.0,0.0,4.853,191.3,1141.81,1147.42
64,4.898,1842.0,18.85,3057.0,100.0,0.0,0.0,0.0,4.898,191.08,1146.17,1147.75
65,4.881,1883.0,17.54,3055.0,100.0,0.002,713.0,0.63,4.883,189.91,1136.23,1151.83
66,4.884,1840.0,22.09,3060.0,100.0,0.0,0.0,0.0,4.884,188.43,1148.64,1147.2
67,4.904,1848.0,19.46,3056.0,100.0,0.0,0.0,0.0,4.904,190.74,1140.08,1150.09
68,4.901,1918.0,16.98,3055.0,100.0,0.0,0.0,0.0,4.901,187.81,1142.28,1146.02
69,4.891,1937.0,17.12,3055.0,100.0,0.0,0.0,0.0,4.891,187.85,1144.28,1138.92
70,4.924,1954.0,24.81,3055.0,100.0,0.001,712.0,0.32,4.925,189.99,1140.04,1148.41
71,4.904,1934.0,18.2,3055.0,100.0,0.0,0.0,0.0,4.904,188.52,1140.49,1149.47
72,4.875,1860.0,22.29,3059.0,100.0,0.0,0.0,0.0,4.875,192.57,1144.67,1147.03
73,4.906,1823.0,23.13,3060.0,100.0,0.0,0.0,0.0,4.906,194.52,1135.78,1148.41
74,4.875,1948.0,21.82,3059.0,100.0,0.0,0.0,0.0,4.875,187.64,1142.43,1148.38
75,4.853,1885.0,24.41,3061.0,100.0,0.0,0.0,0.0,4.853,186.61,1141.27,1149.29
76,4.88,1883.0,22.24,3059.0,100.0,0.0,0.0,0.0,4.88,190.01,1150.26,1141.8
77,4.906,1869.0,25.35,3059.0,100.0,0.0,0.0,0.0,4.906,190.37,1142.47,1154.38
78,4.913,1853.0,23.74,3057.0,100.0,0.0,0.0,0.0,4.913,190.22,1146.08,1146.99
79,4.867,1859.0,22.17,3061.0,100.0,0.0,0.0,0.0,4.867,191.46,1136.59,1145.09
80,4.882,1957.0,21.65,3058.0,100.0,0.0,0.0,0.0,4.882,190.27,1145.01,1146.58
81,4.912,1980.0,18.75,3055.0,100.0,0.0,0.0,0.0,4.912,188.16,1140.95,1148.02
82,4.882,1931.0,21.37,3059.0,100.0,0.0,0.0,0.0,4.882,185.82,1141.78,1148.45
83,4.879,1978.0,21.15,3058.0,100.0,0.0,0.0,0.0,4.879,189.23,1144.5,1143.6
84,4.918,1968.0,18.53,3055.0,100.0,0.0,0.0,0.0,4.918,188.3,1141.64,1149.83
85,4.846,1852.0,20.56,3061.0,100.0,0.0,0.0,0.0,4.846,187.6,1138.24,1141.0
86,4.858,1845.0,21.93,3063.0,100.0,0.0,0.0,0.0,4.858,183.79,1150.85,1155.15
87,4.866,1830.0,23.34,3062.0,100.0,0.0,0.0,0.0,4.866,194.47,1141.22,1142.85
88,4.914,1889.0,20.7,3056.0,100.0,0.0,0.0,0.0,4.914,191.77,1143.65,1151.28
89,4.907,1801.0,20.4,3058.0,100.0,0.0,0.0,0.0,4.907,194.52,1144.36,1143.38
90,4.891,1871.0,22.15,3059.0,100.0,0.0,0.0,0.0,4.891,191.88,1141.78,1153.62
91,4.888,1897.0,21.83,3059.0,100.0,0.0,0.0,0.0,4.888,185.88,1140.44,1145.44
92,4.886,1839.0,36.06,3065.0,100.0,0.0,0.0,0.0,4.886,162.06,1146.18,1146.54
93,4.901,1762.0,23.0,3063.0,100.0,0.0,0.0,0.0,4.901,196.88,1145.64,1148.17
94,4.857,1840.0,21.46,3063.0,100.0,0.0,0.0,0.0,4.857,185.18,1144.75,1151.86
95,4.902,1921.0,20.89,3058.0,100.0,0.0,0.0,0.0,4.902,191.88,1141.67,1139.95
96,4.892,1964.0,23.71,3059.0,100.0,0.002,714.0,0.73,4.894,189.55,1134.48,1157.44
97,4.93,1912.0,19.46,3055.0,100.0,0.0,0.0,0.0,4.93,189.32,1150.37,1148.88
98,4.91,1809.0,21.62,3058.0,100.0,0.0,0.0,0.0,4.91,191.62,1143.29,1149.48
99,4.908,1749.0,20.31,3063.0,100.0,0.0,0.0,0.0,4.908,184.03,1148.08,1151.25
100,4.915,1867.0,20.38,3058.0,100.0,0.0,0.0,0.0,4.915,192.79,1139.43,1149.32
