Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,2.003,1300.0,34.76,1851.0,48.74,0.0,0.0,0.0,2.003,51.84,485.17,483.21
1,4.564,1645.0,21.28,3075.0,99.46,0.001,712.0,0.32,4.565,133.48,1072.33,1073.86
2,4.77,1842.0,18.97,3055.0,100.0,0.0,0.0,0.0,4.77,182.41,1147.6,1149.71
3,4.788,1859.0,20.55,3061.0,100.0,0.0,708.0,0.22,4.788,177.6,1148.12,1157.06
4,4.815,1819.0,19.79,3055.0,100.0,0.0,0.0,0.0,4.815,184.37,1148.76,1152.12
5,4.803,1798.0,19.64,3056.0,100.0,0.0,0.0,0.0,4.803,182.97,1148.22,1152.87
6,4.786,1820.0,21.16,3060.0,100.0,0.0,0.0,0.0,4.786,181.93,1156.96,1148.67
7,4.786,1839.0,19.66,3057.0,100.0,0.0,0.0,0.0,4.786,186.55,1146.27,1148.91
8,4.771,1839.0,21.91,3060.0,100.0,0.0,0.0,0.0,4.771,184.74,1151.73,1140.44
9,4.787,1870.0,25.01,3059.0,100.0,0.0,708.0,0.43,4.787,187.57,1152.15,1153.62
10,4.791,1850.0,21.38,3056.0,100.0,0.0,0.0,0.0,4.791,186.06,1149.77,1145.24
11,4.756,1853.0,24.11,3060.0,100.0,0.001,711.0,0.32,4.757,186.29,1149.93,1148.08
12,4.772,1844.0,17.63,3055.0,100.0,0.0,0.0,0.0,4.772,183.21,1147.39,1141.15
13,4.806,1904.0,20.69,3055.0,100.0,0.0,0.0,0.0,4.806,184.51,1151.05,1152.56
14,4.824,1934.0,18.59,3052.0,100.0,0.0,0.0,0.0,4.824,184.81,1149.24,1141.5
15,4.773,1868.0,20.08,3058.0,100.0,0.0,0.0,0.0,4.773,183.93,1146.93,1143.6
16,4.819,1930.0,18.04,3052.0,100.0,0.0,0.0,0.0,4.819,182.77,1142.58,1146.59
17,4.813,1798.0,22.68,3060.0,100.0,0.0,0.0,0.0,4.813,190.22,1147.91,1141.67
18,4.804,1755.0,21.49,3063.0,100.0,0.0,0.0,0.0,4.804,179.78,1156.03,1158.37
19,4.831,1840.0,18.74,3053.0,100.0,0.0,0.0,0.0,4.831,184.86,1147.59,1144.46
20,4.824,1917.0,19.72,3056.0,100.0,0.0,0.0,0.0,4.824,185.42,1139.16,1143.01
21,4.814,1859.0,21.16,3057.0,100.0,0.0,0.0,0.0,4.814,183.69,1153.47,1147.89
22,4.802,1863.0,21.27,3057.0,100.0,0.0,0.0,0.0,4.802,185.19,1142.39,1146.39
23,4.839,1947.0,19.27,3054.0,100.0,0.0,0.0,0.0,4.839,186.78,1142.65,1146.02
24,4.836,1849.0,21.13,3057.0,100.0,0.0,0.0,0.0,4.836,190.11,1136.34,1142.94
25,4.841,1877.0,18.47,3055.0,100.0,0.0,0.0,0.0,4.841,187.73,1141.44,1146.97
26,4.841,1943.0,19.36,3055.0,100.0,0.0,716.0,0.61,4.841,184.47,1141.38,1146.26
27,4.873,1871.0,27.21,3057.0,100.0,0.0,0.0,0.0,4.873,189.99,1145.48,1146.29
28,4.819,1864.0,21.41,3059.0,100.0,0.0,0.0,0.0,4.819,191.7,1145.61,1148.02
29,4.849,1963.0,18.69,3055.0,100.0,0.0,0.0,0.0,4.849,185.59,1140.81,1141.31
30,4.816,1874.0,18.12,3055.0,100.0,0.0,0.0,0.0,4.816,162.32,1140.01,1151.59
31,4.834,1816.0,21.39,3061.0,100.0,0.0,0.0,0.0,4.834,174.66,1140.77,1145.54
32,4.821,1816.0,17.22,3060.0,100.0,0.0,0.0,0.0,4.821,183.91,1145.46,1151.3
33,4.849,1874.0,21.03,3058.0,100.0,0.0,714.0,0.41,4.849,191.35,1148.42,1142.33
34,4.802,1917.0,24.29,3061.0,100.0,0.0,0.0,0.0,4.802,185.91,1142.85,1143.97
35,4.827,1868.0,22.09,3062.0,100.0,0.0,711.0,0.53,4.827,184.37,1140.61,1148.87
36,4.85,1841.0,21.4,3060.0,100.0,0.0,0.0,0.0,4.85,190.78,1149.83,1153.11
37,4.858,1877.0,19.38,3055.0,100.0,0.0,0.0,0.0,4.858,186.61,1139.68,1154.21
38,4.841,1789.0,22.63,3062.0,100.0,0.0,0.0,0.0,4.841,193.56,1143.56,1140.93
39,4.868,1916.0,20.3,3057.0,100.0,0.0,0.0,0.0,4.868,188.44,1145.14,1150.94
40,4.864,1979.0,19.75,3055.0,100.0,0.002,713.0,0.31,4.866,184.2,1135.74,1153.36
41,4.826,1880.0,20.55,3060.0,100.0,0.0,0.0,0.0,4.826,188.48,1153.77,1142.39
42,4.874,1750.0,21.16,3061.0,100.0,0.0,0.0,0.0,4.874,192.73,1142.5,1152.18
43,4.86,1814.0,20.2,3057.0,100.0,0.0,0.0,0.0,4.86,188.59,1144.16,1142.49
44,4.849,1869.0,21.85,3059.0,100.0,0.0,0.0,0.0,4.849,190.67,1138.45,1154.54
45,4.87,1910.0,18.43,3055.0,100.0,0.0,0.0,0.0,4.87,184.18,1143.14,1144.88
46,4.865,1951.0,18.34,3055.0,100.0,0.0,0.0,0.0,4.865,186.63,1141.97,1139.55
47,4.853,1819.0,21.8,3060.0,100.0,0.0,0.0,0.0,4.853,190.62,1137.66,1153.32
48,4.879,1901.0,19.38,3055.0,100.0,0.0,0.0,0.0,4.879,187.44,1143.29,1150.6
49,4.879,1909.0,18.52,3055.0,100.0,0.0,0.0,0.0,4.879,185.93,1143.35,1147.67
50,4.864,1950.0,18.26,3055.0,100.0,0.0,0.0,0.0,4.864,185.69,1148.23,1141.72
51,4.879,1867.0,22.32,3058.0,100.0,0.0,0.0,0.0,4.879,188.1,1137.4,1150.16
52,4.899,1855.0,20.5,3055.0,100.0,0.0,712.0,0.32,4.899,189.08,1141.75,1146.87
53,4.827,1919.0,18.08,3059.0,100.0,0.0,0.0,0.0,4.827,187.69,1149.48,1142.49
54,4.909,1862.0,27.25,3058.0,100.0,0.0,0.0,0.0,4.909,189.32,1136.17,1151.57
55,4.862,1954.0,20.36,3056.0,100.0,0.0,0.0,0.0,4.862,187.38,1140.63,1147.4
56,4.874,1964.0,20.86,3057.0,100.0,0.0,708.0,0.22,4.874,189.22,1148.91,1145.23
57,4.873,1860.0,30.12,3062.0,100.0,0.0,0.0,0.0,4.873,189.4,1142.44,1150.57
58,4.876,1846.0,19.21,3056.0,100.0,0.0,0.0,0.0,4.876,187.54,1145.19,1147.76
