Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.856,1278.0,22.68,1736.0,45.36,0.0,709.0,0.22,1.856,49.99,449.33,449.71
1,4.483,1704.0,12.47,3074.0,99.14,0.0,712.0,0.32,4.483,132.74,1061.15,1061.55
2,4.742,1792.0,12.22,3058.0,100.0,0.0,0.0,0.0,4.742,176.41,1161.01,1160.53
3,4.775,1855.0,14.26,3058.0,99.92,0.0,0.0,0.0,4.775,182.88,1153.47,1151.83
4,4.764,1793.0,13.12,3059.0,100.0,0.0,0.0,0.0,4.764,177.26,1162.99,1161.74
5,4.782,1889.0,12.95,3054.0,100.0,0.0,0.0,0.0,4.782,183.42,1150.76,1153.53
6,4.776,1867.0,12.73,3055.0,100.0,0.0,0.0,0.0,4.776,184.86,1158.76,1149.99
7,4.774,1942.0,15.11,3058.0,100.0,0.0,0.0,0.0,4.774,188.38,1147.42,1150.43
8,4.795,1964.0,12.08,3055.0,100.0,0.001,712.0,0.32,4.796,183.1,1154.47,1138.83
9,4.777,1943.0,14.99,3060.0,100.0,0.001,709.0,0.22,4.778,184.13,1143.29,1155.8
10,4.76,1961.0,15.78,3060.0,100.0,0.0,0.0,0.0,4.76,183.44,1147.88,1146.67
11,4.812,1903.0,11.93,3056.0,100.0,0.0,0.0,0.0,4.812,183.94,1154.26,1149.77
12,4.791,1812.0,14.23,3059.0,100.0,0.0,0.0,0.0,4.791,186.54,1154.92,1148.68
13,4.803,1907.0,14.52,3059.0,100.0,0.0,0.0,0.0,4.803,185.63,1153.84,1146.39
14,4.804,1892.0,19.72,3060.0,100.0,0.001,712.0,0.32,4.805,189.36,1145.47,1144.38
15,4.783,1858.0,16.06,3061.0,100.0,0.0,0.0,0.0,4.783,187.75,1154.71,1153.25
16,4.808,1837.0,16.54,3063.0,100.0,0.0,709.0,0.22,4.808,189.61,1156.44,1159.73
17,4.814,1886.0,13.77,3057.0,100.0,0.0,0.0,0.0,4.814,187.31,1150.22,1150.21
18,4.78,1895.0,14.24,3059.0,100.0,0.0,0.0,0.0,4.78,184.8,1149.94,1144.16
19,4.792,1960.0,14.39,3059.0,100.0,0.0,0.0,0.0,4.792,184.64,1152.31,1146.5
20,4.81,1735.0,16.58,3063.0,100.0,0.0,0.0,0.0,4.81,191.9,1154.69,1156.39
21,4.751,1903.0,18.61,3064.0,100.0,0.0,0.0,0.0,4.751,184.48,1149.21,1147.89
22,4.811,1928.0,16.33,3061.0,100.0,0.0,0.0,0.0,4.811,187.51,1146.56,1159.42
23,4.831,1920.0,12.09,3056.0,100.0,0.0,0.0,0.0,4.831,184.19,1157.17,1148.4
24,5.048,1826.0,18.55,3057.0,100.0,0.0,0.0,0.0,5.048,192.29,1152.73,1151.93
25,4.828,1906.0,13.16,3057.0,100.0,0.0,0.0,0.0,4.828,186.01,1143.82,1146.34
26,4.816,1820.0,14.96,3060.0,100.0,0.0,0.0,0.0,4.816,185.2,1150.71,1150.88
27,4.83,1831.0,14.05,3058.0,100.0,0.0,0.0,0.0,4.83,187.69,1159.88,1146.38
28,4.851,1919.0,11.28,3055.0,100.0,0.0,0.0,0.0,4.851,185.01,1150.6,1150.4
29,4.833,1969.0,13.69,3057.0,100.0,0.0,0.0,0.0,4.833,187.36,1140.54,1151.43
30,4.816,1942.0,11.33,3056.0,100.0,0.0,0.0,0.0,4.816,162.2,1154.36,1146.56
31,4.816,1909.0,13.71,3059.0,100.0,0.0,0.0,0.0,4.816,169.62,1145.28,1151.0
32,4.859,1942.0,11.85,3055.0,100.0,0.0,0.0,0.0,4.859,184.07,1151.11,1143.15
33,4.843,1877.0,12.11,3056.0,100.0,0.0,0.0,0.0,4.843,187.31,1155.48,1141.87
34,4.833,1882.0,14.8,3059.0,100.0,0.0,0.0,0.0,4.833,183.89,1152.29,1156.25
35,4.846,1895.0,13.59,3058.0,100.0,0.0,0.0,0.0,4.846,187.2,1147.15,1149.66
36,4.834,1836.0,14.64,3059.0,100.0,0.0,0.0,0.0,4.834,185.35,1152.04,1145.76
37,4.831,1910.0,14.59,3058.0,100.0,0.0,714.0,0.41,4.831,184.7,1144.0,1150.31
38,4.871,1922.0,12.28,3055.0,100.0,0.0,0.0,0.0,4.871,187.08,1154.61,1143.45
39,4.861,1966.0,11.69,3056.0,100.0,0.0,0.0,0.0,4.861,184.49,1155.12,1140.5
40,4.873,1977.0,11.9,3056.0,100.0,0.0,0.0,0.0,4.873,183.47,1151.13,1147.8
41,4.842,1875.0,14.85,3059.0,100.0,0.0,0.0,0.0,4.842,184.56,1152.24,1148.31
42,4.859,1787.0,15.58,3061.0,100.0,0.0,0.0,0.0,4.859,190.1,1151.89,1163.6
43,4.881,1866.0,18.57,3058.0,99.8,0.0,0.0,0.0,4.881,189.66,1153.79,1144.3
44,4.861,1846.0,14.04,3059.0,100.0,0.0,0.0,0.0,4.861,189.89,1147.57,1154.88
45,4.846,1841.0,16.57,3060.0,100.0,0.0,0.0,0.0,4.846,189.37,1152.73,1151.11
46,4.869,1877.0,15.56,3058.0,100.0,0.001,713.0,0.63,4.87,190.24,1160.4,1143.48
47,4.841,1851.0,14.89,3059.0,100.0,0.001,709.0,0.22,4.842,186.07,1143.09,1145.82
48,4.863,1878.0,16.2,3060.0,100.0,0.001,709.0,0.43,4.864,186.37,1155.61,1158.22
49,4.87,1905.0,12.11,3056.0,100.0,0.0,708.0,0.22,4.87,185.67,1150.26,1149.5
50,4.845,1845.0,15.16,3060.0,100.0,0.0,0.0,0.0,4.845,188.56,1151.79,1144.74
51,4.864,1940.0,12.68,3056.0,100.0,0.0,0.0,0.0,4.864,185.94,1142.24,1152.48
52,4.878,1937.0,11.48,3055.0,100.0,0.0,0.0,0.0,4.878,184.06,1155.21,1148.8
53,4.881,1874.0,13.24,3056.0,100.0,0.0,0.0,0.0,4.881,186.82,1153.11,1148.78
54,4.876,1816.0,12.87,3057.0,100.0,0.0,0.0,0.0,4.876,188.65,1150.59,1140.52
55,4.859,1811.0,14.42,3059.0,100.0,0.0,0.0,0.0,4.859,189.66,1145.88,1149.53
56,4.861,1807.0,15.28,3060.0,100.0,0.0,0.0,0.0,4.861,188.66,1149.89,1160.08
57,4.872,1916.0,13.55,3058.0,100.0,0.0,0.0,0.0,4.872,188.81,1158.75,1149.66
58,4.846,1821.0,16.14,3060.0,100.0,0.0,0.0,0.0,4.846,189.41,1144.62,1151.75
59,4.856,1909.0,14.98,3059.0,100.0,0.0,0.0,0.0,4.856,184.52,1155.52,1150.68
60,4.851,1983.0,13.88,3059.0,100.0,0.0,0.0,0.0,4.851,184.18,1145.72,1147.97
61,4.858,1930.0,11.06,3056.0,100.0,0.0,0.0,0.0,4.858,158.69,1158.1,1145.87
62,4.869,1803.0,16.0,3060.0,100.0,0.0,0.0,0.0,4.869,184.87,1149.8,1151.51
63,4.888,1855.0,13.76,3057.0,100.0,0.0,0.0,0.0,4.888,187.3,1153.97,1147.8
64,4.891,1810.0,14.18,3059.0,100.0,0.0,0.0,0.0,4.891,194.06,1150.73,1154.14
65,4.847,1879.0,14.91,3058.0,100.0,0.0,0.0,0.0,4.847,186.27,1149.57,1147.04
66,4.857,1936.0,14.67,3058.0,100.0,0.0,0.0,0.0,4.857,186.04,1146.26,1148.85
67,4.868,1927.0,13.81,3057.0,100.0,0.0,0.0,0.0,4.868,184.77,1155.82,1144.68
68,4.897,1978.0,11.66,3055.0,100.0,0.0,0.0,0.0,4.897,185.48,1145.49,1146.85
69,4.887,1961.0,11.52,3056.0,100.0,0.0,0.0,0.0,4.887,182.93,1154.97,1143.62
70,4.904,1962.0,12.47,3055.0,100.0,0.0,0.0,0.0,4.904,189.27,1142.9,1153.59
71,4.885,1927.0,13.74,3057.0,100.0,0.0,0.0,0.0,4.885,185.79,1157.38,1147.25
72,4.855,1893.0,15.36,3058.0,100.0,0.0,0.0,0.0,4.855,188.92,1151.34,1143.6
73,4.847,1854.0,24.48,3062.0,100.0,0.0,0.0,0.0,4.847,185.44,1151.08,1152.78
74,4.895,2002.0,11.42,3055.0,100.0,0.0,0.0,0.0,4.895,184.77,1140.91,1151.7
