Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.81,1227.0,33.01,1698.0,44.97,0.0,0.0,0.0,1.81,64.1,386.03,384.02
1,4.549,1594.0,18.51,3076.0,99.98,0.003,713.0,0.63,4.552,126.28,1065.31,1071.64
2,4.79,1778.0,18.9,3060.0,100.0,0.0,0.0,0.0,4.79,173.18,1155.06,1149.05
3,4.782,1812.0,18.45,3054.0,100.0,0.0,0.0,0.0,4.782,179.96,1143.25,1139.56
4,4.822,1789.0,22.05,3056.0,100.0,0.0,710.0,0.43,4.822,183.05,1149.29,1150.65
5,4.82,1852.0,20.95,3055.0,100.0,0.0,0.0,0.0,4.82,179.48,1146.75,1156.37
6,4.824,1889.0,20.51,3053.0,100.0,0.0,0.0,0.0,4.824,184.27,1147.43,1144.7
7,4.804,1970.0,16.47,3055.0,100.0,0.0,0.0,0.0,4.804,187.01,1145.5,1142.39
8,4.791,1824.0,20.93,3061.0,100.0,0.0,0.0,0.0,4.791,187.82,1140.53,1152.02
9,4.807,1772.0,19.87,3061.0,100.0,0.0,712.0,0.32,4.807,189.4,1143.49,1146.06
10,4.8,1928.0,18.44,3056.0,100.0,0.0,0.0,0.0,4.8,182.15,1141.02,1138.82
11,4.825,1909.0,19.66,3055.0,100.0,0.0,0.0,0.0,4.825,187.15,1141.33,1149.99
12,4.798,1881.0,22.67,3059.0,100.0,0.0,0.0,0.0,4.798,184.76,1144.37,1149.08
13,4.828,1790.0,21.74,3060.0,100.0,0.0,0.0,0.0,4.828,189.71,1140.49,1147.77
14,5.007,1848.0,22.69,3058.0,100.0,0.0,708.0,0.22,5.007,182.79,1137.58,1147.05
15,4.843,1821.0,23.33,3063.0,100.0,0.0,712.0,0.31,4.843,179.03,1145.46,1147.64
16,4.835,1944.0,19.22,3055.0,100.0,0.0,0.0,0.0,4.835,185.67,1141.63,1137.1
17,4.818,1900.0,21.63,3059.0,100.0,0.0,0.0,0.0,4.818,186.72,1142.77,1153.56
18,4.846,1913.0,19.37,3055.0,100.0,0.0,0.0,0.0,4.846,185.23,1137.86,1146.05
19,4.83,1818.0,21.28,3059.0,100.0,0.0,0.0,0.0,4.83,188.14,1145.11,1146.35
20,4.855,1880.0,19.33,3055.0,100.0,0.0,0.0,0.0,4.855,185.78,1141.34,1146.5
21,4.85,1839.0,19.66,3056.0,100.0,0.0,0.0,0.0,4.85,187.23,1142.52,1143.15
22,4.805,1863.0,24.08,3061.0,100.0,0.0,0.0,0.0,4.805,187.29,1137.7,1145.12
23,4.825,1927.0,21.88,3060.0,100.0,0.0,0.0,0.0,4.825,184.29,1149.02,1142.22
