Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.96,1268.0,30.27,1762.0,48.24,0.0,0.0,0.0,1.96,53.18,468.35,469.3
1,4.568,1608.0,18.76,3072.0,99.98,0.001,714.0,0.41,4.569,134.29,1083.36,1082.65
2,4.774,1796.0,19.13,3061.0,100.0,0.0,0.0,0.0,4.774,172.09,1151.53,1150.82
3,4.756,1777.0,14.75,3058.0,100.0,0.0,0.0,0.0,4.756,179.07,1148.61,1155.64
4,4.783,1825.0,20.72,3058.0,100.0,0.001,709.0,0.22,4.784,179.65,1143.17,1151.0
5,4.813,1854.0,18.48,3052.0,100.0,0.0,0.0,0.0,4.813,181.66,1153.09,1140.83
6,4.804,1928.0,18.26,3054.0,100.0,0.0,0.0,0.0,4.804,181.41,1143.71,1148.12
7,4.8,1925.0,19.55,3057.0,100.0,0.0,0.0,0.0,4.8,188.88,1145.09,1149.41
8,4.78,1885.0,23.14,3060.0,100.0,0.0,0.0,0.0,4.78,189.22,1134.85,1146.86
9,4.785,1871.0,22.46,3061.0,100.0,0.001,714.0,0.41,4.786,187.1,1148.85,1147.92
10,4.817,1964.0,18.56,3055.0,100.0,0.0,0.0,0.0,4.817,184.57,1146.06,1140.56
11,4.772,1877.0,22.75,3064.0,100.0,0.0,0.0,0.0,4.772,179.28,1144.44,1146.61
12,4.805,1908.0,19.35,3058.0,100.0,0.0,0.0,0.0,4.805,185.53,1148.67,1144.88
13,4.796,1913.0,20.01,3060.0,100.0,0.0,0.0,0.0,4.796,185.63,1143.59,1144.23
14,4.758,1897.0,23.65,3062.0,100.0,0.0,0.0,0.0,4.758,185.85,1140.03,1141.43
15,4.798,1829.0,24.09,3061.0,100.0,0.0,0.0,0.0,4.798,188.71,1146.98,1142.92
16,4.802,1854.0,21.8,3059.0,100.0,0.002,715.0,0.51,4.804,190.34,1138.99,1154.02
17,4.889,1986.0,31.65,3055.0,100.0,0.0,0.0,0.0,4.889,188.39,1152.43,1141.41
18,4.828,1936.0,18.79,3055.0,100.0,0.0,0.0,0.0,4.828,184.89,1146.38,1142.6
19,4.816,1968.0,22.16,3058.0,100.0,0.0,713.0,0.31,4.816,187.99,1142.38,1143.9
20,4.792,1870.0,23.75,3061.0,100.0,0.0,0.0,0.0,4.792,187.56,1147.69,1146.12
21,4.841,1896.0,18.34,3055.0,100.0,0.0,0.0,0.0,4.841,184.44,1142.43,1141.66
22,4.838,1962.0,18.56,3055.0,100.0,0.0,0.0,0.0,4.838,184.93,1142.86,1143.29
23,4.813,1806.0,19.99,3059.0,100.0,0.0,0.0,0.0,4.813,187.99,1141.08,1144.65
24,4.815,1832.0,17.89,3060.0,100.0,0.0,0.0,0.0,4.815,189.14,1146.73,1153.84
25,4.777,1886.0,27.73,3065.0,100.0,0.0,0.0,0.0,4.777,187.17,1147.13,1145.51
26,4.831,1828.0,25.13,3062.0,100.0,0.0,0.0,0.0,4.831,191.98,1144.72,1147.22
27,4.825,1809.0,21.75,3061.0,100.0,0.0,0.0,0.0,4.825,184.34,1148.13,1150.59
28,4.84,1776.0,23.9,3062.0,100.0,0.0,0.0,0.0,4.84,195.31,1150.74,1145.85
29,4.829,1748.0,23.15,3065.0,100.0,0.0,0.0,0.0,4.829,184.16,1150.49,1150.09
30,4.881,1801.0,30.46,3060.0,100.0,0.0,0.0,0.0,4.881,167.55,1146.57,1145.67
31,4.85,1931.0,18.09,3055.0,100.0,0.0,0.0,0.0,4.85,173.64,1139.66,1143.77
32,4.862,1967.0,19.04,3055.0,100.0,0.0,0.0,0.0,4.862,185.47,1146.15,1142.13
33,4.843,1879.0,21.88,3059.0,100.0,0.0,0.0,0.0,4.843,187.78,1142.33,1148.12
34,4.834,1875.0,23.37,3060.0,100.0,0.0,0.0,0.0,4.834,184.95,1150.1,1145.09
35,4.862,1823.0,22.31,3059.0,100.0,0.0,713.0,0.31,4.862,194.1,1144.69,1143.42
36,4.819,1816.0,22.34,3068.0,100.0,0.0,0.0,0.0,4.819,173.9,1140.32,1148.16
37,4.834,1871.0,23.25,3059.0,100.0,0.0,0.0,0.0,4.834,187.62,1151.63,1152.83
38,4.829,1831.0,19.74,3061.0,100.0,0.0,0.0,0.0,4.829,191.46,1138.2,1147.09
39,4.859,1975.0,18.16,3055.0,100.0,0.0,0.0,0.0,4.859,185.64,1149.52,1143.32
40,4.876,1774.0,21.03,3061.0,100.0,0.0,0.0,0.0,4.876,191.1,1141.57,1150.84
41,4.848,1828.0,22.23,3062.0,100.0,0.0,0.0,0.0,4.848,192.37,1157.69,1149.92
42,4.867,1867.0,21.26,3059.0,100.0,0.0,0.0,0.0,4.867,185.7,1145.79,1143.72
43,4.817,1955.0,19.09,3059.0,100.0,0.0,0.0,0.0,4.817,185.06,1145.24,1141.03
44,4.798,1813.0,20.18,3063.0,100.0,0.0,0.0,0.0,4.798,190.73,1145.85,1151.83
45,4.875,1915.0,19.65,3056.0,100.0,0.0,0.0,0.0,4.875,189.21,1136.57,1145.24
46,4.917,1994.0,29.41,3055.0,100.0,0.0,0.0,0.0,4.917,188.92,1146.94,1143.75
47,4.871,1882.0,19.4,3057.0,100.0,0.0,0.0,0.0,4.871,189.39,1147.22,1141.78
48,4.849,1898.0,21.02,3061.0,100.0,0.0,0.0,0.0,4.849,179.7,1149.65,1142.98
49,4.877,1754.0,21.11,3060.0,100.0,0.0,0.0,0.0,4.877,190.87,1149.63,1156.71
50,4.854,1961.0,21.26,3056.0,100.0,0.0,713.0,0.31,4.854,189.53,1137.22,1144.41
51,4.847,1927.0,22.55,3059.0,100.0,0.0,0.0,0.0,4.847,187.66,1148.81,1142.43
52,4.867,1797.0,22.04,3060.0,100.0,0.0,0.0,0.0,4.867,192.36,1145.74,1138.26
53,4.842,1850.0,23.27,3061.0,100.0,0.0,0.0,0.0,4.842,187.85,1150.26,1146.77
54,4.863,1834.0,22.26,3060.0,100.0,0.0,0.0,0.0,4.863,190.49,1139.02,1153.41
55,4.876,1877.0,19.89,3056.0,100.0,0.0,0.0,0.0,4.876,186.79,1148.63,1142.89
