Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.824,1271.0,21.72,1726.0,44.46,0.001,708.0,0.22,1.825,50.01,434.84,438.78
1,4.749,1717.0,49.04,3072.0,99.29,0.0,708.0,0.22,4.749,133.39,1077.61,1073.01
2,5.385,1929.0,100.0,3053.0,100.0,0.0,708.0,0.22,5.385,176.36,1163.22,1161.48
3,5.416,1958.0,100.0,3052.0,100.0,0.0,710.0,0.22,5.416,178.95,1160.73,1158.83
4,5.408,1975.0,97.12,3052.0,100.0,0.0,708.0,0.22,5.408,176.8,1160.7,1158.33
5,4.827,1913.0,15.09,3052.0,100.0,0.0,0.0,0.0,4.827,178.93,1157.84,1156.02
6,4.762,1865.0,14.19,3058.0,100.0,0.0,0.0,0.0,4.762,183.3,1157.94,1147.57
7,4.796,1840.0,13.9,3058.0,100.0,0.0,0.0,0.0,4.796,190.26,1148.48,1151.82
8,4.763,1849.0,17.24,3062.0,100.0,0.0,0.0,0.0,4.763,185.52,1154.43,1157.74
9,4.777,1918.0,15.41,3059.0,100.0,0.0,712.0,0.32,4.777,189.25,1141.7,1149.91
10,4.793,1970.0,14.35,3057.0,100.0,0.0,0.0,0.0,4.793,185.82,1149.54,1153.29
11,4.806,1857.0,15.6,3060.0,100.0,0.0,0.0,0.0,4.806,190.43,1158.29,1158.17
12,4.78,1869.0,16.51,3060.0,100.0,0.002,708.0,0.22,4.782,189.56,1152.49,1143.01
13,4.805,1863.0,13.81,3057.0,100.0,0.0,0.0,0.0,4.805,187.99,1146.3,1157.68
14,4.8,1856.0,14.02,3060.0,100.0,0.0,0.0,0.0,4.8,184.0,1146.97,1153.36
15,4.782,1975.0,14.55,3058.0,100.0,0.0,0.0,0.0,4.782,182.93,1155.57,1149.52
16,4.818,1950.0,13.3,3057.0,100.0,0.0,0.0,0.0,4.818,184.11,1149.34,1153.51
17,4.75,1835.0,20.92,3067.0,100.0,0.0,0.0,0.0,4.75,190.52,1153.13,1149.96
18,4.828,1967.0,12.12,3055.0,100.0,0.0,0.0,0.0,4.828,185.85,1141.43,1159.85
19,4.806,1940.0,13.71,3057.0,100.0,0.0,0.0,0.0,4.806,184.74,1151.42,1144.49
20,4.811,1899.0,15.03,3060.0,100.0,0.0,0.0,0.0,4.811,191.03,1149.17,1158.23
21,4.807,1880.0,15.63,3058.0,100.0,0.0,0.0,0.0,4.807,186.87,1150.22,1147.81
22,4.76,1818.0,20.42,3066.0,100.0,0.0,0.0,0.0,4.76,188.12,1157.91,1157.99
23,4.823,1882.0,13.7,3057.0,100.0,0.0,0.0,0.0,4.823,187.43,1152.6,1152.68
24,4.802,1916.0,16.02,3059.0,100.0,0.001,715.0,0.51,4.803,185.3,1147.19,1150.42
25,4.775,1951.0,19.25,3063.0,100.0,0.0,0.0,0.0,4.775,186.37,1150.29,1145.98
26,4.827,1925.0,15.19,3058.0,100.0,0.0,0.0,0.0,4.827,185.7,1148.3,1160.15
27,4.998,1930.0,21.47,3061.0,100.0,0.001,708.0,0.22,4.999,189.2,1140.01,1147.97
28,4.804,1884.0,16.19,3062.0,100.0,0.0,0.0,0.0,4.804,185.93,1147.23,1145.41
29,4.847,1961.0,15.13,3057.0,100.0,0.0,0.0,0.0,4.847,186.27,1148.82,1162.7
30,4.806,1942.0,11.06,3055.0,100.0,0.0,0.0,0.0,4.806,163.34,1154.13,1144.83
