Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
0,1.226,1080.0,25.36,1683.0,43.07,0.0,0.0,0.0,1.226,455.52,false
1,3.138,1077.0,13.48,3182.0,99.98,0.003,714.0,0.41,3.141,1126.09,false
2,3.209,1134.0,12.02,3178.0,100.0,0.0,0.0,0.0,3.209,1157.4,false
3,3.215,1196.0,11.72,3179.0,100.0,0.0,0.0,0.0,3.215,1160.55,false
4,3.217,1173.0,11.82,3179.0,100.0,0.0,0.0,0.0,3.217,1162.05,false
5,3.238,1182.0,23.19,3179.0,100.0,0.0,0.0,0.0,3.238,1159.22,false
6,3.223,1144.0,12.16,3179.0,100.0,0.0,0.0,0.0,3.223,1158.17,false
7,3.217,1154.0,11.76,3179.0,100.0,0.0,0.0,0.0,3.217,1160.75,false
8,3.226,1127.0,12.0,3179.0,100.0,0.0,0.0,0.0,3.226,1158.14,false
9,3.458,1174.0,14.62,3173.0,100.0,0.0,709.0,0.22,3.458,1163.46,false
10,3.22,1124.0,12.28,3179.0,100.0,0.0,0.0,0.0,3.22,1151.78,false
11,3.225,1139.0,13.17,3179.0,100.0,0.002,714.0,0.63,3.227,1157.66,false
12,3.228,1166.0,11.7,3179.0,100.0,0.0,0.0,0.0,3.228,1168.72,false
13,3.223,1157.0,12.03,3179.0,100.0,0.0,0.0,0.0,3.223,1158.49,false
14,3.225,1153.0,11.7,3179.0,100.0,0.0,0.0,0.0,3.225,1157.01,false
15,3.222,1155.0,11.82,3179.0,100.0,0.0,0.0,0.0,3.222,1158.43,false
16,3.233,1096.0,8.73,3178.0,100.0,0.0,0.0,0.0,3.233,1167.34,false
17,3.222,1135.0,9.26,3179.0,100.0,0.0,0.0,0.0,3.222,1157.49,false
18,3.225,1174.0,11.69,3179.0,100.0,0.0,0.0,0.0,3.225,1158.43,false
19,3.228,1138.0,11.74,3179.0,100.0,0.0,0.0,0.0,3.228,1155.48,false
