Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
0,1.207,1040.0,16.8,1687.0,42.49,0.0,0.0,0.0,1.207,457.0,false
1,3.148,1051.0,12.83,3182.0,99.95,0.0,714.0,0.41,3.148,1118.43,false
2,3.213,1127.0,11.73,3178.0,100.0,0.0,0.0,0.0,3.213,1160.85,false
3,3.223,1182.0,12.82,3178.0,100.0,0.0,0.0,0.0,3.223,1156.52,false
4,3.235,1130.0,13.14,3178.0,100.0,0.002,714.0,0.41,3.237,1157.05,false
5,3.221,1147.0,11.55,3178.0,100.0,0.0,0.0,0.0,3.221,1167.05,false
6,3.213,1150.0,12.03,3178.0,100.0,0.0,0.0,0.0,3.213,1152.92,false
7,3.199,1134.0,9.72,3178.0,100.0,0.0,0.0,0.0,3.199,1165.35,false
8,3.22,1130.0,8.31,3178.0,100.0,0.0,0.0,0.0,3.22,1164.2,false
9,3.228,1138.0,12.81,3178.0,100.0,0.001,715.0,0.51,3.229,1159.21,false
10,3.221,1133.0,11.85,3179.0,100.0,0.0,0.0,0.0,3.221,1156.19,false
11,3.221,1144.0,12.11,3178.0,100.0,0.0,0.0,0.0,3.221,1158.32,false
12,3.239,1147.0,15.38,3178.0,100.0,0.0,0.0,0.0,3.239,1164.86,false
13,3.235,1135.0,11.91,3178.0,100.0,0.0,0.0,0.0,3.235,1157.89,false
14,3.235,1173.0,11.83,3178.0,100.0,0.0,0.0,0.0,3.235,1154.85,false
15,3.237,1145.0,12.98,3179.0,100.0,0.0,0.0,0.0,3.237,1166.57,false
16,3.244,1111.0,12.14,3178.0,100.0,0.0,0.0,0.0,3.244,1164.29,false
17,3.227,1125.0,12.14,3178.0,100.0,0.0,0.0,0.0,3.227,1160.31,false
18,3.237,1154.0,11.82,3178.0,100.0,0.0,0.0,0.0,3.237,1154.27,false
19,3.237,1139.0,11.85,3178.0,100.0,0.0,0.0,0.0,3.237,1167.32,false
20,3.244,1160.0,12.26,3178.0,100.0,0.0,0.0,0.0,3.244,1156.13,false
21,3.222,1155.0,12.03,3178.0,100.0,0.0,0.0,0.0,3.222,1159.21,false
22,3.225,1123.0,11.71,3178.0,100.0,0.0,0.0,0.0,3.225,1159.68,false
23,3.23,1126.0,12.05,3179.0,100.0,0.0,0.0,0.0,3.23,1157.52,false
24,3.234,1149.0,11.83,3178.0,100.0,0.0,0.0,0.0,3.234,1157.45,false
25,3.222,1097.0,9.87,3178.0,100.0,0.0,0.0,0.0,3.222,1158.63,false
26,3.223,1097.0,7.72,3178.0,100.0,0.0,0.0,0.0,3.223,1166.78,false
27,3.247,1164.0,25.43,3178.0,100.0,0.0,0.0,0.0,3.247,1161.23,false
28,3.241,1172.0,11.97,3178.0,100.0,0.0,0.0,0.0,3.241,1157.28,false
29,3.244,1137.0,11.65,3178.0,100.0,0.0,0.0,0.0,3.244,1155.17,false
30,3.249,1141.0,11.56,3178.0,100.0,0.0,0.0,0.0,3.249,1161.36,false
31,3.242,1145.0,11.69,3178.0,100.0,0.0,0.0,0.0,3.242,1169.58,false
32,3.232,1123.0,12.12,3178.0,99.99,0.0,0.0,0.0,3.232,1154.8,false
33,3.248,1133.0,11.89,3178.0,100.0,0.0,0.0,0.0,3.248,1154.52,false
34,3.243,1126.0,12.32,3178.0,100.0,0.0,0.0,0.0,3.243,1166.71,false
35,3.237,1131.0,11.82,3178.0,100.0,0.0,0.0,0.0,3.237,1159.89,false
36,3.235,1113.0,11.65,3178.0,100.0,0.0,0.0,0.0,3.235,1155.42,false
37,3.253,1156.0,12.09,3178.0,100.0,0.0,0.0,0.0,3.253,1167.95,false
38,3.241,1116.0,12.12,3179.0,100.0,0.0,0.0,0.0,3.241,1153.87,false
39,3.244,1140.0,11.82,3178.0,100.0,0.0,0.0,0.0,3.244,1157.17,false
40,3.231,1117.0,11.68,3178.0,100.0,0.0,0.0,0.0,3.231,1167.18,false
41,3.235,1105.0,11.88,3179.0,100.0,0.0,0.0,0.0,3.235,1160.46,false
