Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
0,1.231,1057.0,22.12,1740.0,43.41,0.0,0.0,0.0,1.231,465.7,false
1,3.14,1039.0,9.05,3182.0,99.96,0.002,712.0,0.31,3.142,1113.68,false
2,3.214,1114.0,11.89,3178.0,100.0,0.0,0.0,0.0,3.214,1159.34,false
3,3.235,1186.0,11.82,3178.0,100.0,0.0,0.0,0.0,3.235,1165.02,false
4,3.228,1178.0,12.17,3178.0,100.0,0.0,0.0,0.0,3.228,1159.88,false
5,3.234,1138.0,11.69,3179.0,100.0,0.0,0.0,0.0,3.234,1154.15,false
6,3.233,1140.0,11.85,3178.0,100.0,0.0,0.0,0.0,3.233,1167.76,false
7,3.23,1142.0,11.72,3178.0,100.0,0.0,0.0,0.0,3.23,1157.37,false
8,3.225,1157.0,12.09,3178.0,100.0,0.0,0.0,0.0,3.225,1161.39,false
9,3.232,1165.0,12.76,3179.0,100.0,0.0,712.0,0.32,3.232,1157.69,false
10,3.242,1165.0,12.24,3178.0,100.0,0.0,0.0,0.0,3.242,1167.09,false
11,3.227,1156.0,12.04,3178.0,100.0,0.0,0.0,0.0,3.227,1157.61,false
12,3.233,1154.0,11.58,3178.0,100.0,0.0,0.0,0.0,3.233,1157.71,false
13,3.237,1135.0,11.93,3178.0,100.0,0.0,0.0,0.0,3.237,1168.35,false
14,3.239,1162.0,12.09,3178.0,100.0,0.0,0.0,0.0,3.239,1155.54,false
15,3.249,1154.0,11.64,3178.0,100.0,0.0,0.0,0.0,3.249,1166.73,false
16,3.494,1129.0,14.22,3173.0,100.0,0.0,0.0,0.0,3.494,1156.57,false
17,3.24,1166.0,11.85,3178.0,100.0,0.0,0.0,0.0,3.24,1158.43,false
18,3.249,1149.0,14.59,3178.0,100.0,0.0,0.0,0.0,3.249,1168.16,false
19,3.264,1114.0,13.45,3178.0,100.0,0.0,0.0,0.0,3.264,1158.27,false
20,3.227,1150.0,8.12,3178.0,100.0,0.0,0.0,0.0,3.227,1161.0,false
21,3.244,1129.0,11.86,3178.0,100.0,0.0,0.0,0.0,3.244,1156.69,false
22,3.25,1147.0,11.88,3178.0,100.0,0.0,0.0,0.0,3.25,1165.86,false
23,3.252,1133.0,11.73,3178.0,100.0,0.0,0.0,0.0,3.252,1161.19,false
24,3.253,1135.0,12.13,3178.0,100.0,0.0,0.0,0.0,3.253,1155.29,false
25,3.284,1161.0,12.83,3178.0,100.0,0.001,713.0,0.53,3.285,1170.6,false
26,3.255,1141.0,11.85,3178.0,100.0,0.0,0.0,0.0,3.255,1160.19,false
27,3.258,1143.0,12.34,3178.0,100.0,0.0,0.0,0.0,3.258,1154.01,false
28,3.247,1152.0,11.46,3178.0,100.0,0.0,0.0,0.0,3.247,1164.46,false
29,3.257,1161.0,11.74,3178.0,100.0,0.0,0.0,0.0,3.257,1165.38,false
30,3.249,1156.0,11.94,3179.0,100.0,0.0,0.0,0.0,3.249,1152.5,false
31,3.245,1139.0,12.0,3178.0,100.0,0.0,0.0,0.0,3.245,1168.12,false
32,3.252,1155.0,11.84,3178.0,100.0,0.0,0.0,0.0,3.252,1162.93,false
33,3.244,1139.0,11.83,3178.0,100.0,0.0,0.0,0.0,3.244,1160.67,false
34,3.25,1136.0,12.1,3178.0,100.0,0.0,0.0,0.0,3.25,1152.33,false
35,3.248,1133.0,11.71,3178.0,100.0,0.0,0.0,0.0,3.248,1166.96,false
36,3.255,1142.0,15.2,3179.0,100.0,0.0,0.0,0.0,3.255,1153.66,false
37,3.252,1165.0,11.71,3178.0,100.0,0.0,0.0,0.0,3.252,1163.7,false
38,3.231,1104.0,7.57,3179.0,100.0,0.0,0.0,0.0,3.231,1159.1,false
39,3.253,1172.0,10.21,3178.0,100.0,0.0,0.0,0.0,3.253,1162.87,false
40,3.255,1176.0,11.51,3178.0,100.0,0.0,0.0,0.0,3.255,1160.78,false
41,3.25,1159.0,11.61,3178.0,100.0,0.0,0.0,0.0,3.25,1159.96,false
42,3.247,1127.0,12.15,3178.0,100.0,0.0,0.0,0.0,3.247,1157.61,false
43,3.248,1127.0,11.51,3179.0,100.0,0.0,0.0,0.0,3.248,1155.88,false
44,3.256,1145.0,12.0,3178.0,100.0,0.0,0.0,0.0,3.256,1164.71,false
45,3.256,1138.0,11.49,3178.0,100.0,0.0,0.0,0.0,3.256,1165.76,false
46,3.254,1158.0,11.63,3178.0,100.0,0.0,0.0,0.0,3.254,1158.81,false
47,3.252,1160.0,11.73,3179.0,100.0,0.0,0.0,0.0,3.252,1155.66,false
48,3.281,1177.0,24.55,3178.0,100.0,0.0,0.0,0.0,3.281,1165.14,false
49,3.269,1130.0,12.17,3178.0,100.0,0.0,0.0,0.0,3.269,1163.6,false
50,3.265,1119.0,11.71,3178.0,100.0,0.0,0.0,0.0,3.265,1162.06,false
51,3.269,1174.0,11.98,3178.0,100.0,0.0,0.0,0.0,3.269,1154.32,false
