Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
0,1.208,1094.0,24.3,1683.0,42.95,0.0,0.0,0.0,1.208,460.84,false
1,3.136,1066.0,13.03,3182.0,99.96,0.0,712.0,0.32,3.136,1113.1,false
2,3.212,1139.0,11.66,3178.0,100.0,0.0,0.0,0.0,3.212,1157.61,false
3,3.212,1178.0,12.06,3178.0,100.0,0.0,0.0,0.0,3.212,1161.02,false
4,3.233,1144.0,12.07,3178.0,100.0,0.0,0.0,0.0,3.233,1166.94,false
5,3.247,1126.0,16.51,3177.0,100.0,0.0,0.0,0.0,3.247,1153.88,false
6,3.234,1121.0,11.48,3178.0,100.0,0.0,0.0,0.0,3.234,1165.89,false
7,3.223,1124.0,11.74,3178.0,100.0,0.0,0.0,0.0,3.223,1161.7,false
8,3.241,1160.0,15.51,3178.0,100.0,0.0,0.0,0.0,3.241,1160.72,false
9,3.22,1169.0,12.74,3178.0,100.0,0.001,713.0,0.31,3.221,1163.06,false
10,3.224,1144.0,12.5,3178.0,100.0,0.0,0.0,0.0,3.224,1160.58,false
11,3.226,1140.0,11.8,3179.0,100.0,0.0,0.0,0.0,3.226,1159.54,false
12,3.225,1172.0,11.71,3178.0,100.0,0.0,0.0,0.0,3.225,1160.2,false
13,3.231,1142.0,13.18,3178.0,100.0,0.001,714.0,0.63,3.232,1160.4,false
14,3.225,1161.0,11.9,3179.0,100.0,0.0,0.0,0.0,3.225,1161.08,false
15,3.222,1158.0,12.03,3179.0,100.0,0.0,0.0,0.0,3.222,1159.43,false
16,3.474,1172.0,14.02,3173.0,100.0,0.0,0.0,0.0,3.474,1163.44,false
17,3.252,1165.0,11.8,3179.0,100.0,0.0,0.0,0.0,3.252,1152.24,false
18,3.23,1142.0,11.66,3179.0,100.0,0.0,0.0,0.0,3.23,1167.74,false
19,3.228,1148.0,11.79,3179.0,100.0,0.0,0.0,0.0,3.228,1161.83,false
20,3.23,1136.0,11.73,3179.0,100.0,0.0,0.0,0.0,3.23,1159.68,false
21,3.221,1129.0,11.73,3179.0,100.0,0.0,0.0,0.0,3.221,1158.28,false
22,3.221,1157.0,11.97,3179.0,100.0,0.0,0.0,0.0,3.221,1153.3,false
23,3.226,1103.0,8.79,3179.0,100.0,0.0,0.0,0.0,3.226,1159.33,false
24,3.217,1159.0,9.08,3179.0,100.0,0.0,0.0,0.0,3.217,1160.17,false
25,3.227,1151.0,11.68,3179.0,100.0,0.0,0.0,0.0,3.227,1160.76,false
26,3.231,1157.0,11.77,3179.0,100.0,0.0,0.0,0.0,3.231,1162.32,false
27,3.24,1160.0,12.14,3179.0,100.0,0.0,0.0,0.0,3.24,1157.94,false
28,3.244,1158.0,11.86,3178.0,100.0,0.0,0.0,0.0,3.244,1169.34,false
29,3.236,1142.0,11.92,3179.0,100.0,0.0,0.0,0.0,3.236,1155.91,false
30,3.235,1160.0,11.91,3179.0,100.0,0.0,0.0,0.0,3.235,1160.05,false
31,3.243,1154.0,11.79,3178.0,100.0,0.0,0.0,0.0,3.243,1166.09,false
32,3.237,1145.0,11.73,3179.0,100.0,0.0,0.0,0.0,3.237,1162.34,false
33,3.241,1152.0,11.81,3179.0,100.0,0.0,0.0,0.0,3.241,1156.08,false
34,3.245,1186.0,11.71,3178.0,100.0,0.0,0.0,0.0,3.245,1156.53,false
35,3.238,1171.0,11.7,3179.0,100.0,0.0,0.0,0.0,3.238,1169.68,false
36,3.24,1119.0,11.36,3178.0,100.0,0.0,0.0,0.0,3.24,1158.48,false
37,3.255,1174.0,15.83,3178.0,100.0,0.0,0.0,0.0,3.255,1163.53,false
38,3.259,1150.0,12.05,3178.0,100.0,0.0,0.0,0.0,3.259,1162.68,false
39,3.241,1177.0,11.69,3179.0,100.0,0.0,0.0,0.0,3.241,1159.91,false
40,3.228,1121.0,11.86,3179.0,100.0,0.0,0.0,0.0,3.228,1161.95,false
41,3.234,1157.0,9.85,3179.0,100.0,0.0,0.0,0.0,3.234,1160.0,false
42,3.224,1128.0,7.77,3179.0,100.0,0.0,0.0,0.0,3.224,1159.1,false
43,3.241,1150.0,12.02,3179.0,100.0,0.0,0.0,0.0,3.241,1161.18,false
44,3.245,1152.0,12.28,3179.0,100.0,0.0,0.0,0.0,3.245,1156.14,false
45,3.237,1164.0,13.07,3178.0,100.0,0.001,714.0,0.83,3.238,1163.87,false
46,3.252,1140.0,18.69,3178.0,100.0,0.0,0.0,0.0,3.252,1156.94,false
47,3.248,1146.0,12.84,3179.0,100.0,0.001,712.0,0.32,3.249,1158.09,false
48,3.247,1165.0,11.66,3179.0,100.0,0.0,0.0,0.0,3.247,1158.66,false
49,3.242,1153.0,11.83,3178.0,100.0,0.0,0.0,0.0,3.242,1168.36,false
50,3.235,1133.0,11.66,3179.0,100.0,0.0,0.0,0.0,3.235,1152.6,false
51,3.239,1129.0,11.67,3179.0,100.0,0.0,0.0,0.0,3.239,1159.15,false
52,3.236,1137.0,11.92,3178.0,100.0,0.0,0.0,0.0,3.236,1168.53,false
53,3.243,1156.0,12.01,3179.0,100.0,0.0,0.0,0.0,3.243,1160.18,false
54,3.24,1154.0,11.84,3179.0,100.0,0.0,0.0,0.0,3.24,1151.95,false
55,3.248,1147.0,11.62,3178.0,100.0,0.0,0.0,0.0,3.248,1167.21,false
