Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
0,1.281,1091.0,22.41,1745.0,45.11,0.0,0.0,0.0,1.281,482.76,false
1,3.152,1054.0,12.94,3182.0,99.95,0.002,712.0,0.32,3.154,1122.87,false
2,3.206,1104.0,11.91,3178.0,100.0,0.0,0.0,0.0,3.206,1159.92,false
3,3.218,1157.0,12.46,3178.0,100.0,0.0,0.0,0.0,3.218,1159.94,false
4,3.203,1140.0,8.23,3178.0,100.0,0.0,0.0,0.0,3.203,1163.52,false
5,3.214,1134.0,11.05,3179.0,100.0,0.0,0.0,0.0,3.214,1160.05,false
6,3.21,1157.0,11.96,3178.0,100.0,0.0,0.0,0.0,3.21,1161.42,false
7,3.214,1139.0,11.91,3179.0,100.0,0.0,0.0,0.0,3.214,1157.9,false
8,3.216,1128.0,11.95,3178.0,100.0,0.0,0.0,0.0,3.216,1164.23,false
9,3.21,1116.0,12.45,3178.0,100.0,0.0,713.0,0.31,3.21,1159.03,false
10,3.214,1121.0,11.98,3179.0,100.0,0.0,0.0,0.0,3.214,1162.22,false
11,3.213,1137.0,11.74,3179.0,100.0,0.0,0.0,0.0,3.213,1159.78,false
12,3.472,1165.0,11.82,3173.0,100.0,0.0,0.0,0.0,3.472,1159.48,false
13,3.228,1144.0,12.43,3178.0,100.0,0.0,0.0,0.0,3.228,1161.06,false
14,3.219,1151.0,11.57,3178.0,100.0,0.0,0.0,0.0,3.219,1160.28,false
15,3.221,1149.0,12.45,3178.0,100.0,0.0,0.0,0.0,3.221,1160.97,false
16,3.218,1126.0,11.63,3178.0,100.0,0.0,0.0,0.0,3.218,1162.36,false
17,3.238,1135.0,26.07,3178.0,100.0,0.0,0.0,0.0,3.238,1160.17,false
18,3.231,1131.0,12.26,3178.0,100.0,0.0,0.0,0.0,3.231,1158.13,false
19,3.22,1149.0,11.66,3179.0,100.0,0.0,0.0,0.0,3.22,1162.66,false
20,3.22,1149.0,12.24,3178.0,99.99,0.0,0.0,0.0,3.22,1162.86,false
21,3.22,1140.0,11.84,3178.0,100.0,0.0,0.0,0.0,3.22,1160.45,false
22,3.222,1154.0,11.73,3178.0,100.0,0.0,0.0,0.0,3.222,1159.58,false
23,3.227,1124.0,8.2,3178.0,100.0,0.0,0.0,0.0,3.227,1157.63,false
24,3.225,1109.0,9.76,3178.0,99.99,0.0,0.0,0.0,3.225,1160.55,false
25,3.223,1161.0,11.55,3178.0,100.0,0.0,0.0,0.0,3.223,1163.87,false
26,3.227,1129.0,11.86,3179.0,100.0,0.0,0.0,0.0,3.227,1163.91,false
27,3.227,1148.0,11.95,3179.0,100.0,0.0,0.0,0.0,3.227,1158.16,false
28,3.229,1161.0,11.72,3179.0,100.0,0.0,0.0,0.0,3.229,1159.97,false
29,3.225,1111.0,11.63,3178.0,100.0,0.0,0.0,0.0,3.225,1164.19,false
30,3.217,1135.0,11.77,3178.0,100.0,0.0,0.0,0.0,3.217,1161.21,false
31,3.224,1155.0,11.75,3179.0,100.0,0.0,0.0,0.0,3.224,1160.36,false
32,3.237,1138.0,12.25,3178.0,100.0,0.0,0.0,0.0,3.237,1159.24,false
33,3.229,1139.0,11.95,3179.0,100.0,0.0,0.0,0.0,3.229,1159.52,false
34,3.229,1127.0,11.69,3179.0,100.0,0.0,0.0,0.0,3.229,1156.76,false
35,3.229,1136.0,11.71,3178.0,100.0,0.0,0.0,0.0,3.229,1159.58,false
36,3.226,1156.0,11.67,3179.0,100.0,0.0,0.0,0.0,3.226,1161.63,false
37,3.225,1142.0,11.89,3179.0,100.0,0.0,0.0,0.0,3.225,1159.23,false
38,3.235,1156.0,11.84,3179.0,100.0,0.0,0.0,0.0,3.235,1160.92,false
39,3.234,1136.0,11.75,3179.0,100.0,0.0,0.0,0.0,3.234,1158.06,false
40,3.226,1104.0,11.81,3178.0,100.0,0.0,0.0,0.0,3.226,1159.11,false
